year,agency_code,welcome_url
2018,040309,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
2018,040311,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
2018,040316,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
2018,040324,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
2018,040328,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
2018,040330,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
2018,080311,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,080312,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,080314,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,080348,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,080356,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,080360,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,080362,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,100302,https://www.bcswan.net/domain/41
2018,100304,https://www.bcswan.net/domain/41
2018,100307,https://www.bcswan.net/domain/41
2018,100308,https://www.bcswan.net/domain/41
2018,100309,https://www.bcswan.net/domain/41
2018,100310,https://www.bcswan.net/domain/41
2018,100316,https://www.bcswan.net/domain/41
2018,100320,https://www.bcswan.net/domain/41
2018,100326,https://www.bcswan.net/domain/41
2018,100332,https://www.bcswan.net/domain/41
2018,100334,https://www.bcswan.net/domain/41
2018,100335,https://www.bcswan.net/domain/41
