year,agency_code,category_code,crime,short_term,long_term,expulsion
2006,010303,H,0,0,0,0
2006,010304,E,0,0,0,0
2006,010308,E,1,3,0,0
2006,010310,M,2,53,1,0
2006,010320,E,0,5,0,0
2006,010324,H,0,44,0,0
2006,010326,E,0,4,0,0
2006,010328,E,0,1,0,0
2006,010340,E,0,7,0,0
2006,010346,E,0,1,0,0
2006,010347,E,0,9,0,0
2006,010348,H,2,37,0,0
2006,010350,M,1,38,2,0
2006,010351,E,0,9,0,0
2006,010353,M,1,18,0,0
2006,010354,E,0,3,0,0
2006,010357,E,1,8,0,0
2006,010358,E,0,3,0,0
2006,010360,H,1,58,1,0
2006,010362,E,0,3,0,0
2006,010364,E,0,3,0,0
2006,010372,E,0,20,0,0
2006,010374,E,0,2,0,0
2006,010378,A,4,309,12,0
2006,010380,E,0,0,0,0
2006,010384,E,0,0,0,0
2006,010388,H,1,23,0,0
2006,010390,M,1,28,0,0
2006,010392,E,0,10,0,0
2006,010394,M,1,30,1,0
2006,010396,H,1,35,1,0
2006,010400,H,1,23,1,0
2006,010403,M,0,32,0,0
2006,010406,M,0,13,0,0
2006,010LEA,A,4,309,12,0
2006,010LEA,E,0,4,0,0
2006,010LEA,H,1,35,1,0
2006,010LEA,M,1,31,0,0
2006,01A000,T,0,0,0,0
2006,01B000,A,0,0,0,0
2006,01C000,A,0,0,0,0
2006,01D000,H,0,0,1,0
2006,020302,H,3,14,0,0
2006,020304,E,0,3,0,0
2006,020306,M,1,49,0,0
2006,020308,E,0,0,0,0
2006,020316,E,1,3,0,0
2006,020320,E,0,9,0,0
2006,020324,E,0,4,0,0
2006,020328,E,0,12,0,0
2006,020330,M,1,24,0,0
2006,020332,E,0,7,0,0
2006,020LEA,E,0,5,0,0
2006,020LEA,H,3,14,0,0
2006,020LEA,M,1,37,0,0
2006,030304,H,1,13,0,0
2006,030308,I,0,0,0,0
2006,030316,I,0,0,0,0
2006,030320,I,0,0,0,0
2006,030LEA,H,1,13,0,0
2006,030LEA,I,0,0,0,0
2006,040304,H,0,0,0,0
2006,040305,T,2,414,3,0
2006,040306,H,2,74,0,0
2006,040308,E,0,5,0,0
2006,040309,M,1,99,6,0
2006,040311,E,0,1,0,0
2006,040316,E,0,20,0,0
2006,040324,E,0,40,0,0
2006,040328,E,0,1,0,0
2006,040330,E,0,50,0,0
2006,040LEA,E,0,18,0,0
2006,040LEA,H,2,71,0,0
2006,040LEA,M,1,99,6,0
