year,agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
2018,00A000,N,N,Y,Y
2018,00B000,N,Y,Y,Y
2018,010303,N,N,N,N
2018,010304,N,N,Y,Y
2018,010308,N,N,Y,Y
2018,010310,Y,N,N,N
2018,010311,N,N,N,N
2018,010312,N,N,Y,Y
2018,010320,N,N,Y,Y
2018,010324,N,N,Y,N
2018,010326,N,N,Y,Y
2018,010328,N,N,Y,Y
2018,010340,N,N,Y,Y
2018,010346,N,N,Y,Y
2018,010347,N,N,Y,Y
2018,010348,N,N,Y,Y
2018,010350,N,N,Y,Y
2018,010351,N,N,Y,Y
2018,010353,N,N,Y,Y
2018,010354,N,N,Y,Y
2018,010357,N,N,Y,Y
2018,010358,Y,N,N,N
2018,010360,N,N,N,N
2018,010362,N,N,Y,Y
2018,010364,N,N,Y,Y
2018,010372,N,N,Y,Y
2018,010374,N,N,Y,Y
2018,010378,N,N,Y,Y
2018,010380,N,N,Y,Y
2018,010384,N,N,Y,Y
2018,010388,N,N,Y,Y
2018,010390,N,N,Y,Y
2018,010392,N,N,Y,Y
2018,010394,N,N,Y,Y
2018,010396,N,N,N,N
2018,010400,N,N,N,N
2018,010403,N,N,Y,Y
2018,010406,N,N,Y,Y
2018,01B000,N,N,Y,Y
2018,01C000,N,N,Y,N
2018,01D000,N,N,Y,Y
2018,020302,N,N,N,N
2018,020303,N,N,N,N
2018,020304,N,N,N,N
2018,020306,N,N,Y,Y
2018,020308,N,N,N,N
2018,020316,N,N,Y,Y
2018,020320,N,N,Y,Y
2018,020324,N,N,Y,Y
2018,020328,N,N,N,N
2018,020330,N,N,Y,Y
2018,020332,N,N,Y,Y
2018,030304,N,N,N,N
2018,030308,N,N,Y,Y
2018,030316,N,N,N,N
2018,030320,N,N,Y,Y
2018,040304,N,N,N,N
2018,040305,N,Y,N,N
2018,040306,N,N,Y,Y
2018,040308,N,N,N,N
2018,040309,N,N,Y,Y
2018,040311,N,N,Y,Y
2018,040316,N,N,Y,Y
2018,040324,N,N,N,N
2018,040328,N,N,N,N
2018,040330,N,N,Y,Y
2018,050302,N,N,Y,Y
2018,050305,N,N,N,N
2018,050310,N,N,Y,Y
2018,050330,N,N,N,N
2018,050335,N,N,N,N
2018,060302,N,N,N,N
2018,060304,N,N,N,N
2018,060310,N,N,Y,Y
2018,060316,N,N,N,N
2018,060318,N,N,Y,Y
2018,060322,N,N,N,N
2018,060328,N,N,Y,Y
2018,060332,N,N,N,N
2018,060334,N,N,N,N
2018,060700,N,N,N,N
2018,060701,N,N,N,N
2018,06A000,Y,N,N,N
2018,06B000,N,N,Y,Y
2018,070302,N,N,Y,Y
2018,070308,N,N,Y,Y
2018,070310,N,N,N,N
2018,070311,N,N,N,N
2018,070325,N,N,Y,Y
2018,070326,N,N,N,N
2018,070327,N,N,Y,Y
2018,070328,N,N,Y,Y
2018,070329,N,N,Y,Y
2018,070330,N,N,Y,Y
2018,070338,N,N,Y,Y
2018,070339,N,N,N,N
2018,070340,N,N,N,N
2018,070342,N,N,N,N
2018,07A000,N,N,N,N
2018,080311,N,N,N,N
2018,080312,N,N,Y,Y
2018,080314,N,N,Y,Y
2018,080348,N,N,N,N
2018,080356,N,N,N,N
2018,080360,N,N,Y,Y
2018,080362,N,N,Y,Y
2018,08A000,N,N,Y,N
2018,090304,N,N,N,N
2018,090315,N,N,Y,Y
2018,090317,N,N,N,N
2018,090318,N,N,N,N
2018,090320,N,N,N,N
2018,090324,N,N,N,N
2018,090328,N,N,Y,Y
2018,090330,N,N,Y,Y
2018,090332,N,N,Y,Y
2018,090333,N,N,Y,Y
2018,090352,N,N,N,N
2018,090365,N,N,Y,Y
2018,090368,N,N,N,N
2018,09A000,Y,N,N,N
2018,09B000,N,N,Y,Y
2018,100302,N,N,Y,Y
2018,100304,N,N,Y,N
2018,100307,N,N,N,N
2018,100308,N,Y,Y,Y
2018,100309,N,N,Y,Y
2018,100310,N,N,Y,Y
2018,100316,N,N,Y,Y
2018,100320,N,N,Y,Y
2018,100326,N,N,Y,Y
2018,100332,N,N,Y,Y
2018,100334,N,N,Y,Y
2018,100335,N,N,Y,Y
2018,100336,N,N,Y,Y
2018,100338,N,N,Y,Y
2018,100339,N,N,N,N
2018,100340,N,N,N,N
2018,100342,N,N,Y,Y
2018,100344,N,N,Y,Y
2018,100348,N,N,N,N
2018,10A000,N,N,N,N
2018,10B000,N,N,N,N
2018,110303,N,Y,N,N
2018,110304,N,N,N,N
2018,110306,N,N,Y,Y
2018,110308,N,N,N,N
2018,110318,N,N,Y,Y
2018,110320,N,N,N,N
2018,110322,N,N,N,N
2018,110323,N,N,N,N
2018,110324,N,N,Y,Y
2018,110326,N,N,Y,N
2018,110332,N,N,N,N
2018,110336,N,N,Y,N
2018,110338,N,N,Y,Y
2018,110340,N,N,Y,N
2018,110342,N,N,Y,Y
2018,110348,N,N,Y,Y
2018,110352,N,N,Y,Y
2018,110356,N,N,Y,Y
2018,110366,N,N,N,N
2018,110368,N,N,Y,N
2018,110370,N,N,Y,Y
2018,110372,N,N,Y,Y
2018,110376,N,N,Y,Y
2018,110379,N,N,N,N
2018,110380,N,N,N,N
2018,110381,N,N,Y,Y
2018,110382,N,N,Y,N
2018,110384,N,N,Y,Y
2018,110388,N,N,N,N
2018,110401,N,N,Y,Y
2018,110408,N,N,Y,Y
2018,110410,N,N,Y,Y
2018,110412,N,N,Y,Y
2018,110416,N,N,Y,Y
2018,110420,N,N,Y,Y
2018,110422,N,N,Y,Y
2018,110425,N,N,Y,Y
2018,110428,N,N,Y,N
2018,110432,N,N,Y,N
2018,110436,N,N,Y,Y
2018,110444,N,N,N,N
2018,110450,N,N,Y,Y
2018,110451,N,N,Y,Y
2018,110500,N,N,N,N
2018,111302,N,N,N,N
2018,111304,N,N,Y,Y
2018,111306,N,N,Y,Y
2018,111307,N,N,Y,Y
2018,111312,N,N,Y,Y
2018,111332,N,N,Y,Y
2018,111356,N,N,Y,Y
2018,111360,N,N,Y,Y
2018,111369,N,N,Y,Y
2018,111700,N,N,N,N
2018,11A000,N,N,N,N
2018,11B000,N,N,N,N
2018,11C000,N,N,Y,Y
2018,11D000,N,N,N,N
2018,11K000,N,N,Y,Y
2018,120304,N,N,Y,Y
2018,120308,N,Y,Y,Y
2018,120310,N,N,N,N
2018,120312,N,N,Y,Y
2018,120314,N,N,N,N
2018,120315,N,N,Y,Y
2018,120316,N,N,Y,Y
2018,120318,N,N,N,N
2018,120320,N,N,Y,Y
2018,120324,N,N,Y,Y
2018,120334,N,N,Y,Y
2018,120338,N,N,Y,Y
2018,120340,N,N,Y,Y
2018,120344,N,N,Y,Y
2018,120346,N,N,Y,Y
2018,120350,N,N,Y,Y
2018,120352,N,N,Y,Y
2018,120360,N,N,Y,N
2018,120364,N,N,Y,Y
2018,120368,N,N,Y,Y
2018,120370,N,N,Y,Y
2018,120372,N,N,N,N
2018,120374,N,N,N,N
