year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only
2018,140305,0,0,45,1.0
2018,140309,0,0,56,0.0
2018,140348,3,40,70,31.0
2018,140386,4,85,149,28.0
2018,140390,3,30,62,18.0
2018,150304,1,40,33,1.0
2018,150350,0,2,11,2.0
2018,160313,0,4,3,0.0
2018,160314,0,7,10,4.0
2018,160344,1,47,111,33.0
2018,170316,0,65,38,3.0
2018,180308,4,69,82,15.0
2018,180320,0,47,76,14.0
2018,180325,0,0,1,0.0
2018,180340,1,42,93,17.0
2018,180348,2,58,77,14.0
2018,180376,1,72,126,20.0
2018,181318,0,13,4,0.0
2018,181322,3,24,122,8.0
2018,182316,1,34,61,7.0
2018,182700,0,0,51,0.0
2018,190316,4,23,32,3.0
2018,190336,0,43,65,4.0
2018,190342,0,74,165,3.0
2018,19A000,0,5,33,0.0
2018,200308,0,15,24,7.0
2018,200314,5,11,8,3.0
2018,200328,1,49,22,1.0
2018,210312,0,10,70,13.0
2018,220310,0,0,1,0.0
2018,230312,0,56,99,16.0
2018,230322,0,0,43,0.0
2018,230324,0,64,91,18.0
2018,230330,0,0,1,4.0
2018,230350,0,115,79,16.0
2018,230361,2,53,81,11.0
2018,240334,0,13,43,5.0
2018,240371,1,17,45,15.0
2018,240373,0,1,0,1.0
2018,240380,0,18,27,14.0
2018,241312,0,0,0,1.0
2018,241316,1,19,84,4.0
2018,24B000,0,1,5,3.0
2018,250314,0,0,11,3.0
2018,250321,0,0,23,0.0
2018,250340,0,43,96,21.0
2018,250356,0,17,62,28.0
2018,250372,0,37,50,19.0
2018,260318,0,112,202,19.0
2018,260322,3,41,51,8.0
2018,260325,1,90,130,18.0
2018,260347,0,0,51,0.0
2018,260354,0,0,46,0.0
2018,260357,6,87,95,20.0
2018,260359,0,27,83,10.0
2018,260374,0,0,3,0.0
2018,260388,0,12,47,1.0
2018,260408,3,79,135,15.0
2018,260411,0,13,46,2.0
2018,260424,0,57,137,9.0
2018,260427,1,58,135,20.0
2018,260446,0,34,156,8.0
2018,260455,1,37,91,10.0
2018,260700,0,8,13,0.0
2018,270306,1,42,72,20.0
2018,270311,0,2,46,1.0
2018,280304,0,5,25,2.0
2018,280306,0,0,0,1.0
2018,280316,0,8,58,14.0
2018,280330,0,14,108,5.0
2018,290308,8,50,55,4.0
2018,290314,0,0,1,10.0
2018,290315,0,0,19,0.0
2018,290324,4,118,34,8.0
2018,290336,1,89,125,0.0
2018,290348,1,136,131,33.0
2018,290365,3,26,29,12.0
2018,290388,2,86,33,12.0
2018,290389,0,13,4,2.0
2018,292324,0,29,45,2.0
2018,298202,0,0,0,1.0
2018,298203,0,0,1,3.0
2018,300312,1,85,144,29.0
2018,300314,0,0,32,0.0
2018,310338,0,0,1,0.0
2018,310344,0,14,102,19.0
2018,310352,0,2,47,13.0
2018,310364,0,3,51,3.0
2018,310392,0,8,71,16.0
2018,320309,0,0,1,0.0
2018,320312,0,50,180,10.0
2018,320314,0,0,15,5.0
2018,320317,0,51,3,0.0
2018,320322,0,1,4,5.0
2018,320323,0,11,161,2.0
2018,320325,0,17,96,2.0
2018,320353,0,3,48,11.0
2018,320356,0,35,123,11.0
2018,320365,0,71,133,4.0
2018,320368,0,58,38,3.0
2018,32L000,0,2,57,1.0
2018,330326,0,0,23,0.0
2018,330328,0,6,5,0.0
2018,330350,2,36,41,7.0
2018,330358,0,40,27,8.0
2018,33A000,0,1,26,0.0
2018,340311,0,139,10,0.0
2018,340330,0,9,18,3.0
2018,340362,0,0,51,0.0
2018,340364,2,91,183,5.0
2018,340382,0,41,121,10.0
2018,340446,0,2,55,1.0
2018,340454,1,40,196,7.0
2018,340460,0,32,86,5.0
2018,340486,0,12,129,24.0
2018,340488,0,23,3,2.0
2018,340495,1,65,286,11.0
2018,340496,0,34,245,11.0
2018,340542,0,27,63,7.0
2018,340556,1,60,356,11.0
2018,340568,0,3,18,0.0
2018,34B000,0,0,18,0.0
2018,34D000,0,0,1,2.0
2018,350308,2,42,74,8.0
2018,350317,0,0,6,0.0
2018,350321,3,31,85,5.0
2018,350336,0,19,48,11.0
2018,360310,0,6,12,6.0
2018,360337,0,0,3,30.0
2018,360360,1,52,25,5.0
2018,360390,0,1,5,4.0
2018,360418,0,129,1,0.0
2018,360470,2,1,5,2.0
2018,36B000,0,0,52,4.0
2018,36C000,0,0,65,0.0
2018,370312,0,23,31,3.0
2018,380308,3,13,29,0.0
2018,390322,0,33,21,1.0
2018,390323,0,5,33,0.0
2018,390324,0,22,21,3.0
2018,390352,0,37,67,18.0
2018,390700,0,16,26,3.0
2018,39B000,0,0,35,0.0
2018,400308,0,5,89,21.0
2018,400315,0,0,23,0.0
2018,410319,0,23,93,2.0
2018,410326,0,0,15,0.0
2018,410355,0,43,103,3.0
2018,410358,0,26,79,1.0
2018,410390,0,0,45,1.0
2018,410391,0,0,31,0.0
2018,410394,0,23,184,41.0
2018,410395,0,0,47,0.0
2018,410399,0,2,17,0.0
2018,410401,0,3,41,0.0
2018,410406,0,29,159,8.0
2018,410407,0,17,2,0.0
2018,410408,0,0,19,2.0
2018,410483,0,12,12,0.0
2018,410484,0,38,71,2.0
2018,410489,0,37,230,8.0
2018,410490,1,38,276,4.0
2018,410508,0,49,232,5.0
2018,410529,0,70,142,2.0
2018,410544,0,24,77,4.0
2018,410545,0,48,5,0.0
2018,410547,0,77,137,18.0
2018,410556,0,78,71,5.0
2018,410562,0,72,220,6.0
2018,410569,0,22,25,0.0
2018,410589,0,0,52,0.0
2018,410595,0,28,130,3.0
2018,41F000,0,0,47,0.0
2018,41K000,0,0,23,0.0
2018,420346,0,5,13,1.0
2018,420358,0,6,15,0.0
2018,421316,2,40,67,8.0
2018,422315,0,2,8,0.0
2018,430346,2,2,4,5.0
2018,430371,0,62,149,18.0
2018,430378,0,3,6,2.0
2018,430384,0,63,145,17.0
2018,440326,0,1,3,8.0
2018,440346,0,0,20,4.0
2018,440378,0,112,55,12.0
2018,440390,0,89,66,16.0
2018,450316,1,35,87,14.0
2018,450334,1,40,124,7.0
2018,450341,4,49,105,13.0
2018,450343,5,3,3,4.0
2018,450352,5,62,122,14.0
2018,450354,0,0,40,0.0
2018,460320,0,30,35,5.0
2018,460340,0,10,4,0.0
2018,470312,0,67,134,2.0
2018,470443,0,0,2,0.0
2018,480316,0,0,4,0.0
