year,agency_code,stu_enroll,cte_enroll,pct
2018,00A000,1505,100,6.64
2018,00B000,988,16,1.62
2018,010303,191,79,41.36
2018,010310,734,410,55.86
2018,010324,1217,879,72.23
2018,010348,778,545,70.05
2018,010350,649,250,38.52
2018,010353,684,384,56.14
2018,010360,920,703,76.41
2018,010378,107,46,42.99
2018,010388,1463,1148,78.47
2018,010390,726,483,66.53
2018,010394,855,447,52.28
2018,010396,1229,985,80.15
2018,010400,1197,833,69.59
2018,010403,835,385,46.11
2018,010406,548,333,60.77
2018,01B000,363,35,9.64
2018,01C000,340,47,13.82
2018,01D000,267,6,2.25
2018,020302,1262,938,74.33
2018,020306,607,536,88.30
2018,020330,536,524,97.76
2018,030304,433,397,91.69
2018,030308,61,59,96.72
2018,030316,52,52,100.00
2018,030320,192,84,43.75
2018,040304,249,61,24.50
2018,040305,101,38,37.62
2018,040306,746,678,90.88
2018,040309,624,613,98.24
2018,050302,938,638,68.02
2018,050305,440,291,66.14
2018,060302,360,301,83.61
2018,060310,188,150,79.79
2018,060318,283,235,83.04
2018,060334,21,16,76.19
2018,060700,152,109,71.71
2018,060701,62,54,87.10
2018,070308,195,193,98.97
2018,070310,89,13,14.61
2018,070311,239,69,28.87
2018,070325,297,250,84.18
2018,070329,154,150,97.40
2018,070330,422,325,77.01
2018,070338,754,656,87.00
2018,070339,433,367,84.76
2018,070342,984,700,71.14
2018,080311,181,114,62.98
2018,080312,582,516,88.66
2018,080314,486,278,57.20
2018,090315,216,199,92.13
2018,090320,209,206,98.56
2018,090328,43,36,83.72
2018,090330,664,534,80.42
2018,090332,290,264,91.03
2018,090365,243,239,98.35
2018,090368,719,635,88.32
2018,100307,355,41,11.55
2018,100308,149,112,75.17
2018,100309,493,430,87.22
2018,100316,878,559,63.67
2018,100326,1103,769,69.72
2018,100332,655,361,55.11
2018,100334,1145,761,66.46
2018,100335,714,522,73.11
2018,100344,207,118,57.00
2018,100348,1442,1001,69.42
2018,110303,147,75,51.02
2018,110304,1167,801,68.64
2018,110306,515,369,71.65
2018,110322,272,90,33.09
2018,110323,72,9,12.50
2018,110326,563,352,62.52
2018,110336,765,513,67.06
2018,110338,533,333,62.48
2018,110340,1194,906,75.88
2018,110342,678,428,63.13
2018,110352,1071,808,75.44
2018,110380,1010,729,72.18
2018,110381,559,344,61.54
2018,110382,310,171,55.16
2018,110401,605,363,60.00
2018,110416,1558,933,59.88
2018,110420,593,378,63.74
2018,110425,306,164,53.59
2018,110450,356,86,24.16
2018,110451,374,231,61.76
2018,110500,386,381,98.70
2018,111302,932,609,65.34
2018,111356,751,435,57.92
2018,111369,77,70,90.91
2018,111700,369,217,58.81
2018,11D000,434,5,1.15
2018,120308,157,83,52.87
