year,agency_code,category_code,avg_sat_score,pct_sat_participation
2002,600579,,901,0.585
2002,600592,,974,0.811
2002,600LEA,,996,0.727
2002,610334,,992,0.569
2002,610LEA,,992,0.569
2002,620316,,925,0.317
2002,620340,,976,0.435
2002,620LEA,,957,0.381
2002,630332,,1016,0.28
2002,630336,,1043,0.603
2002,630360,,1058,0.314
2002,630LEA,,1044,0.452
2002,640350,,994,0.52
2002,640361,,929,0.659
2002,640364,,990,0.424
2002,640LEA,,967,0.539
2002,650326,,1002,0.643
2002,650342,,1057,0.758
2002,650352,,1014,0.658
2002,650354,,758,0.529
2002,650LEA,,1028,0.681
2002,660324,,773,0.716
2002,660336,,824,0.563
2002,660LEA,,799,0.63
2002,670320,,963,0.512
2002,670324,,967,0.498
2002,670340,,973,0.48
2002,670344,,976,0.468
2002,670352,,1015,0.524
2002,670364,,983,0.521
2002,670LEA,,979,0.503
2002,680332,,1004,0.694
2002,680LEA,,1004,0.694
2002,681308,,1182,0.92
2002,681314,,1172,0.963
2002,681LEA,,1177,0.938
2002,68B000,,934,0.31
2002,690320,,1005,0.446
2002,690LEA,,1005,0.446
2002,700317,,940,0.581
2002,700319,,895,0.519
2002,700LEA,,919,0.55
2002,710326,,940,0.517
2002,710342,,960,0.719
2002,710LEA,,949,0.59
2002,720316,,919,0.596
2002,720LEA,,919,0.596
2002,730352,,929,0.586
2002,730LEA,,929,0.586
2002,740309,,990,0.478
2002,740333,,987,0.642
2002,740344,,924,0.484
2002,740366,,1022,0.786
2002,430346,,1022,0.519
2002,430378,,988,0.483
2002,430384,,967,0.493
2002,430LEA,,990,0.497
2002,440378,,969,0.474
2002,440390,,1045,0.527
2002,440LEA,,1014,0.497
2002,450316,,1004,0.59
2002,450334,,1089,0.685
2002,450341,,1007,0.632
2002,450352,,1076,0.578
2002,450LEA,,1043,0.607
2002,460320,,808,0.584
2002,460LEA,,808,0.584
2002,470312,,860,0.525
2002,470LEA,,860,0.525
2002,480307,,896,0.432
2002,480316,,830,0.333
2002,480LEA,,893,0.426
2002,490346,,1017,0.423
2002,490354,,1021,0.596
2002,490362,,1010,0.637
2002,490380,,993,0.411
2002,490LEA,,1012,0.529
2002,491312,,995,0.639
2002,491LEA,,995,0.639
2002,500316,,790,0.75
2002,500340,,1015,0.75
2002,500LEA,,996,0.731
2002,510324,,1031,0.631
2002,510368,,1002,0.331
2002,510376,,1010,0.552
2002,510399,,938,0.509
2002,510402,,1014,0.38
2002,510LEA,,1001,0.48
2002,520320,,878,0.339
2002,520LEA,,878,0.339
2002,530336,,967,0.594
2002,530LEA,,967,0.594
2002,540315,,914,0.625
2002,540324,,951,0.548
2002,540336,,1000,0.5
2002,540LEA,,949,0.541
2002,550320,,989,0.617
2002,550332,,963,0.561
2003,291336,,924,0.53
2003,291LEA,,924,0.53
2003,292324,,920,0.549
2003,292LEA,,920,0.549
2003,300312,,1035,0.626
2003,300LEA,,1035,0.626
2003,310344,,944,0.589
2003,310352,,850,0.654
2003,310364,,946,0.54
2003,310392,,903,0.57
2003,310LEA,,913,0.589
2003,320312,,1061,0.923
2003,320323,,1078,0.863
2003,320325,,858,0.648
2003,320356,,978,0.823
2003,320365,,1039,0.796
2003,320368,,859,0.675
2003,320LEA,,999,0.8
2003,330328,,819,0.321
2003,330350,,888,0.425
2003,330358,,924,0.533
2003,330LEA,,896,0.448
2003,340330,,817,0.655
2003,340364,,1012,0.655
2003,340382,,946,0.611
2003,340454,,1071,0.789
2003,340460,,978,0.582
2003,340486,,903,0.583
2003,340496,,1056,0.787
2003,340556,,1080,0.785
2003,340LEA,,1005,0.674
2003,350308,,961,0.536
2003,350321,,909,0.459
2003,350336,,990,0.451
2003,350LEA,,953,0.489
2003,360310,,1012,0.651
2003,360336,,929,0.5
2003,360360,,933,0.438
2003,360390,,969,0.431
2003,360396,,1008,0.686
2003,360418,,1020,0.825
2003,360428,,897,0.453
2003,360470,,952,0.481
2003,360494,,1003,0.587
2003,360LEA,,980,0.55
2003,370312,,890,0.515
2003,370LEA,,890,0.515
2003,380308,,982,0.627
2003,380LEA,,982,0.627
2003,390324,,1030,0.462
2003,390352,,982,0.497
2003,390LEA,,1012,0.475
2003,400308,,921,0.425
2003,400LEA,,921,0.425
2003,410319,,904,0.802
2003,410355,,857,0.601
2003,410358,,926,0.565
2003,410390,,1033,0.6
2003,410394,,1131,0.907
2003,410395,,1314,0.455
2003,410401,,987,0.538
2003,410406,,961,0.77
2003,410484,,932,0.635
2003,410490,,1096,0.87
2003,410508,,1022,0.748
2003,410529,,982,0.759
2003,410544,,828,0.581
2003,410547,,994,0.605
2003,410556,,970,0.571
2003,410562,,1008,0.88
2003,410595,,1001,0.817
2003,410LEA,,996,0.717
2003,420346,,793,0.411
2003,420358,,767,0.355
2003,420LEA,,782,0.384
2003,421316,,1025,0.609
2003,421LEA,,1025,0.609
2003,422324,,776,0.509
2003,422LEA,,776,0.509
2003,430346,,1026,0.561
2003,430378,,952,0.514
2003,430384,,954,0.528
2003,430LEA,,976,0.532
2003,440378,,1010,0.535
2003,440390,,1062,0.571
2003,440LEA,,1043,0.548
2003,450316,,1045,0.536
2004,120LEA,,1025,0.421
2004,130310,,1017,0.693
2004,130314,,1028,0.63
2004,130316,,1028,0.637
2004,130324,,1005,0.5
2004,130326,,1003,0.69
2004,130LEA,,1018,0.636
2004,132304,,1000,0.338
2004,132LEA,,1000,0.338
2004,140348,,1006,0.441
2004,140386,,1018,0.462
2004,140390,,1021,0.36
2004,140LEA,,1016,0.42
2004,150304,,1005,0.579
2004,150LEA,,1005,0.579
2004,160313,,979,0.562
2004,160314,,1065,0.754
2004,160344,,1020,0.763
2004,160LEA,,1024,0.703
2004,170316,,894,0.417
2004,170LEA,,894,0.417
2004,180308,,985,0.503
2004,180320,,973,0.428
2004,180340,,1045,0.513
2004,180348,,1019,0.377
2004,180376,,1036,0.707
2004,180LEA,,1018,0.528
2004,181322,,1024,0.72
2004,181LEA,,1024,0.701
2004,182316,,1025,0.572
2004,182LEA,,1025,0.572
2004,190316,,980,0.587
2004,190336,,944,0.418
2004,190342,,1021,0.706
2004,190LEA,,996,0.588
2004,19B000,,1063,0.8
2004,200308,,939,0.672
2004,200314,,907,0.472
2004,200328,,982,0.602
2004,200LEA,,957,0.541
2004,210312,,945,0.536
2004,210LEA,,945,0.536
2004,220310,,1043,0.647
2004,220LEA,,1043,0.647
2004,230312,,945,0.484
2004,230324,,1004,0.476
2004,230LEA,,978,0.48
2004,231324,,930,0.578
2004,231LEA,,930,0.576
2004,232332,,1000,0.622
2004,232LEA,,1000,0.591
2004,240334,,869,0.436
2004,240371,,952,0.321
2004,240380,,857,0.368
2002,740374,,870,0.373
2002,740LEA,,987,0.623
2002,750318,,1035,0.535
2002,750LEA,,1035,0.535
2002,760318,,976,0.56
2002,760348,,922,0.406
2002,760358,,1037,0.44
2002,760380,,950,0.456
