dance_cat,music_cat,theatre_cat,va_cat,agency_code,year
N,Y,N,Y,360394,2018
N,Y,Y,Y,360396,2018
N,Y,N,Y,360400,2018
N,Y,N,Y,360408,2018
N,Y,Y,Y,360418,2018
N,Y,N,Y,360420,2018
N,Y,N,Y,360426,2018
Y,Y,Y,Y,360428,2018
N,Y,N,Y,360430,2018
N,Y,N,Y,360431,2018
N,Y,N,Y,360432,2018
N,Y,N,Y,360436,2018
N,Y,N,Y,360438,2018
N,Y,N,Y,360440,2018
N,Y,N,Y,360448,2018
N,Y,N,Y,360456,2018
N,Y,N,Y,360464,2018
N,Y,N,Y,360468,2018
N,Y,Y,Y,360470,2018
N,Y,N,Y,360478,2018
N,Y,N,Y,360480,2018
N,Y,N,Y,360482,2018
N,Y,N,Y,360488,2018
N,Y,N,Y,360490,2018
N,Y,N,Y,360492,2018
N,Y,Y,Y,360494,2018
N,Y,N,Y,360498,2018
N,Y,N,Y,360499,2018
N,Y,N,Y,360500,2018
N,Y,N,Y,360504,2018
N,Y,N,Y,360510,2018
N,Y,N,Y,360514,2018
N,Y,N,Y,360520,2018
N,Y,N,Y,360526,2018
N,Y,N,Y,360550,2018
Y,Y,Y,Y,36B000,2018
N,Y,Y,Y,36C000,2018
N,Y,N,N,370304,2018
N,Y,N,Y,370308,2018
Y,Y,Y,Y,370312,2018
Y,N,N,N,370316,2018
N,Y,N,N,370324,2018
N,Y,N,Y,380306,2018
N,Y,N,Y,380308,2018
N,Y,N,N,380310,2018
N,Y,N,N,390309,2018
N,N,N,Y,390312,2018
N,Y,N,Y,390314,2018
N,Y,N,Y,390316,2018
N,Y,N,N,390320,2018
Y,Y,N,Y,390322,2018
N,Y,N,N,390323,2018
N,Y,N,Y,390324,2018
N,Y,N,N,390331,2018
N,Y,N,N,390333,2018
N,Y,N,N,390334,2018
N,N,N,Y,390336,2018
N,Y,N,Y,390352,2018
N,Y,N,N,390360,2018
N,Y,N,N,390362,2018
N,Y,N,N,390364,2018
Y,Y,Y,Y,39A000,2018
N,Y,Y,Y,39B000,2018
N,Y,Y,Y,400308,2018
N,Y,N,Y,400312,2018
N,Y,N,Y,400315,2018
N,Y,N,Y,400318,2018
N,Y,N,Y,400321,2018
N,Y,N,Y,400332,2018
N,Y,N,Y,410304,2018
N,Y,N,Y,410307,2018
N,Y,N,Y,410310,2018
N,Y,N,N,410311,2018
N,Y,N,Y,410313,2018
N,Y,N,Y,410316,2018
N,Y,Y,Y,410319,2018
N,Y,N,Y,410322,2018
N,Y,N,Y,410325,2018
N,Y,N,Y,410326,2018
N,Y,N,Y,410328,2018
N,Y,N,Y,410331,2018
N,Y,N,Y,410334,2018
N,Y,N,Y,410337,2018
N,Y,N,Y,410340,2018
N,N,N,Y,410341,2018
N,Y,N,Y,410343,2018
N,Y,N,Y,410346,2018
N,Y,N,Y,410349,2018
Y,Y,Y,Y,410355,2018
Y,Y,Y,Y,410358,2018
N,Y,N,Y,410361,2018
N,Y,N,Y,410364,2018
N,Y,N,Y,410366,2018
N,Y,Y,Y,410367,2018
N,Y,N,Y,410370,2018
N,Y,N,Y,410373,2018
N,Y,N,Y,410376,2018
N,Y,N,Y,410379,2018
N,Y,N,Y,410382,2018
N,Y,N,Y,410385,2018
N,Y,N,Y,410388,2018
Y,N,Y,Y,410390,2018
Y,Y,Y,Y,410391,2018
N,Y,Y,Y,410394,2018
N,Y,Y,Y,410395,2018
N,Y,N,Y,410397,2018
N,N,N,Y,410398,2018
N,Y,N,Y,410400,2018
N,Y,Y,Y,410402,2018
N,Y,N,Y,410403,2018
N,Y,Y,Y,410406,2018
N,Y,N,Y,410409,2018
N,Y,N,Y,410412,2018
N,Y,N,Y,410415,2018
N,Y,N,Y,410418,2018
N,Y,N,Y,410421,2018
N,Y,N,Y,410423,2018
N,Y,N,Y,410424,2018
N,Y,N,Y,410427,2018
N,Y,N,Y,410430,2018
N,Y,N,Y,410436,2018
N,Y,N,Y,410437,2018
N,Y,N,Y,410439,2018
Y,Y,Y,Y,410442,2018
Y,Y,Y,Y,410448,2018
N,Y,N,Y,410451,2018
N,Y,N,Y,410454,2018
N,Y,N,Y,410457,2018
N,Y,N,Y,410458,2018
Y,Y,Y,Y,410460,2018
N,Y,N,Y,410461,2018
N,Y,N,Y,410462,2018
N,Y,N,Y,410463,2018
N,Y,N,Y,410464,2018
N,Y,N,Y,410466,2018
N,Y,N,Y,410469,2018
Y,Y,Y,Y,410472,2018
N,Y,N,Y,410478,2018
N,Y,N,Y,410481,2018
N,Y,Y,Y,410483,2018
N,Y,N,Y,410484,2018
N,Y,N,Y,410486,2018
N,Y,N,Y,410487,2018
N,Y,N,Y,410488,2018
Y,Y,Y,Y,410489,2018
N,Y,Y,Y,410490,2018
N,Y,N,Y,410491,2018
N,Y,N,Y,410493,2018
N,Y,N,Y,410496,2018
N,Y,N,Y,410499,2018
N,Y,N,Y,410502,2018
N,Y,N,Y,410505,2018
N,Y,Y,Y,410508,2018
Y,Y,Y,Y,410511,2018
N,Y,N,Y,410514,2018
Y,Y,N,Y,410517,2018
N,Y,N,Y,410522,2018
N,Y,N,Y,410523,2018
Y,Y,Y,Y,410529,2018
N,Y,N,Y,410530,2018
N,Y,N,Y,410532,2018
N,N,N,Y,410533,2018
Y,N,Y,Y,410534,2018
N,Y,N,Y,410535,2018
N,Y,N,Y,410538,2018
N,Y,N,Y,410541,2018
N,Y,N,Y,410542,2018
Y,Y,N,Y,410544,2018
N,Y,Y,Y,410547,2018
N,Y,N,Y,410550,2018
N,Y,N,Y,410553,2018
N,Y,Y,Y,410556,2018
N,Y,N,Y,410559,2018
Y,Y,Y,Y,410562,2018
N,Y,Y,Y,410565,2018
N,Y,N,Y,410568,2018
N,Y,Y,Y,410569,2018
N,Y,N,Y,410571,2018
N,Y,N,Y,410574,2018
N,Y,N,Y,410577,2018
N,Y,N,Y,410578,2018
Y,Y,N,Y,410579,2018
N,Y,N,Y,410580,2018
N,Y,N,Y,410583,2018
N,Y,N,Y,410586,2018
Y,Y,Y,Y,410589,2018
N,Y,N,N,410592,2018
N,Y,Y,Y,410595,2018
N,Y,N,Y,410598,2018
N,Y,N,Y,41B000,2018
N,N,N,Y,41C000,2018
N,Y,N,Y,41D000,2018
N,Y,N,Y,41F000,2018
N,Y,Y,Y,41G000,2018
Y,Y,N,Y,41H000,2018
N,Y,N,Y,41J000,2018
N,Y,Y,Y,41K000,2018
N,Y,N,Y,41L000,2018
N,Y,N,Y,420324,2018
N,Y,N,N,420340,2018
N,Y,N,Y,420346,2018
N,Y,N,N,420358,2018
N,Y,N,N,420376,2018
N,Y,N,Y,421304,2018
N,Y,N,Y,421306,2018
N,Y,Y,Y,421316,2018
N,Y,N,Y,421328,2018
N,Y,N,Y,422310,2018
N,N,N,Y,422314,2018
N,Y,N,Y,422315,2018
N,Y,N,Y,422318,2018
N,Y,N,N,42A000,2018
N,Y,N,Y,430304,2018
N,Y,N,Y,430308,2018
N,Y,N,Y,430312,2018
N,Y,N,Y,430316,2018
N,Y,N,Y,430320,2018
N,Y,N,Y,430328,2018
N,Y,N,Y,430330,2018
N,Y,N,Y,430332,2018
N,Y,N,Y,430336,2018
N,Y,N,Y,430340,2018
N,Y,N,Y,430344,2018
N,Y,Y,Y,430346,2018
N,Y,Y,Y,430347,2018
N,Y,N,Y,430348,2018
N,Y,N,Y,430349,2018
N,Y,Y,Y,430351,2018
N,Y,N,Y,430352,2018
N,Y,N,Y,430358,2018
N,Y,N,Y,430368,2018
N,Y,N,Y,430369,2018
N,Y,N,Y,430370,2018
N,Y,Y,Y,430371,2018
N,Y,N,Y,430376,2018
N,Y,Y,Y,430378,2018
N,Y,N,Y,430380,2018
N,Y,Y,Y,430384,2018
N,Y,N,Y,430386,2018
N,Y,N,Y,43C000,2018
N,Y,N,Y,440314,2018
N,Y,N,Y,440318,2018
N,Y,N,Y,440320,2018
N,N,N,Y,440326,2018
N,Y,N,Y,440328,2018
N,Y,N,Y,440332,2018
N,N,N,Y,440346,2018
N,Y,N,Y,440348,2018
N,Y,N,Y,440349,2018
N,Y,N,Y,440350,2018
N,Y,N,Y,440364,2018
N,Y,N,Y,440368,2018
N,Y,Y,Y,440378,2018
N,Y,N,Y,440390,2018
N,Y,N,Y,440396,2018
N,Y,N,Y,44A000,2018
Y,Y,N,Y,450301,2018
N,Y,N,N,450302,2018
N,Y,N,Y,450306,2018
N,Y,N,N,450307,2018
N,N,N,Y,450308,2018
Y,Y,Y,Y,450316,2018
N,Y,N,N,450322,2018
N,Y,N,N,450324,2018
N,Y,N,Y,450328,2018
N,Y,N,Y,450332,2018
N,Y,N,N,450333,2018
N,Y,Y,Y,450334,2018
N,Y,Y,Y,450335,2018
N,Y,N,Y,450336,2018
N,Y,N,Y,450339,2018
N,N,N,Y,450340,2018
Y,Y,Y,Y,450341,2018
N,Y,Y,Y,450342,2018
N,N,N,Y,450343,2018
N,Y,N,Y,450344,2018
N,Y,N,N,450346,2018
Y,Y,Y,Y,450352,2018
N,N,N,Y,460308,2018
N,Y,N,Y,460312,2018
N,Y,N,Y,460318,2018
N,Y,Y,Y,460320,2018
N,Y,N,Y,460322,2018
N,Y,N,Y,460332,2018
N,Y,N,Y,470310,2018
Y,Y,Y,Y,470312,2018
N,Y,N,Y,470316,2018
Y,Y,N,Y,470320,2018
N,Y,N,Y,470328,2018
N,Y,N,Y,470330,2018
Y,Y,N,Y,470332,2018
N,Y,N,Y,470336,2018
N,Y,N,Y,470340,2018
N,Y,N,Y,470346,2018
N,Y,N,Y,470441,2018
Y,Y,N,Y,470442,2018
N,Y,Y,Y,470443,2018
N,N,N,Y,480306,2018
N,Y,N,Y,480316,2018
N,Y,N,Y,480318,2018
N,Y,N,N,490307,2018
N,Y,N,Y,490308,2018
N,Y,N,Y,490310,2018
N,Y,N,Y,490312,2018
N,Y,N,Y,490316,2018
N,Y,N,Y,490318,2018
N,Y,N,Y,490319,2018
N,Y,N,Y,490324,2018
N,Y,N,Y,490326,2018
N,Y,N,Y,490327,2018
N,Y,N,Y,490332,2018
N,Y,Y,Y,490335,2018
N,Y,N,Y,490336,2018
N,Y,N,Y,490337,2018
N,Y,N,Y,490338,2018
N,Y,Y,Y,490344,2018
N,Y,N,Y,490345,2018
N,Y,Y,Y,490346,2018
N,Y,Y,Y,490347,2018
N,Y,N,Y,490348,2018
N,Y,N,Y,490349,2018
Y,Y,N,Y,490350,2018
N,Y,N,Y,490352,2018
Y,Y,Y,Y,490354,2018
Y,Y,Y,Y,490355,2018
N,Y,N,Y,490356,2018
N,Y,N,Y,490360,2018
Y,Y,Y,Y,490362,2018
N,Y,N,Y,490363,2018
N,Y,N,Y,490364,2018
N,Y,N,N,490366,2018
N,Y,N,Y,490368,2018
N,Y,Y,Y,490380,2018
N,Y,N,Y,490384,2018
N,Y,N,Y,490390,2018
N,Y,N,Y,491303,2018
N,Y,N,Y,491306,2018
N,Y,Y,Y,491308,2018
Y,Y,Y,Y,491312,2018
N,Y,N,Y,491316,2018
N,Y,N,Y,491318,2018
N,Y,N,Y,491320,2018
N,Y,N,Y,49B000,2018
N,Y,Y,Y,49E000,2018
N,Y,N,Y,49F000,2018
N,Y,N,Y,49G000,2018
N,Y,N,Y,500302,2018
N,Y,N,Y,500304,2018
N,Y,N,Y,500314,2018
N,Y,N,Y,500316,2018
N,Y,N,Y,500323,2018
N,N,N,Y,500324,2018
N,Y,Y,Y,500332,2018
N,Y,N,Y,500337,2018
N,Y,Y,Y,500340,2018
N,Y,N,Y,50A000,2018
N,Y,N,Y,510308,2018
N,Y,N,Y,510310,2018
N,Y,Y,Y,510324,2018
N,Y,N,Y,510326,2018
N,Y,Y,Y,510327,2018
N,Y,N,Y,510328,2018
N,Y,N,Y,510329,2018
N,Y,N,Y,510330,2018
N,Y,N,Y,510332,2018
N,Y,Y,Y,510333,2018
N,Y,N,Y,510334,2018
N,Y,N,Y,510336,2018
N,Y,N,Y,510340,2018
N,Y,N,Y,510342,2018
N,Y,N,Y,510343,2018
N,Y,N,Y,510344,2018
N,Y,N,Y,510356,2018
N,Y,N,Y,510358,2018
N,Y,N,Y,510359,2018
N,Y,N,Y,510360,2018
N,Y,N,Y,510364,2018
N,Y,N,Y,510368,2018
N,Y,N,Y,510372,2018
N,Y,N,Y,510373,2018
N,Y,N,Y,510374,2018
N,Y,N,Y,510376,2018
N,Y,N,Y,510377,2018
N,Y,N,Y,510378,2018
N,Y,N,Y,510379,2018
N,Y,N,Y,510388,2018
N,Y,N,Y,510390,2018
N,Y,N,Y,510396,2018
N,Y,N,Y,510397,2018
Y,Y,N,Y,510399,2018
N,Y,Y,Y,510402,2018
N,Y,N,Y,510404,2018
Y,Y,Y,Y,510406,2018
N,Y,N,Y,510408,2018
N,Y,N,Y,510410,2018
N,Y,N,Y,510411,2018
N,Y,N,Y,510412,2018
N,Y,N,Y,510414,2018
N,Y,Y,Y,51A000,2018
N,Y,N,Y,520304,2018
N,Y,N,Y,520308,2018
N,Y,N,Y,520320,2018
N,Y,N,Y,520324,2018
N,Y,N,Y,520328,2018
N,Y,N,Y,520336,2018
Y,Y,N,Y,530302,2018
N,N,N,Y,530306,2018
N,Y,N,Y,530308,2018
N,Y,N,Y,530312,2018
N,Y,N,Y,530314,2018
N,Y,N,N,530316,2018
N,Y,N,Y,530320,2018
N,Y,N,Y,530335,2018
N,Y,Y,Y,530336,2018
N,Y,N,Y,530340,2018
N,Y,N,Y,530341,2018
N,Y,Y,Y,530343,2018
N,Y,N,Y,530346,2018
N,Y,N,Y,530354,2018
N,Y,N,Y,530356,2018
N,Y,N,Y,540304,2018
N,Y,N,Y,540308,2018
N,Y,N,Y,540312,2018
N,Y,Y,Y,540315,2018
N,Y,N,Y,540316,2018
N,Y,N,Y,540317,2018
N,N,N,Y,540318,2018
N,Y,N,N,540320,2018
N,Y,N,Y,540324,2018
N,Y,N,Y,540325,2018
N,Y,N,N,540326,2018
N,Y,N,N,540328,2018
N,Y,Y,N,540330,2018
N,Y,N,Y,540336,2018
N,Y,N,N,540338,2018
N,Y,N,N,540340,2018
N,Y,N,Y,540344,2018
N,N,N,Y,54A000,2018
N,N,N,Y,550308,2018
N,Y,N,Y,550312,2018
N,Y,N,Y,550314,2018
N,Y,N,Y,550316,2018
N,Y,Y,Y,550320,2018
N,Y,N,Y,550322,2018
N,Y,N,Y,550324,2018
N,Y,N,Y,550328,2018
N,Y,Y,Y,550332,2018
N,Y,N,Y,550334,2018
N,Y,N,Y,550336,2018
N,Y,N,Y,550340,2018
N,Y,N,Y,550342,2018
N,Y,N,Y,550344,2018
N,Y,N,Y,550348,2018
N,Y,N,Y,550349,2018
N,Y,N,Y,550350,2018
N,Y,N,Y,550356,2018
N,Y,N,Y,550360,2018
N,Y,N,Y,550362,2018
N,Y,N,Y,550364,2018
N,Y,Y,Y,550368,2018
N,Y,N,Y,550372,2018
N,Y,Y,Y,55A000,2018
N,Y,N,Y,560304,2018
N,Y,N,Y,560316,2018
N,Y,Y,Y,560320,2018
N,Y,N,Y,560324,2018
N,Y,N,Y,560328,2018
N,N,N,Y,560329,2018
N,Y,N,N,560330,2018
N,Y,N,Y,560331,2018
N,Y,N,Y,560332,2018
N,Y,N,Y,560338,2018
N,Y,N,Y,570306,2018
N,Y,N,Y,570312,2018
N,Y,N,Y,570317,2018
N,Y,Y,Y,570318,2018
Y,Y,Y,Y,570319,2018
N,Y,N,Y,570320,2018
N,Y,N,Y,580308,2018
N,Y,N,Y,580312,2018
N,Y,N,Y,580316,2018
N,Y,N,Y,580320,2018
N,Y,N,Y,580324,2018
N,Y,N,Y,580344,2018
N,Y,N,Y,580350,2018
N,Y,N,Y,580356,2018
N,Y,N,Y,580368,2018
N,Y,N,Y,580372,2018
N,Y,N,Y,58B000,2018
N,Y,N,Y,590306,2018
N,Y,Y,Y,590310,2018
N,Y,N,Y,590316,2018
N,Y,N,Y,590320,2018
N,Y,N,Y,590328,2018
Y,Y,Y,Y,590330,2018
N,Y,N,Y,590332,2018
N,Y,N,Y,590336,2018
N,Y,N,Y,590340,2018
N,Y,N,Y,590344,2018
N,Y,N,Y,590352,2018
N,Y,Y,Y,590356,2018
N,Y,N,Y,600300,2018
Y,Y,N,Y,600301,2018
N,Y,Y,Y,600302,2018
Y,Y,N,Y,600305,2018
N,Y,N,Y,600308,2018
Y,Y,N,Y,600311,2018
Y,Y,Y,Y,600312,2018
Y,Y,Y,Y,600313,2018
N,Y,N,Y,600314,2018
N,Y,N,Y,600316,2018
N,Y,N,Y,600317,2018
N,Y,N,Y,600318,2018
N,Y,N,Y,600319,2018
N,Y,N,Y,600322,2018
N,Y,N,Y,600328,2018
N,Y,N,Y,600329,2018
N,Y,Y,Y,600333,2018
N,N,N,Y,600334,2018
N,Y,N,Y,600335,2018
N,Y,N,Y,600336,2018
N,Y,N,Y,600338,2018
Y,Y,N,Y,600341,2018
N,Y,N,Y,600344,2018
Y,Y,Y,Y,600345,2018
N,Y,N,Y,600346,2018
N,Y,N,Y,600349,2018
N,Y,Y,N,600351,2018
N,Y,N,Y,600352,2018
N,Y,Y,Y,600353,2018
N,Y,N,Y,600357,2018
N,Y,Y,Y,600361,2018
N,Y,N,Y,600362,2018
N,Y,N,Y,600364,2018
N,Y,N,Y,600365,2018
N,Y,Y,Y,600366,2018
N,Y,N,Y,600367,2018
Y,Y,Y,Y,600368,2018
Y,Y,N,Y,600369,2018
N,Y,N,Y,600374,2018
N,Y,Y,Y,600377,2018
N,Y,N,Y,600379,2018
N,Y,Y,Y,600381,2018
N,Y,N,Y,600382,2018
N,Y,N,Y,600383,2018
N,Y,N,Y,600384,2018
N,Y,N,Y,600385,2018
N,N,Y,N,600386,2018
N,Y,N,Y,600392,2018
Y,Y,N,Y,600394,2018
Y,Y,Y,Y,600397,2018
N,Y,N,Y,600398,2018
N,Y,Y,Y,600399,2018
N,Y,N,Y,600405,2018
N,Y,N,Y,600406,2018
N,Y,N,Y,600408,2018
N,Y,N,Y,600409,2018
N,Y,N,Y,600410,2018
N,Y,N,Y,600411,2018
N,Y,N,Y,600412,2018
N,Y,N,Y,600413,2018
N,Y,N,Y,600414,2018
N,Y,Y,Y,600415,2018
N,Y,N,Y,600416,2018
N,Y,N,Y,600418,2018
N,Y,N,Y,600420,2018
N,Y,N,Y,600422,2018
N,Y,N,Y,600424,2018
N,Y,Y,Y,600426,2018
N,Y,Y,Y,600428,2018
N,Y,N,Y,600429,2018
Y,Y,Y,Y,600431,2018
N,Y,N,Y,600432,2018
N,Y,N,Y,600433,2018
N,Y,N,Y,600434,2018
N,Y,N,Y,600435,2018
N,Y,N,Y,600436,2018
N,Y,N,Y,600437,2018
N,Y,N,Y,600438,2018
N,Y,N,Y,600440,2018
N,Y,N,Y,600442,2018
N,Y,N,Y,600444,2018
Y,Y,Y,Y,600445,2018
N,Y,N,Y,600446,2018
N,Y,N,Y,600447,2018
N,Y,N,Y,600448,2018
N,Y,N,Y,600449,2018
Y,Y,Y,Y,600450,2018
N,Y,N,Y,600451,2018
N,Y,N,Y,600453,2018
N,Y,N,Y,600454,2018
Y,Y,Y,Y,600455,2018
N,Y,Y,Y,600457,2018
N,Y,N,Y,600459,2018
N,Y,N,Y,600461,2018
Y,Y,N,Y,600462,2018
N,Y,N,Y,600463,2018
N,Y,N,Y,600464,2018
Y,Y,Y,Y,600466,2018
N,Y,N,Y,600468,2018
N,Y,N,Y,600471,2018
N,Y,N,Y,600474,2018
N,Y,N,Y,600475,2018
N,Y,N,Y,600478,2018
N,Y,Y,Y,600479,2018
N,Y,Y,Y,600480,2018
N,Y,N,N,600481,2018
Y,Y,Y,Y,600482,2018
N,Y,N,Y,600484,2018
N,Y,N,Y,600485,2018
N,Y,N,Y,600488,2018
N,Y,N,Y,600489,2018
N,Y,N,Y,600491,2018
N,Y,N,Y,600492,2018
N,Y,N,Y,600493,2018
N,Y,N,Y,600494,2018
N,Y,N,Y,600496,2018
N,Y,Y,Y,600497,2018
N,N,N,Y,600498,2018
N,Y,N,Y,600499,2018
N,Y,N,Y,600500,2018
N,Y,N,Y,600501,2018
N,Y,N,Y,600503,2018
N,Y,N,Y,600507,2018
N,Y,Y,Y,600508,2018
Y,Y,N,Y,600509,2018
N,Y,N,Y,600512,2018
Y,Y,N,Y,600513,2018
Y,Y,Y,N,600514,2018
N,Y,N,Y,600515,2018
Y,Y,N,Y,600516,2018
Y,Y,Y,Y,600517,2018
Y,Y,Y,Y,600518,2018
N,Y,N,Y,600519,2018
Y,Y,N,Y,600520,2018
N,Y,N,Y,600521,2018
N,Y,N,Y,600522,2018
N,Y,N,Y,600527,2018
N,Y,N,Y,600530,2018
Y,Y,Y,Y,600532,2018
N,Y,N,Y,600534,2018
N,Y,Y,Y,600535,2018
Y,Y,Y,Y,600537,2018
Y,Y,Y,Y,600538,2018
N,Y,N,Y,600545,2018
N,Y,N,Y,600546,2018
N,Y,N,Y,600549,2018
N,Y,N,Y,600550,2018
N,Y,N,Y,600553,2018
N,Y,N,Y,600557,2018
N,Y,N,Y,600558,2018
N,Y,N,Y,600562,2018
Y,Y,Y,Y,600565,2018
N,Y,N,Y,600566,2018
N,N,Y,N,600567,2018
N,Y,N,Y,600571,2018
N,Y,N,Y,600574,2018
N,Y,N,Y,600576,2018
Y,Y,Y,Y,600577,2018
N,Y,N,Y,600579,2018
N,Y,Y,Y,600582,2018
N,Y,N,Y,600586,2018
N,Y,N,Y,600587,2018
N,Y,N,Y,600588,2018
N,Y,N,Y,600589,2018
N,Y,N,Y,600590,2018
N,Y,Y,Y,600592,2018
Y,Y,Y,Y,600693,2018
N,N,N,Y,600694,2018
N,Y,N,Y,600697,2018
N,Y,N,Y,60B000,2018
Y,Y,Y,Y,60D000,2018
N,Y,N,Y,60F000,2018
Y,Y,Y,Y,60G000,2018
Y,Y,Y,Y,60I000,2018
N,Y,Y,Y,60J000,2018
N,Y,N,Y,60K000,2018
Y,Y,Y,Y,60L000,2018
Y,Y,Y,Y,60M000,2018
N,N,N,Y,60N000,2018
N,Y,N,N,60P000,2018
N,Y,N,Y,60Q000,2018
N,Y,N,Y,60S000,2018
Y,Y,N,Y,60V000,2018
N,Y,N,Y,60Y000,2018
N,Y,N,Y,610302,2018
N,Y,N,Y,610310,2018
N,Y,N,Y,610320,2018
N,Y,N,Y,610322,2018
N,Y,N,Y,610326,2018
N,Y,N,Y,610332,2018
N,Y,N,Y,610334,2018
N,Y,N,N,61J000,2018
N,Y,N,N,61K000,2018
N,Y,Y,Y,61M000,2018
N,Y,N,Y,61N000,2018
N,Y,N,Y,61Q000,2018
N,Y,N,Y,61R000,2018
N,Y,N,Y,61S000,2018
N,Y,N,N,61T000,2018
N,N,Y,Y,620310,2018
N,Y,N,Y,620312,2018
N,Y,N,Y,620314,2018
Y,Y,Y,Y,620316,2018
N,Y,N,Y,620318,2018
N,N,N,Y,620324,2018
N,N,N,Y,620330,2018
N,Y,N,Y,620334,2018
N,N,N,Y,620336,2018
N,Y,N,Y,620339,2018
Y,Y,Y,Y,620340,2018
N,Y,N,N,620350,2018
N,Y,N,Y,630304,2018
N,Y,N,Y,630308,2018
N,Y,N,Y,630312,2018
N,Y,N,Y,630316,2018
N,Y,N,Y,630317,2018
N,Y,N,Y,630320,2018
N,Y,N,Y,630324,2018
N,Y,N,Y,630328,2018
N,Y,N,Y,630331,2018
N,Y,Y,Y,630332,2018
N,Y,Y,Y,630336,2018
N,Y,N,Y,630342,2018
N,Y,N,Y,630348,2018
N,Y,N,Y,630350,2018
N,Y,N,Y,630352,2018
N,Y,N,Y,630356,2018
N,Y,Y,Y,630360,2018
N,Y,N,Y,630364,2018
N,Y,N,Y,630368,2018
N,Y,N,Y,630373,2018
N,Y,N,Y,630374,2018
N,Y,N,Y,630376,2018
N,N,N,Y,63A000,2018
Y,Y,Y,Y,63B000,2018
N,Y,N,Y,640302,2018
N,Y,N,Y,640304,2018
N,Y,N,Y,640306,2018
N,Y,N,Y,640308,2018
N,Y,N,Y,640316,2018
N,Y,N,Y,640320,2018
N,Y,N,Y,640324,2018
N,Y,N,Y,640326,2018
N,Y,N,Y,640328,2018
N,Y,N,Y,640329,2018
N,Y,N,Y,640332,2018
N,Y,N,Y,640334,2018
N,Y,N,Y,640335,2018
N,Y,N,Y,640336,2018
N,N,N,Y,640340,2018
Y,Y,Y,Y,640346,2018
N,Y,N,Y,640348,2018
N,Y,Y,Y,640350,2018
N,Y,N,Y,640358,2018
N,Y,N,Y,640360,2018
N,Y,Y,Y,640361,2018
N,Y,N,Y,640362,2018
N,Y,Y,Y,640364,2018
N,Y,N,Y,640376,2018
N,Y,N,Y,640384,2018
N,Y,N,Y,640396,2018
N,Y,N,Y,640400,2018
N,Y,N,Y,64A000,2018
N,Y,N,Y,650304,2018
N,Y,N,Y,650308,2018
N,Y,N,Y,650309,2018
N,Y,Y,Y,650310,2018
N,Y,N,Y,650312,2018
N,Y,N,Y,650316,2018
N,Y,N,Y,650323,2018
N,Y,N,Y,650324,2018
N,Y,Y,Y,650325,2018
Y,Y,Y,Y,650326,2018
N,Y,Y,Y,650327,2018
N,Y,N,Y,650328,2018
N,Y,N,Y,650332,2018
N,Y,N,Y,650338,2018
N,Y,N,Y,650339,2018
Y,Y,Y,Y,650340,2018
N,Y,N,Y,650341,2018
Y,Y,Y,Y,650342,2018
N,Y,N,Y,650343,2018
N,Y,N,Y,650346,2018
N,Y,N,Y,650348,2018
N,Y,Y,Y,650350,2018
N,Y,Y,Y,650351,2018
N,Y,Y,Y,650352,2018
N,Y,N,Y,650353,2018
N,N,N,Y,650354,2018
N,Y,N,Y,650355,2018
N,Y,N,Y,650356,2018
N,Y,N,Y,650362,2018
N,Y,Y,Y,650364,2018
N,Y,N,Y,650366,2018
N,Y,N,Y,650368,2018
N,Y,N,Y,650380,2018
Y,Y,N,Y,650384,2018
N,Y,N,Y,650392,2018
N,Y,Y,Y,650394,2018
N,Y,N,Y,650400,2018
N,Y,N,Y,650404,2018
N,Y,N,Y,650408,2018
N,Y,N,Y,650409,2018
N,Y,N,Y,650420,2018
N,Y,N,Y,65A000,2018
N,N,N,Y,65B000,2018
N,N,N,Y,65D000,2018
N,Y,N,Y,65F000,2018
Y,Y,Y,Y,65G000,2018
N,Y,N,Y,660306,2018
N,Y,N,N,660308,2018
N,Y,N,Y,660320,2018
N,Y,N,N,660325,2018
N,Y,Y,Y,660336,2018
N,Y,N,Y,660360,2018
N,Y,N,Y,660400,2018
N,Y,Y,Y,66A000,2018
N,N,N,Y,670300,2018
N,Y,N,Y,670304,2018
N,Y,N,Y,670308,2018
N,Y,N,Y,670310,2018
N,Y,N,Y,670312,2018
N,Y,N,Y,670314,2018
N,Y,N,Y,670318,2018
N,Y,N,Y,670320,2018
N,Y,N,Y,670321,2018
N,Y,N,Y,670322,2018
N,Y,N,Y,670323,2018
N,Y,N,Y,670324,2018
N,Y,N,Y,670325,2018
Y,Y,N,Y,670329,2018
N,Y,N,Y,670330,2018
N,Y,N,Y,670331,2018
N,Y,N,Y,670332,2018
Y,Y,N,Y,670333,2018
N,Y,N,Y,670335,2018
N,Y,N,Y,670336,2018
N,Y,N,Y,670337,2018
N,Y,N,Y,670338,2018
N,Y,N,Y,670339,2018
Y,Y,N,Y,670340,2018
N,Y,N,Y,670341,2018
N,Y,N,Y,670342,2018
N,Y,N,Y,670343,2018
N,Y,N,Y,670344,2018
N,Y,N,Y,670345,2018
N,Y,N,Y,670346,2018
N,Y,N,Y,670347,2018
N,Y,N,Y,670350,2018
N,Y,N,Y,670351,2018
N,Y,Y,Y,670352,2018
N,Y,N,Y,670356,2018
N,Y,N,Y,670364,2018
N,Y,N,Y,67B000,2018
N,Y,N,Y,680304,2018
N,Y,N,Y,680308,2018
N,Y,Y,Y,680310,2018
