year,agency_code,status,subgroup,count,pct_enrolled
2011,010396,ENROLL,ALL,167,78.03
2011,010396,ENROLL,BL7,56,80
2011,010396,ENROLL,EDS,47,61.84
2011,010396,ENROLL,FEM,96,82.75
2011,010396,ENROLL,HI7,10,37.03
2011,010396,ENROLL,ELS,,33.33
2011,010396,ENROLL,MALE,71,72.44
2011,010396,ENROLL,MU7,,95
2011,010396,ENROLL,PI7,,
2011,010396,ENROLL,SWD,5,33.33
2011,010396,ENROLL,WH7,90,85.71
2011,010396,NOENROLL,AM7,,
2011,010396,NOENROLL,AS7,,87.5
2011,010396,NOENROLL,ALL,47,78.03
2011,010396,NOENROLL,BL7,14,80
2011,010396,NOENROLL,EDS,29,61.84
2011,010396,NOENROLL,FEM,20,82.75
2011,010396,NOENROLL,HI7,17,37.03
2011,010396,NOENROLL,ELS,,33.33
2011,010396,NOENROLL,MALE,27,72.44
2011,010396,NOENROLL,MU7,,95
2011,010396,NOENROLL,PI7,,
2011,010396,NOENROLL,SWD,10,33.33
2011,010396,NOENROLL,WH7,15,85.71
2011,010400,ENROLL,AM7,,
2011,010400,ENROLL,AS7,,95
2011,010400,ENROLL,ALL,183,67.77
2011,010400,ENROLL,BL7,23,74.19
2011,010400,ENROLL,EDS,31,60.78
2011,010400,ENROLL,FEM,86,72.26
2011,010400,ENROLL,HI7,8,66.66
2011,010400,ENROLL,ELS,,95
2011,010400,ENROLL,MALE,97,64.23
2011,010400,ENROLL,MU7,,50
2011,010400,ENROLL,PI7,,
2011,010400,ENROLL,SWD,7,28
2011,010400,ENROLL,WH7,147,67.74
2011,010400,NOENROLL,AM7,,
2011,010400,NOENROLL,AS7,,95
2011,010400,NOENROLL,ALL,87,67.77
2011,010400,NOENROLL,BL7,8,74.19
2011,010400,NOENROLL,EDS,20,60.78
2011,010400,NOENROLL,FEM,33,72.26
2011,010400,NOENROLL,HI7,,66.66
2011,010400,NOENROLL,ELS,,95
2011,010400,NOENROLL,MALE,54,64.23
2011,010400,NOENROLL,MU7,,50
2011,010400,NOENROLL,PI7,,
2011,010400,NOENROLL,SWD,18,28
2011,010400,NOENROLL,WH7,70,67.74
2011,010LEA,ENROLL,AM7,5,71.42
2011,010LEA,ENROLL,AS7,13,72.22
2011,010LEA,ENROLL,ALL,899,66.05
2011,010LEA,ENROLL,BL7,232,68.63
2011,010LEA,ENROLL,EDS,240,53.69
2011,010LEA,ENROLL,FEM,462,69.05
2011,010LEA,ENROLL,HI7,73,40.55
2011,010LEA,ENROLL,ELS,13,25.49
2011,010LEA,ENROLL,MALE,437,63.15
2011,010LEA,ENROLL,MU7,12,66.66
2011,010LEA,ENROLL,PI7,,
2011,010LEA,ENROLL,SWD,45,32.37
2011,010LEA,ENROLL,WH7,564,70.58
2011,010LEA,NOENROLL,AM7,,71.42
2011,010LEA,NOENROLL,AS7,5,72.22
2011,010LEA,NOENROLL,ALL,462,66.05
2011,010LEA,NOENROLL,BL7,106,68.63
2011,010LEA,NOENROLL,EDS,207,53.69
2011,010LEA,NOENROLL,FEM,207,69.05
2011,010LEA,NOENROLL,HI7,107,40.55
2011,010LEA,NOENROLL,ELS,38,25.49
2011,010LEA,NOENROLL,MALE,255,63.15
2011,010LEA,NOENROLL,MU7,6,66.66
2011,010LEA,NOENROLL,PI7,,
2011,010LEA,NOENROLL,SWD,94,32.37
2011,010LEA,NOENROLL,WH7,235,70.58
2011,01B000,ENROLL,AM7,,95
2011,01B000,ENROLL,AS7,,95
2011,01B000,ENROLL,ALL,31,83.78
2011,01B000,ENROLL,BL7,7,95
2011,01B000,ENROLL,EDS,8,95
2011,01B000,ENROLL,FEM,17,89.47
2011,01B000,ENROLL,HI7,,95
2011,01B000,ENROLL,ELS,,
2011,01B000,ENROLL,MALE,14,77.77
2011,01B000,ENROLL,MU7,,
2011,01B000,ENROLL,PI7,,
2011,01B000,ENROLL,SWD,,60
2011,01B000,ENROLL,WH7,21,77.77
2011,01B000,NOENROLL,AM7,,95
2011,01B000,NOENROLL,AS7,,95
2011,01B000,NOENROLL,ALL,6,83.78
2011,01B000,NOENROLL,BL7,,95
2011,01B000,NOENROLL,EDS,,95
2011,01B000,NOENROLL,FEM,,89.47
2011,01B000,NOENROLL,HI7,,95
2011,01B000,NOENROLL,ELS,,
2011,01B000,NOENROLL,MALE,,77.77
2011,01B000,NOENROLL,MU7,,
2011,01B000,NOENROLL,PI7,,
2011,01B000,NOENROLL,SWD,,60
2011,01B000,NOENROLL,WH7,6,77.77
2011,01C000,ENROLL,AM7,,
2011,01C000,ENROLL,AS7,,
2011,01C000,ENROLL,ALL,11,68.75
2011,01C000,ENROLL,BL7,,95
2011,01C000,ENROLL,EDS,,50
2011,01C000,ENROLL,FEM,7,87.5
2011,01C000,ENROLL,HI7,,
2011,01C000,ENROLL,ELS,,
2011,01C000,ENROLL,MALE,,50
2011,01C000,ENROLL,MU7,,
2011,01C000,ENROLL,PI7,,
2011,01C000,ENROLL,SWD,,95
2011,01C000,ENROLL,WH7,9,69.23
2011,01C000,NOENROLL,AM7,,
2011,01C000,NOENROLL,AS7,,
2011,01C000,NOENROLL,ALL,5,68.75
2011,01C000,NOENROLL,BL7,,95
2011,01C000,NOENROLL,EDS,,50
2011,01C000,NOENROLL,FEM,,87.5
2011,01C000,NOENROLL,HI7,,
2011,01C000,NOENROLL,ELS,,
2011,01C000,NOENROLL,MALE,,50
2011,01C000,NOENROLL,MU7,,
2011,01C000,NOENROLL,PI7,,
2011,01C000,NOENROLL,SWD,,95
2011,01C000,NOENROLL,WH7,,69.23
2011,01D000,ENROLL,AM7,,
2011,01D000,ENROLL,AS7,,
2011,01D000,ENROLL,ALL,10,76.92
2011,01D000,ENROLL,BL7,,
2011,01D000,ENROLL,EDS,,
2011,01D000,ENROLL,FEM,6,85.71
2011,01D000,ENROLL,HI7,,
2011,01D000,ENROLL,ELS,,
2011,01D000,ENROLL,MALE,,66.66
2011,01D000,ENROLL,MU7,,
2011,01D000,ENROLL,PI7,,
2011,01D000,ENROLL,SWD,,75
2011,01D000,ENROLL,WH7,10,83.33
2011,01D000,NOENROLL,AM7,,
2011,01D000,NOENROLL,AS7,,
2011,01D000,NOENROLL,ALL,,76.92
2011,01D000,NOENROLL,BL7,,
2011,01D000,NOENROLL,EDS,,
2011,01D000,NOENROLL,FEM,,85.71
2011,01D000,NOENROLL,HI7,,
2011,01D000,NOENROLL,ELS,,
2011,01D000,NOENROLL,MALE,,66.66
2011,01D000,NOENROLL,MU7,,
2011,01D000,NOENROLL,PI7,,
2011,01D000,NOENROLL,SWD,,75
2011,01D000,NOENROLL,WH7,,83.33
2011,020302,ENROLL,AM7,,
2011,020302,ENROLL,AS7,9,75
2011,020302,ENROLL,ALL,203,57.02
2011,020302,ENROLL,BL7,11,57.89
2011,020302,ENROLL,EDS,68,49.27
2011,020302,ENROLL,FEM,110,67.9
2011,020302,ENROLL,HI7,8,34.78
2011,020302,ENROLL,ELS,,16.66
2011,020302,ENROLL,MALE,93,47.93
2011,020302,ENROLL,MU7,,
2011,020302,ENROLL,PI7,,
2011,020302,ENROLL,SWD,8,20
2011,020302,ENROLL,WH7,175,57.94
2011,020302,NOENROLL,AM7,,
2011,020302,NOENROLL,AS7,,75
2011,020302,NOENROLL,ALL,153,57.02
2011,020302,NOENROLL,BL7,8,57.89
2011,020302,NOENROLL,EDS,70,49.27
2011,020302,NOENROLL,FEM,52,67.9
2011,020302,NOENROLL,HI7,15,34.78
2011,020302,NOENROLL,ELS,10,16.66
2011,020302,NOENROLL,MALE,101,47.93
2011,020302,NOENROLL,MU7,,
2011,020302,NOENROLL,PI7,,
2011,020302,NOENROLL,SWD,32,20
2011,020302,NOENROLL,WH7,127,57.94
2011,020LEA,ENROLL,AM7,,
2011,020LEA,ENROLL,AS7,9,75
2011,020LEA,ENROLL,ALL,203,57.02
2011,020LEA,ENROLL,BL7,11,57.89
2011,020LEA,ENROLL,EDS,68,49.27
2011,020LEA,ENROLL,FEM,110,67.9
2011,020LEA,ENROLL,HI7,8,34.78
2011,020LEA,ENROLL,ELS,,16.66
2011,020LEA,ENROLL,MALE,93,47.93
2011,020LEA,ENROLL,MU7,,
2011,020LEA,ENROLL,PI7,,
2011,020LEA,ENROLL,SWD,8,20
2011,020LEA,ENROLL,WH7,175,57.94
2011,020LEA,NOENROLL,AM7,,
2011,020LEA,NOENROLL,AS7,,75
2011,020LEA,NOENROLL,ALL,153,57.02
2011,020LEA,NOENROLL,BL7,8,57.89
2011,020LEA,NOENROLL,EDS,70,49.27
2011,020LEA,NOENROLL,FEM,52,67.9
2011,020LEA,NOENROLL,HI7,15,34.78
2011,020LEA,NOENROLL,ELS,10,16.66
2011,020LEA,NOENROLL,MALE,101,47.93
2011,020LEA,NOENROLL,MU7,,
2011,020LEA,NOENROLL,PI7,,
2011,020LEA,NOENROLL,SWD,32,20
2011,020LEA,NOENROLL,WH7,127,57.94
2011,030304,ENROLL,AM7,,
2011,030304,ENROLL,AS7,,
2011,030304,ENROLL,ALL,65,61.32
2011,030304,ENROLL,BL7,,50
2011,030304,ENROLL,EDS,31,51.66
2011,030304,ENROLL,FEM,32,68.08
2011,030304,ENROLL,HI7,8,57.14
2011,030304,ENROLL,ELS,,
2011,030304,ENROLL,MALE,33,55.93
2011,030304,ENROLL,MU7,,33.33
2011,030304,ENROLL,PI7,,
2011,030304,ENROLL,SWD,,22.22
2011,030304,ENROLL,WH7,55,63.95
2011,030304,NOENROLL,AM7,,
2011,030304,NOENROLL,AS7,,
2011,030304,NOENROLL,ALL,41,61.32
2011,030304,NOENROLL,BL7,,50
2011,030304,NOENROLL,EDS,29,51.66
2011,030304,NOENROLL,FEM,15,68.08
2011,030304,NOENROLL,HI7,6,57.14
2011,030304,NOENROLL,ELS,,
2011,030304,NOENROLL,MALE,26,55.93
