year,agency_code,category_code,esea_att
2013,130331,E,Met
2013,130332,H,Did Not Meet
2013,130333,H,Did Not Meet
2013,130335,E,Did Not Meet
2013,130336,E,Met
2013,130338,E,Met
2013,130340,E,Met
2013,130342,E,Met
2013,130344,E,Met
2013,130345,E,Met
2013,130346,M,Met
2013,130350,H,Did Not Meet
2013,130355,M,Met
2013,130LEA,,Met
2013,132304,H,Did Not Meet
2013,132308,E,Met
2013,132312,E,Met
2013,132328,E,Met
2013,132329,M,Met
2013,132330,M,Met
2013,132332,E,Met
2013,132336,E,Met
2013,132LEA,,Met
2013,13A000,A,Met
2013,140304,E,Met
2013,140305,H,Did Not Meet
2013,140306,T,Did Not Meet
2013,140307,E,Did Not Meet
2013,140308,I,Met
2013,140309,H,Did Not Meet
2013,140312,E,Met
2013,140316,E,Met
2013,140324,E,Met
2013,140332,M,Met
2013,140336,M,Met
2013,140340,E,Met
2013,140344,I,Met
2013,140348,H,Did Not Meet
2013,140352,E,Met
2013,140356,M,Met
2013,140360,I,Met
2013,140368,M,Met
2013,140372,E,Met
2013,140376,I,Met
2013,140384,E,Met
2013,140386,H,Did Not Meet
2013,140388,E,Met
2013,140390,H,Did Not Meet
2013,140392,E,Met
2013,140396,E,Met
2013,140LEA,,Met
2013,150304,H,Did Not Meet
2013,150308,E,Met
2013,150310,E,Met
2013,150312,M,Met
2013,150700,H,Did Not Meet
2013,150LEA,,Met
2013,160304,I,Met
2013,160306,E,Met
2013,160308,E,Met
2013,160310,M,Met
2013,160311,M,Met
2013,160313,T,Did Not Meet
2013,160314,H,Did Not Meet
2013,160316,I,Met
2013,160317,E,Met
2013,160318,M,Met
2013,160322,E,Met
2013,160324,E,Met
2013,160326,M,Met
2013,160332,I,Met
2013,160344,H,Did Not Meet
2013,160352,E,Met
2013,160LEA,,Met
2013,16A000,H,Did Not Meet
2013,16B000,E,Met
2013,170316,H,Did Not Meet
2013,170334,E,Met
2013,170338,M,Met
2013,170339,E,Met
2013,170342,E,Met
2013,170344,E,Met
2013,170LEA,,Met
2013,180302,M,Met
2013,180304,E,Met
2013,180308,H,Did Not Meet
2013,180312,E,Met
2013,180316,E,Met
2013,180320,H,Did Not Meet
2013,180323,T,Did Not Meet
2013,180324,E,Met
2013,180325,H,Did Not Meet
2013,180326,E,Met
2013,180332,E,Met
2013,180336,E,Met
2013,180340,H,Did Not Meet
2013,180342,M,Met
2013,180343,E,Met
2013,180344,E,Met
2013,180346,M,Met
2013,180348,H,Did Not Meet
2013,180352,M,Met
2013,180356,E,Met
2013,180360,E,Met
2013,180364,M,Met
2013,180368,E,Met
2013,180372,E,Met
2013,180376,H,Did Not Meet
2013,180379,E,Met
2013,180380,E,Met
2013,180388,E,Met
2013,180LEA,,Met
2013,181312,M,Met
2013,181316,M,Met
2013,181318,T,Did Not Meet
2013,181322,H,Did Not Meet
2013,181326,E,Met
2013,181332,E,Met
2013,181336,E,Met
2013,181342,E,Met
2013,181344,E,Met
2013,181LEA,,Met
2013,182304,A,Met
2013,182316,H,Did Not Meet
2013,182321,M,Met
2013,182322,E,Met
2013,182324,E,Met
2013,182328,E,Met
2013,182700,H,Did Not Meet
2013,182LEA,,Met
2013,190304,I,Met
2013,190308,I,Met
2013,190310,H,Did Not Meet
2013,190312,M,Met
2013,190316,H,Did Not Meet
2013,190328,M,Met
2013,190332,I,Met
2013,190336,H,Did Not Meet
2013,190339,M,Met
2013,190340,I,Met
2013,190341,E,Met
2013,190342,H,Did Not Meet
2013,190346,E,Met
2013,190348,E,Met
2013,190350,E,Met
2013,190352,I,Met
2013,190370,E,Met
2013,190LEA,,Met
2013,19A000,I,Met
2013,19B000,A,Did Not Meet
2013,200304,E,Met
2013,200308,H,Did Not Meet
2013,200310,M,Met
2013,200312,I,Met
2013,200314,H,Did Not Meet
2013,200316,E,Met
2013,200320,I,Met
2013,200322,T,Did Not Meet
2013,200324,E,Met
2013,200328,H,Did Not Meet
2013,200330,M,Met
2013,200332,E,Met
2013,200336,I,Met
2013,200350,H,Did Not Meet
2013,200LEA,,Met
2013,20A000,I,Met
2013,210304,M,Met
2013,210306,E,Met
2013,210312,H,Did Not Meet
2013,210316,E,Did Not Meet
2013,210LEA,,Met
2013,220308,E,Met
2013,220310,H,Did Not Meet
2013,220312,M,Met
2013,220LEA,,Met
2013,230304,E,Met
2013,230308,E,Met
2013,230312,H,Did Not Meet
2013,230316,M,Met
2013,230320,E,Met
2013,230322,H,Did Not Meet
2013,230324,H,Did Not Meet
2013,230328,M,Met
2013,230330,T,Did Not Meet
2013,230334,E,Met
2013,230336,M,Met
2013,230340,E,Met
2013,230342,E,Met
2013,230344,E,Met
2013,230346,E,Met
2013,230348,E,Met
2013,230350,H,Did Not Meet
2013,230351,M,Met
2013,230352,M,Met
2013,230355,E,Met
2013,230357,E,Met
2013,230359,A,Met
2013,230361,H,Did Not Meet
2013,230362,M,Met
2013,230364,E,Met
2013,230368,E,Met
2013,230370,E,Met
2013,230376,E,Met
2013,230380,E,Met
2013,230LEA,,Met
2013,240304,M,Met
2013,240308,E,Met
2013,240318,T,Did Not Meet
2013,240328,I,Met
2013,240330,M,Met
2013,240332,E,Met
2013,240334,H,Did Not Meet
2013,240344,I,Met
2013,240352,E,Met
2013,240354,E,Met
2013,240356,M,Met
2013,240368,M,Met
2013,240370,E,Met
2013,240371,H,Did Not Meet
2013,240372,E,Met
2013,240373,H,Did Not Meet
2013,240376,M,Met
2013,240380,H,Did Not Meet
2013,240388,I,Met
2013,240LEA,,Met
2013,241304,M,Met
2013,241308,E,Met
2013,241312,A,Did Not Meet
2013,241316,H,Did Not Meet
2013,241320,E,Did Not Meet
2013,241LEA,,Met
2013,24N000,I,Met
2013,250304,E,Met
2013,250306,E,Met
2013,250308,E,Met
2013,250312,E,Met
2013,250314,H,Did Not Meet
2013,250316,E,Met
2013,250320,E,Met
2013,250321,H,Met
2013,250324,M,Met
2013,250328,E,Met
2013,250332,M,Met
2013,250336,E,Met
2013,250340,H,Did Not Meet
2013,250344,M,Met
2013,250348,E,Met
2013,250350,E,Met
2013,250356,H,Did Not Meet
2013,250360,E,Met
2013,250362,E,Met
2013,250364,E,Met
2013,250368,M,Met
2013,250372,H,Did Not Meet
2013,250376,M,Met
2013,250378,E,Met
2013,250380,E,Met
2013,250LEA,,Met
2013,260302,E,Did Not Meet
2013,260306,E,Met
2013,260308,E,Met
2013,260310,E,Met
2013,260312,E,Met
