year,agency_code,category_code,pct_ap_pass,pct_ap_participation
2014,010324,H,0.7,0.07
2014,010348,H,0.18,
2014,010360,H,0.33,
2014,010388,H,0.7,0.06
2014,010396,H,0.55,0.12
2014,010400,H,0.78,0.12
2014,010LEA,,0.62,0.08
2014,01B000,A,0.33,
2014,01C000,A,0.33,0.08
2014,01D000,T,0.7,0.22
2014,020302,H,0.51,0.08
2014,020LEA,,0.51,0.08
2014,030304,H,0.3,
2014,030LEA,,0.3,
2014,040306,H,0.06,0.19
2014,040LEA,,0.06,0.12
2014,050302,H,0.66,0.08
2014,050LEA,,0.66,0.08
2014,060302,H,0.45,
2014,060700,H,0.37,0.22
2014,060LEA,,0.41,0.06
2014,070339,H,0.5,
2014,070342,H,0.46,0.12
2014,070LEA,,0.47,0.06
2014,090368,H,0.19,0.09
2014,090LEA,,0.16,0.07
2014,100307,H,0.95,
2014,100326,H,0.64,
2014,100334,H,0.66,0.1
2014,100348,H,0.51,0.08
2014,100LEA,,0.6,0.07
2014,110304,H,0.67,0.17
2014,110336,H,0.62,0.2
2014,110340,H,0.37,0.1
2014,110352,H,0.4,0.16
2014,110380,H,0.64,0.2
2014,110416,H,0.74,0.24
2014,110LEA,,0.61,0.17
2014,111302,H,0.69,0.27
2014,111700,H,0.75,0.23
2014,111LEA,,0.7,0.26
2014,120314,H,0.43,0.08
2014,120318,H,0.77,0.1
2014,120346,H,0.47,
2014,120370,H,0.49,0.13
2014,120LEA,,0.56,0.09
2014,130307,H,0.58,0.23
2014,130310,H,0.53,0.13
2014,130314,H,0.7,0.11
2014,130316,H,0.65,0.19
2014,130324,H,0.52,0.09
2014,130326,H,0.66,0.11
2014,130332,H,0.6,0.23
2014,130LEA,,0.61,0.16
2014,132304,H,0.61,0.08
2014,132LEA,,0.61,0.08
2014,140348,H,0.4,0.12
2014,140386,H,0.57,0.09
2014,140390,H,0.24,0.09
2014,140LEA,,0.44,0.08
2014,150304,H,0.48,
2014,150700,H,0.25,
2014,150LEA,,0.44,
2014,160313,T,0.77,0.08
2014,160314,H,0.8,0.17
2014,160344,H,0.64,0.1
2014,160LEA,,0.74,0.12
2014,170316,H,0.21,0.09
2014,170LEA,,0.21,0.09
2014,180308,H,0.55,0.12
2014,180320,H,0.27,0.09
2014,180340,H,0.63,0.14
2014,180348,H,0.35,0.13
2014,180376,H,0.43,0.14
2014,180LEA,,0.46,0.12
2014,181322,H,0.45,0.1
2014,181LEA,,0.41,0.09
2014,182316,H,0.57,0.12
2014,182700,H,0.38,0.3
2014,182LEA,,0.52,0.14
2014,190316,H,0.62,
2014,190336,H,0.55,0.13
2014,190342,H,0.62,0.14
2014,190LEA,,0.6,0.12
2014,19B000,A,0.67,0.46
2014,200308,H,0.38,
2014,200314,H,0.25,0.1
2014,200328,H,0.37,0.17
2014,200LEA,,0.35,0.1
2014,210312,H,0.42,0.09
2014,210LEA,,0.42,0.09
2014,220310,H,0.71,0.11
2014,220LEA,,0.71,0.11
2014,230312,H,0.53,0.12
2014,230324,H,0.44,0.19
2014,230350,H,0.49,0.18
2014,230361,H,0.52,0.18
2014,230LEA,,0.48,0.15
2014,240371,H,0.1,
2014,240380,H,,0.07
2014,240LEA,,0.06,
2014,241316,H,0.32,
2014,241LEA,,0.32,
2014,250321,H,0.95,
2014,250340,H,0.57,
2014,250356,H,0.56,
2014,250372,H,0.44,
2014,250LEA,,0.55,
2014,260318,H,0.55,0.21
2014,260322,H,0.18,
2014,260325,H,0.38,0.11
2014,260357,H,0.21,0.1
2014,260359,H,0.19,0.07
2014,260388,H,0.43,0.23
2014,260408,H,0.28,0.14
2014,260411,H,0.13,0.19
2014,260424,H,0.2,0.08
2014,260427,H,0.21,0.06
2014,260446,H,0.36,0.27
2014,260455,H,0.06,
2014,260LEA,,0.34,0.11
2014,270306,H,0.46,0.09
2014,270LEA,,0.46,0.08
2014,280304,T,0.37,0.22
2014,280316,H,0.35,0.28
2014,280330,H,0.64,0.23
2014,280LEA,,0.5,0.24
2014,290308,H,0.44,0.15
2014,290324,H,0.39,0.09
2014,290336,H,0.47,0.15
2014,290348,H,0.53,0.2
2014,290365,H,0.23,0.08
2014,290388,H,0.32,0.17
2014,290LEA,,0.45,0.14
2014,291336,H,0.55,0.09
2014,291LEA,,0.55,0.09
2014,292324,H,0.43,0.06
2014,292LEA,,0.43,0.06
2014,300312,H,0.73,0.1
2014,300LEA,,0.73,0.09
2014,310338,H,0.17,
2014,310344,H,0.42,
2014,310352,H,0.13,0.07
2014,310364,T,0.24,
2014,310392,H,0.25,0.07
2014,310LEA,,0.26,0.06
2014,320312,H,0.81,0.26
2014,320314,M,0.21,0.23
2014,320317,H,0.49,0.28
2014,320323,T,0.81,0.33
2014,320325,H,0.19,
2014,320353,H,0.95,
2014,320356,H,0.39,0.17
2014,320365,H,0.65,0.15
2014,320368,H,0.11,0.08
2014,320701,H,0.09,0.23
2014,320LEA,,0.61,0.16
2014,32D000,A,0.43,0.07
2014,32L000,A,0.4,0.3
2014,32N000,H,0.73,0.15
2014,330350,H,0.22,0.07
2014,330358,H,0.41,0.06
2014,330LEA,,0.27,
2014,340311,H,0.71,0.18
2014,340330,H,0.58,
2014,340332,H,0.67,
2014,340364,H,0.63,0.19
2014,340382,H,0.5,0.13
2014,340454,H,0.76,0.29
2014,340460,H,0.34,0.08
2014,340486,H,0.83,
2014,340488,T,0.95,
2014,340495,H,0.77,0.3
2014,340496,H,0.71,0.26
2014,340542,H,0.35,
2014,340556,H,0.74,0.26
2014,340568,T,0.17,
2014,340LEA,,0.69,0.18
2014,34D000,A,,0.21
2014,350308,H,0.55,0.06
2014,350321,H,0.29,0.07
2014,350336,H,0.33,
2014,350LEA,,0.4,
2014,360310,H,0.64,
2014,360336,H,0.16,
2014,360360,H,0.45,0.11
2014,360378,H,0.25,
2014,360390,H,0.68,0.06
2014,360396,H,0.6,0.07
2014,360418,H,0.68,0.11
2014,360428,H,0.17,
2014,360470,H,0.52,0.07
2014,360494,H,0.7,0.12
2014,360LEA,,0.59,0.06
2014,36B000,A,0.47,0.06
2014,370312,H,0.35,
2014,370LEA,,0.35,
2014,380308,H,0.52,0.09
2014,380LEA,,0.52,0.09
2014,390322,H,0.4,
2014,390324,H,0.4,
2014,390328,M,,0.13
2014,390700,H,0.68,0.18
2014,390704,H,0.24,
2014,390705,H,0.26,
2014,390LEA,,0.45,
2014,39B000,H,0.09,0.36
2014,400308,H,0.59,
2014,400LEA,,0.59,
2014,410319,H,0.27,0.08
2014,410355,H,0.09,0.15
2014,410358,H,0.37,0.1
2014,410390,H,0.34,0.29
2014,410391,T,0.63,0.45
2014,410394,H,0.71,0.38
2014,410395,H,0.95,0.55
2014,410406,H,0.47,0.22
2014,410407,H,0.32,0.17
2014,410484,H,0.29,0.12
2014,410489,H,0.77,0.37
2014,410490,H,0.68,0.35
2014,410508,H,0.7,0.32
2014,410529,H,0.43,0.24
2014,410544,H,0.06,0.15
2014,410545,H,0.23,0.27
2014,410547,H,0.57,0.2
2014,410556,H,0.53,0.15
2014,410562,H,0.54,0.27
2014,410569,H,0.46,0.95
2014,410579,H,0.24,0.26
2014,410589,H,0.86,0.49
2014,410595,H,0.59,0.19
2014,410LEA,,0.57,0.24
2014,41F000,A,0.33,
2014,420346,H,,0.06
2014,420358,H,,0.06
2014,420LEA,,,0.06
2014,421316,H,0.38,0.1
2014,421LEA,,0.38,0.1
2014,422315,H,,0.07
2014,430346,H,0.67,0.06
2014,430371,H,0.45,
2014,430378,H,0.33,
2014,430384,H,0.47,
2014,430LEA,,0.51,
2014,440378,H,0.53,0.07
2014,440390,H,0.44,0.09
2014,440LEA,,0.48,0.07
2014,450316,H,0.56,0.13
2014,450334,H,0.5,0.27
2014,450341,H,0.6,0.08
2014,450352,H,0.4,0.11
2014,450354,H,0.95,0.06
2014,450LEA,,0.52,0.13
2014,460320,H,0.15,
2014,460LEA,,0.14,
2014,470312,H,0.13,0.16
2014,470LEA,,0.13,0.13
2014,480316,A,0.6,0.11
2014,480LEA,,0.6,
2014,490335,H,0.73,0.33
2014,490346,H,0.58,
2014,490354,H,0.25,0.19
2014,490362,H,0.31,0.17
2014,490380,H,0.24,0.08
2014,490LEA,,0.53,0.17
2014,491312,H,0.68,0.16
2014,491LEA,,0.68,0.16
2014,49E000,A,0.54,0.27
2014,500340,H,0.68,
2014,500LEA,,0.68,
2014,510324,H,0.67,0.11
2014,510327,H,0.55,0.1
2014,510333,H,0.73,0.08
2014,510368,H,0.4,
2014,510376,T,0.58,
2014,510399,H,0.45,0.08
2014,510402,H,0.34,0.06
2014,510406,H,0.71,0.09
2014,510LEA,,0.6,0.08
2014,51A000,A,0.5,0.2
2014,520320,H,0.06,0.06
2014,520LEA,,0.06,0.06
2014,530336,H,0.63,0.06
2014,530343,H,0.79,
2014,530LEA,,0.67,
2014,540315,H,0.29,
2014,540324,H,0.3,0.09
2014,540336,H,0.4,0.07
2014,540LEA,,0.33,0.06
2014,550320,H,0.48,0.2
2014,550332,H,0.38,0.15
2014,550344,H,0.7,0.18
2014,550368,H,0.41,0.18
2014,550LEA,,0.5,0.18
2014,55A000,A,0.62,0.14
2014,560320,H,0.64,0.08
2014,560324,A,0.84,0.17
2014,560LEA,,0.68,0.07
2014,570318,H,0.58,0.1
2014,570LEA,,0.58,0.08
2014,580344,H,0.2,0.06
2014,580368,H,0.68,
2014,580LEA,,0.45,
2014,590330,H,0.46,0.09
2014,590LEA,,0.46,0.06
2014,600302,H,0.83,0.39
2014,600312,H,0.66,0.31
2014,600334,H,0.53,0.72
2014,600361,H,0.68,0.24
2014,600364,A,,0.44
2014,600377,H,0.44,0.11
2014,600397,H,0.08,0.07
2014,600405,H,0.19,
2014,600415,H,0.24,0.24
2014,600426,H,0.66,0.14
2014,600445,H,0.51,0.18
2014,600457,H,0.47,0.08
2014,600466,H,0.66,0.27
2014,600480,H,0.24,0.13
2014,600482,T,0.5,0.32
2014,600496,H,0.23,0.3
2014,600498,H,0.13,0.16
2014,600508,H,0.87,0.31
2014,600535,H,0.66,0.27
2014,600576,H,0.15,
2014,600579,H,0.11,0.1
2014,600592,H,0.17,0.11
2014,600693,H,0.35,0.16
2014,600694,H,0.23,0.17
2014,600695,H,0.14,0.19
2014,600696,H,0.12,0.11
2014,600697,H,0.23,0.12
2014,600LEA,,0.55,0.2
2014,60D000,T,0.89,0.35
2014,60G000,A,0.76,0.11
2014,60I000,A,0.74,0.38
2014,60L000,M,0.28,
2014,610334,H,0.64,0.09
2014,610LEA,,0.64,0.08
2014,620316,H,0.26,
2014,620340,H,0.33,
2014,620LEA,,0.3,
2014,630332,H,0.23,0.21
2014,630336,H,0.6,0.2
2014,630360,H,0.55,0.18
2014,630LEA,,0.53,0.2
2014,640346,H,0.28,0.06
2014,640350,H,0.63,0.07
2014,640361,H,0.11,
2014,640364,H,0.38,
2014,640LEA,,0.37,
2014,64A000,A,0.5,
2014,650326,H,0.72,0.09
2014,650327,H,0.66,0.14
2014,650342,H,0.79,0.15
2014,650352,H,0.6,0.23
2014,650LEA,,0.68,0.14
2014,660336,H,0.29,
2014,660LEA,,0.29,
2014,670320,H,0.39,0.08
2014,670324,H,0.63,
2014,670333,H,0.29,0.12
2014,670340,H,0.43,
2014,670344,H,0.23,0.08
2014,670352,H,0.26,0.08
2014,670364,H,0.47,0.08
2014,670LEA,,0.35,0.06
2014,680310,H,0.78,0.12
2014,680332,H,0.68,0.1
2014,680LEA,,0.74,0.11
2014,681305,H,0.77,0.39
2014,681308,H,0.83,0.43
2014,681314,H,0.8,0.47
2014,681LEA,,0.81,0.43
2014,690320,H,0.33,0.09
2014,690LEA,,0.33,0.09
2014,700317,H,0.43,
2014,700319,H,0.34,
2014,700LEA,,0.39,
2014,710321,H,0.39,0.08
2014,710326,H,0.17,0.08
2014,710327,H,0.5,
2014,710342,H,0.61,0.13
2014,710LEA,,0.48,0.1
2014,720316,H,0.63,
2014,720LEA,,0.63,
2014,730352,H,0.45,0.09
2014,730LEA,,0.45,0.09
2014,73B000,T,0.71,0.23
2014,740309,H,0.25,0.08
2014,740333,H,0.41,0.15
2014,740344,H,0.21,0.1
2014,740366,H,0.7,0.17
2014,740374,H,0.43,0.07
2014,740388,H,0.42,0.11
2014,740LEA,,0.47,0.12
2014,750317,H,0.95,
2014,750318,H,0.75,0.09
2014,750LEA,,0.75,0.08
2014,760318,H,0.57,0.08
2014,760339,H,0.65,0.12
2014,760348,H,0.42,0.09
2014,760358,H,0.24,0.11
2014,760380,H,0.37,0.17
2014,760388,H,0.46,0.08
2014,760LEA,,0.43,0.1
2014,761304,H,0.42,0.15
2014,761LEA,,0.42,0.15
2014,76N000,H,0.95,
2014,770348,H,0.14,0.13
2014,770LEA,,0.14,0.08
2014,780325,H,0.07,0.08
2014,780342,H,0.3,0.06
2014,780391,H,0.22,
2014,780401,H,0.25,
2014,780420,H,0.17,
2014,780LEA,,0.21,
