year,agency_code,category_code,pct_fully_licensed,pct_lateral_entry
2018,00A000,A,1.0,0.05
2018,00B000,A,1.0,0.018000000000000002
2018,010303,H,1.0,0.0
2018,010304,E,1.0,0.044000000000000004
2018,010308,E,1.0,0.0
2018,010310,M,0.882,0.13699999999999998
2018,010311,H,1.0,0.14300000000000002
2018,010312,E,1.0,0.022000000000000002
2018,010320,E,0.9640000000000001,0.036000000000000004
2018,010324,H,0.97,0.07400000000000001
2018,010326,E,0.953,0.0
2018,010328,E,1.0,0.0
2018,010340,E,1.0,0.0
2018,010346,E,1.0,0.057999999999999996
2018,010347,E,0.978,0.044000000000000004
2018,010348,H,0.981,0.094
2018,010350,M,0.978,0.18
2018,010351,E,1.0,0.0
2018,010353,M,0.9740000000000001,0.026000000000000002
2018,010354,E,1.0,0.095
2018,010357,E,1.0,0.0
2018,010358,E,1.0,0.025
2018,010360,H,1.0,0.16899999999999998
2018,010362,E,1.0,0.0
2018,010364,E,0.968,0.096
2018,010372,E,1.0,0.053
2018,010374,E,1.0,0.0
2018,010378,A,1.0,0.1
2018,010380,E,0.9790000000000001,0.042
2018,010384,E,1.0,0.027000000000000003
2018,010388,H,0.963,0.043
2018,010390,M,0.976,0.071
2018,010392,E,1.0,0.0
2018,010394,M,0.98,0.11800000000000001
2018,010396,H,0.985,0.059000000000000004
2018,010400,H,1.0,0.038
2018,010403,M,0.9790000000000001,0.021
2018,010406,M,1.0,0.031
2018,010LEA,A,1.0,0.1
2018,010LEA,E,0.992,0.026000000000000002
2018,010LEA,H,0.983,0.078
2018,010LEA,M,0.9640000000000001,0.08800000000000001
2018,01B000,A,0.955,0.0
2018,01C000,A,1.0,0.027000000000000003
2018,01D000,A,0.68,0.08
2018,020302,H,1.0,0.044000000000000004
2018,020303,H,1.0,0.0
2018,020304,E,1.0,0.0
2018,020306,M,1.0,0.026000000000000002
2018,020308,E,1.0,0.0
2018,020316,E,1.0,0.027999999999999997
2018,020320,E,1.0,0.0
2018,020324,E,1.0,0.0
2018,020328,E,1.0,0.098
2018,020330,M,1.0,0.0
2018,020332,E,1.0,0.0
2018,020LEA,E,1.0,0.02
2018,020LEA,H,1.0,0.040999999999999995
2018,020LEA,M,1.0,0.013999999999999999
2018,030304,H,1.0,0.055999999999999994
2018,030308,I,1.0,0.0
2018,030316,I,1.0,0.14300000000000002
2018,030320,I,1.0,0.09
2018,030LEA,H,1.0,0.055999999999999994
2018,030LEA,I,1.0,0.076
2018,040304,H,1.0,0.28
2018,040305,T,1.0,0.244
2018,040306,H,1.0,0.268
2018,040308,E,1.0,0.132
2018,040309,M,1.0,0.294
2018,040311,E,1.0,0.14400000000000002
2018,040316,E,1.0,0.048
2018,040324,E,1.0,0.068
2018,040328,E,1.0,0.034
2018,040330,E,1.0,0.235
2018,040LEA,E,1.0,0.09300000000000001
2018,040LEA,H,1.0,0.27
2018,040LEA,M,1.0,0.294
2018,040LEA,T,1.0,0.244
2018,050302,H,1.0,0.031
2018,050305,M,1.0,0.0
2018,050310,E,1.0,0.0
2018,050330,E,1.0,0.0
2018,050335,E,1.0,0.025
2018,050LEA,E,1.0,0.008
2018,050LEA,H,1.0,0.031
2018,050LEA,M,1.0,0.0
2018,060302,H,1.0,0.0
2018,060304,E,1.0,0.0
2018,060310,M,1.0,0.0
2018,060316,E,1.0,0.0
2018,060318,M,1.0,0.0
2018,060322,E,1.0,0.0
2018,060328,E,1.0,0.0
2018,060332,E,1.0,0.0
2018,060334,T,1.0,0.0
2018,060700,H,0.857,0.0
2018,060701,H,1.0,0.0
2018,060LEA,E,1.0,0.0
2018,060LEA,H,0.977,0.0
2018,060LEA,M,1.0,0.0
2018,060LEA,T,1.0,0.0
2018,06A000,A,1.0,0.0
2018,06B000,A,0.9440000000000001,0.111
2018,070302,E,1.0,0.022000000000000002
2018,070308,I,1.0,0.0
2018,070310,T,1.0,0.429
2018,070311,H,1.0,0.0
2018,070325,M,1.0,0.192
2018,070326,E,1.0,0.0
2018,070327,E,1.0,0.0
2018,070328,E,1.0,0.026000000000000002
2018,070329,I,1.0,0.027999999999999997
2018,070330,H,0.97,0.152
2018,070338,M,1.0,0.1
2018,070339,H,0.9690000000000001,0.094
2018,070340,I,0.941,0.059000000000000004
2018,070342,H,0.9840000000000001,0.111
2018,070LEA,E,1.0,0.012
2018,070LEA,H,0.978,0.11199999999999999
2018,070LEA,I,0.9890000000000001,0.022000000000000002
2018,070LEA,M,1.0,0.132
2018,070LEA,T,1.0,0.429
2018,07A000,A,0.743,0.0
2018,080311,H,1.0,0.111
2018,080312,H,0.9390000000000001,0.303
2018,080314,M,1.0,0.172
2018,080348,E,1.0,0.33299999999999996
2018,080356,E,0.941,0.059000000000000004
2018,080360,E,1.0,0.0
2018,080362,E,1.0,0.0
2018,080LEA,E,0.985,0.06
2018,080LEA,H,0.9520000000000001,0.262
2018,080LEA,M,1.0,0.172
2018,080LEA,T,,
2018,08A000,E,0.539,0.231
2018,090304,E,1.0,0.08800000000000001
2018,090315,M,1.0,0.015
2018,090317,E,1.0,0.086
2018,090318,E,1.0,0.098
2018,090320,M,1.0,0.067
2018,090324,E,1.0,0.0
2018,090328,I,1.0,0.309
2018,090330,H,1.0,0.20199999999999999
2018,090332,M,1.0,0.19399999999999998
2018,090333,E,1.0,0.113
2018,090352,E,1.0,0.085
2018,090365,M,1.0,0.061
2018,090368,H,1.0,0.111
2018,090LEA,E,1.0,0.083
2018,090LEA,H,1.0,0.158
2018,090LEA,I,1.0,0.31
2018,090LEA,M,1.0,0.09699999999999999
2018,090LEA,T,,
2018,09A000,T,0.625,0.0
2018,09B000,E,0.8420000000000001,0.053
2018,100302,E,1.0,0.019
2018,100304,E,1.0,0.0
2018,100307,H,1.0,0.154
2018,100308,T,1.0,0.105
2018,100309,M,1.0,0.0
2018,100310,E,1.0,0.03
2018,100316,M,1.0,0.038
2018,100320,E,1.0,0.024
2018,100326,H,0.986,0.040999999999999995
2018,100332,M,0.976,0.024
2018,100334,H,1.0,0.026000000000000002
2018,100335,M,1.0,0.024
2018,100336,E,1.0,0.027000000000000003
2018,100338,E,1.0,0.061
2018,100339,E,1.0,0.0
2018,100340,E,1.0,0.0
2018,100342,E,1.0,0.0
2018,100344,I,1.0,0.086
2018,100348,H,0.9890000000000001,0.032
2018,100LEA,E,1.0,0.02
2018,100LEA,H,0.992,0.039
2018,100LEA,I,1.0,0.086
2018,100LEA,M,0.9940000000000001,0.024
2018,100LEA,T,1.0,0.105
2018,10A000,I,0.841,0.091
2018,10B000,E,0.882,0.059000000000000004
2018,110303,H,1.0,0.05
2018,110304,H,1.0,0.076
2018,110306,M,0.9740000000000001,0.026000000000000002
2018,110308,E,1.0,0.0
2018,110318,E,1.0,0.0
2018,110320,E,1.0,0.0
2018,110322,H,1.0,0.034
2018,110323,H,1.0,0.0
2018,110324,E,1.0,0.0
2018,110326,M,1.0,0.013000000000000001
2018,110332,E,1.0,0.046
2018,110336,H,1.0,0.0
2018,110338,M,1.0,0.025
2018,110340,H,1.0,0.047
2018,110342,M,0.981,0.019
2018,110348,E,1.0,0.0
2018,110352,H,1.0,0.055999999999999994
2018,110356,E,1.0,0.0
2018,110366,E,1.0,0.0
2018,110368,E,1.0,0.0
2018,110370,E,1.0,0.0
2018,110372,E,1.0,0.02
2018,110376,E,1.0,0.08800000000000001
2018,110379,E,1.0,0.0
2018,110380,H,1.0,0.09
2018,110381,M,1.0,0.025
2018,110382,M,1.0,0.025
2018,110384,E,1.0,0.0
2018,110388,E,1.0,0.0
2018,110401,M,1.0,0.025
2018,110408,E,1.0,0.0
2018,110410,E,1.0,0.024
2018,110412,E,1.0,0.034
2018,110416,H,1.0,0.07400000000000001
2018,110420,M,1.0,0.0
2018,110422,E,1.0,0.0
2018,110425,M,1.0,0.025
2018,110428,E,1.0,0.0
2018,110432,E,1.0,0.0
2018,110436,E,1.0,0.0
2018,110444,E,1.0,0.0
2018,110450,M,1.0,0.0
2018,110451,M,1.0,0.023
2018,110500,H,1.0,0.111
2018,110LEA,E,1.0,0.01
2018,110LEA,H,1.0,0.06
2018,110LEA,M,0.996,0.018000000000000002
2018,111302,H,1.0,0.023
2018,111304,E,1.0,0.038
2018,111306,E,1.0,0.031
2018,111307,E,1.0,0.0
2018,111312,E,1.0,0.0
2018,111332,E,1.0,0.0
2018,111356,M,1.0,0.016
2018,111360,E,1.0,0.0
2018,111369,M,1.0,0.0
2018,111700,H,1.0,0.0
2018,111LEA,E,1.0,0.013000000000000001
2018,111LEA,H,1.0,0.02
2018,111LEA,M,1.0,0.013999999999999999
2018,111LEA,T,,
2018,11A000,I,0.938,0.0
2018,11B000,I,1.0,0.0
2018,11C000,A,0.8909999999999999,0.016
2018,11D000,T,0.907,0.047
2018,11K000,I,1.0,0.0
2018,120304,E,1.0,0.061
2018,120308,T,1.0,0.0
2018,120310,H,1.0,0.0
2018,120312,E,1.0,0.0
2018,120314,H,1.0,0.102
2018,120315,M,1.0,0.026000000000000002
2018,120316,E,1.0,0.037000000000000005
2018,120318,H,1.0,0.048
2018,120320,E,1.0,0.0
2018,120324,E,1.0,0.0
2018,120334,M,1.0,0.0
2018,120338,E,1.0,0.0
2018,120340,E,1.0,0.0
2018,120344,E,1.0,0.0
2018,120346,H,1.0,0.067
2018,120350,M,1.0,0.0
2018,120352,A,1.0,0.0
2018,120360,E,1.0,0.0
2018,120364,E,1.0,0.0
2018,120368,E,1.0,0.036000000000000004
2018,120370,H,1.0,0.038
2018,120372,E,1.0,0.0
2018,120374,E,1.0,0.0
2018,120376,M,1.0,0.0
2018,120380,E,1.0,0.0
2018,120386,E,1.0,0.0
2018,120390,M,1.0,0.09699999999999999
2018,120LEA,A,1.0,0.0
2018,120LEA,E,1.0,0.008
2018,120LEA,H,1.0,0.062
2018,120LEA,M,1.0,0.025
2018,120LEA,T,1.0,0.0
2018,12A000,I,0.7390000000000001,0.043
2018,130304,E,1.0,0.0
2018,130307,H,1.0,0.069
2018,130308,E,1.0,0.0
2018,130309,E,1.0,0.0
2018,130310,H,1.0,0.111
2018,130311,E,1.0,0.0
2018,130312,E,1.0,0.017
2018,130313,M,0.985,0.077
2018,130314,H,0.988,0.11199999999999999
2018,130315,M,1.0,0.076
2018,130316,H,1.0,0.096
2018,130317,T,1.0,0.081
2018,130318,M,1.0,0.013999999999999999
2018,130319,E,1.0,0.0
2018,130320,M,1.0,0.0
2018,130321,E,1.0,0.0
2018,130322,E,1.0,0.0
2018,130323,M,1.0,0.049
2018,130324,H,0.982,0.036000000000000004
2018,130325,E,1.0,0.0
2018,130326,H,1.0,0.012
2018,130327,M,1.0,0.057
2018,130328,E,1.0,0.0
2018,130329,E,0.982,0.0
2018,130330,E,1.0,0.0
2018,130331,E,1.0,0.0
2018,130332,H,1.0,0.023
2018,130333,T,1.0,0.0
2018,130336,E,1.0,0.0
2018,130337,E,1.0,0.024
2018,130338,E,1.0,0.0
2018,130340,E,1.0,0.0
2018,130342,E,0.981,0.038
2018,130344,E,1.0,0.0
2018,130345,E,1.0,0.034
2018,130346,M,1.0,0.08
2018,130349,H,1.0,0.0
2018,130350,H,1.0,0.0
2018,130355,M,1.0,0.05
2018,130LEA,E,0.998,0.006999999999999999
2018,130LEA,H,0.997,0.066
2018,130LEA,M,0.998,0.048
2018,130LEA,T,1.0,0.049
2018,132304,H,1.0,0.221
2018,132308,E,1.0,0.0
2018,132312,E,1.0,0.0
2018,132314,E,1.0,0.0
2018,132328,E,1.0,0.0
2018,132330,M,1.0,0.051
2018,132332,E,1.0,0.0
2018,132336,E,0.966,0.0
2018,132LEA,E,0.995,0.0
2018,132LEA,H,1.0,0.221
2018,132LEA,M,1.0,0.051
2018,13A000,A,0.825,0.018000000000000002
2018,13B000,A,0.845,0.141
2018,13C000,I,0.46399999999999997,0.0
2018,13D000,I,0.919,0.21600000000000003
2018,140304,E,1.0,0.0
2018,140305,H,1.0,0.0
2018,140306,T,1.0,0.0
2018,140307,E,1.0,0.069
2018,140308,I,1.0,0.043
2018,140309,H,1.0,0.055999999999999994
2018,140312,E,1.0,0.0
2018,140316,E,1.0,0.0
2018,140324,E,1.0,0.057999999999999996
2018,140332,M,1.0,0.0
2018,140336,M,1.0,0.027000000000000003
2018,140340,E,1.0,0.0
2018,140344,I,1.0,0.0
2018,140348,H,1.0,0.016
2018,140352,E,1.0,0.0
2018,140356,M,1.0,0.0
2018,140360,I,1.0,0.0
2018,140368,M,1.0,0.027999999999999997
2018,140372,E,1.0,0.0
2018,140376,I,1.0,0.0
2018,140384,E,1.0,0.0
2018,140386,H,1.0,0.028999999999999998
2018,140388,E,1.0,0.035
2018,140390,H,1.0,0.062
2018,140392,E,1.0,0.040999999999999995
2018,140396,E,1.0,0.0
2018,140LEA,E,1.0,0.012
2018,140LEA,H,1.0,0.034
2018,140LEA,I,1.0,0.015
2018,140LEA,M,1.0,0.013000000000000001
2018,140LEA,T,1.0,0.0
2018,150304,H,1.0,0.054000000000000006
2018,150308,E,1.0,0.0
2018,150310,E,1.0,0.0
2018,150312,M,1.0,0.0
2018,150350,H,1.0,0.0
2018,150LEA,E,1.0,0.0
2018,150LEA,H,1.0,0.043
2018,150LEA,M,1.0,0.0
2018,160304,E,1.0,0.0
2018,160306,E,1.0,0.0
2018,160308,E,1.0,0.0
2018,160309,A,1.0,0.0
2018,160310,M,1.0,0.049
2018,160311,M,1.0,0.0
2018,160313,H,1.0,0.023
2018,160314,H,1.0,0.053
2018,160316,E,1.0,0.0
2018,160317,E,1.0,0.0
2018,160318,M,1.0,0.027000000000000003
2018,160322,E,1.0,0.0
2018,160324,E,1.0,0.0
2018,160326,M,1.0,0.0
2018,160332,I,1.0,0.0
2018,160344,H,1.0,0.013000000000000001
2018,160352,E,1.0,0.0
2018,160LEA,A,1.0,0.0
2018,160LEA,E,1.0,0.0
2018,160LEA,H,1.0,0.027999999999999997
2018,160LEA,I,1.0,0.0
2018,160LEA,M,1.0,0.015
2018,160LEA,T,,
2018,16B000,E,1.0,0.0
2018,170316,H,1.0,0.228
2018,170334,E,1.0,0.0
2018,170338,M,1.0,0.10800000000000001
2018,170339,E,1.0,0.11800000000000001
2018,170342,E,1.0,0.05
2018,170344,E,1.0,0.067
