year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2018,010304,ALL,15,15,15,15,1.0,1.0,
2018,010320,ALL,10,10,10,10,1.0,1.0,
2018,010326,ALL,30,30,30,30,1.0,1.0,
2018,010340,ALL,11,11,11,11,1.0,1.0,
2018,010347,ALL,9,10,9,10,1.0,,3.0
2018,010351,ALL,15,15,15,15,1.0,1.0,
2018,010354,ALL,30,30,30,30,1.0,1.0,
2018,010357,ALL,75,75,75,75,1.0,1.0,
2018,010358,ALL,15,15,15,15,1.0,1.0,
2018,010362,ALL,15,15,15,15,1.0,1.0,
2018,010364,ALL,8,10,8,10,1.0,,3.0
2018,010372,ALL,15,15,15,15,1.0,1.0,
2018,010374,ALL,14,14,14,14,1.0,1.0,
2018,010380,ALL,49,49,49,49,1.0,1.0,
2018,010392,ALL,15,15,15,15,1.0,1.0,
2018,020304,ALL,9,10,9,10,1.0,,3.0
2018,020316,ALL,18,18,18,18,1.0,1.0,
2018,020320,ALL,15,15,15,15,1.0,1.0,
2018,020328,ALL,15,15,15,15,1.0,1.0,
2018,020332,ALL,11,11,11,11,1.0,1.0,
2018,030308,ALL,18,18,18,18,1.0,1.0,
2018,030316,ALL,12,12,12,12,1.0,1.0,
2018,030320,ALL,43,43,43,43,1.0,1.0,
2018,050330,ALL,65,65,65,65,1.0,1.0,
2018,060304,ALL,15,15,15,15,1.0,1.0,
2018,060316,ALL,17,17,17,17,1.0,1.0,
2018,060322,ALL,15,15,15,15,1.0,1.0,
2018,060328,ALL,31,31,31,31,1.0,1.0,
2018,060332,ALL,15,15,15,15,1.0,1.0,
2018,070302,ALL,88,88,88,88,1.0,1.0,
2018,070326,ALL,33,33,33,33,1.0,1.0,
2018,070329,ALL,29,29,29,29,1.0,1.0,
2018,070340,ALL,18,18,18,18,1.0,1.0,
2018,080348,ALL,15,15,15,15,1.0,1.0,
2018,080356,ALL,18,18,18,18,1.0,1.0,
2018,080360,ALL,18,18,18,18,1.0,1.0,
2018,080362,ALL,40,40,40,40,1.0,1.0,
2018,090304,ALL,18,18,18,18,1.0,1.0,
2018,090317,ALL,52,52,52,52,1.0,1.0,
2018,090318,ALL,35,35,35,35,1.0,1.0,
2018,090324,ALL,33,33,33,33,1.0,1.0,
2018,090333,ALL,55,55,55,55,1.0,1.0,
2018,090352,ALL,18,18,18,18,1.0,1.0,
2018,100320,ALL,6,10,6,10,1.0,,3.0
2018,100338,ALL,6,10,6,10,1.0,,3.0
2018,100339,ALL,9,10,9,10,1.0,,3.0
2018,100342,ALL,5,10,5,10,1.0,,3.0
2018,111304,ALL,13,13,13,13,1.0,1.0,
2018,111306,ALL,18,18,18,18,1.0,1.0,
2018,111307,ALL,64,64,64,64,1.0,1.0,
2018,111332,ALL,13,13,13,13,1.0,1.0,
2018,120304,ALL,17,17,17,17,1.0,1.0,
2018,120312,ALL,28,28,28,28,1.0,1.0,
2018,120316,ALL,19,19,19,19,1.0,1.0,
2018,120320,ALL,17,17,17,17,1.0,1.0,
2018,120324,ALL,35,35,35,35,1.0,1.0,
2018,120338,ALL,32,32,32,32,1.0,1.0,
2018,120340,ALL,37,37,37,37,1.0,1.0,
2018,120344,ALL,19,19,19,19,1.0,1.0,
2018,120352,ALL,5,10,5,10,1.0,,3.0
2018,120360,ALL,18,18,18,18,1.0,1.0,
2018,120364,ALL,17,17,17,17,1.0,1.0,
2018,120368,ALL,34,34,34,34,1.0,1.0,
2018,120372,ALL,19,19,19,19,1.0,1.0,
2018,120374,ALL,38,38,38,38,1.0,1.0,
2018,120380,ALL,19,19,19,19,1.0,1.0,
2018,120386,ALL,18,18,18,18,1.0,1.0,
2018,130321,ALL,18,18,18,18,1.0,1.0,
2018,130329,ALL,36,36,36,36,1.0,1.0,
2018,130340,ALL,36,36,36,36,1.0,1.0,
2018,130342,ALL,18,18,18,18,1.0,1.0,
2018,132308,ALL,4,10,4,10,1.0,,3.0
2018,132336,ALL,72,72,72,72,1.0,1.0,
2018,140304,ALL,15,15,15,15,1.0,1.0,
2018,140312,ALL,7,10,7,10,1.0,,3.0
2018,140316,ALL,26,26,26,26,1.0,1.0,
2018,140324,ALL,15,15,15,15,1.0,1.0,
2018,140340,ALL,15,15,15,15,1.0,1.0,
2018,140344,ALL,11,11,11,11,1.0,1.0,
2018,140352,ALL,26,26,26,26,1.0,1.0,
2018,140360,ALL,5,10,5,10,1.0,,3.0
2018,140384,ALL,24,24,24,24,1.0,1.0,
2018,140388,ALL,14,14,14,14,1.0,1.0,
2018,140396,ALL,24,24,24,24,1.0,1.0,
2018,150308,ALL,47,47,47,47,1.0,1.0,
2018,160304,ALL,9,10,9,10,1.0,,3.0
2018,160306,ALL,14,14,14,14,1.0,1.0,
2018,160308,ALL,14,14,14,14,1.0,1.0,
2018,160322,ALL,14,14,14,14,1.0,1.0,
2018,160324,ALL,14,14,14,14,1.0,1.0,
2018,160332,ALL,14,14,14,14,1.0,1.0,
2018,160352,ALL,14,14,14,14,1.0,1.0,
2018,170334,ALL,18,18,18,18,1.0,1.0,
2018,170339,ALL,25,25,25,25,1.0,1.0,
2018,170342,ALL,17,17,17,17,1.0,1.0,
2018,180304,ALL,18,18,18,18,1.0,1.0,
2018,180324,ALL,17,17,17,17,1.0,1.0,
2018,180332,ALL,16,16,16,16,1.0,1.0,
2018,180343,ALL,17,17,17,17,1.0,1.0,
2018,180356,ALL,18,18,18,18,1.0,1.0,
2018,180360,ALL,33,33,33,33,1.0,1.0,
