year,agency_code,metric,num,den,pct,masking
2018,00A000,passed_eog,50.0,90.0,55.6,
2018,00A000,passed_rta,,,,3.0
2018,00A000,passed_laa,14.0,90.0,15.6,
2018,00A000,gce_els,,,,3.0
2018,00A000,gce_swd,,,,3.0
2018,00A000,gce_rpf,,,,3.0
2018,00A000,gce_prm,,,,3.0
2018,00A000,gce_all,,,,3.0
2018,00A000,promoted,73.0,90.0,81.1,
2018,00A000,retained,17.0,90.0,18.9,
2018,00B000,passed_eog,82.0,165.0,49.7,
2018,00B000,passed_rta,16.0,165.0,9.7,
2018,00B000,passed_laa,12.0,165.0,7.3,
2018,00B000,gce_els,,,,3.0
2018,00B000,gce_swd,,,,3.0
2018,00B000,gce_rpf,,,,3.0
2018,00B000,gce_prm,,,,3.0
2018,00B000,gce_all,,,,3.0
2018,00B000,promoted,150.0,165.0,90.9,
2018,00B000,retained,15.0,165.0,9.1,
2018,010304,passed_eog,50.0,102.0,49.0,
2018,010304,passed_rta,,,,3.0
2018,010304,passed_laa,17.0,102.0,16.7,
2018,010304,gce_els,,,,3.0
2018,010304,gce_swd,,,,3.0
2018,010304,gce_rpf,,,,3.0
2018,010304,gce_prm,,,,3.0
2018,010304,gce_all,15.0,102.0,14.7,
2018,010304,promoted,87.0,102.0,85.3,
2018,010304,retained,15.0,102.0,14.7,
2018,010308,passed_eog,70.0,106.0,66.0,
2018,010308,passed_rta,,,,3.0
2018,010308,passed_laa,,,,3.0
2018,010308,gce_els,,,,3.0
2018,010308,gce_swd,,,,3.0
2018,010308,gce_rpf,17.0,106.0,16.0,
2018,010308,gce_prm,,,,3.0
2018,010308,gce_all,23.0,106.0,21.7,
2018,010308,promoted,,,95.0,1.0
2018,010308,retained,,,,3.0
2018,010312,passed_eog,78.0,107.0,72.9,
2018,010312,passed_rta,,,,3.0
2018,010312,passed_laa,,,,3.0
2018,010312,gce_els,,,,3.0
2018,010312,gce_swd,,,,3.0
2018,010312,gce_rpf,,,,3.0
2018,010312,gce_prm,,,,3.0
2018,010312,gce_all,10.0,107.0,9.3,
2018,010312,promoted,,,95.0,1.0
2018,010312,retained,,,,3.0
2018,010320,passed_eog,33.0,67.0,49.3,
2018,010320,passed_rta,,,,3.0
2018,010320,passed_laa,10.0,67.0,14.9,
2018,010320,gce_els,,,,3.0
2018,010320,gce_swd,,,,3.0
2018,010320,gce_rpf,12.0,67.0,17.9,
2018,010320,gce_prm,,,,3.0
2018,010320,gce_all,20.0,67.0,29.9,
2018,010320,promoted,63.0,67.0,94.0,
2018,010320,retained,,,,3.0
2018,010326,passed_eog,28.0,98.0,28.6,
2018,010326,passed_rta,,,,3.0
2018,010326,passed_laa,30.0,98.0,30.6,
2018,010326,gce_els,,,,3.0
2018,010326,gce_swd,,,,3.0
2018,010326,gce_rpf,,,,3.0
2018,010326,gce_prm,,,,3.0
2018,010326,gce_all,,,,3.0
2018,010326,promoted,67.0,98.0,68.4,
2018,010326,retained,31.0,98.0,31.6,
2018,010328,passed_eog,58.0,97.0,59.8,
2018,010328,passed_rta,,,,3.0
2018,010328,passed_laa,13.0,97.0,13.4,
2018,010328,gce_els,,,,3.0
2018,010328,gce_swd,,,,3.0
2018,010328,gce_rpf,,,,3.0
2018,010328,gce_prm,,,,3.0
2018,010328,gce_all,11.0,97.0,11.3,
2018,010328,promoted,87.0,97.0,89.7,
2018,010328,retained,10.0,97.0,10.3,
2018,010340,passed_eog,66.0,118.0,55.9,
2018,010340,passed_rta,,,,3.0
2018,010340,passed_laa,16.0,118.0,13.6,
2018,010340,gce_els,,,,3.0
2018,010340,gce_swd,,,,3.0
2018,010340,gce_rpf,,,,3.0
2018,010340,gce_prm,,,,3.0
2018,010340,gce_all,10.0,118.0,8.5,
2018,010340,promoted,103.0,118.0,87.3,
2018,010340,retained,15.0,118.0,12.7,
2018,010346,passed_eog,26.0,58.0,44.8,
2018,010346,passed_rta,,,,3.0
2018,010346,passed_laa,11.0,58.0,19.0,
2018,010346,gce_els,,,,3.0
2018,010346,gce_swd,,,,3.0
2018,010346,gce_rpf,,,,3.0
2018,010346,gce_prm,,,,3.0
2018,010346,gce_all,,,,3.0
2018,010346,promoted,45.0,58.0,77.6,
2018,010346,retained,13.0,58.0,22.4,
2018,010347,passed_eog,74.0,122.0,60.7,
2018,010347,passed_rta,,,,3.0
2018,010347,passed_laa,,,,3.0
2018,010347,gce_els,,,,3.0
2018,010347,gce_swd,10.0,122.0,8.2,
2018,010347,gce_rpf,16.0,122.0,13.1,
2018,010347,gce_prm,,,,3.0
2018,010347,gce_all,28.0,122.0,23.0,
2018,010347,promoted,110.0,122.0,90.2,
2018,010347,retained,12.0,122.0,9.8,
2018,010351,passed_eog,31.0,78.0,39.7,
2018,010351,passed_rta,,,,3.0
2018,010351,passed_laa,32.0,78.0,41.0,
2018,010351,gce_els,,,,3.0
2018,010351,gce_swd,,,,3.0
2018,010351,gce_rpf,,,,3.0
2018,010351,gce_prm,,,,3.0
2018,010351,gce_all,,,,3.0
2018,010351,promoted,64.0,78.0,82.1,
2018,010351,retained,14.0,78.0,17.9,
2018,010354,passed_eog,39.0,115.0,33.9,
2018,010354,passed_rta,,,,3.0
2018,010354,passed_laa,22.0,115.0,19.1,
2018,010354,gce_els,,,,3.0
2018,010354,gce_swd,,,,3.0
2018,010354,gce_rpf,,,,3.0
2018,010354,gce_prm,,,,3.0
2018,010354,gce_all,13.0,115.0,11.3,
2018,010354,promoted,83.0,115.0,72.2,
2018,010354,retained,32.0,115.0,27.8,
2018,010357,passed_eog,35.0,87.0,40.2,
2018,010357,passed_rta,,,,3.0
2018,010357,passed_laa,,,,3.0
2018,010357,gce_els,,,,3.0
2018,010357,gce_swd,,,,3.0
2018,010357,gce_rpf,14.0,87.0,16.1,
2018,010357,gce_prm,,,,3.0
2018,010357,gce_all,14.0,87.0,16.1,
2018,010357,promoted,56.0,87.0,64.4,
2018,010357,retained,31.0,87.0,35.6,
2018,010358,passed_eog,36.0,111.0,32.4,
2018,010358,passed_rta,,,,3.0
2018,010358,passed_laa,56.0,111.0,50.5,
2018,010358,gce_els,,,,3.0
2018,010358,gce_swd,,,,3.0
2018,010358,gce_rpf,,,,3.0
2018,010358,gce_prm,,,,3.0
2018,010358,gce_all,,,,3.0
2018,010358,promoted,100.0,111.0,90.1,
2018,010358,retained,11.0,111.0,9.9,
2018,010362,passed_eog,67.0,86.0,77.9,
2018,010362,passed_rta,,,,3.0
