year,agency_code,grade,pct_prof,pct_prof_masking
2018,230328,6,53.3,
2018,230330,9,5.0,
2018,230336,6,44.3,
2018,230350,9,30.7,
2018,230351,6,55.8,
2018,230361,9,26.5,
2018,23A000,6,65.3,
2018,23A000,9,43.6,
2018,240304,6,38.7,
2018,240328,6,61.3,
2018,240330,6,50.0,
2018,240334,9,16.2,
2018,240344,6,38.5,
2018,240356,6,34.8,
2018,240368,6,60.7,
2018,240371,9,29.2,
2018,240373,9,52.1,
2018,240376,6,26.3,
2018,240380,9,45.6,
2018,240388,6,53.3,
2018,241304,6,59.6,
2018,241316,9,51.7,
2018,24B000,9,5.0,2.0
2018,24N000,6,44.4,
2018,250314,9,56.5,
2018,250321,9,84.2,
2018,250324,6,52.5,
2018,250332,6,44.3,
2018,250340,9,46.0,
2018,250344,6,48.4,
2018,250356,9,45.5,
2018,250368,6,69.5,
2018,250372,9,31.3,
2018,250376,6,46.9,
2018,260318,9,54.7,
2018,260322,9,15.6,
2018,260325,9,35.5,
2018,260336,6,38.2,
2018,260347,9,70.8,
2018,260354,9,83.8,
2018,260357,9,39.3,
2018,260358,6,32.8,
2018,260359,9,18.6,
2018,260362,6,48.7,
2018,260365,6,50.2,
2018,260368,6,51.3,
2018,260369,6,65.6,
2018,260371,6,33.7,
2018,260372,6,33.1,
2018,260383,6,61.2,
2018,260388,9,37.1,
2018,260406,6,55.3,
2018,260408,9,36.1,
2018,260411,9,33.3,
2018,260413,6,24.0,
2018,260417,6,51.2,
2018,260418,6,64.9,
2018,260419,6,57.1,
2018,260424,9,21.3,
2018,260425,6,31.3,
2018,260427,9,23.5,
2018,260428,6,32.8,
2018,260446,9,33.8,
2018,260449,9,5.0,2.0
2018,260454,6,29.5,
2018,260455,9,20.4,
2018,260700,9,65.8,
2018,26B000,6,48.5,
2018,26B000,9,53.8,
2018,26C000,6,33.3,
2018,270306,9,37.9,
2018,270308,6,38.1,
2018,270311,9,67.2,
2018,270318,6,49.1,
2018,280304,6,59.2,
2018,280304,9,28.3,
2018,280316,9,38.2,
2018,280320,6,50.0,
2018,280328,6,60.2,
2018,280330,9,54.1,
2018,290308,9,26.6,
2018,290309,6,49.1,
2018,290314,9,5.0,2.0
2018,290315,9,67.7,
2018,290322,6,46.3,
2018,290324,9,45.4,
2018,290334,6,56.5,
2018,290336,9,49.3,
2018,290348,9,46.3,
2018,290349,9,47.6,
2018,290350,6,50.2,
2018,290351,6,55.1,
2018,290365,9,26.6,
2018,290367,6,37.0,
2018,290376,6,46.0,
2018,290388,9,40.8,
2018,290389,9,65.7,
2018,291332,6,39.9,
2018,291336,9,27.4,
2018,292320,6,27.3,
2018,292324,9,23.5,
2018,300312,9,40.6,
2018,300314,9,75.6,
2018,300325,6,54.4,
2018,300330,6,49.2,
2018,300337,6,61.6,
2018,310304,6,27.5,
2018,310308,6,37.4,
2018,310330,6,44.8,
2018,310336,6,16.3,
2018,310338,9,35.4,
2018,310344,9,29.6,
2018,310352,9,16.1,
2018,310356,6,40.4,
2018,310360,6,38.6,
2018,310364,9,36.6,
2018,310384,6,17.1,
2018,310388,6,30.6,
2018,310392,9,22.4,
2018,320306,6,23.4,
2018,320309,9,71.6,
2018,320312,9,34.8,
2018,320314,6,58.3,
2018,320314,9,20.9,
2018,320316,6,32.0,
2018,320317,9,37.1,
2018,320322,9,8.3,
2018,320323,6,54.5,
2018,320323,9,56.5,
2018,320325,9,14.1,
2018,320338,6,25.7,
2018,320340,6,37.8,
2018,320341,6,5.0,2.0
2018,320341,9,5.0,2.0
2018,320342,6,64.2,
2018,320343,6,37.7,
2018,320346,6,26.9,
2018,320355,6,25.6,
2018,320356,9,20.6,
2018,320365,9,30.2,
2018,320366,6,35.8,
2018,320368,9,8.5,
2018,320370,6,46.9,
2018,320701,9,22.4,
2018,32A000,6,42.7,
2018,32B000,6,15.4,
2018,32C000,6,13.6,
2018,32D000,6,43.3,
2018,32H000,6,39.3,
2018,32K000,6,52.8,
2018,32L000,6,73.1,
2018,32L000,9,44.8,
2018,32M000,6,36.8,
2018,32N000,9,66.1,
2018,32P000,6,26.3,
2018,32Q000,6,23.8,
2018,32R000,6,35.9,
2018,32S000,6,23.1,
2018,330326,9,52.4,
2018,330328,9,5.0,2.0
2018,330332,6,7.5,
2018,330340,6,21.2,
2018,330344,6,12.0,
2018,330348,6,22.6,
2018,330350,9,13.7,
2018,330358,9,10.4,
2018,330360,6,29.0,
2018,33A000,6,26.0,
2018,33A000,9,14.3,
2018,340311,9,59.8,
2018,340330,9,5.8,
2018,340336,9,15.2,
2018,340350,6,48.6,
2018,340354,6,50.0,
2018,340362,9,78.2,
2018,340364,9,33.8,
2018,340366,6,23.8,
2018,340372,6,18.6,
2018,340382,9,16.9,
2018,340385,6,9.1,
2018,340385,9,5.0,2.0
2018,340392,6,69.5,
2018,340406,6,59.6,
2018,340420,6,46.2,
2018,340436,6,26.5,
2018,340442,6,71.3,
2018,340452,6,18.3,
2018,340454,9,36.7,
2018,340460,9,12.4,
2018,340464,6,24.8,
2018,340480,6,50.2,
2018,340480,9,64.4,
2018,340486,9,10.6,
2018,340488,6,8.8,
2018,340488,9,8.8,
2018,340492,6,10.4,
2018,340495,9,53.3,
2018,340496,9,29.8,
2018,340516,6,39.9,
2018,340542,9,24.3,
2018,340544,6,28.8,
2018,340556,9,56.5,
2018,340564,6,34.4,
2018,340568,6,9.6,
2018,340568,9,23.1,
2018,34B000,6,18.2,
2018,34B000,9,18.5,
2018,34D000,6,5.0,2.0
2018,34D000,9,5.0,
2018,34F000,6,27.9,
2018,34G000,6,62.5,
2018,34H000,6,65.7,
2018,34H000,9,63.6,
2018,350308,9,41.4,
2018,350310,6,44.0,
2018,350312,6,44.2,
2018,350317,9,74.5,
2018,350321,9,38.9,
2018,350324,6,25.6,
2018,350336,9,34.4,
2018,350338,6,48.7,
2018,35A000,6,45.0,
2018,360310,9,25.0,
2018,360324,6,61.8,
2018,360336,9,13.8,
2018,360337,9,81.6,
2018,360360,9,32.8,
2018,360372,9,5.0,2.0
2018,360378,9,37.8,
2018,360380,6,60.1,
2018,360390,9,34.3,
2018,360394,6,10.0,
2018,360394,9,5.0,2.0
2018,360396,9,38.9,
2018,360408,6,33.6,
2018,360418,9,95.0,1.0
2018,360426,6,35.7,
2018,360428,9,17.2,
2018,360431,6,30.5,
2018,360436,6,29.1,
2018,360456,6,49.5,
2018,360470,9,24.9,
2018,360494,9,51.6,
2018,360498,6,27.2,
2018,360500,6,35.9,
2018,360514,6,38.5,
2018,360526,6,32.6,
2018,36B000,6,60.4,
2018,36B000,9,39.2,
2018,36C000,6,73.3,
2018,36C000,9,36.1,
2018,370308,6,44.4,
2018,370312,9,31.6,
2018,380306,6,31.7,
2018,380308,9,31.7,
2018,390309,6,43.0,
2018,390320,6,47.7,
2018,390322,9,19.1,
2018,390323,9,72.9,
2018,390324,9,25.5,
2018,390331,6,37.6,
2018,390334,6,38.7,
2018,390352,9,28.7,
2018,390700,9,40.8,
2018,39A000,6,67.6,
2018,39A000,9,39.3,
2018,39B000,9,62.1,
2018,400308,9,12.7,
2018,400312,6,31.2,
2018,400315,9,37.5,
2018,410311,6,39.6,
2018,410313,6,29.9,
2018,410316,6,27.6,
2018,410319,9,11.0,
2018,410325,6,24.5,
2018,410326,9,29.6,
2018,410341,6,95.0,1.0
2018,410355,9,20.0,
2018,410358,9,27.5,
2018,410367,6,23.8,
2018,410391,6,36.3,
2018,410391,9,77.6,
2018,410394,9,56.7,
2018,410395,9,95.0,1.0
2018,410397,6,39.2,
2018,410399,9,52.0,
2018,410401,9,48.8,
2018,410402,6,20.6,
2018,410406,9,22.9,
2018,410407,9,20.0,
2018,410408,9,21.1,
2018,410415,6,19.8,
2018,410421,6,43.6,
2018,410427,6,20.0,
2018,410437,6,65.6,
2018,410442,6,50.7,
2018,410448,6,52.6,
2018,410457,6,30.0,
2018,410458,9,5.0,2.0
2018,410460,6,32.8,
2018,410463,6,39.4,
2018,410483,9,26.7,
2018,410484,9,14.1,
2018,410487,6,27.2,
2018,410488,6,64.2,
2018,410489,9,60.3,
2018,410490,9,63.7,
2018,410493,6,72.8,
2018,410508,9,34.8,
2018,410529,9,29.6,
2018,410544,9,14.7,
2018,410545,9,42.6,
2018,410547,9,32.9,
2018,410550,6,47.0,
2018,410556,9,22.2,
2018,410562,9,35.0,
2018,410565,6,55.1,
2018,410569,9,95.0,1.0
2018,410579,9,64.8,
2018,410589,9,81.3,
2018,410592,6,32.7,
2018,410595,9,38.7,
2018,41B000,6,83.3,
2018,41C000,6,35.5,
2018,41D000,6,40.8,
2018,41F000,6,47.2,
2018,41F000,9,54.2,
2018,41G000,6,50.0,
2018,41G000,9,28.2,
2018,41H000,6,29.8,
2018,41H000,9,33.3,
2018,41J000,6,73.2,
2018,41K000,9,34.9,
2018,41L000,6,20.3,
2018,420324,6,32.9,
2018,420346,9,9.3,
2018,420358,9,5.0,2.0
2018,420376,6,31.5,
2018,421306,6,37.4,
2018,421316,9,28.8,
2018,422310,9,64.0,
2018,422315,9,5.0,2.0
2018,422318,6,29.3,
2018,42A000,6,50.7,
2018,430330,6,38.1,
2018,430332,6,35.9,
2018,430345,9,5.0,2.0
2018,430346,9,33.5,
2018,430347,6,40.7,
2018,430351,6,46.6,
2018,430370,6,43.4,
2018,430371,9,30.4,
2018,430378,9,26.6,
2018,430384,9,29.5,
2018,430386,6,42.9,
2018,440318,6,56.8,
2018,440320,6,53.9,
2018,440346,9,95.0,1.0
2018,440378,9,44.4,
2018,440390,9,42.3,
2018,440396,6,55.3,
2018,44A000,6,59.5,
2018,450301,6,55.4,
2018,450316,9,49.3,
2018,450328,6,49.6,
2018,450334,9,56.9,
2018,450335,6,65.1,
2018,450341,9,38.0,
2018,450342,6,68.4,
2018,450343,9,8.1,
2018,450352,9,63.2,
2018,450354,9,94.7,
2018,45A000,6,65.2,
2018,460318,6,15.9,
2018,460320,9,11.4,
2018,460322,9,31.3,
2018,460340,9,16.7,
2018,470312,9,23.4,
2018,470320,6,44.1,
2018,470332,6,42.0,
2018,470342,9,5.9,
2018,470442,6,48.8,
2018,470443,9,60.6,
2018,480316,6,80.0,
2018,480316,9,80.0,
2018,480318,6,29.0,
2018,480318,9,20.0,
2018,490307,9,64.1,
2018,490308,6,67.0,
2018,490320,9,85.7,
2018,490327,6,25.8,
2018,490335,9,60.5,
2018,490338,6,41.7,
2018,490344,6,95.0,1.0
2018,490346,9,24.3,
2018,490347,6,93.4,
2018,490349,6,56.4,
2018,490350,6,18.2,
2018,490350,9,10.0,
2018,490352,6,16.9,
2018,490354,9,17.8,
2018,490355,9,61.4,
2018,490362,9,52.5,
2018,490366,6,29.5,
2018,490380,9,31.9,
2018,490384,6,41.3,
2018,491303,6,55.0,
2018,491306,6,52.9,
2018,491312,9,46.2,
2018,49B000,6,57.6,
2018,49D000,6,5.0,2.0
2018,49E000,6,81.2,
2018,49E000,9,69.0,
2018,49F000,6,63.2,
2018,49F000,9,26.7,
2018,49G000,6,32.1,
2018,500302,9,25.0,
2018,500304,6,30.2,
2018,500314,6,41.8,
2018,500316,6,40.7,
2018,500323,9,73.1,
2018,500324,9,8.3,
2018,500332,6,24.4,
2018,500337,6,17.1,
2018,500340,9,29.7,
2018,50A000,6,47.6,
2018,50Z000,6,28.6,
2018,510310,6,25.4,
2018,510324,9,40.7,
2018,510325,9,66.7,
2018,510327,9,47.8,
2018,510329,6,52.2,
2018,510333,9,43.6,
2018,510342,6,30.8,
2018,510344,6,38.7,
2018,510359,6,57.3,
2018,510360,6,35.8,
2018,510364,6,46.5,
2018,510367,9,72.0,
2018,510368,9,23.4,
2018,510376,6,45.5,
