year,agency_code,status,subgroup,ccc_count,ccc_pct
2009,010396,COMP1Y,EDS,11,31.42
2009,010396,COMP1Y,FEM,68,63.55
2009,010396,COMP1Y,HI7,,44.44
2009,010396,COMP1Y,ELS,,25
2009,010396,COMP1Y,MALE,45,48.38
2009,010396,COMP1Y,MU7,,20
2009,010396,COMP1Y,SWD,10,55.55
2009,010396,COMP1Y,WH7,86,65.15
2009,010396,NOCOMP1Y,AM7,,
2009,010396,NOCOMP1Y,AS7,,72.72
2009,010396,NOCOMP1Y,ALL,87,56.5
2009,010396,NOCOMP1Y,BL7,29,32.55
2009,010396,NOCOMP1Y,EDS,24,31.42
2009,010396,NOCOMP1Y,FEM,39,63.55
2009,010396,NOCOMP1Y,HI7,5,44.44
2009,010396,NOCOMP1Y,ELS,,25
2009,010396,NOCOMP1Y,MALE,48,48.38
2009,010396,NOCOMP1Y,MU7,,20
2009,010396,NOCOMP1Y,SWD,8,55.55
2009,010396,NOCOMP1Y,WH7,46,65.15
2009,010400,COMP1Y,AM7,,95
2009,010400,COMP1Y,AS7,,95
2009,010400,COMP1Y,ALL,102,62.19
2009,010400,COMP1Y,BL7,14,46.66
2009,010400,COMP1Y,EDS,7,43.75
2009,010400,COMP1Y,FEM,53,59.55
2009,010400,COMP1Y,HI7,,50
2009,010400,COMP1Y,ELS,,
2009,010400,COMP1Y,MALE,49,65.33
2009,010400,COMP1Y,MU7,,95
2009,010400,COMP1Y,SWD,,95
2009,010400,COMP1Y,WH7,82,65.07
2009,010400,NOCOMP1Y,AM7,,95
2009,010400,NOCOMP1Y,AS7,,95
2009,010400,NOCOMP1Y,ALL,62,62.19
2009,010400,NOCOMP1Y,BL7,16,46.66
2009,010400,NOCOMP1Y,EDS,9,43.75
2009,010400,NOCOMP1Y,FEM,36,59.55
2009,010400,NOCOMP1Y,HI7,,50
2009,010400,NOCOMP1Y,ELS,,
2009,010400,NOCOMP1Y,MALE,26,65.33
2009,010400,NOCOMP1Y,MU7,,95
2009,010400,NOCOMP1Y,SWD,,95
2009,010400,NOCOMP1Y,WH7,44,65.07
2009,010LEA,COMP1Y,AM7,,50
2009,010LEA,COMP1Y,AS7,11,68.75
2009,010LEA,COMP1Y,ALL,490,56.25
2009,010LEA,COMP1Y,BL7,82,41.2
2009,010LEA,COMP1Y,EDS,71,40.34
2009,010LEA,COMP1Y,FEM,291,59.14
2009,010LEA,COMP1Y,HI7,13,43.33
2009,010LEA,COMP1Y,ELS,,33.33
2009,010LEA,COMP1Y,MALE,199,52.5
2009,010LEA,COMP1Y,MU7,6,40
2009,010LEA,COMP1Y,SWD,11,52.38
2009,010LEA,COMP1Y,WH7,377,61.9
2009,010LEA,NOCOMP1Y,AM7,,50
2009,010LEA,NOCOMP1Y,AS7,5,68.75
2009,010LEA,NOCOMP1Y,ALL,381,56.25
2009,010LEA,NOCOMP1Y,BL7,117,41.2
2009,010LEA,NOCOMP1Y,EDS,105,40.34
2009,010LEA,NOCOMP1Y,FEM,201,59.14
2009,010LEA,NOCOMP1Y,HI7,17,43.33
2009,010LEA,NOCOMP1Y,ELS,,33.33
2009,010LEA,NOCOMP1Y,MALE,180,52.5
2009,010LEA,NOCOMP1Y,MU7,9,40
2009,010LEA,NOCOMP1Y,SWD,10,52.38
2009,010LEA,NOCOMP1Y,WH7,232,61.9
2009,01B000,COMP1Y,AM7,,95
