year,agency_code,target,pct_met,target_met,target_assign
2018,00A000,The ACT,0.0,0,4
2018,00A000,Total Targets,34.3,12,35
2018,00A000,Math Grades 3-8,14.3,1,7
2018,00A000,High School Math,0.0,0,3
2018,00A000,Reading Grades 3-8,57.1,4,7
2018,00A000,English II,100.0,5,5
2018,00A000,Science Grades 5&8,33.3,2,6
2018,00A000,Biology,0.0,0,3
2018,00B000,The ACT,100.0,2,2
2018,00B000,Total Targets,100.0,29,29
2018,00B000,Math Grades 3-8,100.0,7,7
2018,00B000,High School Math,100.0,2,2
2018,00B000,Reading Grades 3-8,100.0,7,7
2018,00B000,English II,100.0,2,2
2018,00B000,Science Grades 5&8,100.0,7,7
2018,00B000,Biology,100.0,2,2
2018,010303,The ACT,100.0,1,1
2018,010303,Total Targets,100.0,5,5
2018,010303,High School Math,100.0,1,1
2018,010303,English II,100.0,2,2
2018,010303,Biology,100.0,1,1
2018,010304,Total Targets,100.0,13,13
2018,010304,Math Grades 3-8,100.0,5,5
2018,010304,Reading Grades 3-8,100.0,5,5
2018,010304,Science Grades 5&8,100.0,3,3
2018,010308,Total Targets,100.0,15,15
2018,010308,Math Grades 3-8,100.0,6,6
2018,010308,Reading Grades 3-8,100.0,6,6
2018,010308,Science Grades 5&8,100.0,3,3
2018,010310,Total Targets,100.0,20,20
2018,010310,Math Grades 3-8,100.0,7,7
2018,010310,Reading Grades 3-8,100.0,7,7
2018,010310,Science Grades 5&8,100.0,6,6
2018,010312,Total Targets,100.0,17,17
2018,010312,Math Grades 3-8,100.0,7,7
2018,010312,Reading Grades 3-8,100.0,7,7
2018,010312,Science Grades 5&8,100.0,3,3
2018,010320,Total Targets,100.0,8,8
2018,010320,Math Grades 3-8,100.0,3,3
2018,010320,Reading Grades 3-8,100.0,3,3
2018,010320,Science Grades 5&8,100.0,2,2
2018,010324,The ACT,83.3,5,6
2018,010324,Total Targets,82.1,23,28
2018,010324,High School Math,100.0,6,6
2018,010324,English II,50.0,3,6
2018,010324,Biology,83.3,5,6
2018,010324,ACT WorkKeys,100.0,4,4
2018,010326,Total Targets,100.0,15,15
2018,010326,Math Grades 3-8,100.0,5,5
2018,010326,Reading Grades 3-8,100.0,5,5
2018,010326,Science Grades 5&8,100.0,5,5
2018,010328,Total Targets,100.0,11,11
2018,010328,Math Grades 3-8,100.0,4,4
2018,010328,Reading Grades 3-8,100.0,4,4
2018,010328,Science Grades 5&8,100.0,3,3
2018,010340,Total Targets,100.0,15,15
2018,010340,Math Grades 3-8,100.0,6,6
2018,010340,Reading Grades 3-8,100.0,6,6
2018,010340,Science Grades 5&8,100.0,3,3
2018,010346,Total Targets,100.0,13,13
2018,010346,Math Grades 3-8,100.0,5,5
2018,010346,Reading Grades 3-8,100.0,5,5
2018,010346,Science Grades 5&8,100.0,3,3
2018,010347,Total Targets,100.0,17,17
2018,010347,Math Grades 3-8,100.0,7,7
2018,010347,Reading Grades 3-8,100.0,7,7
2018,010347,Science Grades 5&8,100.0,3,3
2018,010348,The ACT,100.0,4,4
2018,010348,Total Targets,73.7,14,19
2018,010348,High School Math,100.0,4,4
2018,010348,English II,40.0,2,5
2018,010348,Biology,100.0,4,4
2018,010348,ACT WorkKeys,0.0,0,2
2018,010350,Total Targets,100.0,22,22
2018,010350,Math Grades 3-8,100.0,8,8
2018,010350,Reading Grades 3-8,100.0,8,8
2018,010350,Science Grades 5&8,100.0,6,6
2018,010351,Total Targets,100.0,18,18
2018,010351,Math Grades 3-8,100.0,7,7
2018,010351,Reading Grades 3-8,100.0,7,7
2018,010351,Science Grades 5&8,100.0,4,4
2018,010353,Total Targets,100.0,21,21
2018,010353,Math Grades 3-8,100.0,8,8
2018,010353,Reading Grades 3-8,100.0,8,8
2018,010353,Science Grades 5&8,100.0,5,5
2018,010354,Total Targets,100.0,18,18
2018,010354,Math Grades 3-8,100.0,7,7
2018,010354,Reading Grades 3-8,100.0,7,7
2018,010354,Science Grades 5&8,100.0,4,4
2018,010357,Total Targets,100.0,18,18
2018,010357,Math Grades 3-8,100.0,7,7
2018,010357,Reading Grades 3-8,100.0,7,7
2018,010357,Science Grades 5&8,100.0,4,4
2018,010358,Total Targets,100.0,17,17
2018,010358,Math Grades 3-8,100.0,7,7
2018,010358,Reading Grades 3-8,100.0,7,7
2018,010358,Science Grades 5&8,100.0,3,3
2018,010360,The ACT,50.0,3,6
2018,010360,Total Targets,71.4,20,28
2018,010360,High School Math,100.0,6,6
2018,010360,English II,16.7,1,6
2018,010360,Biology,100.0,6,6
2018,010360,ACT WorkKeys,100.0,4,4
2018,010362,Total Targets,100.0,13,13
2018,010362,Math Grades 3-8,100.0,5,5
2018,010362,Reading Grades 3-8,100.0,5,5
2018,010362,Science Grades 5&8,100.0,3,3
2018,010364,Total Targets,100.0,16,16
2018,010364,Math Grades 3-8,100.0,7,7
2018,010364,Reading Grades 3-8,100.0,7,7
2018,010364,Science Grades 5&8,100.0,2,2
2018,010372,Total Targets,100.0,11,11
2018,010372,Math Grades 3-8,100.0,5,5
2018,010372,Reading Grades 3-8,100.0,5,5
2018,010372,Science Grades 5&8,100.0,1,1
2018,010374,Total Targets,100.0,16,16
2018,010374,Math Grades 3-8,100.0,6,6
2018,010374,Reading Grades 3-8,100.0,6,6
2018,010374,Science Grades 5&8,100.0,4,4
2018,010378,Total Targets,0.0,0,6
2018,010378,Math Grades 3-8,0.0,0,3
2018,010378,Reading Grades 3-8,0.0,0,3
2018,010380,Total Targets,100.0,17,17
2018,010380,Math Grades 3-8,100.0,7,7
2018,010380,Reading Grades 3-8,100.0,7,7
2018,010380,Science Grades 5&8,100.0,3,3
2018,010384,Total Targets,100.0,16,16
2018,010384,Math Grades 3-8,100.0,6,6
2018,010384,Reading Grades 3-8,100.0,6,6
2018,010384,Science Grades 5&8,100.0,4,4
2018,010388,The ACT,100.0,5,5
2018,010388,Total Targets,100.0,24,24
2018,010388,High School Math,100.0,5,5
2018,010388,English II,100.0,6,6
2018,010388,Biology,100.0,5,5
2018,010388,ACT WorkKeys,100.0,3,3
2018,010390,Total Targets,100.0,16,16
2018,010390,Math Grades 3-8,100.0,6,6
2018,010390,Reading Grades 3-8,100.0,6,6
2018,010390,Science Grades 5&8,100.0,4,4
2018,010392,Total Targets,100.0,9,9
2018,010392,Math Grades 3-8,100.0,3,3
2018,010392,Reading Grades 3-8,100.0,3,3
2018,010392,Science Grades 5&8,100.0,3,3
2018,010394,Total Targets,100.0,22,22
2018,010394,Math Grades 3-8,100.0,8,8
2018,010394,Reading Grades 3-8,100.0,8,8
2018,010394,Science Grades 5&8,100.0,6,6
2018,010396,The ACT,100.0,6,6
2018,010396,Total Targets,96.6,28,29
2018,010396,High School Math,83.3,5,6
2018,010396,English II,100.0,6,6
2018,010396,Biology,100.0,6,6
2018,010396,ACT WorkKeys,100.0,5,5
2018,010400,The ACT,100.0,4,4
2018,010400,Total Targets,100.0,19,19
2018,010400,High School Math,100.0,4,4
2018,010400,English II,100.0,5,5
2018,010400,Biology,100.0,4,4
2018,010400,ACT WorkKeys,100.0,2,2
2018,010403,Total Targets,95.2,20,21
2018,010403,Math Grades 3-8,100.0,8,8
2018,010403,Reading Grades 3-8,100.0,8,8
2018,010403,Science Grades 5&8,80.0,4,5
2018,010406,Total Targets,100.0,20,20
2018,010406,Math Grades 3-8,100.0,8,8
2018,010406,Reading Grades 3-8,100.0,8,8
2018,010406,Science Grades 5&8,100.0,4,4
2018,01B000,The ACT,100.0,1,1
2018,01B000,Total Targets,100.0,17,17
2018,01B000,Math Grades 3-8,100.0,5,5
2018,01B000,High School Math,100.0,1,1
2018,01B000,Reading Grades 3-8,100.0,5,5
2018,01B000,English II,100.0,2,2
2018,01B000,Science Grades 5&8,100.0,2,2
2018,01B000,Biology,100.0,1,1
2018,01C000,The ACT,100.0,2,2
2018,01C000,Total Targets,93.8,15,16
2018,01C000,Math Grades 3-8,100.0,3,3
2018,01C000,High School Math,50.0,1,2
2018,01C000,Reading Grades 3-8,100.0,3,3
2018,01C000,English II,100.0,2,2
2018,01C000,Science Grades 5&8,100.0,2,2
2018,01C000,Biology,100.0,2,2
2018,01D000,The ACT,50.0,1,2
2018,01D000,Total Targets,92.3,12,13
2018,01D000,Math Grades 3-8,100.0,2,2
2018,01D000,High School Math,100.0,2,2
2018,01D000,Reading Grades 3-8,100.0,2,2
2018,01D000,English II,100.0,1,1
2018,01D000,Science Grades 5&8,100.0,2,2
2018,01D000,Biology,100.0,2,2
2018,020302,The ACT,100.0,4,4
2018,020302,Total Targets,100.0,20,20
2018,020302,High School Math,100.0,4,4
2018,020302,English II,100.0,5,5
2018,020302,Biology,100.0,4,4
2018,020302,ACT WorkKeys,100.0,3,3
2018,020303,Total Targets,100.0,2,2
2018,020303,English II,100.0,2,2
2018,020304,Total Targets,100.0,8,8
2018,020304,Math Grades 3-8,100.0,3,3
2018,020304,Reading Grades 3-8,100.0,3,3
2018,020304,Science Grades 5&8,100.0,2,2
2018,020306,Total Targets,100.0,17,17
2018,020306,Math Grades 3-8,100.0,7,7
2018,020306,Reading Grades 3-8,100.0,7,7
2018,020306,Science Grades 5&8,100.0,3,3
2018,020308,Total Targets,100.0,8,8
2018,020308,Math Grades 3-8,100.0,3,3
2018,020308,Reading Grades 3-8,100.0,3,3
2018,020308,Science Grades 5&8,100.0,2,2
2018,020316,Total Targets,100.0,15,15
2018,020316,Math Grades 3-8,100.0,6,6
2018,020316,Reading Grades 3-8,100.0,6,6
2018,020316,Science Grades 5&8,100.0,3,3
2018,020320,Total Targets,100.0,9,9
2018,020320,Math Grades 3-8,100.0,3,3
2018,020320,Reading Grades 3-8,100.0,3,3
2018,020320,Science Grades 5&8,100.0,3,3
2018,020324,Total Targets,100.0,8,8
2018,020324,Math Grades 3-8,100.0,3,3
2018,020324,Reading Grades 3-8,100.0,3,3
2018,020324,Science Grades 5&8,100.0,2,2
2018,020328,Total Targets,100.0,7,7
2018,020328,Math Grades 3-8,100.0,3,3
2018,020328,Reading Grades 3-8,100.0,3,3
2018,020328,Science Grades 5&8,100.0,1,1
2018,020330,Total Targets,100.0,11,11
2018,020330,Math Grades 3-8,100.0,4,4
2018,020330,Reading Grades 3-8,100.0,4,4
2018,020330,Science Grades 5&8,100.0,3,3
2018,020332,Total Targets,100.0,8,8
2018,020332,Math Grades 3-8,100.0,3,3
2018,020332,Reading Grades 3-8,100.0,3,3
2018,020332,Science Grades 5&8,100.0,2,2
2018,030304,The ACT,100.0,3,3
2018,030304,Total Targets,100.0,15,15
2018,030304,High School Math,100.0,3,3
2018,030304,English II,100.0,3,3
2018,030304,Biology,100.0,3,3
2018,030304,ACT WorkKeys,100.0,3,3
2018,030308,Total Targets,100.0,13,13
2018,030308,Math Grades 3-8,100.0,5,5
2018,030308,Reading Grades 3-8,100.0,5,5
