year,agency_code,career_cluster,num_concentrators
2018,010303,AGNR,2
2018,010303,ARCH,1
2018,010303,AAVC,0
2018,010303,BMA,1
2018,010303,EDUC,0
2018,010303,FINA,0
2018,010303,HLTH,0
2018,010303,HOSP,0
2018,010303,HUMA,1
2018,010303,INFO,1
2018,010303,LAW,1
2018,010303,MANU,0
2018,010303,MRKT,0
2018,010303,STEM,0
2018,010303,TRAN,1
2018,010324,AGNR,15
2018,010324,ARCH,24
2018,010324,AAVC,13
2018,010324,BMA,3
2018,010324,EDUC,0
2018,010324,FINA,4
2018,010324,HLTH,6
2018,010324,HOSP,22
2018,010324,HUMA,1
2018,010324,INFO,8
2018,010324,LAW,0
2018,010324,MANU,3
2018,010324,MRKT,0
2018,010324,STEM,7
2018,010324,TRAN,8
2018,010348,AGNR,10
2018,010348,ARCH,13
2018,010348,AAVC,7
2018,010348,BMA,2
2018,010348,EDUC,0
2018,010348,FINA,1
2018,010348,HLTH,8
2018,010348,HOSP,10
2018,010348,HUMA,1
2018,010348,INFO,3
2018,010348,LAW,1
2018,010348,MANU,2
2018,010348,MRKT,0
2018,010348,STEM,0
2018,010348,TRAN,18
2018,010360,AGNR,18
2018,010360,ARCH,4
2018,010360,AAVC,3
2018,010360,BMA,10
2018,010360,EDUC,0
2018,010360,FINA,5
2018,010360,HLTH,17
2018,010360,HOSP,33
2018,010360,HUMA,0
2018,010360,INFO,2
2018,010360,LAW,0
2018,010360,MANU,5
2018,010360,MRKT,2
2018,010360,STEM,5
2018,010360,TRAN,3
2018,010388,AGNR,106
2018,010388,ARCH,30
2018,010388,AAVC,13
2018,010388,BMA,2
2018,010388,EDUC,0
2018,010388,FINA,1
2018,010388,HLTH,24
2018,010388,HOSP,13
2018,010388,HUMA,1
2018,010388,INFO,15
2018,010388,LAW,7
2018,010388,MANU,0
2018,010388,MRKT,0
2018,010388,STEM,3
2018,010388,TRAN,4
2018,010396,AGNR,28
2018,010396,ARCH,19
2018,010396,AAVC,33
2018,010396,BMA,12
2018,010396,EDUC,0
2018,010396,FINA,14
2018,010396,HLTH,27
2018,010396,HOSP,56
2018,010396,HUMA,3
2018,010396,INFO,12
2018,010396,LAW,0
2018,010396,MANU,1
2018,010396,MRKT,5
2018,010396,STEM,23
2018,010396,TRAN,3
2018,010400,AGNR,63
2018,010400,ARCH,15
2018,010400,AAVC,6
2018,010400,BMA,4
2018,010400,EDUC,0
2018,010400,FINA,0
2018,010400,HLTH,27
2018,010400,HOSP,25
2018,010400,HUMA,5
2018,010400,INFO,19
2018,010400,LAW,0
2018,010400,MANU,2
2018,010400,MRKT,1
2018,010400,STEM,4
2018,010400,TRAN,8
2018,19A000,AGNR,0
2018,19A000,ARCH,0
2018,19A000,AAVC,0
2018,19A000,BMA,0
2018,19A000,EDUC,0
2018,19A000,FINA,0
2018,19A000,HLTH,0
2018,19A000,HOSP,1
2018,19A000,HUMA,0
2018,19A000,INFO,0
2018,19A000,LAW,1
2018,19A000,MANU,2
2018,19A000,MRKT,0
2018,19A000,STEM,0
2018,19A000,TRAN,0
2018,020302,AGNR,124
2018,020302,ARCH,60
2018,020302,AAVC,10
2018,020302,BMA,11
2018,020302,EDUC,0
2018,020302,FINA,0
2018,020302,HLTH,43
2018,020302,HOSP,32
2018,020302,HUMA,6
2018,020302,INFO,22
2018,020302,LAW,0
2018,020302,MANU,9
2018,020302,MRKT,9
2018,020302,STEM,4
2018,020302,TRAN,1
2018,34B000,AGNR,0
2018,34B000,ARCH,0
2018,34B000,AAVC,0
2018,34B000,BMA,0
2018,34B000,EDUC,0
2018,34B000,FINA,0
2018,34B000,HLTH,0
2018,34B000,HOSP,0
2018,34B000,HUMA,0
2018,34B000,INFO,0
2018,34B000,LAW,0
2018,34B000,MANU,0
2018,34B000,MRKT,1
2018,34B000,STEM,0
2018,34B000,TRAN,0
2018,030304,AGNR,32
2018,030304,ARCH,17
2018,030304,AAVC,17
2018,030304,BMA,0
2018,030304,EDUC,0
2018,030304,FINA,0
2018,030304,HLTH,10
2018,030304,HOSP,3
2018,030304,HUMA,0
2018,030304,INFO,8
2018,030304,LAW,1
2018,030304,MANU,4
2018,030304,MRKT,0
2018,030304,STEM,18
2018,030304,TRAN,11
2018,33A000,AGNR,1
2018,33A000,ARCH,0
2018,33A000,AAVC,0
2018,33A000,BMA,0
2018,33A000,EDUC,0
2018,33A000,FINA,0
2018,33A000,HLTH,0
2018,33A000,HOSP,0
2018,33A000,HUMA,0
2018,33A000,INFO,4
2018,33A000,LAW,0
2018,33A000,MANU,0
2018,33A000,MRKT,0
2018,33A000,STEM,0
2018,33A000,TRAN,0
2018,36B000,AGNR,0
2018,36B000,ARCH,0
2018,36B000,AAVC,0
2018,36B000,BMA,2
2018,36B000,EDUC,0
2018,36B000,FINA,0
2018,36B000,HLTH,0
2018,36B000,HOSP,0
2018,36B000,HUMA,0
2018,36B000,INFO,0
2018,36B000,LAW,2
2018,36B000,MANU,0
2018,36B000,MRKT,0
2018,36B000,STEM,0
2018,36B000,TRAN,0
2018,040305,AGNR,2
2018,040305,ARCH,1
2018,040305,AAVC,0
2018,040305,BMA,0
2018,040305,EDUC,0
2018,040305,FINA,0
2018,040305,HLTH,0
2018,040305,HOSP,0
2018,040305,HUMA,0
2018,040305,INFO,0
2018,040305,LAW,9
2018,040305,MANU,0
2018,040305,MRKT,0
2018,040305,STEM,0
2018,040305,TRAN,0
2018,040306,AGNR,35
