year,agency_code,total_nbpts_num,category_code,nbpts_num
2006,120316,7976,E,5
2006,120318,7976,H,14
2006,120320,7976,E,4
2006,120324,7976,E,4
2006,120330,7976,E,3
2006,120334,7976,M,5
2006,120338,7976,E,3
2006,120340,7976,E,5
2006,120344,7976,E,2
2006,120350,7976,M,2
2006,120352,7976,E,
2006,120356,7976,E,4
2006,120360,7976,E,3
2006,120364,7976,E,2
2006,120368,7976,E,4
2006,120372,7976,E,4
2006,120374,7976,E,6
2006,120376,7976,M,2
2006,120380,7976,E,9
2006,120386,7976,E,2
2006,120390,7976,M,4
2006,120LEA,7976,E,4
2006,120LEA,7976,H,14
2006,120LEA,7976,M,4
2006,120LEA,7976,T,3
2006,12A000,7976,E,
2006,130304,7976,E,3
2006,130308,7976,E,3
2006,130309,7976,E,3
2006,130310,7976,H,7
2006,130311,7976,E,3
2006,130312,7976,E,5
2006,130313,7976,M,9
2006,130314,7976,H,4
2006,130315,7976,M,4
2006,130316,7976,H,6
2006,130317,7976,T,2
2006,130318,7976,M,9
2006,130319,7976,E,9
2006,130320,7976,M,8
2006,130322,7976,E,8
2006,130323,7976,M,7
2006,130324,7976,H,6
2006,130326,7976,H,13
2006,130327,7976,M,6
2006,130328,7976,E,1
2006,130329,7976,E,6
2006,130330,7976,E,3
2006,130331,7976,E,6
2006,130334,7976,M,
2006,130336,7976,E,5
2006,130338,7976,E,4
2006,130340,7976,E,5
2006,130342,7976,E,8
2006,130344,7976,E,4
2006,130LEA,7976,E,5
2006,130LEA,7976,H,7
2006,130LEA,7976,M,7
2006,130LEA,7976,T,2
2006,132304,7976,H,8
2006,132308,7976,E,2
2006,132312,7976,E,3
2006,132328,7976,E,3
2006,132329,7976,M,5
2006,132330,7976,M,7
2006,132332,7976,E,5
2006,132336,7976,E,4
2006,132LEA,7976,E,3
2006,132LEA,7976,H,8
2006,132LEA,7976,M,6
2006,13A000,7976,I,
2006,140304,7976,E,2
2006,140305,7976,,2
2006,140306,7976,T,
2006,140307,7976,E,
2006,140308,7976,I,1
2006,140312,7976,E,4
2006,140316,7976,E,1
2006,140324,7976,E,5
2006,140332,7976,M,4
2006,140336,7976,M,4
2006,140340,7976,E,6
