year,agency_code,num_credentials,num_enrollments,cred_earned_pct
2018,010324,223,797,28
2018,010348,87,504,17
2018,010360,157,633,25
2018,010388,463,1061,44
2018,010396,246,874,28
2018,010400,493,743,66
2018,020302,294,938,31
2018,030304,234,389,60
2018,040306,428,666,64
2018,050302,404,621,65
2018,060302,124,444,28
2018,060700,16,22,73
2018,070330,214,319,67
2018,070339,314,357,88
2018,070342,296,671,44
2018,080311,35,111,32
2018,080312,62,498,12
2018,090330,441,525,84
2018,090368,537,634,85
2018,100308,21,101,21
2018,100326,346,744,47
2018,100334,432,723,60
2018,100348,626,974,64
2018,110304,336,803,42
2018,110336,216,489,44
2018,110340,201,898,22
2018,110352,461,798,58
2018,110380,449,729,62
2018,110416,343,910,38
2018,111302,258,834,31
2018,120314,235,660,36
2018,120318,291,787,37
2018,120346,189,440,43
2018,120370,383,747,51
2018,130307,176,1285,14
2018,130310,402,1216,33
2018,130314,144,863,17
2018,130316,125,834,15
2018,130324,318,543,59
2018,130326,229,970,24
2018,130332,321,1076,30
2018,132304,686,1258,55
2018,140305,13,212,6
2018,140348,360,541,67
2018,140386,662,940,70
2018,140390,226,513,44
2018,150304,156,353,44
2018,160313,171,381,45
2018,160314,286,615,47
2018,160344,662,839,79
2018,170316,66,662,10
2018,180308,461,657,70
2018,180320,514,660,78
2018,180323,3,14,21
2018,180340,392,717,55
2018,180348,256,698,37
2018,180376,425,922,46
2018,181318,136,142,96
2018,181322,334,649,51
2018,182316,272,582,47
2018,190310,9,24,38
2018,190316,35,337,10
2018,190336,95,688,14
2018,190342,205,947,22
2018,190501,6,20,30
2018,200308,80,148,54
2018,200314,62,159,39
2018,200328,263,401,66
2018,210312,387,465,83
2018,220310,217,305,71
2018,230312,561,657,85
2018,230324,402,800,50
2018,230350,668,948,70
2018,230361,335,676,50
2018,240334,71,283,25
2018,240371,373,452,83
2018,240373,28,200,14
2018,240380,214,286,75
2018,241316,143,462,31
2018,250321,15,95,16
2018,250340,436,781,56
2018,250356,551,1056,52
2018,250372,226,700,32
2018,260318,1423,1502,95
2018,260322,110,854,13
2018,260325,713,1149,62
2018,260357,306,1136,27
2018,260359,220,647,34
2018,260408,348,1235,28
2018,260411,88,156,56
2018,260424,362,1190,30
2018,260427,246,1129,22
2018,260446,135,728,19
2018,260455,113,804,14
2018,270306,83,660,13
2018,270311,76,129,59
2018,280304,34,217,16
2018,280316,28,298,9
2018,280330,182,325,56
2018,290308,519,699,74
2018,290314,13,35,37
2018,290324,169,725,23
2018,290336,520,799,65
2018,290348,563,952,59
2018,290349,233,396,59
2018,290365,125,312,40
2018,290388,286,653,44
2018,290389,63,167,38
2018,291336,138,696,20
2018,292324,254,530,48
2018,300312,582,1188,49
2018,310338,1,71,1
2018,310344,640,773,83
2018,310352,506,496,102
2018,310364,267,368,73
2018,310392,403,552,73
2018,320312,104,1196,9
2018,320317,77,319,24
2018,320325,92,866,11
2018,320356,190,786,24
2018,320365,154,1048,15
2018,320368,137,847,16
2018,320701,19,266,7
2018,330328,8,163,5
2018,330350,79,659,12
2018,330358,25,472,5
2018,340311,92,907,10
2018,340330,46,300,15
2018,340364,174,947,18
2018,340382,101,680,15
2018,340427,1,22,5
2018,340454,60,750,8
2018,340460,108,656,16
2018,340486,96,715,13
2018,340488,77,323,24
2018,340495,159,850,19
2018,340496,85,649,13
2018,340542,166,482,34
2018,340556,269,1048,26
2018,350308,306,651,47
2018,350321,410,812,50
2018,350336,206,427,48
2018,360310,757,844,90
2018,360336,413,480,86
2018,360360,421,405,104
2018,360372,19,83,23
2018,360378,452,670,67
2018,360390,336,525,64
2018,360396,542,683,79
2018,360418,603,549,110
2018,360428,635,829,77
2018,360470,461,708,65
2018,360494,409,611,67
2018,370312,188,330,57
2018,380308,131,213,62
2018,390322,109,490,22
2018,390324,65,555,12
2018,390352,25,602,4
2018,400308,331,568,58
2018,410319,149,617,24
2018,410326,85,81,105
2018,410355,231,951,24
2018,410358,324,906,36
2018,410391,25,215,12
2018,410394,221,576,38
2018,410406,163,787,21
2018,410407,53,106,50
2018,410484,207,757,27
2018,410489,201,588,34
2018,410490,268,799,34
2018,410508,299,814,37
2018,410529,268,1048,26
2018,410544,104,785,13
2018,410545,212,197,108
2018,410547,289,962,30
2018,410556,433,828,52
2018,410562,309,976,32
2018,410589,196,477,41
2018,410595,66,558,12
2018,420346,172,293,59
2018,420358,93,207,45
2018,421316,583,743,78
2018,422310,34,109,31
2018,422315,113,166,68
2018,430345,57,45,127
2018,430346,751,1145,66
2018,430371,1384,1323,105
2018,430378,666,1020,65
2018,430384,928,1072,87
2018,440326,2,51,4
2018,440378,154,817,19
2018,440390,327,782,42
2018,450316,168,661,25
2018,450334,50,570,9
2018,450341,418,713,59
2018,450343,48,137,35
2018,450352,452,767,59
2018,460320,134,470,29
2018,460340,11,65,17
2018,470312,703,1243,57
2018,470342,11,63,17
2018,480316,17,60,28
2018,480318,11,155,7
2018,490307,23,97,24
2018,490310,339,380,89
2018,490320,120,97,124
2018,490335,558,1241,45
2018,490346,415,748,55
2018,490354,177,656,27
2018,490355,16,95,17
2018,490362,109,888,12
2018,490380,180,561,32
2018,491312,632,1267,50
2018,500302,4,95,4
2018,500324,10,54,19
2018,500340,239,563,42
2018,510324,957,1327,72
2018,510327,280,1145,24
2018,510333,687,1412,49
2018,510368,316,565,56
2018,510376,239,837,29
2018,510399,18,755,2
2018,510402,359,860,42
2018,510406,835,1044,80
2018,520320,160,258,62
2018,530336,808,1166,69
2018,530343,757,846,89
2018,540315,171,570,30
2018,540324,185,715,26
2018,540336,127,583,22
2018,550308,4,26,15
2018,550320,460,702,66
2018,550332,379,585,65
2018,550344,678,709,96
2018,550368,361,626,58
2018,560320,41,734,6
2018,560350,12,74,16
2018,570318,29,417,7
2018,580344,175,184,95
2018,580368,207,441,47
2018,590330,387,1202,32
2018,590393,36,55,65
2018,600302,614,2102,29
2018,600312,373,1602,23
2018,600361,7,1409,0
2018,600364,60,111,54
2018,600377,148,1255,12
2018,600386,36,240,15
2018,600397,35,838,4
2018,600405,75,936,8
2018,600415,115,1114,10
2018,600426,309,1380,22
2018,600439,1,198,1
2018,600445,281,1571,18
2018,600461,1,20,5
2018,600466,40,1764,2
2018,600480,36,1451,2
2018,600496,471,1428,33
2018,600498,3,127,2
2018,600499,6,75,8
2018,600508,60,1250,5
2018,600535,113,1665,7
2018,600576,374,839,45
2018,600579,94,1120,8
2018,600592,116,1008,12
2018,600693,26,351,7
2018,600694,66,466,14
2018,600696,9,455,2
2018,610334,382,448,85
2018,620310,14,15,93
2018,620316,128,400,32
2018,620340,270,377,72
2018,630332,287,435,66
2018,630336,394,1376,29
2018,630360,150,940,16
2018,640340,5,39,13
2018,640346,225,734,31
2018,640350,182,814,22
2018,640361,321,811,40
2018,640364,144,762,19
2018,650326,342,1277,27
2018,650327,624,1238,50
2018,650340,232,65,357
2018,650342,538,1045,51
2018,650352,406,874,46
2018,650355,2,56,4
2018,650394,89,103,86
2018,650395,80,44,182
2018,660336,162,285,57
2018,670320,190,642,30
2018,670324,476,1001,48
2018,670333,172,817,21
2018,670340,435,741,59
2018,670344,181,593,31
2018,670352,436,940,46
2018,670364,97,735,13
2018,680310,21,776,3
2018,680332,104,906,11
2018,681305,85,335,25
2018,681308,33,703,5
2018,681314,3,648,0
2018,681338,7,15,47
2018,690320,111,321,35
2018,700317,261,573,46
2018,700319,313,613,51
2018,710321,206,578,36
2018,710326,229,472,49
2018,710342,391,1084,36
2018,720316,152,313,49
2018,730352,597,983,61
2018,740309,115,509,23
2018,740333,963,1222,79
2018,740344,209,551,38
2018,740366,326,938,35
2018,740374,173,668,26
2018,740388,446,1221,37
2018,750318,218,516,42
2018,760318,264,552,48
2018,760339,677,619,109
2018,760348,651,755,86
2018,760358,621,791,79
2018,760380,404,559,72
2018,760382,50,382,13
2018,760388,469,656,71
2018,761304,329,1070,31
2018,770342,50,48,104
2018,770348,955,1218,78
2018,770351,457,349,131
2018,780325,98,504,19
2018,780342,503,1448,35
2018,780385,73,125,58
2018,780391,332,500,66
2018,780401,316,756,42
2018,780402,186,364,51
2018,780420,207,1094,19
2018,790314,172,693,25
2018,790354,217,587,37
2018,790366,95,484,20
2018,790378,238,808,29
2018,800308,1,52,2
2018,800340,571,738,77
2018,800361,499,891,56
2018,800376,196,439,45
2018,800396,339,580,58
2018,800400,494,808,61
2018,800408,438,798,55
2018,810324,135,556,24
2018,810340,196,598,33
2018,810384,103,557,18
2018,820348,184,448,41
2018,820349,151,370,41
2018,820352,340,655,52
2018,820388,72,402,18
2018,821308,114,689,17
2018,830316,8,18,44
2018,830343,715,1108,65
2018,840302,44,295,15
2018,840332,317,505,63
2018,840356,151,395,38
2018,840368,226,625,36
2018,850332,195,300,65
2018,850352,133,372,36
2018,850358,236,613,38
2018,860316,250,473,53
2018,860336,298,719,41
2018,860352,207,567,37
2018,860354,1,125,1
2018,861308,241,319,76
