year,agency_code,lp_school,rlp_school,clpc_school,lp_num,lp_den,lp_pct,lp_district
2018,00A000,Y,N,Y,,,,
2018,00B000,Y,N,Y,,,,
2018,010303,N,N,N,,,,
2018,010304,N,N,N,,,,
2018,010308,N,N,N,,,,
2018,010310,Y,Y,N,,,,
2018,010311,N,N,N,,,,
2018,010312,N,N,N,,,,
2018,010320,N,N,N,,,,
2018,010324,N,N,N,,,,
2018,010326,Y,Y,N,,,,
2018,010328,N,N,N,,,,
2018,010340,N,N,N,,,,
2018,010346,Y,N,N,,,,
2018,010347,N,N,N,,,,
2018,010348,N,N,N,,,,
2018,010350,Y,Y,N,,,,
2018,010351,Y,N,N,,,,
2018,010353,N,N,N,,,,
2018,010354,Y,Y,N,,,,
2018,010357,Y,Y,N,,,,
2018,010358,Y,Y,N,,,,
2018,010360,N,N,N,,,,
2018,010362,N,N,N,,,,
2018,010364,Y,Y,N,,,,
2018,010372,N,N,N,,,,
2018,010374,Y,Y,N,,,,
2018,010378,N,N,N,,,,
2018,010380,Y,Y,N,,,,
2018,010384,N,N,N,,,,
2018,010388,N,N,N,,,,
2018,010390,N,N,N,,,,
2018,010392,Y,N,N,,,,
2018,010394,Y,Y,N,,,,
2018,010396,N,N,N,,,,
2018,010400,N,N,N,,,,
2018,010403,N,N,N,,,,
2018,010406,N,N,N,,,,
2018,010LEA,,,,13,34,38.2,N
2018,01B000,N,N,N,,,,
2018,01C000,N,N,N,,,,
2018,01D000,N,N,N,,,,
2018,020302,N,N,N,,,,
2018,020303,N,N,N,,,,
2018,020304,N,N,N,,,,
2018,020306,N,N,N,,,,
2018,020308,N,N,N,,,,
2018,020316,Y,N,N,,,,
2018,020320,N,N,N,,,,
2018,020324,N,N,N,,,,
2018,020328,N,N,N,,,,
2018,020330,N,N,N,,,,
2018,020332,N,N,N,,,,
2018,020LEA,,,,1,11,9.1,N
2018,030304,N,N,N,,,,
2018,030308,N,N,N,,,,
2018,030316,N,N,N,,,,
2018,030320,N,N,N,,,,
2018,030LEA,,,,0,4,0.0,N
2018,040304,N,N,N,,,,
2018,040305,N,N,N,,,,
2018,040306,N,Y,N,,,,
2018,040308,N,N,N,,,,
2018,040309,Y,Y,N,,,,
2018,040311,Y,Y,N,,,,
2018,040316,Y,Y,N,,,,
2018,040324,Y,Y,N,,,,
2018,040328,N,N,N,,,,
2018,040330,Y,Y,N,,,,
2018,040LEA,,,,5,9,55.6,Y
2018,050302,N,N,N,,,,
2018,050305,N,N,N,,,,
2018,050310,N,N,N,,,,
2018,050330,N,N,N,,,,
2018,050335,N,N,N,,,,
2018,050LEA,,,,0,5,0.0,N
2018,060302,N,N,N,,,,
2018,060304,N,N,N,,,,
2018,060310,N,N,N,,,,
2018,060316,N,N,N,,,,
2018,060318,N,N,N,,,,
2018,060322,N,N,N,,,,
2018,060328,N,N,N,,,,
2018,060332,N,N,N,,,,
2018,060334,N,N,N,,,,
2018,060700,N,N,N,,,,
2018,060701,N,N,N,,,,
2018,060LEA,,,,0,9,0.0,N
2018,06A000,N,N,N,,,,
2018,06B000,Y,N,Y,,,,
2018,070302,N,N,N,,,,
2018,070308,N,N,N,,,,
2018,070310,N,N,N,,,,
2018,070311,N,N,N,,,,
2018,070325,N,N,N,,,,
2018,070326,N,N,N,,,,
2018,070327,N,N,N,,,,
2018,070328,N,N,N,,,,
2018,070329,Y,N,N,,,,
2018,070330,N,N,N,,,,
2018,070338,Y,N,N,,,,
2018,070339,N,Y,N,,,,
2018,070340,Y,Y,N,,,,
2018,070342,N,Y,N,,,,
2018,070LEA,,,,3,12,25.0,N
2018,07A000,N,N,N,,,,
2018,080311,N,N,N,,,,
2018,080312,Y,Y,N,,,,
2018,080314,Y,N,N,,,,
2018,080348,N,N,N,,,,
2018,080356,N,N,N,,,,
2018,080360,N,N,N,,,,
2018,080362,N,N,N,,,,
2018,080LEA,,,,2,7,28.6,N
2018,08A000,Y,N,Y,,,,
2018,090304,Y,Y,N,,,,
2018,090315,N,N,N,,,,
2018,090317,N,N,N,,,,
2018,090318,N,N,N,,,,
2018,090320,N,N,N,,,,
2018,090324,N,N,N,,,,
2018,090328,Y,Y,N,,,,
2018,090330,N,N,N,,,,
2018,090332,Y,Y,N,,,,
2018,090333,N,N,N,,,,
2018,090352,N,N,N,,,,
2018,090365,Y,Y,N,,,,
2018,090368,N,N,N,,,,
2018,090LEA,,,,4,13,30.8,N
2018,09A000,Y,N,Y,,,,
2018,09B000,N,N,N,,,,
2018,100302,N,N,N,,,,
2018,100304,N,N,N,,,,
2018,100307,N,N,N,,,,
2018,100308,N,N,N,,,,
2018,100309,Y,Y,N,,,,
2018,100310,Y,Y,N,,,,
2018,100316,N,Y,N,,,,
2018,100320,N,N,N,,,,
2018,100326,N,N,N,,,,
2018,100332,N,N,N,,,,
2018,100334,N,N,N,,,,
2018,100335,N,N,N,,,,
2018,100336,N,N,N,,,,
2018,100338,Y,Y,N,,,,
2018,100339,N,N,N,,,,
2018,100340,N,N,N,,,,
2018,100342,N,N,N,,,,
2018,100344,N,N,N,,,,
2018,100348,N,N,N,,,,
2018,100LEA,,,,3,18,16.7,N
2018,10A000,N,N,N,,,,
2018,10B000,N,N,N,,,,
2018,110303,N,N,N,,,,
2018,110304,N,N,N,,,,
2018,110306,N,N,N,,,,
2018,110308,N,N,N,,,,
2018,110318,N,N,N,,,,
2018,110320,N,N,N,,,,
2018,110322,N,N,N,,,,
2018,110323,N,N,N,,,,
2018,110324,N,N,N,,,,
2018,110326,N,N,N,,,,
2018,110332,N,N,N,,,,
2018,110336,N,N,N,,,,
2018,110338,N,N,N,,,,
2018,110340,N,N,N,,,,
2018,110342,Y,Y,N,,,,
2018,110348,N,N,N,,,,
2018,110352,N,N,N,,,,
2018,110356,N,N,N,,,,
2018,110366,N,N,N,,,,
2018,110368,N,N,N,,,,
2018,110370,N,N,N,,,,
2018,110372,Y,Y,N,,,,
2018,110376,N,N,N,,,,
2018,110379,N,N,N,,,,
2018,110380,N,N,N,,,,
2018,110381,N,N,N,,,,
2018,110382,N,N,N,,,,
2018,110384,N,N,N,,,,
2018,110388,N,N,N,,,,
2018,110401,N,N,N,,,,
2018,110408,N,N,N,,,,
2018,110410,N,N,N,,,,
2018,110412,N,N,N,,,,
2018,110416,N,N,N,,,,
2018,110420,N,N,N,,,,
2018,110422,N,N,N,,,,
2018,110425,N,N,N,,,,
2018,110428,N,N,N,,,,
2018,110432,N,N,N,,,,
2018,110436,N,N,N,,,,
2018,110444,N,N,N,,,,
2018,110450,N,N,N,,,,
2018,110451,N,N,N,,,,
2018,110500,N,N,N,,,,
2018,110LEA,,,,2,41,4.9,N
2018,111302,N,N,N,,,,
2018,111304,N,N,N,,,,
2018,111306,N,N,N,,,,
2018,111307,N,N,N,,,,
2018,111312,N,N,N,,,,
2018,111332,N,N,N,,,,
2018,111356,N,N,N,,,,
2018,111360,N,N,N,,,,
2018,111369,N,N,N,,,,
2018,111700,N,N,N,,,,
2018,111LEA,,,,0,9,0.0,N
2018,11A000,N,N,N,,,,
2018,11B000,N,N,N,,,,
2018,11C000,N,N,N,,,,
2018,11D000,N,N,N,,,,
2018,11K000,N,N,N,,,,
2018,120304,Y,N,N,,,,
2018,120308,N,N,N,,,,
2018,120310,N,N,N,,,,
2018,120312,N,N,N,,,,
2018,120314,N,N,N,,,,
2018,120315,N,N,N,,,,
2018,120316,N,N,N,,,,
2018,120318,N,N,N,,,,
2018,120320,N,N,N,,,,
2018,120324,N,N,N,,,,
2018,120334,N,N,N,,,,
2018,120338,N,N,N,,,,
2018,120340,N,N,N,,,,
2018,120344,N,N,N,,,,
2018,120346,N,N,N,,,,
2018,120350,N,N,N,,,,
2018,120352,N,N,N,,,,
2018,120360,N,N,N,,,,
2018,120364,N,N,N,,,,
2018,120368,N,N,N,,,,
2018,120370,N,N,N,,,,
2018,120372,N,N,N,,,,
2018,120374,N,N,N,,,,
2018,120376,N,N,N,,,,
2018,120380,N,N,N,,,,
2018,120386,N,N,N,,,,
2018,120390,N,N,N,,,,
2018,120LEA,,,,1,24,4.2,N
2018,12A000,N,N,N,,,,
2018,130304,N,N,N,,,,
2018,130307,N,N,N,,,,
2018,130308,N,N,N,,,,
2018,130309,N,N,N,,,,
2018,130310,N,N,N,,,,
2018,130311,N,N,N,,,,
2018,130312,N,N,N,,,,
2018,130313,Y,Y,N,,,,
2018,130314,N,N,N,,,,
2018,130315,N,N,N,,,,
2018,130316,N,N,N,,,,
2018,130317,N,N,N,,,,
2018,130318,N,N,N,,,,
2018,130319,N,N,N,,,,
2018,130320,N,N,N,,,,
2018,130321,N,N,N,,,,
2018,130322,N,N,N,,,,
2018,130323,N,N,N,,,,
2018,130324,N,N,N,,,,
2018,130325,N,N,N,,,,
2018,130326,N,N,N,,,,
2018,130327,N,N,N,,,,
2018,130328,Y,Y,N,,,,
2018,130329,N,Y,N,,,,
2018,130330,N,N,N,,,,
2018,130331,N,N,N,,,,
2018,130332,N,N,N,,,,
2018,130333,N,N,N,,,,
2018,130336,N,N,N,,,,
2018,130337,N,N,N,,,,
2018,130338,N,N,N,,,,
2018,130340,Y,Y,N,,,,
2018,130342,Y,Y,N,,,,
2018,130344,N,N,N,,,,
2018,130345,N,N,N,,,,
2018,130346,N,N,N,,,,
2018,130349,N,N,N,,,,
2018,130350,N,N,N,,,,
2018,130355,N,N,N,,,,
2018,130LEA,,,,4,37,10.8,N
2018,132304,Y,Y,N,,,,
2018,132308,N,N,N,,,,
2018,132312,N,Y,N,,,,
2018,132314,Y,N,N,,,,
2018,132328,N,N,N,,,,
2018,132330,N,Y,N,,,,
2018,132332,Y,Y,N,,,,
2018,132336,N,N,N,,,,
2018,132LEA,,,,3,8,37.5,N
2018,13A000,N,N,N,,,,
2018,13B000,N,N,N,,,,
2018,13C000,Y,N,Y,,,,
2018,13D000,N,N,N,,,,
2018,140304,N,N,N,,,,
2018,140305,N,N,N,,,,
2018,140306,N,N,N,,,,
2018,140307,N,N,N,,,,
2018,140308,N,N,N,,,,
2018,140309,N,N,N,,,,
2018,140312,N,N,N,,,,
2018,140316,N,N,N,,,,
2018,140324,Y,N,N,,,,
2018,140332,N,N,N,,,,
2018,140336,N,N,N,,,,
2018,140340,N,N,N,,,,
2018,140344,N,N,N,,,,
2018,140348,N,N,N,,,,
2018,140352,N,N,N,,,,
2018,140356,N,N,N,,,,
2018,140360,N,N,N,,,,
2018,140368,N,N,N,,,,
2018,140372,N,N,N,,,,
2018,140376,Y,Y,N,,,,
2018,140384,N,N,N,,,,
2018,140386,N,N,N,,,,
2018,140388,Y,Y,N,,,,
2018,140390,N,N,N,,,,
2018,140392,Y,Y,N,,,,
2018,140396,N,N,N,,,,
2018,140LEA,,,,4,24,16.7,N
2018,150304,N,N,N,,,,
2018,150308,N,N,N,,,,
2018,150310,N,N,N,,,,
2018,150312,N,N,N,,,,
2018,150350,N,N,N,,,,
2018,150LEA,,,,0,5,0.0,N
2018,160304,N,N,N,,,,
2018,160306,N,N,N,,,,
2018,160308,N,N,N,,,,
2018,160309,N,N,N,,,,
2018,160310,N,N,N,,,,
2018,160311,N,N,N,,,,
2018,160313,N,N,N,,,,
2018,160314,N,N,N,,,,
2018,160316,N,N,N,,,,
2018,160317,N,N,N,,,,
2018,160318,N,N,N,,,,
2018,160322,N,N,N,,,,
2018,160324,N,N,N,,,,
2018,160326,N,N,N,,,,
2018,160332,N,N,N,,,,
2018,160344,N,N,N,,,,
2018,160352,N,N,N,,,,
2018,160LEA,,,,0,16,0.0,N
2018,16B000,N,N,N,,,,
2018,170316,N,N,N,,,,
2018,170334,N,N,N,,,,
2018,170338,Y,Y,N,,,,
2018,170339,Y,Y,N,,,,
2018,170342,Y,N,N,,,,
2018,170344,Y,N,N,,,,
2018,170LEA,,,,4,6,66.7,Y
2018,180302,N,N,N,,,,
2018,180304,N,N,N,,,,
2018,180308,N,N,N,,,,
2018,180312,N,N,N,,,,
2018,180316,N,N,N,,,,
2018,180320,N,N,N,,,,
2018,180323,N,N,N,,,,
2018,180324,N,N,N,,,,
2018,180325,N,N,N,,,,
2018,180326,N,N,N,,,,
2018,180332,N,N,N,,,,
2018,180336,N,N,N,,,,
2018,180340,N,N,N,,,,
2018,180342,N,N,N,,,,
2018,180343,N,N,N,,,,
2018,180344,N,N,N,,,,
2018,180346,N,N,N,,,,
2018,180348,N,N,N,,,,
2018,180352,N,N,N,,,,
2018,180356,N,N,N,,,,
2018,180360,N,N,N,,,,
2018,180364,N,N,N,,,,
2018,180368,N,N,N,,,,
2018,180372,N,N,N,,,,
2018,180376,N,N,N,,,,
2018,180379,N,N,N,,,,
2018,180380,N,N,N,,,,
2018,180388,N,N,N,,,,
2018,180LEA,,,,0,27,0.0,N
2018,181312,N,N,N,,,,
2018,181316,N,Y,N,,,,
2018,181318,N,N,N,,,,
2018,181322,N,N,N,,,,
2018,181326,N,N,N,,,,
2018,181332,N,N,N,,,,
2018,181336,N,N,N,,,,
2018,181342,N,Y,N,,,,
2018,181344,N,N,N,,,,
2018,181LEA,,,,0,8,0.0,N
2018,182304,N,N,N,,,,
2018,182316,N,N,N,,,,
2018,182321,N,N,N,,,,
2018,182322,N,N,N,,,,
2018,182324,N,N,N,,,,
2018,182328,N,N,N,,,,
2018,182700,N,N,N,,,,
2018,182LEA,,,,0,6,0.0,N
2018,190304,N,N,N,,,,
2018,190308,N,N,N,,,,
2018,190310,N,N,N,,,,
2018,190312,Y,Y,N,,,,
2018,190316,N,N,N,,,,
2018,190328,N,N,N,,,,
2018,190332,N,N,N,,,,
2018,190336,N,N,N,,,,
2018,190339,N,N,N,,,,
2018,190340,N,N,N,,,,
2018,190341,N,N,N,,,,
2018,190342,N,N,N,,,,
2018,190346,N,N,N,,,,
2018,190348,N,N,N,,,,
2018,190350,N,N,N,,,,
2018,190352,N,N,N,,,,
2018,190370,N,Y,N,,,,
2018,190501,N,N,N,,,,
2018,190LEA,,,,1,16,6.3,N
2018,19A000,N,N,N,,,,
2018,19B000,N,N,N,,,,
2018,19C000,N,N,N,,,,
2018,200304,N,N,N,,,,
2018,200308,N,N,N,,,,
2018,200310,N,N,N,,,,
2018,200312,N,N,N,,,,
2018,200314,N,N,N,,,,
2018,200320,N,N,N,,,,
2018,200322,N,N,N,,,,
2018,200324,N,N,N,,,,
2018,200328,N,N,N,,,,
2018,200330,N,N,N,,,,
2018,200332,N,N,N,,,,
2018,200336,N,N,N,,,,
2018,200350,N,N,N,,,,
2018,200LEA,,,,0,12,0.0,N
2018,20A000,N,N,N,,,,
2018,210304,N,N,N,,,,
2018,210306,N,N,N,,,,
2018,210312,N,N,N,,,,
2018,210316,N,N,N,,,,
2018,210LEA,,,,0,3,0.0,N
2018,220308,N,N,N,,,,
2018,220310,N,N,N,,,,
2018,220312,N,N,N,,,,
2018,220LEA,,,,0,3,0.0,N
2018,230304,N,N,N,,,,
2018,230308,N,N,N,,,,
2018,230312,N,N,N,,,,
2018,230316,N,N,N,,,,
2018,230320,N,N,N,,,,
2018,230322,N,N,N,,,,
2018,230324,N,N,N,,,,
2018,230328,N,N,N,,,,
2018,230330,N,N,N,,,,
2018,230334,N,N,N,,,,
2018,230336,Y,N,N,,,,
2018,230340,N,N,N,,,,
2018,230342,N,Y,N,,,,
2018,230344,N,N,N,,,,
2018,230346,N,N,N,,,,
2018,230348,N,N,N,,,,
2018,230350,N,N,N,,,,
2018,230351,N,N,N,,,,
2018,230352,N,N,N,,,,
