year,agency_code,category_code,pct_ib_pass,pct_ib_participation
2014,181322,H,0.92,
2014,181LEA,,0.92,
2014,260427,H,0.65,
2014,260LEA,,0.65,
2014,320325,H,0.73,
2014,320LEA,,0.73,
2014,340486,H,0.63,0.09
2014,340LEA,,0.63,
2014,360428,H,0.69,
2014,360LEA,,0.69,
2014,410394,H,0.85,0.15
2014,410406,H,0.67,
2014,410508,H,0.67,0.12
2014,410544,H,0.36,
2014,410LEA,,0.73,
2014,490362,H,0.95,
2014,490LEA,,0.95,
2014,540315,H,0.6,0.07
2014,540LEA,,0.6,
2014,600377,H,0.7,0.07
2014,600405,H,0.38,0.08
2014,600466,H,0.95,0.07
2014,600480,H,0.87,
2014,600576,H,0.9,
2014,600LEA,,0.75,
2014,640361,H,0.95,
2014,640LEA,,0.95,
2014,670324,H,0.89,
2014,670LEA,,0.89,
2014,680310,H,0.95,
2014,680LEA,,0.95,
2014,790366,H,0.57,0.07
2014,790LEA,,0.57,
2014,900393,H,0.95,
2014,900LEA,,0.95,
2014,920348,H,0.88,
2014,920412,H,0.88,
2014,920436,H,0.81,
2014,920500,H,0.9,0.06
2014,920LEA,,0.88,
2014,980318,H,0.75,
2014,980336,H,0.7,
2014,980342,H,0.84,
2014,980LEA,,0.76,
2015,181322,H,0.79,
2015,181LEA,,0.79,
2015,260427,H,0.75,
2015,260LEA,,0.75,
2015,320325,H,0.56,
2015,320LEA,,0.56,
2015,340486,H,0.54,0.08
2015,340LEA,,0.54,
2015,360428,H,0.65,0.07
2015,360LEA,,0.65,
2015,410394,H,0.84,0.17
2015,410406,H,0.83,
2015,410508,H,0.75,0.12
2015,410544,H,0.4,
2015,410LEA,,0.77,
2015,490362,H,0.95,
2015,490LEA,,0.95,
2015,510399,H,0.95,
2015,510LEA,,0.95,
2015,540315,H,0.62,0.06
2015,540LEA,,0.62,
2015,600377,H,0.64,0.09
2015,600405,H,0.53,0.06
2015,600466,H,0.9,0.09
2015,600480,H,0.85,
2015,600576,H,0.55,
2015,600LEA,,0.75,
2015,640361,H,0.87,
2015,640LEA,,0.87,
2015,670324,H,0.74,
2015,670LEA,,0.74,
2015,680310,H,0.95,
2015,680LEA,,0.95,
2015,790366,H,0.63,0.07
2015,790LEA,,0.63,
2015,900393,H,0.95,
2015,900LEA,,0.95,
2015,920348,H,0.95,
2015,920412,H,0.92,
2015,920436,H,0.88,
2015,920500,H,0.95,
2015,920LEA,,0.93,
2015,980318,H,0.5,
2015,980336,H,0.69,
2015,980342,H,0.82,
2015,980LEA,,0.73,
2016,130314,H,0.95,
2016,130LEA,,0.95,
2016,181322,H,0.65,
2016,181LEA,,0.65,
2016,260427,H,0.95,
2016,260LEA,,0.95,
2016,320325,H,0.7,
2016,320LEA,,0.7,
2016,340486,H,0.66,
2016,340LEA,,0.66,
2016,360428,H,0.58,
2016,360LEA,,0.58,
2016,410394,H,0.7,0.2
2016,410406,H,0.86,
2016,410508,H,0.76,0.12
2016,410544,H,0.43,
2016,410LEA,,0.71,
2016,490362,H,0.95,0.07
2016,490LEA,,0.95,
2016,510399,H,0.92,
2016,510LEA,,0.92,
2016,540315,H,0.43,
2016,540LEA,,0.43,
2016,600377,H,0.78,0.09
2016,600405,H,0.26,0.07
2016,600466,H,0.79,0.11
2016,600480,H,0.85,
2016,600576,H,0.68,
2016,600LEA,,0.71,
2016,640361,H,0.88,
2016,640LEA,,0.88,
2016,670324,H,0.76,
2016,670LEA,,0.76,
2016,680310,H,0.95,
2016,680LEA,,0.95,
2016,790366,H,0.61,0.1
2016,790LEA,,0.61,
2016,900393,H,0.95,
2016,900LEA,,0.95,
2016,920348,H,0.95,
2016,920412,H,0.81,
2016,920436,H,0.73,
2016,920500,H,0.9,
2016,920LEA,,0.86,
2016,980318,H,0.95,
2016,980336,H,0.95,
2016,980342,H,0.95,
2016,980LEA,,0.95,
2017,130314,H,0.95,
2017,130LEA,,0.95,
2017,181322,H,0.95,0.06
2017,181LEA,,0.95,
2017,260427,H,0.95,
2017,260LEA,,0.95,
2017,320325,H,0.95,0.06
2017,320LEA,,0.95,
2017,340486,H,0.95,
2017,340LEA,,0.95,
2017,360428,H,0.95,
2017,360LEA,,0.95,
2017,410394,H,0.95,0.12
2017,410406,H,0.95,0.09
2017,410508,H,0.95,0.15
2017,410544,H,0.95,0.06
2017,410LEA,,0.95,
2017,490362,H,0.95,0.07
2017,490LEA,,0.95,
2017,510399,H,0.95,
2017,510LEA,,0.95,
2017,530336,H,0.95,
2017,530LEA,,0.95,
2017,540315,H,0.95,
2017,540LEA,,0.95,
2017,600377,H,0.95,0.09
2017,600405,H,0.95,
2017,600466,H,0.95,0.09
2017,600480,H,0.95,
2017,600576,H,0.95,
2017,600LEA,,0.95,
2017,640361,H,0.95,
2017,640LEA,,0.95,
2017,650342,H,0.95,
2017,650LEA,,0.95,
2017,670324,H,0.95,
2017,670LEA,,0.95,
2017,680310,H,0.95,
2017,680LEA,,0.95,
2017,790366,H,0.95,0.09
2017,790LEA,,0.95,
2017,900393,H,0.95,
2017,900LEA,,0.95,
2017,920348,H,0.95,0.06
2017,920412,H,0.95,
2017,920436,H,0.95,
2017,920500,H,0.95,0.07
2017,920LEA,,0.95,
2017,980318,H,0.95,
2017,980336,H,0.95,
2017,980342,H,0.95,
2017,980LEA,,0.95,
2014,NC-SEA,,0.77,
2015,NC-SEA,,0.78,
2016,NC-SEA,,0.75,
2017,NC-SEA,,0.95,
2018,130314,H,0.95,
2018,130LEA,,0.95,
2018,181322,H,0.72,
2018,181LEA,,0.72,
2018,260427,H,0.88,
2018,260LEA,,0.88,
2018,320325,H,0.38,0.07
2018,320LEA,,0.38,
2018,340486,H,0.55,
2018,340LEA,,0.55,
2018,410394,H,0.76,0.14
2018,410406,H,0.84,0.08
2018,410508,H,0.78,0.13
2018,410544,H,0.39,0.06
2018,410LEA,,0.74,
2018,490362,H,0.95,0.09
2018,490LEA,,0.95,
2018,510399,H,0.83,
2018,510LEA,,0.83,
2018,530336,H,0.5,
2018,530LEA,,0.5,
2018,540315,H,0.5,
