year,agency_code,pct_eds,pct_eds_masking
2018,00A000,18.3,
2018,00B000,25.7,
2018,010303,50.0,
2018,010304,50.1,
2018,010308,45.1,
2018,010310,54.3,
2018,010311,,3.0
2018,010312,36.4,
2018,010320,42.7,
2018,010324,35.6,
2018,010326,62.9,
2018,010328,30.2,
2018,010340,48.7,
2018,010346,57.6,
2018,010347,55.9,
2018,010348,73.8,
2018,010350,83.7,
2018,010351,58.4,
2018,010353,55.5,
2018,010354,66.7,
2018,010357,55.4,
2018,010358,58.3,
2018,010360,77.2,
2018,010362,44.0,
2018,010364,64.1,
2018,010372,48.5,
2018,010374,54.2,
2018,010378,74.2,
2018,010380,45.0,
2018,010384,39.1,
2018,010388,34.4,
2018,010390,39.7,
2018,010392,62.4,
2018,010394,65.2,
2018,010396,56.0,
2018,010400,29.1,
2018,010403,37.1,
2018,010406,41.8,
2018,010LEA,50.6,
2018,01B000,9.9,
2018,01C000,9.4,
2018,01D000,5.0,2.0
2018,020302,39.9,
2018,020303,44.2,
2018,020304,33.3,
2018,020306,54.0,
2018,020308,46.4,
2018,020316,63.0,
2018,020320,66.9,
2018,020324,43.8,
2018,020328,48.9,
2018,020330,38.6,
2018,020332,47.5,
2018,020LEA,46.4,
2018,030304,58.1,
2018,030308,72.1,
2018,030316,53.9,
2018,030320,70.8,
2018,030LEA,65.2,
2018,040304,25.2,
2018,040305,61.9,
2018,040306,44.2,
2018,040308,34.7,
2018,040309,52.9,
2018,040311,75.4,
2018,040316,62.5,
2018,040324,69.5,
2018,040328,47.6,
2018,040330,73.8,
2018,040LEA,52.5,
2018,050302,51.3,
2018,050305,56.8,
2018,050310,63.9,
2018,050330,64.8,
2018,050335,56.1,
2018,050LEA,57.9,
2018,060302,58.6,
2018,060304,47.8,
2018,060310,57.8,
2018,060316,61.5,
2018,060318,56.5,
2018,060322,65.6,
2018,060328,73.6,
2018,060332,60.7,
2018,060334,68.8,
2018,060700,34.0,
2018,060701,31.1,
2018,060LEA,58.1,
2018,06A000,38.5,
2018,06B000,33.9,
2018,070302,54.3,
2018,070308,22.1,
2018,070310,77.6,
2018,070311,55.2,
2018,070325,45.2,
2018,070326,51.0,
2018,070327,57.2,
2018,070328,50.7,
2018,070329,45.6,
2018,070330,29.0,
2018,070338,47.8,
2018,070339,37.0,
2018,070340,59.1,
2018,070342,38.2,
2018,070LEA,44.9,
2018,07A000,8.4,
2018,080311,31.1,
2018,080312,54.6,
2018,080314,57.4,
2018,080348,59.4,
2018,080356,66.4,
2018,080360,66.8,
2018,080362,68.0,
2018,080LEA,58.7,
2018,08A000,74.7,
2018,090304,65.9,
2018,090315,43.0,
2018,090317,55.9,
2018,090318,51.8,
2018,090320,39.2,
2018,090324,48.5,
2018,090328,64.1,
2018,090330,36.8,
2018,090332,50.2,
2018,090333,58.6,
2018,090352,55.1,
2018,090365,44.2,
2018,090368,33.5,
2018,090LEA,46.9,
2018,09A000,45.6,
2018,09B000,24.1,
2018,100302,48.1,
2018,100304,62.6,
2018,100307,36.9,
2018,100308,76.5,
2018,100309,65.3,
2018,100310,74.3,
2018,100316,60.3,
2018,100320,81.4,
2018,100326,53.8,
2018,100332,60.6,
2018,100334,44.3,
2018,100335,51.1,
2018,100336,47.4,
2018,100338,79.9,
2018,100339,55.0,
2018,100340,56.8,
2018,100342,71.0,
2018,100344,68.3,
2018,100348,49.6,
2018,100LEA,57.9,
2018,10A000,11.5,
2018,10B000,7.5,
2018,110303,78.3,
2018,110304,40.5,
2018,110306,60.0,
2018,110308,62.8,
2018,110318,54.0,
2018,110320,51.4,
2018,110322,40.1,
2018,110323,30.2,
2018,110324,69.1,
2018,110326,32.9,
2018,110332,51.7,
2018,110336,45.5,
2018,110338,55.2,
2018,110340,61.8,
2018,110342,70.4,
2018,110348,49.9,
2018,110352,48.0,
2018,110356,39.5,
2018,110366,29.4,
2018,110368,45.6,
2018,110370,37.5,
2018,110372,58.6,
2018,110376,71.4,
2018,110379,53.5,
2018,110380,38.7,
2018,110381,47.1,
2018,110382,49.1,
2018,110384,48.0,
2018,110388,65.3,
2018,110401,60.2,
2018,110408,73.9,
2018,110410,60.6,
2018,110412,65.0,
2018,110416,35.9,
2018,110420,45.9,
2018,110422,47.7,
2018,110425,61.8,
2018,110428,41.3,
2018,110432,35.4,
2018,110436,61.6,
2018,110444,45.0,
2018,110450,47.7,
2018,110451,72.1,
2018,110500,23.8,
2018,110LEA,50.7,
2018,111302,29.7,
2018,111304,59.9,
2018,111306,32.1,
2018,111307,63.5,
2018,111312,37.6,
2018,111332,39.2,
2018,111356,39.5,
2018,111360,44.8,
2018,111369,44.2,
2018,111700,20.8,
2018,111LEA,37.5,
2018,11A000,11.5,
2018,11B000,16.0,
2018,11C000,8.7,
2018,11D000,13.0,
2018,11K000,15.9,
2018,120304,76.8,
2018,120308,76.8,
2018,120310,35.7,
2018,120312,67.0,
2018,120314,47.7,
2018,120315,57.7,
2018,120316,78.0,
2018,120318,49.3,
2018,120320,67.1,
2018,120324,69.1,
2018,120334,49.6,
2018,120338,68.1,
2018,120340,92.6,
2018,120344,63.8,
2018,120346,44.4,
2018,120350,49.6,
2018,120352,59.6,
2018,120360,60.9,
2018,120364,55.3,
2018,120368,65.7,
2018,120370,44.4,
2018,120372,48.6,
2018,120374,53.4,
2018,120376,59.3,
2018,120380,61.8,
2018,120386,67.2,
2018,120390,81.2,
2018,120LEA,59.3,
2018,12A000,15.1,
2018,130304,57.0,
2018,130307,12.2,
2018,130308,46.2,
2018,130309,31.4,
2018,130310,44.3,
2018,130311,49.3,
2018,130312,9.4,
2018,130313,44.0,
2018,130314,52.2,
2018,130315,28.3,
2018,130316,44.6,
2018,130317,50.0,
2018,130318,53.8,
2018,130319,7.6,
2018,130320,14.0,
2018,130321,52.6,
2018,130322,36.9,
2018,130323,37.8,
2018,130324,31.4,
2018,130325,39.2,
2018,130326,39.9,
2018,130327,52.2,
2018,130328,56.6,
2018,130329,66.3,
2018,130330,46.4,
2018,130331,33.4,
2018,130332,16.0,
2018,130333,42.1,
2018,130336,11.4,
2018,130337,13.2,
2018,130338,52.4,
2018,130340,44.0,
2018,130342,48.0,
2018,130344,53.1,
2018,130345,26.0,
2018,130346,21.3,
2018,130349,41.3,
2018,130350,40.2,
2018,130355,49.1,
2018,130LEA,35.7,
2018,132304,29.8,
2018,132308,40.6,
2018,132312,49.7,
2018,132314,35.7,
2018,132328,41.6,
2018,132330,38.9,
2018,132332,47.9,
2018,132336,41.7,
2018,132LEA,37.8,
2018,13A000,13.1,
2018,13B000,31.8,
2018,13C000,52.4,
2018,13D000,54.7,
2018,140304,63.0,
2018,140305,41.4,
2018,140306,58.8,
2018,140307,53.7,
2018,140308,61.0,
2018,140309,28.9,
2018,140312,74.1,
2018,140316,59.0,
2018,140324,48.0,
2018,140332,73.5,
2018,140336,47.5,
2018,140340,46.5,
2018,140344,60.5,
2018,140348,50.4,
2018,140352,59.9,
2018,140356,50.1,
2018,140360,68.5,
2018,140368,55.0,
2018,140372,43.4,
2018,140376,62.6,
2018,140384,64.2,
2018,140386,43.7,
2018,140388,67.1,
2018,140390,66.0,
2018,140392,70.1,
2018,140396,55.2,
2018,140LEA,54.8,
2018,150304,22.3,
2018,150308,30.0,
2018,150310,25.4,
2018,150312,24.6,
2018,150350,22.0,
2018,150LEA,25.6,
2018,160304,61.3,
2018,160306,48.0,
2018,160308,65.1,
2018,160309,75.0,
2018,160310,53.6,
2018,160311,27.9,
2018,160313,41.0,
2018,160314,21.4,
2018,160316,46.6,
2018,160317,44.1,
2018,160318,38.6,
2018,160322,49.4,
2018,160324,64.7,
2018,160326,59.3,
2018,160332,48.6,
2018,160344,37.1,
2018,160352,26.4,
2018,160LEA,42.4,
2018,16B000,16.3,
2018,170316,56.9,
2018,170334,54.7,
2018,170338,66.1,
2018,170339,61.7,
2018,170342,47.7,
2018,170344,48.4,
2018,170LEA,57.5,
2018,180302,53.3,
2018,180304,51.8,
2018,180308,29.4,
2018,180312,53.9,
2018,180316,48.5,
2018,180320,50.5,
2018,180323,78.9,
2018,180324,64.8,
2018,180325,40.3,
2018,180326,43.4,
2018,180332,66.6,
2018,180336,40.9,
2018,180340,36.4,
2018,180342,38.4,
2018,180343,65.4,
2018,180344,58.6,
2018,180346,43.5,
2018,180348,37.7,
2018,180352,35.0,
2018,180356,40.8,
2018,180360,64.9,
2018,180364,57.2,
2018,180368,24.3,
2018,180372,52.8,
2018,180376,44.7,
2018,180379,48.5,
2018,180380,48.7,
2018,180388,79.5,
2018,180LEA,47.8,
2018,181312,55.7,
2018,181316,70.9,
2018,181318,41.1,
2018,181322,44.8,
2018,181326,43.6,
2018,181332,57.4,
2018,181336,53.1,
2018,181342,60.1,
2018,181344,69.2,
2018,181LEA,54.8,
2018,182304,66.7,
2018,182316,56.1,
2018,182321,62.2,
2018,182322,52.7,
2018,182324,76.4,
2018,182328,78.5,
2018,182700,19.4,
2018,182LEA,61.0,
2018,190304,40.0,
2018,190308,52.5,
2018,190310,82.1,
2018,190312,87.9,
2018,190316,41.3,
2018,190328,37.0,
2018,190332,47.8,
2018,190336,72.6,
2018,190339,25.1,
2018,190340,43.9,
2018,190341,36.7,
2018,190342,24.8,
2018,190346,19.9,
2018,190348,36.5,
2018,190350,85.6,
2018,190352,38.9,
2018,190370,93.3,
2018,190501,20.6,
2018,190LEA,48.2,
2018,19A000,11.7,
2018,19B000,5.0,2.0
2018,19C000,5.0,2.0
2018,200304,40.8,
2018,200308,56.1,
2018,200310,31.8,
2018,200312,31.1,
2018,200314,55.1,
2018,200320,32.5,
2018,200322,44.0,
2018,200324,38.8,
2018,200328,49.6,
2018,200330,35.4,
2018,200332,39.0,
2018,200336,42.8,
2018,200350,33.3,
2018,200LEA,41.4,
2018,20A000,30.3,
2018,210304,59.1,
2018,210306,66.6,
2018,210312,55.7,
2018,210316,70.4,
2018,210LEA,62.8,
2018,220308,61.6,
2018,220310,37.6,
2018,220312,54.9,
2018,220LEA,52.9,
2018,230304,46.1,
2018,230308,57.6,
2018,230312,50.9,
2018,230316,61.1,
2018,230320,46.3,
2018,230322,54.3,
2018,230324,44.9,
2018,230328,53.7,
2018,230330,72.0,
2018,230334,71.1,
2018,230336,56.3,
2018,230340,47.5,
2018,230342,81.3,
2018,230344,55.6,
2018,230346,79.4,
2018,230348,54.1,
2018,230350,46.2,
2018,230351,59.4,
2018,230352,57.6,
2018,230355,54.7,
2018,230357,60.3,
2018,230359,45.3,
2018,230361,60.5,
2018,230362,47.1,
2018,230364,55.0,
2018,230368,62.4,
2018,230370,51.8,
2018,230376,64.6,
2018,230380,54.4,
2018,230LEA,55.4,
2018,23A000,19.2,
2018,240304,44.1,
2018,240308,52.8,
2018,240328,49.3,
2018,240330,66.0,
2018,240332,75.2,
2018,240334,32.3,
2018,240344,53.9,
2018,240352,44.3,
2018,240354,54.6,
2018,240356,43.4,
2018,240368,37.4,
2018,240370,39.4,
2018,240371,32.6,
2018,240372,59.4,
2018,240373,26.8,
2018,240376,55.6,
2018,240380,44.8,
2018,240388,43.4,
2018,240LEA,45.7,
2018,241304,45.7,
2018,241308,59.6,
2018,241312,64.9,
2018,241316,35.7,
2018,241320,64.4,
2018,241LEA,51.1,
2018,24B000,36.8,
2018,24N000,43.6,
2018,250304,50.1,
2018,250306,45.4,
2018,250308,64.7,
2018,250312,50.8,
2018,250314,33.2,
2018,250316,19.0,
2018,250320,72.4,
2018,250321,19.4,
2018,250324,43.6,
2018,250328,57.7,
2018,250332,59.9,
2018,250336,73.4,
2018,250340,37.8,
2018,250344,60.8,
2018,250348,93.4,
2018,250350,71.9,
2018,250356,43.3,
2018,250360,89.2,
2018,250362,62.5,
2018,250364,71.5,
2018,250368,31.9,
2018,250372,53.5,
2018,250376,65.8,
2018,250378,34.6,
2018,250380,43.6,
2018,250LEA,52.9,
2018,260302,39.8,
2018,260306,36.1,
2018,260308,54.7,
2018,260310,50.6,
2018,260312,39.4,
2018,260316,68.2,
2018,260318,30.1,
2018,260320,68.8,
2018,260321,63.3,
2018,260322,54.7,
2018,260325,44.3,
2018,260326,69.0,
2018,260332,34.3,
