year,agency_code,asm_option,subgroup,ma_score,ma_score_masking,ma_grade,rd_score,rd_score_masking,rd_grade,sc_score,sc_score_masking,m1_score,m1_score_masking,e2_score,e2_score_masking,bi_score,bi_score_masking,act_score,act_score_masking,wk_score,wk_score_masking,mcr_score,mcr_score_masking,cgrs_score,cgrs_score_masking,ach_score,ach_score_masking,eg_status,eg_score,spg_score,spg_grade,ma_spg_score,rd_spg_score,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score
2014,06A000,,ALL,5,2,F,14,,F,20,,29,,,,,,,,,,,,,,15,,,,15,F,0,14,,,,
2014,298202,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,298203,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,298204,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,010303,,ALL,,,,,,,,,,,,,,,61,,57,,95,1,95,1,85,,,,85,A,,,,,,
2014,010304,,ALL,60,,C,62,,C,73,,,,,,,,,,,,,,,,63,,Exceeded,85.4,67,C,65,66,Exceeded,Met,88.0,80.5
2014,010308,,ALL,65,,C,65,,C,65,,,,,,,,,,,,,,,,65,,Met,77.3,67,C,65,69,NotMet,Met,65.6,83.2
2014,010310,,ALL,22,,F,34,,D,41,,95,1,,,,,,,,,,,,,31,,NotMet,58.6,36,F,30,42,NotMet,Met,59.5,74.1
2014,010312,,ALL,68,,B,73,,B,76,,,,,,,,,,,,,,,,71,,Exceeded,85.0,74,B,72,74,Exceeded,Met,88.9,77.3
2014,010320,,ALL,58,,C,68,,B,78,,,,,,,,,,,,,,,,65,,Met,84.1,69,C,62,72,Met,Met,78.0,84.8
2014,010324,,ALL,,,,,,,,,57,,52,,62,,58,,86,,88,,81,,65,,Met,84.2,69,C,,,,,,
2014,010326,,ALL,24,,F,22,,F,20,,,,,,,,,,,,,,,,23,,Met,74.7,33,F,36,33,Met,Met,80.9,78.7
2014,010328,,ALL,65,,C,61,,C,65,,,,,,,,,,,,,,,,63,,NotMet,68.6,64,C,65,65,NotMet,Met,64.1,79.8
2014,010340,,ALL,57,,C,60,,C,85,,,,,,,,,,,,,,,,62,,Met,81.3,66,C,62,63,Met,Met,82.3,74.9
2014,010346,,ALL,47,,D,50,,C,39,,,,,,,,,,,,,,,,47,,NotMet,59.1,50,D,49,55,NotMet,Met,59.5,74.0
2014,010347,,ALL,59,,C,53,,C,63,,,,,,,,,,,,,,,,57,,Met,81.8,62,C,63,59,Met,Met,79.4,82.5
2014,010348,,ALL,,,,,,,,,31,,39,,31,,31,,62,,95,1,76,,49,,NotMet,56.4,51,D,,,,,,
2014,010350,,ALL,23,,F,34,,D,45,,91,,,,,,,,,,,,,,33,,Met,78.4,42,D,35,43,Met,Met,82.1,80.1
2014,010351,,ALL,35,,D,40,,D,47,,,,,,,,,,,,,,,,39,,Met,84.6,48,D,45,48,Exceeded,Met,88.1,82.3
2014,010353,,ALL,42,,D,53,,C,78,,93,,,,,,,,,,,,,,53,,Met,76.5,58,C,47,58,NotMet,Met,67.5,80.2
