year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2018.0,710323,ELS,1.0,1.0,742.0,742.0,0.0013,0.0013,
2018.0,710324,ELS,5.0,5.0,399.0,399.0,0.0125,0.0125,
2018.0,710326,ELS,14.0,14.0,639.0,639.0,0.0219,0.0219,
2018.0,710328,ELS,5.0,5.0,504.0,504.0,0.0099,0.0099,
2018.0,710332,ELS,8.0,8.0,385.0,385.0,0.0207,0.0207,
2018.0,710342,ELS,2.0,2.0,1455.0,1455.0,0.0013,0.0013,
2018.0,710344,ELS,2.0,2.0,557.0,557.0,0.0035,0.0035,
2018.0,710346,ELS,2.0,2.0,1002.0,1002.0,0.0019,0.0019,
2018.0,710347,ELS,1.0,1.0,599.0,599.0,0.0016,0.0016,
2018.0,710348,ELS,1.0,1.0,169.0,169.0,0.0059,0.0059,
2018.0,720312,ELS,3.0,3.0,439.0,439.0,0.0068,0.0068,
2018.0,720316,ELS,1.0,1.0,448.0,448.0,0.0022,0.0022,
2018.0,730352,ELS,5.0,5.0,1238.0,1238.0,0.004,0.004,
2018.0,730356,ELS,2.0,2.0,271.0,271.0,0.0073,0.0073,
2018.0,740304,ELS,1.0,1.0,693.0,693.0,0.0014,0.0014,
2018.0,740308,ELS,1.0,1.0,347.0,347.0,0.0028,0.0028,
2018.0,740309,ELS,8.0,8.0,662.0,662.0,0.012,0.012,
2018.0,740310,ELS,2.0,2.0,404.0,404.0,0.0049,0.0049,
2018.0,740320,ELS,1.0,1.0,282.0,282.0,0.0035,0.0035,
2018.0,740324,ELS,1.0,1.0,530.0,530.0,0.0018,0.0018,
2018.0,740330,ELS,1.0,1.0,622.0,622.0,0.0016,0.0016,
2018.0,740332,ELS,1.0,1.0,929.0,929.0,0.001,0.001,
2018.0,740333,ELS,7.0,7.0,1619.0,1619.0,0.0043,0.0043,
2018.0,740334,ELS,1.0,1.0,326.0,326.0,0.003,0.003,
2018.0,740336,ELS,3.0,3.0,784.0,784.0,0.0038,0.0038,
2018.0,740337,ELS,3.0,3.0,752.0,752.0,0.0039,0.0039,
2018.0,740340,ELS,2.0,2.0,636.0,636.0,0.0031,0.0031,
2018.0,740344,ELS,4.0,4.0,735.0,735.0,0.0054,0.0054,
2018.0,740352,ELS,2.0,2.0,472.0,472.0,0.0042,0.0042,
2018.0,740358,ELS,2.0,2.0,461.0,461.0,0.0043,0.0043,
2018.0,740360,ELS,6.0,6.0,389.0,389.0,0.0154,0.0154,
2018.0,740362,ELS,4.0,4.0,801.0,801.0,0.0049,0.0049,
2018.0,740366,ELS,6.0,6.0,1478.0,1478.0,0.004,0.004,
2018.0,740368,ELS,3.0,3.0,780.0,780.0,0.0038,0.0038,
2018.0,740374,ELS,10.0,10.0,867.0,867.0,0.0115,0.0115,
2018.0,740375,ELS,3.0,3.0,350.0,350.0,0.0085,0.0085,
2018.0,740376,ELS,4.0,4.0,548.0,548.0,0.0072,0.0072,
2018.0,740386,ELS,1.0,1.0,409.0,409.0,0.0024,0.0024,
2018.0,740388,ELS,5.0,5.0,1603.0,1603.0,0.0031,0.0031,
2018.0,740400,ELS,2.0,2.0,372.0,372.0,0.0053,0.0053,
2018.0,740402,ELS,4.0,4.0,397.0,397.0,0.01,0.01,
2018.0,740404,ELS,1.0,1.0,857.0,857.0,0.0011,0.0011,
2018.0,740406,ELS,1.0,1.0,738.0,738.0,0.0013,0.0013,
2018.0,750304,ELS,3.0,3.0,361.0,361.0,0.0083,0.0083,
2018.0,750314,ELS,3.0,3.0,326.0,326.0,0.0092,0.0092,
2018.0,750318,ELS,4.0,4.0,618.0,618.0,0.0064,0.0064,
2018.0,750319,ELS,2.0,2.0,478.0,478.0,0.0041,0.0041,
2018.0,750320,ELS,1.0,1.0,153.0,153.0,0.0065,0.0065,
2018.0,760304,ELS,5.0,5.0,375.0,375.0,0.0133,0.0133,
2018.0,760308,ELS,1.0,1.0,370.0,370.0,0.0027,0.0027,
2018.0,760316,ELS,5.0,5.0,308.0,308.0,0.0162,0.0162,
2018.0,760318,ELS,11.0,11.0,702.0,702.0,0.0156,0.0156,
2018.0,760324,ELS,2.0,2.0,416.0,416.0,0.0048,0.0048,
2018.0,760328,ELS,2.0,2.0,478.0,478.0,0.0041,0.0041,
2018.0,760329,ELS,1.0,1.0,609.0,609.0,0.0016,0.0016,
2018.0,760332,ELS,2.0,2.0,417.0,417.0,0.0047,0.0047,
2018.0,760336,ELS,2.0,2.0,490.0,490.0,0.004,0.004,
2018.0,760339,ELS,2.0,2.0,770.0,770.0,0.0025,0.0025,
2018.0,760340,ELS,5.0,5.0,359.0,359.0,0.0139,0.0139,
2018.0,760344,ELS,4.0,4.0,631.0,631.0,0.0063,0.0063,
2018.0,760348,ELS,11.0,11.0,871.0,871.0,0.0126,0.0126,
2018.0,760352,ELS,1.0,1.0,814.0,814.0,0.0012,0.0012,
2018.0,760356,ELS,1.0,1.0,469.0,469.0,0.0021,0.0021,
2018.0,760357,ELS,7.0,7.0,570.0,570.0,0.0122,0.0122,
2018.0,760358,ELS,12.0,12.0,950.0,950.0,0.0126,0.0126,
2018.0,760359,ELS,2.0,2.0,593.0,593.0,0.0033,0.0033,
2018.0,760360,ELS,1.0,1.0,499.0,499.0,0.002,0.002,
2018.0,760368,ELS,1.0,1.0,330.0,330.0,0.003,0.003,
2018.0,760376,ELS,4.0,4.0,403.0,403.0,0.0099,0.0099,
2018.0,760378,ELS,4.0,4.0,697.0,697.0,0.0057,0.0057,
2018.0,760380,ELS,4.0,4.0,707.0,707.0,0.0056,0.0056,
2018.0,760388,ELS,1.0,1.0,836.0,836.0,0.0011,0.0011,
2018.0,761304,ELS,24.0,24.0,1331.0,1331.0,0.018000000000000002,0.018000000000000002,
2018.0,761308,ELS,2.0,2.0,537.0,537.0,0.0037,0.0037,
2018.0,761312,ELS,4.0,4.0,538.0,538.0,0.0074,0.0074,
2018.0,761320,ELS,2.0,2.0,387.0,387.0,0.0051,0.0051,
2018.0,761321,ELS,1.0,1.0,333.0,333.0,0.003,0.003,
2018.0,761328,ELS,3.0,3.0,559.0,559.0,0.0053,0.0053,
