year,agency_code,cgr_type,subgroup,den,pct,masking
2018,00A000,STD,ALL,20,5.0,
2018,00A000,STD,MALE,12,5.0,2.0
2018,00A000,STD,WH7,12,8.3,
2018,00B000,STD,ALL,55,60.0,
2018,00B000,STD,EDS,14,28.6,
2018,00B000,STD,FEM,36,63.9,
2018,00B000,STD,MALE,19,52.6,
2018,00B000,STD,WH7,37,54.1,
2018,010303,EXT,ALL,43,95.0,1.0
2018,010303,EXT,EDS,10,95.0,1.0
2018,010303,EXT,FEM,30,95.0,1.0
2018,010303,EXT,MALE,13,95.0,1.0
2018,010303,EXT,WH7,30,95.0,1.0
2018,010303,STD,ALL,33,95.0,1.0
2018,010303,STD,EDS,10,95.0,1.0
2018,010303,STD,FEM,22,95.0,1.0
2018,010303,STD,MALE,11,95.0,1.0
2018,010303,STD,WH7,21,95.0,1.0
2018,010324,EXT,AIG,59,95.0,1.0
2018,010324,EXT,ALL,314,87.6,
2018,010324,EXT,BL7,60,88.3,
2018,010324,EXT,EDS,92,75.0,
2018,010324,EXT,FEM,158,90.5,
2018,010324,EXT,HI7,37,89.2,
2018,010324,EXT,MALE,156,84.6,
2018,010324,EXT,MU7,19,89.5,
2018,010324,EXT,SWD,39,82.1,
2018,010324,EXT,WH7,193,86.5,
2018,010324,STD,AIG,64,95.0,1.0
2018,010324,STD,ALL,329,84.2,
2018,010324,STD,BL7,73,87.7,
2018,010324,STD,EDS,104,73.1,
2018,010324,STD,FEM,136,87.5,
2018,010324,STD,HI7,40,82.5,
2018,010324,STD,HMS,11,45.5,
2018,010324,STD,MALE,193,81.9,
2018,010324,STD,MU7,14,78.6,
2018,010324,STD,SWD,54,68.5,
2018,010324,STD,WH7,199,83.4,
2018,010348,EXT,AIG,19,94.7,
2018,010348,EXT,ALL,219,81.3,
2018,010348,EXT,BL7,65,87.7,
2018,010348,EXT,EDS,145,82.1,
2018,010348,EXT,FEM,115,86.1,
2018,010348,EXT,HI7,84,82.1,
2018,010348,EXT,MALE,104,76.0,
2018,010348,EXT,MU7,10,70.0,
2018,010348,EXT,SWD,25,56.0,
2018,010348,EXT,WH7,52,73.1,
2018,010348,STD,AIG,13,95.0,1.0
2018,010348,STD,ALL,223,73.5,
2018,010348,STD,BL7,67,74.6,
2018,010348,STD,EDS,140,77.9,
2018,010348,STD,ELS,31,61.3,
2018,010348,STD,FEM,104,75.0,
2018,010348,STD,HI7,93,76.3,
2018,010348,STD,HMS,22,36.4,
2018,010348,STD,MALE,119,72.3,
2018,010348,STD,MU7,18,55.6,
2018,010348,STD,SWD,30,50.0,
2018,010348,STD,WH7,41,70.7,
2018,010360,EXT,AIG,27,92.6,
2018,010360,EXT,ALL,211,73.5,
2018,010360,EXT,BL7,83,79.5,
2018,010360,EXT,EDS,143,78.3,
2018,010360,EXT,ELS,21,52.4,
2018,010360,EXT,FEM,106,80.2,
2018,010360,EXT,HI7,107,70.1,
2018,010360,EXT,MALE,105,66.7,
2018,010360,EXT,SWD,34,67.6,
2018,010360,EXT,WH7,12,66.7,
2018,010360,STD,AIG,24,95.0,1.0
2018,010360,STD,ALL,266,68.8,
2018,010360,STD,BL7,95,73.7,
2018,010360,STD,EDS,185,70.8,
2018,010360,STD,ELS,58,55.2,
2018,010360,STD,FEM,116,80.2,
2018,010360,STD,HI7,140,66.4,
2018,010360,STD,HMS,21,42.9,
2018,010360,STD,MALE,150,60.0,
2018,010360,STD,MU7,10,90.0,
2018,010360,STD,SWD,34,58.8,
2018,010360,STD,WH7,16,43.8,
2018,010378,EXT,ALL,12,5.0,2.0
2018,010378,EXT,MALE,10,5.0,2.0
2018,010388,EXT,AIG,49,95.0,1.0
2018,010388,EXT,ALL,379,85.2,
2018,010388,EXT,BL7,29,86.2,
2018,010388,EXT,EDS,124,76.6,
2018,010388,EXT,FEM,174,86.8,
2018,010388,EXT,HI7,42,78.6,
2018,010388,EXT,MALE,205,83.9,
2018,010388,EXT,SWD,31,64.5,
2018,010388,EXT,WH7,298,85.9,
2018,010388,STD,AIG,75,95.0,1.0
2018,010388,STD,ALL,425,80.2,
2018,010388,STD,BL7,29,75.9,
2018,010388,STD,EDS,131,67.9,
2018,010388,STD,ELS,21,76.2,
2018,010388,STD,FEM,213,83.6,
2018,010388,STD,HI7,54,85.2,
2018,010388,STD,HMS,22,45.5,
2018,010388,STD,MALE,212,76.9,
2018,010388,STD,MU7,15,73.3,
2018,010388,STD,SWD,55,43.6,
2018,010388,STD,WH7,320,80.3,
2018,010396,EXT,AIG,68,95.0,1.0
2018,010396,EXT,ALL,309,91.6,
2018,010396,EXT,BL7,109,91.7,
2018,010396,EXT,EDS,138,89.9,
2018,010396,EXT,FEM,165,90.9,
2018,010396,EXT,HI7,49,91.8,
2018,010396,EXT,MALE,144,92.4,
2018,010396,EXT,MU7,13,76.9,
2018,010396,EXT,SWD,34,85.3,
2018,010396,EXT,WH7,128,92.2,
2018,010396,STD,AIG,57,95.0,1.0
2018,010396,STD,ALL,315,83.8,
2018,010396,STD,BL7,103,86.4,
2018,010396,STD,EDS,173,82.1,
2018,010396,STD,ELS,30,70.0,
2018,010396,STD,FEM,149,85.9,
2018,010396,STD,HI7,85,78.8,
2018,010396,STD,HMS,22,59.1,
2018,010396,STD,MALE,166,81.9,
2018,010396,STD,MU7,14,85.7,
2018,010396,STD,SWD,36,66.7,
2018,010396,STD,WH7,103,83.5,
2018,010400,EXT,AIG,76,95.0,1.0
2018,010400,EXT,ALL,319,92.5,
2018,010400,EXT,BL7,41,92.7,
2018,010400,EXT,EDS,91,90.1,
2018,010400,EXT,FEM,155,95.0,1.0
2018,010400,EXT,HI7,30,86.7,
2018,010400,EXT,MALE,164,89.0,
2018,010400,EXT,MU7,10,95.0,1.0
2018,010400,EXT,SWD,26,69.2,
2018,010400,EXT,WH7,233,93.1,
2018,010400,STD,AIG,83,95.0,1.0
2018,010400,STD,ALL,354,90.1,
2018,010400,STD,BL7,48,91.7,
2018,010400,STD,EDS,94,85.1,
2018,010400,STD,ELS,14,78.6,
2018,010400,STD,FEM,159,88.7,
2018,010400,STD,HI7,40,82.5,
2018,010400,STD,HMS,16,50.0,
2018,010400,STD,MALE,195,91.3,
2018,010400,STD,MU7,12,91.7,
2018,010400,STD,SWD,41,78.0,
2018,010400,STD,WH7,247,90.7,
2018,010LEA,EXT,AIG,305,95.0,1.0
2018,010LEA,EXT,ALL,1846,84.5,
2018,010LEA,EXT,AS7,25,95.0,1.0
2018,010LEA,EXT,BL7,415,84.1,
2018,010LEA,EXT,EDS,779,79.1,
2018,010LEA,EXT,ELS,54,57.4,
2018,010LEA,EXT,FEM,918,88.0,
2018,010LEA,EXT,HI7,358,79.6,
2018,010LEA,EXT,MALE,928,80.9,
2018,010LEA,EXT,MU7,73,82.2,
2018,010LEA,EXT,SWD,208,66.8,
2018,010LEA,EXT,WH7,966,86.4,
2018,010LEA,STD,AIG,323,95.0,1.0
2018,010LEA,STD,ALL,1945,81.3,
2018,010LEA,STD,AS7,28,95.0,1.0
2018,010LEA,STD,BL7,418,81.8,
2018,010LEA,STD,EDS,837,76.1,
2018,010LEA,STD,ELS,163,64.4,
2018,010LEA,STD,FEM,899,84.4,
2018,010LEA,STD,HI7,459,76.3,
2018,010LEA,STD,HMS,115,47.0,
2018,010LEA,STD,MALE,1046,78.6,
2018,010LEA,STD,MU7,85,77.6,
2018,010LEA,STD,SWD,251,61.0,
2018,010LEA,STD,WH7,947,83.4,
2018,01B000,EXT,ALL,38,92.1,
2018,01B000,EXT,FEM,27,92.6,
2018,01B000,EXT,MALE,11,90.9,
2018,01B000,EXT,WH7,29,89.7,
2018,01B000,STD,ALL,35,94.3,
2018,01B000,STD,FEM,21,95.0,1.0
2018,01B000,STD,MALE,14,85.7,
2018,01B000,STD,WH7,30,93.3,
2018,01C000,EXT,ALL,41,95.0,1.0
2018,01C000,EXT,EDS,13,95.0,1.0
