year,lea,lea name,school,school name,indian male,indian female,asian male,asian female,hispanic male,hispanic female,black male,black female,white male,white female,pacific island male,pacific island female,two or more male,two or more female,total,agency_code
2018,010,Alamance-Burlington Schools,303,Alamance-Burlington Middle/Early College,1,2,2,1,25,25,8,30,29,60,0,0,3,7,193,010303
2018,010,Alamance-Burlington Schools,304,Alexander Wilson Elementary,0,0,1,4,80,71,29,29,192,146,0,0,10,20,582,010304
2018,010,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,1,0,0,0,36,62,31,30,231,207,0,1,14,7,620,010308
2018,010,Alamance-Burlington Schools,310,Broadview Middle,0,1,4,1,197,191,145,110,32,26,1,1,15,10,734,010310
2018,010,Alamance-Burlington Schools,312,Highland Elementary,2,0,27,20,51,45,68,69,187,206,0,0,25,15,715,010312
2018,010,Alamance-Burlington Schools,320,E M Yoder Elementary,1,0,1,3,24,16,41,31,123,104,0,0,6,9,359,010320
2018,010,Alamance-Burlington Schools,324,Eastern Alamance High,1,1,8,3,101,81,158,117,409,327,0,1,31,35,"1,273",010324
2018,010,Alamance-Burlington Schools,326,Eastlawn Elementary,1,1,0,0,158,143,107,84,24,22,0,1,10,9,560,010326
2018,010,Alamance-Burlington Schools,328,Edwin M Holt Elementary,1,2,0,1,20,12,9,10,258,227,0,0,5,12,557,010328
2018,010,Alamance-Burlington Schools,340,Elon Elementary,2,1,6,4,80,63,57,59,191,208,0,1,15,18,705,010340
2018,010,Alamance-Burlington Schools,346,B Everett Jordan Elem,0,0,3,2,39,45,15,14,118,121,0,0,12,8,377,010346
2018,010,Alamance-Burlington Schools,347,Garrett Elementary,1,1,6,4,68,78,43,59,188,173,0,0,12,18,651,010347
2018,010,Alamance-Burlington Schools,348,Graham High,2,1,7,8,163,189,128,101,91,65,0,0,13,18,786,010348
2018,010,Alamance-Burlington Schools,350,Graham Middle,1,1,6,5,137,153,67,99,67,56,0,1,13,15,621,010350
2018,010,Alamance-Burlington Schools,351,Grove Park Elementary,1,0,4,4,58,74,112,80,48,43,0,0,22,12,458,010351
2018,010,Alamance-Burlington Schools,353,Hawfields Middle,1,1,6,8,85,81,58,53,181,168,2,0,16,16,676,010353
2018,010,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,2,1,2,4,103,126,136,129,38,51,0,0,14,11,617,010354
2018,010,Alamance-Burlington Schools,357,Haw River Elementary,3,5,0,2,122,107,50,78,45,39,0,0,14,11,476,010357
2018,010,Alamance-Burlington Schools,358,Hillcrest Elementary,1,2,2,5,102,84,160,130,67,40,0,0,25,17,635,010358
2018,010,Alamance-Burlington Schools,360,Hugh M Cummings High,1,1,4,5,241,242,183,173,43,28,0,0,20,15,956,010360
2018,010,Alamance-Burlington Schools,362,Marvin B Smith Elementary,0,0,12,5,47,57,60,62,146,114,0,1,17,18,539,010362
2018,010,Alamance-Burlington Schools,364,North Graham Elementary,2,1,2,1,68,54,74,60,33,28,0,0,14,11,348,010364
2018,010,Alamance-Burlington Schools,372,Pleasant Grove Elementary,0,0,0,0,38,35,38,33,54,46,1,1,8,9,263,010372
2018,010,Alamance-Burlington Schools,374,R Homer Andrews Elementary,1,2,2,3,169,175,73,92,17,15,0,0,5,10,564,010374
2018,010,Alamance-Burlington Schools,378,Ray Street Academy,0,0,1,0,4,3,28,5,31,8,0,0,4,1,85,010378
2018,010,Alamance-Burlington Schools,380,South Graham Elementary,1,1,5,11,133,104,76,47,91,48,0,0,17,7,541,010380
2018,010,Alamance-Burlington Schools,384,South Mebane Elementary,2,1,9,7,35,32,78,96,152,166,0,1,27,23,629,010384
2018,010,Alamance-Burlington Schools,388,Southern High,3,3,10,8,122,106,57,52,572,525,0,0,20,21,"1,499",010388
2018,010,Alamance-Burlington Schools,390,Southern Middle,1,1,6,1,48,38,13,17,285,307,0,0,12,12,741,010390
2018,010,Alamance-Burlington Schools,392,Sylvan Elementary,0,0,2,1,13,17,11,3,107,110,0,0,6,4,274,010392
2018,010,Alamance-Burlington Schools,394,Turrentine Middle,0,0,13,12,124,96,165,143,140,127,0,1,21,30,872,010394
2018,010,Alamance-Burlington Schools,396,Walter M Williams High,1,3,21,14,166,152,194,203,226,174,2,1,27,30,"1,214",010396
2018,010,Alamance-Burlington Schools,400,Western Alamance High,2,1,7,7,84,70,89,63,443,400,6,0,21,19,"1,212",010400
2018,010,Alamance-Burlington Schools,403,Western Middle,1,3,3,4,64,72,41,47,295,263,1,0,18,18,830,010403
2018,010,Alamance-Burlington Schools,406,Woodlawn Middle,2,3,3,5,46,38,55,60,153,133,0,0,16,22,536,010406
2018,020,Alexander County Schools,302,Alexander Central High,1,1,11,10,63,46,29,16,554,553,0,0,27,26,"1,337",020302
2018,020,Alexander County Schools,303,Alexander Early College,0,0,4,3,12,13,0,4,46,64,0,0,3,1,150,020303
2018,020,Alexander County Schools,304,Bethlehem Elementary,0,0,4,4,12,7,3,3,193,194,0,1,7,9,437,020304
2018,020,Alexander County Schools,306,East Alexander Middle,0,1,4,6,43,40,19,16,233,230,0,0,20,8,620,020306
2018,020,Alexander County Schools,308,Ellendale Elementary,0,1,0,0,3,3,8,4,127,129,0,0,4,4,283,020308
2018,020,Alexander County Schools,316,Hiddenite Elementary,0,0,6,1,49,40,13,13,201,155,0,3,12,7,500,020316
2018,020,Alexander County Schools,320,Stony Point Elementary,0,0,0,0,10,16,3,6,106,81,0,0,16,3,241,020320
2018,020,Alexander County Schools,324,Sugar Loaf Elementary,0,0,1,0,9,4,4,1,103,105,0,0,6,3,236,020324
2018,020,Alexander County Schools,328,Taylorsville Elementary,0,0,1,3,25,32,27,8,82,69,0,0,11,15,273,020328
2018,020,Alexander County Schools,330,West Alexander Middle,0,0,5,9,16,9,2,8,240,225,0,0,9,9,532,020330
2018,020,Alexander County Schools,332,Wittenburg Elementary,0,0,2,2,12,18,3,2,124,100,0,0,5,8,276,020332
2018,030,Alleghany County Schools,304,Alleghany High,0,2,1,0,43,42,4,1,168,169,0,0,3,3,436,030304
2018,030,Alleghany County Schools,308,Glade Creek Elementary,0,0,0,0,33,29,0,0,76,63,0,0,1,1,203,030308
2018,030,Alleghany County Schools,316,Piney Creek Elementary,0,0,0,0,8,9,0,0,59,69,0,0,1,3,149,030316
2018,030,Alleghany County Schools,320,Sparta Elementary,2,1,0,4,61,87,3,2,202,165,0,0,9,9,545,030320
2018,040,Anson County Schools,304,Anson Co. Early College High,0,0,2,6,3,3,36,53,48,95,0,0,3,4,253,040304
2018,040,Anson County Schools,305,Anson Academy,0,1,0,0,0,0,43,21,10,2,0,0,1,0,78,040305
2018,040,Anson County Schools,306,Anson High School,0,1,8,6,22,23,239,232,129,91,1,1,16,5,774,040306
2018,040,Anson County Schools,308,Ansonville Elementary,1,0,0,3,3,9,35,35,56,48,0,0,3,1,194,040308
2018,040,Anson County Schools,309,Anson Middle,0,1,13,5,13,20,161,197,100,86,0,0,10,15,621,040309
2018,040,Anson County Schools,311,Wadesboro Primary,0,1,4,1,1,6,145,126,28,28,0,0,6,7,353,040311
2018,040,Anson County Schools,316,Lilesville Elementary,2,0,0,0,7,3,83,66,58,41,0,0,4,6,270,040316
2018,040,Anson County Schools,324,Morven Elementary,0,0,0,1,10,13,87,67,6,5,0,0,0,1,190,040324
2018,040,Anson County Schools,328,Peachland-Polkton Elem,1,0,6,4,17,16,71,66,124,125,0,0,13,8,451,040328
2018,040,Anson County Schools,330,Wadesboro Elementary,0,0,2,1,2,2,67,61,14,11,0,0,3,4,167,040330
2017,040,Anson County Schools,700,Anson New Tech High,0,0,1,1,5,3,31,26,28,25,0,0,3,0,123,040700
2018,050,Ashe County Schools,302,Ashe County High,0,0,5,2,54,34,2,1,416,399,0,0,6,8,927,050302
2018,050,Ashe County Schools,305,Ashe County Middle,0,0,0,0,18,28,2,1,200,184,0,0,2,3,438,050305
2018,050,Ashe County Schools,310,Blue Ridge Elementary,0,0,1,0,19,11,0,1,251,226,0,0,4,1,514,050310
2018,050,Ashe County Schools,330,Mountain View Elementary,0,1,4,0,51,48,2,4,218,212,0,0,5,4,549,050330
2018,050,Ashe County Schools,335,Westwood Elementary,0,1,2,3,43,33,4,1,232,221,0,0,7,7,554,050335
2018,060,Avery County Schools,302,Avery County High,1,0,0,1,15,21,1,1,171,152,1,0,7,2,373,060302
2018,060,Avery County Schools,304,Banner Elk Elementary,0,0,2,2,9,11,0,0,65,55,0,0,5,1,150,060304
2018,060,Avery County Schools,310,Cranberry Middle,0,0,1,0,5,3,0,0,99,72,1,0,3,2,186,060310
