year,agency_code,subgroup,iss_per1000,iss_mask_code,sts_per1000,sts_mask_code,lts_per1000,lts_mask_code,exp_per1000,exp_mask_code,crime_per1000,act_mask_code,blhr_per1000,bha_mask_code,rplw_per1000,rpt_mask_code,arre_per1000,arm_mask_code
2018,010312,SWD,0,0,233.766,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010312,WH7,0,0,30.534,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,ALL,70.028,0,176.471,0,0,0,0,0,2.8011,0,2.801,0,0,0,0,0
2018,010320,AM7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010320,AS7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010320,BL7,152.778,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,EDS,106.509,0,218.935,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,FEM,6.135,0,30.675,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,HI7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,MALE,122.449,0,295.918,0,0,0,0,0,5.102,0,5.102,0,0,0,0,0
2018,010320,MU7,0,0,333.333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,SWD,120,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010320,WH7,61.674,0,171.806,0,0,0,0,0,4.4053,0,4.405,0,0,0,0,0
2018,010324,ALL,297.428,0,112.54,0,1.6077,0,0,0,7.2347,0,0.804,0,0,0,0,0
2018,010324,AS7,181.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010324,BL7,349.091,0,181.818,0,7.2727,0,0,0,7.2727,0,0,0,0,0,0,0
2018,010324,EDS,493.878,0,200,0,2.0408,0,0,0,4.0816,0,2.041,0,0,0,0,0
2018,010324,ELS,557.692,0,57.692,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010324,FEM,187.611,0,76.106,0,0,0,0,0,1.7699,0,0,0,0,0,0,0
2018,010324,HI7,428.571,0,71.429,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010324,MALE,372.881,0,137.006,0,2.8249,0,0,0,11.2994,0,1.412,0,0,0,0,0
2018,010324,MU7,681.818,0,469.697,0,0,0,0,0,30.303,0,0,0,0,0,0,0
2018,010324,PI7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010324,SWD,600,0,243.75,0,0,0,0,0,6.25,0,0,0,0,0,0,0
2018,010324,WH7,199.728,0,62.5,0,0,0,0,0,6.7935,0,1.359,0,0,0,0,0
2018,010326,ALL,0,0,100.87,0,0,0,0,0,0,0,5.217,0,0,0,0,0
2018,010326,BL7,0,0,183.246,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010326,EDS,0,0,108.173,0,0,0,0,0,0,0,7.212,0,0,0,0,0
2018,010326,ELS,0,0,37.037,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010326,FEM,0,0,50,0,0,0,0,0,0,0,7.692,0,0,0,0,0
2018,010326,HI7,0,0,36.545,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010326,MALE,0,0,150,0,0,0,0,0,0,0,3.333,0,0,0,0,0
2018,010326,MU7,0,0,157.895,0,0,0,0,0,0,0,105.263,0,0,0,0,0
2018,010326,SWD,0,0,319.149,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010326,WH7,0,0,195.652,0,0,0,0,0,0,0,21.739,0,0,0,0,0
2018,010328,ALL,0,0,15.957,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010328,EDS,0,0,39.773,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010328,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010328,MALE,0,0,30.717,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010328,SWD,0,0,45.455,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010328,WH7,0,0,18.557,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010340,ALL,0,0,45.455,0,0,0,0,0,4.2614,0,7.102,0,0,0,0,0
2018,010340,BL7,0,0,146.552,0,0,0,0,0,17.2414,0,25.862,0,0,0,0,0
2018,010340,EDS,0,0,52.925,0,0,0,0,0,8.3565,0,11.142,0,0,0,0,0
2018,010340,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010340,FEM,0,0,22.599,0,0,0,0,0,5.6497,0,8.475,0,0,0,0,0
2018,010340,HI7,0,0,34.965,0,0,0,0,0,0,0,13.986,0,0,0,0,0
2018,010340,MALE,0,0,68.376,0,0,0,0,0,2.849,0,5.698,0,0,0,0,0
2018,010340,MU7,0,0,30.303,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010340,SWD,0,0,350,0,0,0,0,0,0,0,50,0,0,0,0,0
2018,010340,WH7,0,0,22.556,0,0,0,0,0,2.5063,0,0,0,0,0,0,0
2018,010346,ALL,26.738,0,32.086,0,0,0,0,0,2.6738,0,0,0,0,0,0,0
2018,010346,BL7,68.966,0,172.414,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010346,EDS,26.906,0,49.327,0,0,0,0,0,4.4843,0,0,0,0,0,0,0
2018,010346,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010346,FEM,10.526,0,5.263,0,0,0,0,0,5.2632,0,0,0,0,0,0,0
2018,010346,MALE,42.781,0,58.824,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010346,MU7,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,0
2018,010346,SWD,48.78,0,121.951,0,0,0,0,0,24.3902,0,0,0,0,0,0,0
2018,010346,WH7,33.473,0,20.921,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,ALL,108.729,0,45.942,0,0,0,0,0,0,0,1.531,0,0,0,0,0
2018,010347,AS7,300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,BL7,196.078,0,39.216,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,EDS,135.204,0,61.224,0,0,0,0,0,0,0,2.551,0,0,0,0,0
2018,010347,ELS,72.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,FEM,30.03,0,15.015,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,HI7,68.493,0,13.699,0,0,0,0,0,0,0,6.849,0,0,0,0,0
2018,010347,MALE,191.824,0,78.616,0,0,0,0,0,0,0,3.145,0,0,0,0,0
2018,010347,MU7,66.667,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,SWD,208.333,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010347,WH7,99.723,0,60.942,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010348,ALL,21.22,0,185.676,0,0,0,0,0,9.2838,0,0,0,0,0,0,0
2018,010348,BL7,39.301,0,388.646,0,0,0,0,0,13.1004,0,0,0,0,0,0,0
2018,010348,EDS,27.304,0,206.485,0,0,0,0,0,11.9454,0,0,0,0,0,0,0
2018,010348,ELS,0,0,12.048,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010348,FEM,28.796,0,86.387,0,0,0,0,0,2.6178,0,0,0,0,0,0,0
2018,010348,HI7,5.682,0,71.023,0,0,0,0,0,8.5227,0,0,0,0,0,0,0
2018,010348,MALE,12.376,0,264.851,0,0,0,0,0,14.8515,0,0,0,0,0,0,0
2018,010348,MU7,64.516,0,419.355,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010348,SWD,37.879,0,303.03,0,0,0,0,0,7.5758,0,0,0,0,0,0,0
2018,010348,WH7,19.231,0,83.333,0,0,0,0,0,6.4103,0,0,0,0,0,0,0
2018,010350,ALL,196.203,0,477.848,0,0,0,0,0,12.6582,0,18.987,0,0,0,0,0
2018,010350,AS7,90.909,0,454.545,0,0,0,0,0,0,0,272.727,0,0,0,0,0
2018,010350,BL7,349.398,0,801.205,0,0,0,0,0,12.0482,0,30.12,0,0,0,0,0
2018,010350,EDS,204.947,0,480.565,0,0,0,0,0,14.1343,0,15.901,0,0,0,0,0
2018,010350,ELS,95.238,0,396.825,0,0,0,0,0,15.873,0,0,0,0,0,0,0
2018,010350,FEM,106.061,0,309.091,0,0,0,0,0,6.0606,0,3.03,0,0,0,0,0
2018,010350,HI7,131.034,0,334.483,0,0,0,0,0,20.6897,0,6.897,0,0,0,0,0
2018,010350,MALE,305.842,0,687.285,0,0,0,0,0,20.6186,0,37.801,0,0,0,0,0
2018,010350,MU7,71.429,0,428.571,0,0,0,0,0,0,0,71.429,0,0,0,0,0
2018,010350,SWD,272.727,0,740.26,0,0,0,0,0,0,0,38.961,0,0,0,0,0
2018,010350,WH7,203.252,0,447.154,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010351,ALL,2.096,0,186.583,0,0,0,0,0,2.0964,0,8.386,0,0,0,0,0
2018,010351,BL7,0,0,390.625,0,0,0,0,0,5.2083,0,20.833,0,0,0,0,0
2018,010351,EDS,3.215,0,254.019,0,0,0,0,0,3.2154,0,12.862,0,0,0,0,0
2018,010351,ELS,0,0,13.699,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010351,FEM,0,0,42.254,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010351,HI7,7.576,0,30.303,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010351,MALE,4.082,0,326.531,0,0,0,0,0,4.0816,0,16.327,0,0,0,0,0
2018,010351,MU7,0,0,88.235,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010351,SWD,17.857,0,464.286,0,0,0,0,0,0,0,17.857,0,0,0,0,0
2018,010351,WH7,0,0,76.923,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010353,ALL,293.51,0,219.764,0,2.9499,0,0,0,4.4248,0,26.549,0,17.699,0,0,0
2018,010353,AS7,0,0,71.429,0,0,0,0,0,0,0,0,0,71.429,0,0,0
2018,010353,BL7,450.45,0,414.414,0,9.009,0,0,0,9.009,0,63.063,0,36.036,0,0,0
2018,010353,EDS,369.231,0,292.308,0,5.1282,0,0,0,5.1282,0,35.897,0,25.641,0,0,0
2018,010353,ELS,268.293,0,146.341,0,24.3902,0,0,0,0,0,48.78,0,0,0,0,0
2018,010353,FEM,128.44,0,48.93,0,0,0,0,0,0,0,12.232,0,3.058,0,0,0
2018,010353,HI7,204.819,0,168.675,0,6.0241,0,0,0,6.0241,0,18.072,0,18.072,0,0,0
2018,010353,MALE,449.857,0,381.089,0,5.7307,0,0,0,8.596,0,40.115,0,31.519,0,0,0
2018,010353,MU7,1125,0,500,0,0,0,0,0,0,0,62.5,0,62.5,0,0,0
2018,010353,PI7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010353,SWD,260,0,280,0,0,0,0,0,10,0,20,0,60,0,0,0
2018,010353,WH7,226.361,0,166.189,0,0,0,0,0,2.8653,0,17.192,0,5.731,0,0,0
2018,010354,ALL,0,0,88,0,0,0,0,0,4.8,0,0,0,0,0,0,0
2018,010354,BL7,0,0,162.264,0,0,0,0,0,11.3208,0,0,0,0,0,0,0
2018,010354,EDS,0,0,113.537,0,0,0,0,0,6.5502,0,0,0,0,0,0,0
2018,010354,ELS,0,0,6.897,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010354,FEM,0,0,40.373,0,0,0,0,0,6.2112,0,0,0,0,0,0,0
2018,010354,HI7,0,0,4.367,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010354,MALE,0,0,142.373,0,0,0,0,0,3.3898,0,0,0,0,0,0,0
2018,010354,MU7,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010354,SWD,0,0,193.548,0,0,0,0,0,16.129,0,0,0,0,0,0,0
2018,010354,WH7,0,0,78.652,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010357,ALL,0,0,182.556,0,0,0,0,0,6.0852,0,2.028,0,0,0,0,0
2018,010357,AM7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010357,BL7,0,0,265.625,0,0,0,0,0,15.625,0,7.813,0,0,0,0,0
2018,010357,EDS,0,0,234.94,0,0,0,0,0,9.0361,0,3.012,0,0,0,0,0
2018,010357,ELS,0,0,33.898,0,0,0,0,0,5.6497,0,0,0,0,0,0,0
2018,010357,FEM,0,0,53.719,0,0,0,0,0,8.2645,0,0,0,0,0,0,0
2018,010357,HI7,0,0,96.07,0,0,0,0,0,4.3668,0,0,0,0,0,0,0
2018,010357,MALE,0,0,329.06,0,0,0,0,0,4.2735,0,4.274,0,0,0,0,0
2018,010357,MU7,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010357,SWD,0,0,392.157,0,0,0,0,0,19.6078,0,19.608,0,0,0,0,0
2018,010357,WH7,0,0,107.143,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010358,ALL,30.063,0,145.57,0,0,0,0,0,6.3291,0,4.747,0,0,0,0,0
2018,010358,BL7,37.931,0,186.207,0,0,0,0,0,10.3448,0,10.345,0,0,0,0,0
2018,010358,EDS,39.312,0,176.904,0,0,0,0,0,7.371,0,7.371,0,0,0,0,0
2018,010358,ELS,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010358,FEM,17.986,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010358,HI7,10.753,0,86.022,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010358,MALE,39.216,0,238.095,0,0,0,0,0,11.2045,0,8.403,0,0,0,0,0
2018,010358,MU7,23.81,0,47.619,0,0,0,0,0,23.8095,0,0,0,0,0,0,0
2018,010358,SWD,60.606,0,424.242,0,0,0,0,0,15.1515,0,0,0,0,0,0,0
2018,010358,WH7,46.729,0,186.916,0,0,0,0,0,0,0,0,0,0,0,0,0
