year,agency_code,category_code,grade_eoc,avg_size
2006,020330,,07,21
2006,020330,,08,23
2006,020330,,Math I,23
2006,020332,,00,22
2006,020332,,01,16
2006,020332,,02,19
2006,020332,,03,21
2006,020332,,04,23
2006,020332,,05,22
2006,020LEA,,00,19
2006,020LEA,,01,19
2006,020LEA,,02,19
2006,020LEA,,03,21
2006,020LEA,,04,21
2006,020LEA,,05,24
2006,020LEA,,06,27
2006,020LEA,,07,22
2006,020LEA,,08,24
2006,020LEA,,Biology,23
2006,020LEA,,English II,22
2006,020LEA,,Math I,25
2006,030304,,Biology,20
2006,030304,,English II,17
2006,030304,,Math I,17
2006,030308,,00,16
2006,030308,,01,16
2006,030308,,02,16
2006,030308,,03,12
2006,030308,,04,15
2006,030308,,05,17
2006,030308,,06,25
2006,030308,,07,32
2006,030308,,08,22
2006,030316,,01,13
2006,030316,,02,14
2006,030316,,03,14
2006,030316,,04,12
2006,030316,,05,22
2006,030316,,06,21
2006,030316,,07,21
2006,030316,,08,23
2006,030320,,00,17
2006,030320,,01,21
2006,030320,,02,21
2006,030320,,03,23
2006,030320,,04,20
2006,030320,,05,20
2006,030320,,06,18
2006,030320,,07,22
2006,030320,,08,20
2006,030LEA,,00,17
2006,030LEA,,01,17
2006,030LEA,,02,17
2006,030LEA,,03,16
2006,030LEA,,04,16
2006,030LEA,,05,20
2006,030LEA,,06,21
2006,030LEA,,07,25
2006,030LEA,,08,22
2006,030LEA,,Biology,20
2006,030LEA,,English II,17
2006,030LEA,,Math I,17
2006,040304,,Biology,5
2006,040304,,English II,19
2006,040304,,Math I,22
2006,040305,,08,11
2006,040305,,Biology,7
2006,040305,,English II,9
2006,040305,,Math I,13
2006,040306,,Biology,14
2006,040306,,English II,18
2006,040306,,Math I,18
2006,040308,,00,16
2006,040308,,01,21
2006,040308,,02,15
2006,040308,,03,13
2006,040308,,04,18
2006,040308,,05,14
2006,040308,,06,20
2006,040309,,07,21
2006,040309,,08,19
2006,040309,,Math I,23
2006,040311,,00,13
2006,040311,,01,15
2006,040311,,02,15
2006,040311,,03,15
2006,040316,,00,15
2006,040316,,01,13
2006,040316,,02,16
2006,040316,,03,19
2006,040316,,04,19
2006,040316,,05,23
2006,040316,,06,20
2006,040324,,00,19
2006,040324,,01,15
2006,040324,,02,20
2006,040324,,03,21
2006,040324,,04,15
2006,040324,,05,17
2006,040324,,06,22
2006,040328,,00,18
2006,040328,,01,14
2006,040328,,02,14
2006,040328,,03,15
2006,040328,,04,17
2006,040328,,05,19
2006,040328,,06,21
2006,040330,,03,13
2006,040330,,04,18
2006,040330,,05,20
2006,040330,,06,20
