year,agency_code,category_code,highqual_class_pct
2016,010374,E,0.999
2006,010378,A,0.435
2007,010378,A,0.906
2008,010378,A,0.944
2009,010378,A,0.83
2010,010378,A,0.917
2011,010378,A,0.888
2012,010378,A,0.852
2013,010378,A,1
2014,010378,A,
2015,010378,A,0.688
2016,010378,A,0.722
2006,010380,E,0.947
2007,010380,E,1
2008,010380,E,1
2009,010380,E,1
2010,010380,E,1
2011,010380,E,1
2012,010380,E,1
2013,010380,E,1
2014,010380,E,
2015,010380,E,1
2016,010380,E,1
2006,010384,E,1
2007,010384,E,1
2008,010384,E,1
2009,010384,E,1
2010,010384,E,1
2011,010384,E,1
2012,010384,E,1
2013,010384,E,1
2014,010384,E,
2015,010384,E,0.962
2016,010384,E,1
2006,010388,H,0.95
2007,010388,H,1
2008,010388,H,0.992
2009,010388,H,0.967
2010,010388,H,1
2011,010388,H,0.947
2012,010388,H,1
2013,010388,H,0.998
2014,010388,H,
2015,010388,H,0.934
2016,010388,H,0.882
2006,010390,M,0.881
2007,010390,M,0.949
2008,010390,M,0.977
2009,010390,M,0.963
2010,010390,M,0.945
2011,010390,M,1
2012,010390,M,0.976
2013,010390,M,0.975
2014,010390,M,
2015,010390,M,0.957
2016,010390,M,0.897
2006,010392,E,1
2007,010392,E,1
2008,010392,E,1
2009,010392,E,1
2010,010392,E,1
2011,010392,E,1
2012,010392,E,1
2013,010392,E,1
2014,010392,E,
2015,010392,E,1
2016,010392,E,1
2006,010394,M,0.93
2007,010394,M,1
2008,010394,M,1
2009,010394,M,1
2010,010394,M,0.987
2011,010394,M,1
2012,010394,M,0.978
2013,010394,M,0.987
2014,010394,M,
2015,010394,M,1
2016,010394,M,0.974
2006,010396,H,0.898
2007,010396,H,0.98
2008,010396,H,0.988
2009,010396,H,0.948
2010,010396,H,0.983
2011,010396,H,1
2012,010396,H,1
2013,010396,H,0.984
2014,010396,H,
2015,010396,H,0.925
2016,010396,H,0.911
2006,010400,H,0.944
2007,010400,H,0.994
2008,010400,H,0.978
2009,010400,H,0.96
2010,010400,H,0.966
2011,010400,H,0.975
2012,010400,H,1
2013,010400,H,0.978
2014,010400,H,
2015,010400,H,0.925
2016,010400,H,0.911
2006,010403,M,0.96
2007,010403,M,1
2008,010403,M,0.987
2009,010403,M,1
2010,010403,M,0.942
2011,010403,M,1
2012,010403,M,0.977
2013,010403,M,0.921
2014,010403,M,
2015,010403,M,0.993
2016,010403,M,0.975
2006,010406,M,0.992
2007,010406,M,0.966
2008,010406,M,1
2009,010406,M,1
2010,010406,M,0.976
2011,010406,M,1
2012,010406,M,1
2013,010406,M,1
2014,010406,M,
2015,010406,M,0.963
2016,010406,M,0.914
2006,010LEA,A,0.435
2006,010LEA,E,0.983
2006,010LEA,H,0.913
2006,010LEA,M,0.936
2007,010LEA,A,0.906
2007,010LEA,E,1
2007,010LEA,H,0.963
2007,010LEA,M,0.984
2008,010LEA,A,0.944
2008,010LEA,E,0.998
2008,010LEA,H,0.98
2008,010LEA,M,0.99
2009,010LEA,A,0.83
2009,010LEA,E,1
2009,010LEA,H,0.959
2009,010LEA,M,0.994
2009,010LEA,T,
2010,010LEA,A,0.917
2010,010LEA,E,0.998
2010,010LEA,H,0.971
2010,010LEA,M,0.974
2011,010LEA,A,0.888
2011,010LEA,E,0.999
2011,010LEA,H,0.969
2011,010LEA,M,1
2012,010LEA,A,0.853
2012,010LEA,E,1
2012,010LEA,H,0.994
2012,010LEA,M,0.986
2013,010LEA,A,1
2013,010LEA,E,1
2013,010LEA,H,0.992
2013,010LEA,M,0.977
2014,010LEA,A,
2014,010LEA,E,
2014,010LEA,H,
2014,010LEA,M,
2015,010LEA,A,0.688
2015,010LEA,E,0.987
2015,010LEA,H,0.93
2015,010LEA,M,0.969
2016,010LEA,A,0.722
2016,010LEA,E,0.988
2016,010LEA,H,0.889
2016,010LEA,M,0.95
2006,01A000,T,0.465
2006,01B000,A,0.692
2007,01B000,A,0.803
2008,01B000,A,0.842
2009,01B000,A,0.79
2010,01B000,A,0.828
2011,01B000,A,0.963
2012,01B000,A,0.975
2013,01B000,A,1
2014,01B000,A,
2015,01B000,A,0.912
2016,01B000,A,0.882
2006,01C000,A,0.876
2007,01C000,A,0.952
2008,01C000,A,1
2009,01C000,A,0.964
2010,01C000,A,1
2011,01C000,A,1
2012,01C000,A,1
2013,01C000,A,0.995
2014,01C000,A,
2015,01C000,A,0.811
2016,01C000,A,0.941
2006,01D000,H,0.111
2007,01D000,H,0.375
2008,01D000,H,0.954
2009,01D000,H,0.984
2010,01D000,H,0.971
2011,01D000,T,1
2012,01D000,T,0.58
2013,01D000,T,0.799
2014,01D000,T,
2015,01D000,T,0.79
2016,01D000,T,0.73
2006,020302,H,1
2007,020302,H,1
2008,020302,H,1
2009,020302,H,0.992
2010,020302,H,0.955
2011,020302,H,0.98
2012,020302,H,0.994
2013,020302,H,0.997
2014,020302,H,
2015,020302,H,0.971
2016,020302,H,0.955
2006,020304,E,1
2007,020304,E,1
2008,020304,E,1
2009,020304,E,1
2010,020304,E,1
2011,020304,E,1
2012,020304,E,1
2013,020304,E,1
2014,020304,E,
2015,020304,E,1
2016,020304,E,1
2006,020306,M,1
2007,020306,M,1
2008,020306,M,1
2009,020306,M,1
2010,020306,M,0.957
2011,020306,M,0.972
2012,020306,M,0.992
2013,020306,M,1
2014,020306,M,
2015,020306,M,0.992
2016,020306,M,0.969
2006,020308,E,1
2007,020308,E,1
2008,020308,E,1
2009,020308,E,1
2010,020308,E,0.983
2011,020308,E,1
2012,020308,E,1
2013,020308,E,1
2014,020308,E,
2015,020308,E,1
2016,020308,E,1
2006,020316,E,1
2007,020316,E,1
2008,020316,E,1
2009,020316,E,1
2010,020316,E,1
2011,020316,E,0.984
2012,020316,E,0.979
2013,020316,E,1
2014,020316,E,
2015,020316,E,1
2016,020316,E,1
2006,020320,E,1
2007,020320,E,1
2008,020320,E,1
2009,020320,E,1
2010,020320,E,1
2011,020320,E,1
2012,020320,E,1
2013,020320,E,1
2014,020320,E,
2015,020320,E,1
2016,020320,E,1
2006,020324,E,1
2007,020324,E,1
2008,020324,E,1
2009,020324,E,1
2010,020324,E,1
2011,020324,E,1
2012,020324,E,1
2013,020324,E,1
2014,020324,E,
2015,020324,E,1
2016,020324,E,1
2006,020328,E,1
2007,020328,E,1
2008,020328,E,1
2009,020328,E,1
2010,020328,E,1
2011,020328,E,1
2012,020328,E,1
2013,020328,E,1
2014,020328,E,
2015,020328,E,1
2016,020328,E,1
2006,020330,M,1
2007,020330,M,1
2008,020330,M,1
2009,020330,M,1
2010,020330,M,0.967
2011,020330,M,0.99
2012,020330,M,0.99
2013,020330,M,0.99
2014,020330,M,
2015,020330,M,1
2016,020330,M,0.99
2006,020332,E,1
2007,020332,E,1
2008,020332,E,1
2009,020332,E,1
2010,020332,E,1
2011,020332,E,1
2012,020332,E,1
2013,020332,E,1
2014,020332,E,
2015,020332,E,1
2016,020332,E,1
2006,020LEA,E,1
2006,020LEA,H,1
2006,020LEA,M,1
2007,020LEA,E,1
2007,020LEA,H,1
2007,020LEA,M,1
2008,020LEA,E,1
2008,020LEA,H,1
2008,020LEA,M,1
2009,020LEA,E,1
2009,020LEA,H,0.992
2009,020LEA,M,1
2010,020LEA,E,0.998
2010,020LEA,H,0.955
2010,020LEA,M,0.962
2011,020LEA,E,0.997
2011,020LEA,H,0.98
2011,020LEA,M,0.98
2012,020LEA,E,0.996
2012,020LEA,H,0.994
2012,020LEA,M,0.991
2013,020LEA,E,1
2013,020LEA,H,0.997
2013,020LEA,M,0.995
2014,020LEA,E,
2014,020LEA,H,
2014,020LEA,M,
2015,020LEA,E,1
2015,020LEA,H,0.971
2015,020LEA,M,0.996
2016,020LEA,E,1
2016,020LEA,H,0.955
2016,020LEA,M,0.978
2006,030304,H,0.834
2007,030304,H,0.888
2008,030304,H,0.865
2009,030304,H,0.915
2010,030304,H,0.974
2011,030304,H,0.933
2012,030304,H,0.993
2013,030304,H,0.976
2014,030304,H,
2015,030304,H,0.773
2016,030304,H,0.836
2006,030308,I,0.79
2007,030308,I,0.874
2008,030308,I,0.875
2009,030308,I,0.842
2010,030308,I,0.933
2011,030308,I,1
2012,030308,I,1
2013,030308,I,1
2014,030308,I,
2015,030308,I,1
2016,030308,I,0.98
2006,030316,I,0.827
2007,030316,I,0.909
2008,030316,I,1
2009,030316,I,1
2010,030316,I,1
2011,030316,I,0.955
2012,030316,I,1
2013,030316,I,0.97
2014,030316,I,
2015,030316,I,0.833
2016,030316,I,0.926
2006,030320,I,0.907
2007,030320,I,0.795
2008,030320,I,0.941
2009,030320,I,1
2010,030320,I,0.978
2011,030320,I,0.949
2012,030320,I,0.974
2013,030320,I,1
2014,030320,I,
2015,030320,I,0.9
2016,030320,I,0.805
2006,030LEA,H,0.833
2006,030LEA,I,0.862
2007,030LEA,H,0.888
2007,030LEA,I,0.831
2008,030LEA,H,0.865
2008,030LEA,I,0.934
2009,030LEA,H,0.915
2009,030LEA,I,0.958
2010,030LEA,H,0.974
2010,030LEA,I,0.971
2011,030LEA,H,0.933
2011,030LEA,I,0.962
2012,030LEA,H,0.993
2012,030LEA,I,0.985
2013,030LEA,H,0.976
2013,030LEA,I,0.995
2014,030LEA,H,
2014,030LEA,I,
2015,030LEA,H,0.773
2015,030LEA,I,0.912
2016,030LEA,H,0.836
2016,030LEA,I,0.872
2006,040304,H,1
2007,040304,H,1
2008,040304,H,1
2009,040304,H,1
2010,040304,H,1
2011,040304,H,1
2012,040304,H,1
2013,040304,H,1
2014,040304,H,
2015,040304,H,0.909
