year,agency_code,home_lea,pct_enrolled,subgroup,masking
2018,00A000,NC-SEA,12.8,HI7,
2018,00A000,NC-SEA,19.4,BL7,
2018,00A000,NC-SEA,57.1,WH7,
2018,00A000,NC-SEA,5,AM7,2
2018,00A000,NC-SEA,5,AS7,2
2018,00A000,NC-SEA,5,EDS,2
2018,00A000,NC-SEA,5,ELS,2
2018,00A000,NC-SEA,5,PI7,2
2018,00A000,NC-SEA,7.2,MU7,
2018,00A000,NC-SEA,9,SWD,
2018,00B000,NC-SEA,11.4,SWD,
2018,00B000,NC-SEA,20.6,BL7,
2018,00B000,NC-SEA,58.6,WH7,
2018,00B000,NC-SEA,5,AM7,2
2018,00B000,NC-SEA,5,AS7,2
2018,00B000,NC-SEA,5,EDS,2
2018,00B000,NC-SEA,5,ELS,2
2018,00B000,NC-SEA,5,PI7,2
2018,00B000,NC-SEA,9.5,MU7,
2018,00B000,NC-SEA,9.6,HI7,
2018,010000,010LEA,12.3,SWD,
2018,010000,010LEA,22.9,BL7,
2018,010000,010LEA,26.5,HI7,
2018,010000,010LEA,43.9,WH7,
2018,010000,010LEA,49.9,EDS,
2018,010000,010LEA,5,AM7,2
2018,010000,010LEA,5,AS7,2
2018,010000,010LEA,5,MU7,2
2018,010000,010LEA,5,PI7,2
2018,010000,010LEA,9.7,ELS,
2018,01B000,010LEA,13.4,BL7,
2018,01B000,010LEA,5,AM7,2
2018,01B000,010LEA,5,AS7,2
2018,01B000,010LEA,5,EDS,2
2018,01B000,010LEA,5,ELS,2
2018,01B000,010LEA,5,MU7,
2018,01B000,010LEA,5,PI7,2
2018,01B000,010LEA,72.3,WH7,
2018,01B000,010LEA,7.2,HI7,
2018,01B000,010LEA,9,SWD,
2018,01C000,010LEA,11.1,SWD,
2018,01C000,010LEA,5.2,HI7,
2018,01C000,010LEA,5,AM7,2
2018,01C000,010LEA,5,AS7,2
2018,01C000,010LEA,5,BL7,2
2018,01C000,010LEA,5,EDS,2
2018,01C000,010LEA,5,ELS,2
2018,01C000,010LEA,5,MU7,2
2018,01C000,010LEA,5,PI7,2
2018,01C000,010LEA,87.6,WH7,
2018,01D000,010LEA,10.7,SWD,
2018,01D000,010LEA,5.5,MU7,
2018,01D000,010LEA,5,AM7,2
2018,01D000,010LEA,5,AS7,2
2018,01D000,010LEA,5,BL7,2
2018,01D000,010LEA,5,EDS,2
2018,01D000,010LEA,5,ELS,2
2018,01D000,010LEA,5,HI7,2
2018,01D000,010LEA,5,PI7,2
2018,01D000,010LEA,84.4,WH7,
2018,060000,060LEA,12.2,HI7,
2018,060000,060LEA,16.7,SWD,
2018,060000,060LEA,57.2,EDS,
2018,060000,060LEA,5,AM7,2
2018,060000,060LEA,5,AS7,2
2018,060000,060LEA,5,BL7,2
2018,060000,060LEA,5,MU7,2
2018,060000,060LEA,5,PI7,2
2018,060000,060LEA,7.2,ELS,
2018,060000,060LEA,84.4,WH7,
2018,06A000,060LEA,12,MU7,
2018,06A000,060LEA,20,BL7,
2018,06A000,060LEA,32,EDS,
2018,06A000,060LEA,32,SWD,
2018,06A000,060LEA,5,AM7,2
2018,06A000,060LEA,5,AS7,2
2018,06A000,060LEA,5,ELS,2
2018,06A000,060LEA,5,PI7,2
2018,06A000,060LEA,60,WH7,
2018,06A000,060LEA,8,HI7,
2018,06B000,060LEA,30.4,EDS,
2018,06B000,060LEA,30.4,SWD,
2018,06B000,060LEA,5,AM7,2
2018,06B000,060LEA,5,AS7,2
2018,06B000,060LEA,5,BL7,2
2018,06B000,060LEA,5,ELS,2
2018,06B000,060LEA,5,MU7,2
2018,06B000,060LEA,5,PI7,2
2018,06B000,060LEA,7.2,HI7,
2018,06B000,060LEA,84.1,WH7,
2018,070000,070LEA,13.6,SWD,
2018,070000,070LEA,16.6,HI7,
2018,070000,070LEA,32.2,BL7,
2018,070000,070LEA,44.3,EDS,
2018,070000,070LEA,46.3,WH7,
2018,070000,070LEA,5.8,ELS,
2018,070000,070LEA,5,AM7,2
2018,070000,070LEA,5,AS7,2
2018,070000,070LEA,5,MU7,2
2018,070000,070LEA,5,PI7,2
2018,07A000,070LEA,13.8,SWD,
2018,07A000,070LEA,5,AM7,2
2018,07A000,070LEA,5,AS7,2
2018,07A000,070LEA,5,BL7,2
2018,07A000,070LEA,5,EDS,2
2018,07A000,070LEA,5,ELS,2
2018,07A000,070LEA,5,MU7,2
2018,07A000,070LEA,5,PI7,2
2018,07A000,070LEA,6.9,HI7,
2018,07A000,070LEA,86.2,WH7,
2018,080000,080LEA,12.5,SWD,
2018,080000,080LEA,14,WH7,
2018,080000,080LEA,57.6,EDS,
2018,080000,080LEA,5,AM7,2
2018,080000,080LEA,5,AS7,2
2018,080000,080LEA,5,ELS,2
2018,080000,080LEA,5,HI7,2
2018,080000,080LEA,5,MU7,2
2018,080000,080LEA,5,PI7,2
2018,080000,080LEA,80.9,BL7,
2018,08A000,080LEA,12.2,WH7,
2018,08A000,080LEA,14.2,SWD,
2018,08A000,080LEA,5.4,MU7,
2018,08A000,080LEA,5,AM7,2
2018,08A000,080LEA,5,AS7,2
2018,08A000,080LEA,5,ELS,2
2018,08A000,080LEA,5,HI7,2
2018,08A000,080LEA,5,PI7,2
2018,08A000,080LEA,74.3,EDS,
2018,08A000,080LEA,81.8,BL7,
2018,090000,090LEA,11.2,SWD,
2018,090000,090LEA,23.7,HI7,
2018,090000,090LEA,34.8,BL7,
2018,090000,090LEA,35.1,WH7,
2018,090000,090LEA,44.1,EDS,
2018,090000,090LEA,5,AM7,2
2018,090000,090LEA,5,AS7,2
2018,090000,090LEA,5,MU7,2
2018,090000,090LEA,5,PI7,2
2018,090000,090LEA,6.9,ELS,
2018,09A000,090LEA,15.4,WH7,
2018,09A000,090LEA,5,AS7,2
2018,09A000,090LEA,5,EDS,2
2018,09A000,090LEA,5,ELS,2
2018,09A000,090LEA,5,PI7,2
2018,09A000,090LEA,5,SWD,2
2018,09A000,090LEA,6.2,AM7,
2018,09A000,090LEA,6.2,HI7,
2018,09A000,090LEA,65.4,BL7,
2018,09A000,090LEA,6.8,MU7,
2018,09B000,090LEA,11.5,SWD,
2018,09B000,090LEA,19.7,BL7,
2018,09B000,090LEA,5,AM7,2
2018,09B000,090LEA,5,AS7,2
2018,09B000,090LEA,5,EDS,2
2018,09B000,090LEA,5,ELS,2
2018,09B000,090LEA,5,HI7,2
2018,09B000,090LEA,5,PI7,2
2018,09B000,090LEA,6.4,MU7,
2018,09B000,090LEA,67.8,WH7,
2018,100000,100LEA,13.2,SWD,
2018,100000,100LEA,13.6,HI7,
2018,100000,100LEA,15,BL7,
2018,100000,100LEA,57,EDS,
2018,100000,100LEA,5,AM7,2
2018,100000,100LEA,5,AS7,2
2018,100000,100LEA,5,ELS,2
2018,100000,100LEA,5,MU7,2
2018,100000,100LEA,5,PI7,2
2018,100000,100LEA,64.9,WH7,
2018,10A000,100LEA,5,AM7,2
2018,10A000,100LEA,5,AS7,2
2018,10A000,100LEA,5,EDS,2
2018,10A000,100LEA,5,ELS,2
2018,10A000,100LEA,5,PI7,2
2018,10A000,100LEA,6.5,HI7,
2018,10A000,100LEA,6.5,MU7,
2018,10A000,100LEA,75.4,WH7,
2018,10A000,100LEA,9.1,BL7,
2018,10A000,100LEA,9.9,SWD,
2018,10B000,100LEA,5.9,HI7,
2018,10B000,100LEA,5,AM7,2
2018,10B000,100LEA,5,AS7,2
2018,10B000,100LEA,5,BL7,2
2018,10B000,100LEA,5,EDS,2
2018,10B000,100LEA,5,ELS,2
2018,10B000,100LEA,5,PI7,2
2018,10B000,100LEA,5,SWD,2
2018,10B000,100LEA,6.8,MU7,
2018,10B000,100LEA,81.8,WH7,
2018,110000,110LEA,14.5,SWD,
2018,110000,110LEA,16.9,HI7,
2018,110000,110LEA,49.7,EDS,
2018,110000,110LEA,5,AM7,2
2018,110000,110LEA,5,AS7,2
2018,110000,110LEA,5,MU7,2
2018,110000,110LEA,5,PI7,2
2018,110000,110LEA,6.8,BL7,
2018,110000,110LEA,69.7,WH7,
2018,110000,110LEA,7.2,ELS,
2018,111000,111LEA,12.3,SWD,
2018,111000,111LEA,20.7,BL7,
2018,111000,111LEA,36.5,EDS,
2018,111000,111LEA,5,AM7,2
2018,111000,111LEA,5,AS7,2
2018,111000,111LEA,5,ELS,2
2018,111000,111LEA,5,PI7,2
2018,111000,111LEA,62.4,WH7,
2018,111000,111LEA,6.6,MU7,
2018,111000,111LEA,8.5,HI7,
2018,11A000,110LEA,14,SWD,
2018,11A000,110LEA,5,AM7,2
2018,11A000,110LEA,5,AS7,2
2018,11A000,110LEA,5,BL7,2
2018,11A000,110LEA,5,EDS,2
2018,11A000,110LEA,5,ELS,2
2018,11A000,110LEA,5,HI7,2
2018,11A000,110LEA,5,MU7,2
2018,11A000,110LEA,5,PI7,2
2018,11A000,110LEA,90.8,WH7,
2018,11B000,110LEA,14.7,SWD,
2018,11B000,110LEA,5,AM7,2
2018,11B000,110LEA,5,AS7,2
2018,11B000,110LEA,5,BL7,2
2018,11B000,110LEA,5,EDS,2
2018,11B000,110LEA,5,ELS,2
2018,11B000,110LEA,5,MU7,2
2018,11B000,110LEA,5,PI7,2
2018,11B000,110LEA,7.8,HI7,
2018,11B000,110LEA,84.8,WH7,
2018,11C000,110LEA,10.1,SWD,
2018,11C000,110LEA,5,AM7,2
2018,11C000,110LEA,5,AS7,2
2018,11C000,110LEA,5,BL7,2
2018,11C000,110LEA,5,EDS,2
2018,11C000,110LEA,5,ELS,2
2018,11C000,110LEA,5,MU7,2
2018,11C000,110LEA,5,PI7,2
2018,11C000,110LEA,6.1,HI7,
2018,11C000,110LEA,84.6,WH7,
2018,11D000,110LEA,11.1,SWD,
2018,11D000,110LEA,5,AM7,2
2018,11D000,110LEA,5,AS7,2
2018,11D000,110LEA,5,BL7,2
2018,11D000,110LEA,5,EDS,2
2018,11D000,110LEA,5,ELS,2
2018,11D000,110LEA,5,PI7,2
2018,11D000,110LEA,6.3,MU7,
2018,11D000,110LEA,6.7,HI7,
2018,11D000,110LEA,84.4,WH7,
2018,11K000,111LEA,10.2,HI7,
2018,11K000,111LEA,14.2,SWD,
2018,11K000,111LEA,26.7,BL7,
2018,11K000,111LEA,51.7,WH7,
2018,11K000,111LEA,5,AM7,2
2018,11K000,111LEA,5,AS7,2
2018,11K000,111LEA,5,EDS,2
2018,11K000,111LEA,5,ELS,2
2018,11K000,111LEA,5,PI7,2
2018,11K000,111LEA,6.3,MU7,
2018,120000,120LEA,15.7,HI7,
2018,120000,120LEA,15.9,SWD,
2018,120000,120LEA,5.1,MU7,
2018,120000,120LEA,58,EDS,
2018,120000,120LEA,5,AM7,2
2018,120000,120LEA,5,BL7,2
2018,120000,120LEA,5,PI7,2
2018,120000,120LEA,68.1,WH7,
2018,120000,120LEA,6,AS7,
2018,120000,120LEA,8.2,ELS,
2018,12A000,120LEA,12.2,SWD,
2018,12A000,120LEA,5,AM7,2
2018,12A000,120LEA,5,AS7,2
2018,12A000,120LEA,5,BL7,2
2018,12A000,120LEA,5,EDS,2
2018,12A000,120LEA,5,ELS,2
2018,12A000,120LEA,5,HI7,2
2018,12A000,120LEA,5,PI7,2
2018,12A000,120LEA,6.1,MU7,
2018,12A000,120LEA,84.2,WH7,
2018,130000,130LEA,10.3,SWD,
2018,130000,130LEA,17,HI7,
2018,130000,130LEA,20.5,BL7,
2018,130000,130LEA,35.1,EDS,
2018,130000,130LEA,52.6,WH7,
2018,130000,130LEA,5,AM7,2
2018,130000,130LEA,5,AS7,
2018,130000,130LEA,5,MU7,2
2018,130000,130LEA,5,PI7,2
2018,130000,130LEA,6.5,ELS,
2018,13A000,130LEA,15,HI7,
2018,13A000,130LEA,28.6,BL7,
2018,13A000,130LEA,39.5,WH7,
2018,13A000,130LEA,5,AM7,2
2018,13A000,130LEA,5,EDS,2
2018,13A000,130LEA,5,ELS,2
2018,13A000,130LEA,5,PI7,2
2018,13A000,130LEA,7.5,SWD,
2018,13A000,130LEA,8.1,AS7,
2018,13A000,130LEA,8.4,MU7,
2018,13B000,130LEA,13.5,HI7,
2018,13B000,130LEA,31.8,EDS,
2018,13B000,130LEA,34.8,BL7,
2018,13B000,130LEA,37.2,WH7,
2018,13B000,130LEA,5,AM7,2
2018,13B000,130LEA,5,ELS,2
2018,13B000,130LEA,5,PI7,2
2018,13B000,130LEA,6.3,AS7,
2018,13B000,130LEA,7.8,MU7,
2018,13B000,130LEA,7,SWD,
2018,13C000,130LEA,10.7,SWD,
2018,13C000,130LEA,12.4,HI7,
2018,13C000,130LEA,52.4,EDS,
2018,13C000,130LEA,5.7,WH7,
2018,13C000,130LEA,5,AM7,2
2018,13C000,130LEA,5,AS7,2
2018,13C000,130LEA,5,ELS,2
2018,13C000,130LEA,5,PI7,2
2018,13C000,130LEA,6.7,MU7,
2018,13C000,130LEA,73.9,BL7,
2018,13D000,130LEA,17.9,HI7,
2018,13D000,130LEA,33.2,BL7,
2018,13D000,130LEA,40,WH7,
2018,13D000,130LEA,5.3,ELS,
2018,13D000,130LEA,54.7,EDS,
2018,13D000,130LEA,5,AM7,2
2018,13D000,130LEA,5,AS7,2
2018,13D000,130LEA,5,PI7,2
2018,13D000,130LEA,6,SWD,
