year,unit_code,category_cd,Lea_Name,School_Name,State_Name,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,ttl_crimes_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,grades_BYOD,avg_age_media_collection,_1_to_1_access,books_per_student,grades_1_to_1_access,lea_avg_age_media_collection,lea_books_per_student,st_avg_age_media_collection,st_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,st_wap_num,st_wap_per_classroom,SRC_devices_sent_home,SRC_Grades_Devices_Sent_Home
2015,010303,H,Alamance-Burlington Schools,Alamance-Burlington Middle College,State Of North Carolina,0.962,0.0,0.0,0.0,0.0,,0.59,0.938,1.07,14.27,0.09,0.0,1.23,0.95,1.3,14.06,0.07,0.0,1.2,,,,.,,0.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010304,E,Alamance-Burlington Schools,Alexander Wilson Elementary,State Of North Carolina,0.956,0.19,0.76,0.0,0.0,,2.1,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.07,0.0,1.2,0.01,NO,,2000,NO,16.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010308,E,Alamance-Burlington Schools,Altamahaw Ossipee Elem,State Of North Carolina,0.953,0.54,1.62,0.0,0.0,,2.02,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.07,0.0,1.2,0.0,NO,,1999,NO,24.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010310,M,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,0.939,0.73,30.24,0.0,0.0,,0.98,0.942,1.3,20.64,0.02,0.0,1.23,0.951,0.87,14.24,0.07,0.0,1.2,0.0,NO,,2001,NO,16.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010311,H,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,,,,,,,0.0,0.938,1.07,14.27,0.09,0.0,1.23,0.95,1.3,14.06,0.07,0.0,1.2,0.93,NO,,2009,NO,,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010312,E,Alamance-Burlington Schools,"Highland Elementary, Burlington",State Of North Carolina,0.957,0.15,1.68,0.15,0.0,,1.97,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.07,0.0,1.2,0.01,NO,,2005,NO,15.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010320,E,Alamance-Burlington Schools,E M Yoder Elementary,State Of North Carolina,0.946,0.0,7.32,0.0,0.0,,1.05,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.07,0.0,1.2,0.0,NO,,2000,NO,29.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010324,H,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,0.935,0.49,21.99,0.0,0.0,,1.64,0.938,1.07,14.27,0.09,0.0,1.23,0.95,1.3,14.06,0.07,0.0,1.2,0.0,NO,,1996,NO,7.0,,1999,15.0,1999.0,18.0,,,,,,,,
2015,010326,E,Alamance-Burlington Schools,Eastlawn Elementary,State Of North Carolina,0.941,0.19,8.13,0.0,0.0,,0.59,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.07,0.0,1.2,0.0,NO,,1997,YES,13.0,K:1:2:3:4:5,1999,15.0,1999.0,18.0,,,,,,,,
2015,010328,E,Alamance-Burlington Schools,Edwin M Holt Elementary,State Of North Carolina,0.951,0.16,2.35,0.0,0.0,,2.58,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.07,0.0,1.2,0.01,NO,,1999,NO,18.0,,1999,15.0,1999.0,18.0,,,,,,,,
