LEA Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared
Alamance-Burlington Schools,010403,Western Middle,Piedmont-Triad,C,66.0,B,71.0,D,51.0,Met,83.4,61,65,49,76,93,,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont-Triad,B,70.0,C,65.0,C,67.0,Exceeded,90.0,65,60,62,78,100,,,,,,,
Alexander County Schools,020302,Alexander Central High,Northwest,B,76.0,,,,,Exceeded,93.1,71,,,,63,60,61,62,73,91,87,
Alexander County Schools,020304,Bethlehem Elementary,Northwest,C,66.0,C,68.0,C,62.0,Met,71.1,65,65,62,73,,,,,,,,
Alexander County Schools,020306,East Alexander Middle,Northwest,C,60.0,C,64.0,D,48.0,Met,83.0,54,60,38,80,90,,,,,,,
Alexander County Schools,020308,Ellendale Elementary,Northwest,C,67.0,C,68.0,B,70.0,NotMet,68.7,67,65,70,63,,,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest,C,62.0,C,59.0,C,64.0,Met,77.4,58,53,61,65,,,,,,,,
Alexander County Schools,020320,Stony Point Elementary,Northwest,C,63.0,C,63.0,C,58.0,Met,76.4,60,58,56,79,,,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,B,74.0,B,71.0,B,70.0,Met,84.0,72,68,67,95,,,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,Northwest,C,57.0,C,63.0,C,55.0,NotMet,59.9,57,59,55,56,,,,,,,,
Alexander County Schools,020330,West Alexander Middle,Northwest,C,65.0,C,65.0,D,54.0,Exceeded,88.7,59,62,45,80,100,,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,Northwest,C,63.0,C,66.0,D,54.0,Met,73.6,60,63,53,76,,,,,,,,
Alleghany County Schools,030304,Alleghany High,Northwest,B,71.0,,,,,Met,82.3,68,,,,58,59,60,51,86,93,86,
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,B,70.0,C,69.0,C,67.0,Met,84.3,66,65,64,76,100,,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,B,80.0,B,80.0,B,72.0,Met,81.2,79,78,74,90,100,,,,,,,
Alleghany County Schools,030320,Sparta Elementary,Northwest,C,64.0,C,66.0,C,56.0,Exceeded,86.4,59,61,51,72,70,,,,,,,
Anson County Schools,040304,Anson Co. Early College High,Southwest,B,70.0,,,,,Met,83.6,66,,,,66,73,21,54,,100,100,
Anson County Schools,040305,Anson Academy,Southwest,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040306,Anson High School,Southwest,D,50.0,,,,,NotMet,66.2,46,,,,25,21,5,30,24,95,90,
Anson County Schools,040308,Ansonville Elementary,Southwest,B,70.0,C,68.0,C,69.0,Exceeded,88.1,65,66,63,69,,,,,,,,
Anson County Schools,040309,Anson Middle,Southwest,D,42.0,D,41.0,F,36.0,NotMet,61.6,37,34,28,54,92,,,,,,,
Anson County Schools,040311,Wadesboro Primary,Southwest,F,35.0,F,38.0,F,36.0,NotMet,63.9,28,31,25,20,,,,,,,,
Anson County Schools,040316,Lilesville Elementary,Southwest,D,43.0,D,48.0,D,40.0,Met,79.1,34,41,29,26,,,,,,,,
Anson County Schools,040324,Morven Elementary,Southwest,D,45.0,D,43.0,D,43.0,Met,84.4,35,34,33,50,,,,,,,,
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,C,59.0,C,59.0,C,56.0,Met,75.9,55,55,51,77,,,,,,,,
Anson County Schools,040330,Wadesboro Elementary,Southwest,F,36.0,F,38.0,F,32.0,Met,75.8,26,30,20,36,,,,,,,,
Anson County Schools,040700,Anson New Tech High,Southwest,D,46.0,,,,,NotMet,59.3,43,,,,14,37,18,38,,100,100,
Ashe County Schools,050302,Ashe County High,Northwest,C,68.0,,,,,NotMet,64.3,70,,,,63,60,52,64,75,100,85,
Ashe County Schools,050305,Ashe County Middle,Northwest,C,66.0,C,69.0,D,53.0,Met,73.4,64,67,51,83,,,,,,,,
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,C,65.0,C,62.0,C,64.0,Exceeded,91.3,58,56,57,72,,,,,,,,
Ashe County Schools,050330,Mountain View Elementary,Northwest,B,72.0,B,70.0,C,69.0,Exceeded,90.2,67,66,64,81,,,,,,,,
Ashe County Schools,050335,Westwood Elementary,Northwest,B,72.0,B,71.0,B,72.0,Met,84.9,69,68,68,79,,,,,,,,
Avery County Schools,060302,Avery County High,Northwest,B,70.0,,,,,NotMet,66.1,71,,,,,54,50,47,79,100,100,
Avery County Schools,060304,Banner Elk Elementary,Northwest,C,64.0,C,62.0,C,63.0,Met,79.1,60,58,60,68,,,,,,,,
Avery County Schools,060310,Cranberry Middle,Northwest,B,80.0,B,75.0,B,77.0,Exceeded,93.1,77,74,72,93,100,,,,,,,
Avery County Schools,060316,Crossnore Elementary,Northwest,B,83.0,B,78.0,B,83.0,Exceeded,91.0,80,77,81,90,,,,,,,,
Avery County Schools,060318,Avery Middle,Northwest,C,64.0,C,63.0,C,57.0,Exceeded,88.3,58,57,50,76,92,,,,,,,
Avery County Schools,060322,Freedom Trail Elementary,Northwest,C,68.0,C,68.0,C,65.0,Exceeded,86.6,63,64,60,69,,,,,,,,
Avery County Schools,060328,Newland Elementary,Northwest,C,61.0,C,61.0,C,60.0,Met,80.9,56,57,54,59,,,,,,,,
Avery County Schools,060332,Riverside Elementary,Northwest,C,61.0,C,57.0,C,61.0,Met,83.4,56,51,55,72,,,,,,,,
Avery County Schools,060334,Blue Ridge Academy,Northwest,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060700,Avery High STEM Academy,Northwest,B,80.0,,,,,NotMet,63.6,85,,,,78,71,81,84,89,100,100,
Avery County Schools,060701,Avery High Viking Academy,Northwest,F,32.0,,,,,NotMet,65.9,23,,,,23,,,,,,,
Beaufort County Schools,070302,Eastern Elementary,Northeast,I,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070308,Bath Elementary,Northeast,C,65.0,C,65.0,C,61.0,NotMet,59.5,67,64,62,85,100,,,,,,,
Beaufort County Schools,070310,B C Ed Tech Center,Northeast,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast,A,93.0,,,,,Met,80.9,100,,,,94,100,88,100,,100,100,Insufficient Data
