"County","Year","Index Rate","Violent Rate","Property Rate","Murder Rate","Rape Rate","Robbery Rate","Assault Rate","Burglary Rate","Larceny Rate","MVT Rate","Arson Rate"
"Alexander County","2015","1,823.9","163.9","1,660.0","2.6","13.2","7.9","140.1","568.3","999.2","92.5","18.5"
"Alleghany County","2015","1,188.9","75.0","1,114.0","","42.8","","32.1","546.3","535.6","32.1",""
"Anson County","2015","2,998.3","502.8","2,495.5","9.1","32.0","50.3","411.4","1,124.4","1,316.3","54.8","13.7"
"Ashe County","2015","1,318.9","112.9","1,205.9","","29.1","7.3","76.5","382.5","761.4","61.9",""
"Avery County","2015","1,162.9","118.5","1,044.3","","11.3","0.0","107.3","333.1","637.9","73.4","5.6"
"Beaufort County","2015","2,607.5","330.4","2,277.1","8.5","12.7","44.5","264.8","760.4","1,438.3","78.4","19.1"
"Bertie County","2015","2,285.3","129.4","2,155.8","","14.9","19.9","94.6","985.8","1,075.4","94.6","34.9"
"Bladen County","2015","","","","","","","","","","",""
"Brunswick County","2015","1,811.6","130.6","1,681.1","0.0","19.8","24.3","86.4","654.6","978.8","47.7","5.4"
"Buncombe County","2015","2,947.9","239.1","2,708.9","4.4","20.4","71.0","143.3","648.6","1,903.8","156.5","13.6"
"Burke County","2015","2,230.0","178.8","2,051.2","3.5","13.9","36.0","125.4","654.7","1,267.7","128.9","7.0"
"Cabarrus County","2015","2,107.5","130.8","1,976.6","3.0","13.0","48.9","65.9","377.0","1,502.7","96.9","9.5"
"Caldwell County","2015","3,074.7","135.4","2,939.3","4.9","12.2","30.5","87.8","860.2","1,949.8","129.3","2.4"
"Camden County","2015","744.7","68.6","676.1","","29.4","9.8","29.4","293.9","382.1","",""
"Carteret County","2015","2,868.1","243.7","2,624.4","0.0","18.7","18.7","206.2","651.8","1,890.4","82.2","11.5"
"Caswell County","2015","2,054.9","250.0","1,804.9","16.9","25.4","25.4","182.2","673.7","1,012.6","118.6",""
"Catawba County","2015","3,113.6","272.6","2,841.0","6.4","23.7","55.0","187.5","677.6","2,024.5","138.9","12.8"
"Chatham County","2015","2,093.3","174.2","1,919.1","4.5","9.0","24.0","136.6","656.2","1,202.8","60.1","15.0"
"Cherokee County","2015","3,133.6","260.8","2,872.8","11.0","40.4","7.3","202.0","984.5","1,789.1","99.2","11.0"
