year,unit_code,Lea_Name,School_Name,State_Name,category_cd,total_expense_num,salary_expense_pct,benefits_expense_pct,services_expense_pct,supplies_expense_pct,instruct_equip_exp_pct,other_expense_pct,federal_perpupil_num,local_perpupil_num,state_perpupil_num,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_other_expense_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,st_total_expense_num,st_salary_expense_pct,st_benefits_expense_pct,st_services_expense_pct,st_supplies_expense_pct,st_instruct_equip_exp_pct,st_other_expense_pct,st_federal_perpupil_num,st_local_perpupil_num,st_state_perpupil_num,building_expense_pct,lea_building_expense_pct,st_building_expense_pct
2015,130322,Cabarrus County Schools,"Mount Pleasant Elementary, Mount Pleasant",State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130331,Cabarrus County Schools,Pitts School Road Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130340,Cabarrus County Schools,Winecoff Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130319,Cabarrus County Schools,Cox Mill Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130326,Cabarrus County Schools,Northwest Cabarrus High,State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130333,Cabarrus County Schools,"Performance Learning Center, Concord",State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130338,Cabarrus County Schools,Weddington Hills Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130345,Cabarrus County Schools,Patriots Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130312,Cabarrus County Schools,Harrisburg Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130325,Cabarrus County Schools,Charles E Boger Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130318,Cabarrus County Schools,C C Griffin Middle,State Of North Carolina,M,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130346,Cabarrus County Schools,Hickory Ridge Middle,State Of North Carolina,M,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130320,Cabarrus County Schools,Harris Road Middle,State Of North Carolina,M,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130324,Cabarrus County Schools,Mount Pleasant High,State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130328,Cabarrus County Schools,Royal Oaks Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130314,Cabarrus County Schools,Concord High,State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130344,Cabarrus County Schools,Wolf Meadow Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130311,Cabarrus County Schools,Coltrane-Webb Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130307,Cabarrus County Schools,Cox Mill High School,State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130316,Cabarrus County Schools,Jay M Robinson High,State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130342,Cabarrus County Schools,W M Irvin Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130330,Cabarrus County Schools,R Brown McAllister Elementary,State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130329,Cabarrus County Schools,"Rocky River Elementary, Concord",State Of North Carolina,E,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130327,Cabarrus County Schools,Northwest Cabarrus Middle,State Of North Carolina,M,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130355,Cabarrus County Schools,Harold E. Winkler Middle,State Of North Carolina,M,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130350,Cabarrus County Schools,Cabarrus-Kannapolis Early Coll,State Of North Carolina,H,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
2015,130313,Cabarrus County Schools,Concord Middle,State Of North Carolina,M,,,,,,,,,,,7912.43,0.612,0.207,0.067,0.1,0.014,0.0,654.09,2067.75,5190.59,8752.16,0.617,0.207,0.089,0.079,0.009,0.0,978.59,2144.66,5628.91,,,
