vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url
(336)506-4001,2015,010303,1247 Jimmie Kerr Road,Graham,NC,27253.0,P,0.0,0.0,,H,http://amc.abss.k12.nc.us,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,State Of North Carolina,,79.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)578-1366,2015,010304,2518 NC 54,Graham,NC,27253.0,P,0.0,0.0,,E,http://awe.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alexander Wilson Elementary,State Of North Carolina,,528.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)538-6030,2015,010308,2832 N NC 87,Elon,NC,27244.0,P,0.0,0.0,,E,http://aoe.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Altamahaw Ossipee Elem,State Of North Carolina,,554.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6195,2015,010310,2229 Broadview Drive,Burlington,NC,27217.0,P,0.0,0.0,,M,http://brm.abss.k12.nc.us/,6-8,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,F,820.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6092,2015,010311,2550 Buckingham Road,Burlington,NC,27217.0,P,0.0,0.0,,H,,9-12,"Vocational Education, Traditional Calendar",V,http://www.abss.k12.nc.us/Page/34260,Vocational Education,Traditional Calendar,,,,,,Y,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,,,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)538-8700,2015,010312,3720 Bonnar Bridge Parkway,Burlington,NC,27215.0,P,0.0,0.0,,E,http://hle.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,"Highland Elementary, Burlington",State Of North Carolina,,654.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-3722,2015,010320,301 N Charles Street,Mebane,NC,27302.0,P,0.0,0.0,,E,http://eye.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,E M Yoder Elementary,State Of North Carolina,,314.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-5991,2015,010324,4040 Mebane Rogers,Mebane,NC,27302.0,P,0.0,0.0,,H,http://eah.abss.k12.nc.us,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,Y,Y,,,,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,,1219.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)570-6180,2015,010326,502 N Graham Hopedale Road,Burlington,NC,27217.0,P,0.0,0.0,,E,http://eae.abss.k12.nc.us,PK-5,"Regular School, Year-Round Calendar",Y,http://www.abss.k12.nc.us/Page/34260,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,Eastlawn Elementary,State Of North Carolina,,529.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6420,2015,010328,4751 S NC 62,Burlington,NC,27215.0,P,0.0,0.0,,E,http://ehe.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Edwin M Holt Elementary,State Of North Carolina,,637.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)538-6000,2015,010340,510 E Haggard Avenue,Elon,NC,27244.0,P,0.0,0.0,,E,http://ece.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Elon Elementary,State Of North Carolina,,632.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)376-3673,2015,010346,5827 Church Road,Graham,NC,27253.0,P,0.0,0.0,,E,http://bje.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,B Everett Jordan Elem,State Of North Carolina,,409.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-2088,2015,010347,3224 Old Hillsborough Road,Mebane,NC,27302.0,P,0.0,0.0,,E,http://age.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Garrett Elementary,State Of North Carolina,,652.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6440,2015,010348,903 Trollinger Road,Graham,NC,27253.0,P,0.0,0.0,,H,http://grh.abss.k12.nc.us/,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Graham High,State Of North Carolina,,783.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)570-6460,2015,010350,311 E Pine Street,Graham,NC,27253.0,P,0.0,0.0,,M,http://grm.abss.k12.nc.us/,6-8,"Regular School, Year-Round Calendar",Y,http://www.abss.k12.nc.us/Page/34260,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,Graham Middle,State Of North Carolina,F,656.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6115,2015,010351,141 Trail One,Burlington,NC,27215.0,P,0.0,0.0,,E,http://gpe.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Grove Park Elementary,State Of North Carolina,,588.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-5303,2015,010353,1951 S NC 119,Mebane,NC,27302.0,P,0.0,0.0,,M,http://ham.abss.k12.nc.us,6-8,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Hawfields Middle,State Of North Carolina,,674.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
