metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,600406,Charlotte-Mecklenburg Schools,Hawk Ridge Elementary,State Of North Carolina,E,0.071,12.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600410,Charlotte-Mecklenburg Schools,Hickory Grove Elementary,State Of North Carolina,E,0.082,15.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600411,Charlotte-Mecklenburg Schools,Highland Creek Elementary,State Of North Carolina,E,0.04,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600412,Charlotte-Mecklenburg Schools,Hidden Valley Elementary,State Of North Carolina,E,0.105,18.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600413,Charlotte-Mecklenburg Schools,Highland Mill Montessori,State Of North Carolina,E,0.0,0.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600414,Charlotte-Mecklenburg Schools,Highland Renaissance Academy,State Of North Carolina,E,0.025,2.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600416,Charlotte-Mecklenburg Schools,Hornets Nest Elementary,State Of North Carolina,E,0.101,9.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600418,Charlotte-Mecklenburg Schools,Croft Community Elementary,State Of North Carolina,E,0.036,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600420,Charlotte-Mecklenburg Schools,Huntersville Elementary,State Of North Carolina,E,0.031,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600422,Charlotte-Mecklenburg Schools,Huntingtowne Farms Elementary,State Of North Carolina,E,0.128,22.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600424,Charlotte-Mecklenburg Schools,Idlewild Elementary,State Of North Carolina,E,0.057,9.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600429,Charlotte-Mecklenburg Schools,Morehead STEM Academy,State Of North Carolina,I,0.0,0.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600432,Charlotte-Mecklenburg Schools,Joseph W Grier Academy,State Of North Carolina,E,0.107,16.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600433,Charlotte-Mecklenburg Schools,J.V. Washam Elementary,State Of North Carolina,E,0.055,10.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600436,Charlotte-Mecklenburg Schools,Lake Wylie Elementary,State Of North Carolina,E,0.165,18.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600437,Charlotte-Mecklenburg Schools,Ballantyne Elementary,State Of North Carolina,E,0.035,5.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600438,Charlotte-Mecklenburg Schools,Lansdowne Elementary,State Of North Carolina,E,0.103,11.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600440,Charlotte-Mecklenburg Schools,Lebanon Road Elementary,State Of North Carolina,E,0.088,12.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600442,Charlotte-Mecklenburg Schools,Blythe Elementary,State Of North Carolina,E,0.101,19.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600444,Charlotte-Mecklenburg Schools,Long Creek Elementary,State Of North Carolina,E,0.083,7.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600446,Charlotte-Mecklenburg Schools,Mallard Creek Elementary,State Of North Carolina,E,0.08,10.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600447,Charlotte-Mecklenburg Schools,Matthews Elementary,State Of North Carolina,E,0.022,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600449,Charlotte-Mecklenburg Schools,McAlpine Elementary,State Of North Carolina,E,0.014,1.0,902.0,0.075,12367.0,0.104
