year,unit_code,Lea_Name,School_Name,State_Name,category_cd,Part_Targets,percent_met,targets_met,targets_assigned
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,ACT WorkKeys,0.714,10,14
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Current Year EOC,1.0,10,10
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Mathematics Grade 10,0.556,10,18
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.591,13,22
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Reading Grade 10,0.389,7,18
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.545,12,22
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Science Grade 11,0.471,8,17
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Science Grades 5 and 8,0.6,12,20
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,The ACT,0.529,9,17
2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Total Targets,0.58,102,176
2015,020LEA,Alexander County Schools,,State Of North Carolina,,ACT WorkKeys,0.857,6,7
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Current Year EOC,1.0,8,8
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Mathematics Grade 10,0.7,7,10
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.55,11,20
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Reading Grade 10,0.5,5,10
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.55,11,20
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Science Grade 11,0.75,6,8
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,12,12
2015,020LEA,Alexander County Schools,,State Of North Carolina,,The ACT,0.75,6,8
2015,020LEA,Alexander County Schools,,State Of North Carolina,,Total Targets,0.699,79,113
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,ACT WorkKeys,1.0,4,4
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,3,6
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.786,11,14
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Reading Grade 10,0.5,3,6
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.786,11,14
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Science Grade 11,0.5,3,6
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,12,12
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,The ACT,0.667,4,6
2015,030LEA,Alleghany County Schools,,State Of North Carolina,,Total Targets,0.79,64,81
2015,040LEA,Anson County Schools,,State Of North Carolina,,ACT WorkKeys,0.0,0,4
2015,040LEA,Anson County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2015,040LEA,Anson County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,5,10
2015,040LEA,Anson County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.5,9,18
2015,040LEA,Anson County Schools,,State Of North Carolina,,Reading Grade 10,0.5,5,10
2015,040LEA,Anson County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.389,7,18
2015,040LEA,Anson County Schools,,State Of North Carolina,,Science Grade 11,0.5,4,8
2015,040LEA,Anson County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.667,8,12
2015,040LEA,Anson County Schools,,State Of North Carolina,,The ACT,0.5,4,8
2015,040LEA,Anson County Schools,,State Of North Carolina,,Total Targets,0.562,59,105
2015,050LEA,Ashe County Schools,,State Of North Carolina,,ACT WorkKeys,0.833,5,6
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Mathematics Grade 10,0.889,8,9
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.786,11,14
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Reading Grade 10,0.75,6,8
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.786,11,14
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Science Grade 11,0.5,4,8
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,12,12
2015,050LEA,Ashe County Schools,,State Of North Carolina,,The ACT,0.875,7,8
2015,050LEA,Ashe County Schools,,State Of North Carolina,,Total Targets,0.84,79,94
2015,060LEA,Avery County Schools,,State Of North Carolina,,ACT WorkKeys,1.0,6,6
2015,060LEA,Avery County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2015,060LEA,Avery County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,3,6
2015,060LEA,Avery County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.571,8,14
2015,060LEA,Avery County Schools,,State Of North Carolina,,Reading Grade 10,0.5,3,6
2015,060LEA,Avery County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.643,9,14
2015,060LEA,Avery County Schools,,State Of North Carolina,,Science Grade 11,0.5,3,6
2015,060LEA,Avery County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,12,12
2015,060LEA,Avery County Schools,,State Of North Carolina,,The ACT,0.667,4,6
2015,060LEA,Avery County Schools,,State Of North Carolina,,Total Targets,0.741,63,85
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,ACT WorkKeys,0.625,5,8
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Current Year EOC,1.0,9,9
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,7,14
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.556,10,18
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Reading Grade 10,0.5,7,14
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.5,9,18
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Science Grade 11,0.5,7,14
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.625,10,16
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,The ACT,0.462,6,13
2015,070LEA,Beaufort County Schools,,State Of North Carolina,,Total Targets,0.612,85,139
2015,080LEA,Bertie County Schools,,State Of North Carolina,,ACT WorkKeys,0.5,3,6
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,3,6
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.5,6,12
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Reading Grade 10,0.5,3,6
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.583,7,12
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Science Grade 11,0.5,3,6
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.5,5,10
2015,080LEA,Bertie County Schools,,State Of North Carolina,,The ACT,0.5,3,6
2015,080LEA,Bertie County Schools,,State Of North Carolina,,Total Targets,0.608,48,79
2015,090LEA,Bladen County Schools,,State Of North Carolina,,ACT WorkKeys,0.5,4,8
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Current Year EOC,1.0,9,9
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,7,14
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.526,10,19
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Reading Grade 10,0.5,7,14
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.526,10,19
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Science Grade 11,0.5,7,14
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.6,9,15
2015,090LEA,Bladen County Schools,,State Of North Carolina,,The ACT,0.5,7,14
2015,090LEA,Bladen County Schools,,State Of North Carolina,,Total Targets,0.565,78,138
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,ACT WorkKeys,0.6,6,10
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Current Year EOC,1.0,9,9
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Mathematics Grade 10,0.533,8,15
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.591,13,22
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Reading Grade 10,0.6,9,15
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.591,13,22
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Science Grade 11,0.643,9,14
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.778,14,18
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,The ACT,0.714,10,14
2015,100LEA,Brunswick County Schools,,State Of North Carolina,,Total Targets,0.684,106,155
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,ACT WorkKeys,0.875,14,16
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Current Year EOC,1.0,10,10
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Mathematics Grade 10,0.6,12,20
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.619,13,21
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Reading Grade 10,0.6,12,20
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.619,13,21
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Science Grade 11,0.5,10,20
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.7,14,20
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,The ACT,0.55,11,20
2015,110LEA,Buncombe County Schools,,State Of North Carolina,,Total Targets,0.676,127,188
2015,111LEA,Asheville City Schools,,State Of North Carolina,,ACT WorkKeys,0.667,4,6
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Current Year EOC,1.0,8,8
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Mathematics Grade 10,0.75,9,12
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.75,12,16
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Reading Grade 10,0.75,9,12
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.75,12,16
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Science Grade 11,0.818,9,11
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Science Grades 5 and 8,0.875,14,16
2015,111LEA,Asheville City Schools,,State Of North Carolina,,The ACT,0.636,7,11
2015,111LEA,Asheville City Schools,,State Of North Carolina,,Total Targets,0.792,95,120
2015,120LEA,Burke County Schools,,State Of North Carolina,,ACT WorkKeys,0.75,6,8
2015,120LEA,Burke County Schools,,State Of North Carolina,,Current Year EOC,1.0,10,10
2015,120LEA,Burke County Schools,,State Of North Carolina,,Mathematics Grade 10,0.7,14,20
2015,120LEA,Burke County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.55,11,20
2015,120LEA,Burke County Schools,,State Of North Carolina,,Reading Grade 10,0.55,11,20
2015,120LEA,Burke County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.55,11,20
2015,120LEA,Burke County Schools,,State Of North Carolina,,Science Grade 11,0.611,11,18
2015,120LEA,Burke County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.95,19,20
2015,120LEA,Burke County Schools,,State Of North Carolina,,The ACT,0.722,13,18
2015,120LEA,Burke County Schools,,State Of North Carolina,,Total Targets,0.715,123,172
2015,130LEA,Cabarrus County Schools,,State Of North Carolina,,ACT WorkKeys,0.875,14,16
