year,unit_code,category_cd,School_Name,Lea_Name,State_Name,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses
2015,010303,H,Alamance-Burlington Middle College,Alamance-Burlington Schools,State Of North Carolina,1.0,,0.569620253164557,1.0,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010324,H,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina,1.0,0.14109926168991,0.63740771123872,0.0803937653814602,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010348,H,Graham High,Alamance-Burlington Schools,State Of North Carolina,1.0,0.164750957854406,0.687100893997446,0.0446998722860792,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010360,H,Hugh M Cummings High,Alamance-Burlington Schools,State Of North Carolina,1.0,0.0931263858093126,0.645232815964523,0.0155210643015521,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010378,A,Ray Street Academy,Alamance-Burlington Schools,State Of North Carolina,1.0,,0.565217391304348,,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010388,H,Southern High,Alamance-Burlington Schools,State Of North Carolina,1.0,0.130523453433039,0.714479945615228,0.008837525492862,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010396,H,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina,1.0,0.220103986135182,0.705372616984402,0.168977469670711,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010400,H,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina,0.998326359832636,0.180753138075314,0.63765690376569,0.0267782426778243,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,010LEA,,,Alamance-Burlington Schools,State Of North Carolina,,,,,1.0,0.152357392316647,0.670547147846333,0.0686845168800931,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,01B000,A,River Mill Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,1.0,0.290909090909091,0.424242424242424,0.0909090909090909,,,,,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,01C000,A,Clover Garden,Charter and Non-District Affiliated Schools,State Of North Carolina,0.986111111111111,0.166666666666667,0.0208333333333333,,,,,,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,01D000,T,The Hawbridge School,Charter and Non-District Affiliated Schools,State Of North Carolina,0.258064516129032,0.241935483870968,0.0161290322580645,,,,,,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,020302,H,Alexander Central High,Alexander County Schools,State Of North Carolina,1.0,0.0825335892514395,0.806781829814459,0.00831733845169546,1.0,0.0825335892514395,0.806781829814459,0.00831733845169546,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,020LEA,,,Alexander County Schools,State Of North Carolina,,,,,1.0,0.0825335892514395,0.806781829814459,0.00831733845169546,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,030304,H,Alleghany High,Alleghany County Schools,State Of North Carolina,1.0,0.0652680652680653,0.841491841491842,0.342657342657343,1.0,0.0652680652680653,0.841491841491842,0.342657342657343,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,030LEA,,,Alleghany County Schools,State Of North Carolina,,,,,1.0,0.0652680652680653,0.841491841491842,0.342657342657343,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,040304,H,Anson Co. Early College High,Anson County Schools,State Of North Carolina,1.0,,0.0618556701030928,0.268041237113402,1.0,0.0473887814313346,0.579303675048356,0.148936170212766,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,040305,H,Anson Academy,Anson County Schools,State Of North Carolina,1.0,,0.133333333333333,0.133333333333333,1.0,0.0473887814313346,0.579303675048356,0.148936170212766,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,040306,H,Anson High School,Anson County Schools,State Of North Carolina,1.0,0.0787781350482315,0.811897106109325,0.022508038585209,1.0,0.0473887814313346,0.579303675048356,0.148936170212766,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,040700,H,Anson New Tech High,Anson County Schools,State Of North Carolina,1.0,,0.468354430379747,0.506329113924051,1.0,0.0473887814313346,0.579303675048356,0.148936170212766,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,040LEA,,,Anson County Schools,State Of North Carolina,,,,,1.0,0.0473887814313346,0.579303675048356,0.148936170212766,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,050302,H,Ashe County High,Ashe County Schools,State Of North Carolina,1.0,0.112920738327904,0.672095548317047,0.143322475570033,1.0,0.112920738327904,0.672095548317047,0.143322475570033,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,050LEA,,,Ashe County Schools,State Of North Carolina,,,,,1.0,0.112920738327904,0.672095548317047,0.143322475570033,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
