Experience,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct_tch,lea_pct_tch,lea_pct_prin,st_pct_tch,st_pct_prin
0-3 Years,2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,A,,0.5,0.472,0.225,0.434
0-3 Years,2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,E,,0.266,0.472,0.228,0.434
0-3 Years,2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,H,,0.2,0.472,0.221,0.434
0-3 Years,2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,M,,0.221,0.472,0.244,0.434
0-3 Years,2015,020LEA,Alexander County Schools,,State Of North Carolina,E,,0.18,0.5,0.228,0.434
0-3 Years,2015,020LEA,Alexander County Schools,,State Of North Carolina,H,,0.143,0.5,0.221,0.434
0-3 Years,2015,020LEA,Alexander County Schools,,State Of North Carolina,M,,0.184,0.5,0.244,0.434
0-3 Years,2015,030LEA,Alleghany County Schools,,State Of North Carolina,H,,0.114,0.75,0.221,0.434
0-3 Years,2015,030LEA,Alleghany County Schools,,State Of North Carolina,I,,0.209,0.75,0.254,0.434
0-3 Years,2015,040LEA,Anson County Schools,,State Of North Carolina,E,,0.189,0.455,0.228,0.434
0-3 Years,2015,040LEA,Anson County Schools,,State Of North Carolina,H,,0.324,0.455,0.221,0.434
0-3 Years,2015,040LEA,Anson County Schools,,State Of North Carolina,M,,0.333,0.455,0.244,0.434
0-3 Years,2015,040LEA,Anson County Schools,,State Of North Carolina,T,,,0.455,0.249,0.434
0-3 Years,2015,050LEA,Ashe County Schools,,State Of North Carolina,E,,0.119,0.4,0.228,0.434
0-3 Years,2015,050LEA,Ashe County Schools,,State Of North Carolina,H,,0.149,0.4,0.221,0.434
0-3 Years,2015,050LEA,Ashe County Schools,,State Of North Carolina,M,,0.105,0.4,0.244,0.434
0-3 Years,2015,060LEA,Avery County Schools,,State Of North Carolina,E,,0.12,0.364,0.228,0.434
