year,unit_code,Number_Industry_Recognized_Crede,School_Name,Lea_Name,State_Name
2017,190342,317,Northwood High,Chatham County Schools,State Of North Carolina
2017,19A000,2,Chatham Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,200308,283,Andrews High,Cherokee County Schools,State Of North Carolina
2017,200314,81,Hiwassee Dam High,Cherokee County Schools,State Of North Carolina
2017,200322,1,The Oaks Academy,Cherokee County Schools,State Of North Carolina
2017,200328,247,Murphy High,Cherokee County Schools,State Of North Carolina
2017,200350,7,Tri-County Early College High,Cherokee County Schools,State Of North Carolina
2017,210312,272,John A Holmes High,Edenton-Chowan Schools,State Of North Carolina
2017,220310,185,Hayesville High,Clay County Schools,State Of North Carolina
2017,230312,798,Burns High,Cleveland County Schools,State Of North Carolina
2017,230324,548,Crest High,Cleveland County Schools,State Of North Carolina
2017,230330,22,"Turning Point Academy, Shelby",Cleveland County Schools,State Of North Carolina
2017,230350,845,Kings Mountain High,Cleveland County Schools,State Of North Carolina
2017,230361,500,Shelby High,Cleveland County Schools,State Of North Carolina
2017,240334,156,East Columbus High,Columbus County Schools,State Of North Carolina
2017,240371,228,South Columbus High,Columbus County Schools,State Of North Carolina
2017,240373,53,CCCA - Fair Bluff /Southeastern Campuses,Columbus County Schools,State Of North Carolina
2017,240380,231,West Columbus High,Columbus County Schools,State Of North Carolina
2017,241316,194,Whiteville High,Whiteville City Schools,State Of North Carolina
2017,250314,107,Craven Early College High,Craven County Schools,State Of North Carolina
2017,250321,64,Early College EAST High,Craven County Schools,State Of North Carolina
2017,250340,443,Havelock High,Craven County Schools,State Of North Carolina
2017,250356,850,New Bern High,Craven County Schools,State Of North Carolina
2017,250372,776,West Craven High,Craven County Schools,State Of North Carolina
2017,260318,1674,Jack Britt High,Cumberland County Schools,State Of North Carolina
2017,260322,361,Douglas Byrd High,Cumberland County Schools,State Of North Carolina
2017,260325,1223,Cape Fear High,Cumberland County Schools,State Of North Carolina
2017,260357,432,Grays Creek High,Cumberland County Schools,State Of North Carolina
2017,260359,717,E E Smith High,Cumberland County Schools,State Of North Carolina
2017,260388,13,Massey Hill Classical High,Cumberland County Schools,State Of North Carolina
2017,260408,738,Pine Forest High,Cumberland County Schools,State Of North Carolina
2017,260411,115,Reid Ross Classical High,Cumberland County Schools,State Of North Carolina
2017,260424,520,Seventy-First High,Cumberland County Schools,State Of North Carolina
2017,260427,659,South View High,Cumberland County Schools,State Of North Carolina
2017,260446,186,Terry Sanford High,Cumberland County Schools,State Of North Carolina
2017,260449,3,Ramsey Street High,Cumberland County Schools,State Of North Carolina
2017,260455,344,Westover High,Cumberland County Schools,State Of North Carolina
2017,260700,9,Cumberland Polytechnic,Cumberland County Schools,State Of North Carolina
2017,270306,150,Currituck County High,Currituck County Schools,State Of North Carolina
2017,270311,91,The JP Knapp ECH (i)School,Currituck County Schools,State Of North Carolina
2017,280304,68,Cape Hatteras Secondary School,Dare County Schools,State Of North Carolina
2017,280316,84,Manteo High School,Dare County Schools,State Of North Carolina
2017,280330,281,First Flight High School,Dare County Schools,State Of North Carolina
2017,290308,623,Central Davidson High,Davidson County Schools,State Of North Carolina
2017,290314,30,Davidson County High School,Davidson County Schools,State Of North Carolina
2017,290324,556,East Davidson High,Davidson County Schools,State Of North Carolina
2017,290336,685,Ledford Senior High,Davidson County Schools,State Of North Carolina
2017,290348,869,North Davidson High,Davidson County Schools,State Of North Carolina
2017,290365,201,South Davidson High,Davidson County Schools,State Of North Carolina
2017,290388,386,West Davidson High,Davidson County Schools,State Of North Carolina
2017,290389,151,Yadkin Valley Regional Career Academy,Davidson County Schools,State Of North Carolina
2017,291336,104,Lexington Senior High,Lexington City Schools,State Of North Carolina
2017,292324,402,Thomasville High,Thomasville City Schools,State Of North Carolina
2017,300312,1066,Davie County High,Davie County Schools,State Of North Carolina
2017,310338,1,Duplin Early College High,Duplin County Schools,State Of North Carolina
2017,310344,646,East Duplin High,Duplin County Schools,State Of North Carolina
2017,310352,515,James Kenan High,Duplin County Schools,State Of North Carolina
2017,310364,152,North Duplin Jr Sr High,Duplin County Schools,State Of North Carolina
2017,310392,347,Wallace-Rose Hill High,Duplin County Schools,State Of North Carolina
2017,320312,189,C E Jordan High,Durham Public Schools,State Of North Carolina
2017,320317,123,City of Medicine Academy,Durham Public Schools,State Of North Carolina
2017,320322,5,Durham's Performance Learning Center,Durham Public Schools,State Of North Carolina
2017,320323,17,Durham School of the Arts,Durham Public Schools,State Of North Carolina
2017,320325,163,Hillside High,Durham Public Schools,State Of North Carolina
2017,320329,40,Holton Career and Resource Center,Durham Public Schools,State Of North Carolina
2017,320353,4,Middle College HS @ DTCC,Durham Public Schools,State Of North Carolina
2017,320356,141,Northern High,Durham Public Schools,State Of North Carolina
2017,320365,198,"Riverside High, Durham",Durham Public Schools,State Of North Carolina
2017,320368,199,Southern School of Energy and Sustainabi,Durham Public Schools,State Of North Carolina
2017,320701,28,Hillside New Tech High,Durham Public Schools,State Of North Carolina
2017,32L000,32,Voyager Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,330328,20,North Edgecombe High,Edgecombe County Public School,State Of North Carolina
2017,330350,87,SouthWest Edgecombe High,Edgecombe County Public School,State Of North Carolina
2017,330358,55,Tarboro High,Edgecombe County Public School,State Of North Carolina
2017,340311,262,Atkins Academic & Tech High,Forsyth County Schools,State Of North Carolina
2017,340330,8,Carver High,Forsyth County Schools,State Of North Carolina
2017,340332,197,Career Center,Forsyth County Schools,State Of North Carolina
2017,340364,302,East Forsyth High,Forsyth County Schools,State Of North Carolina
2017,340382,142,Robert B Glenn High School,Forsyth County Schools,State Of North Carolina
2017,340454,148,Mount Tabor High School,Forsyth County Schools,State Of North Carolina
2017,340460,174,North Forsyth High,Forsyth County Schools,State Of North Carolina
2017,340486,106,Parkland High,Forsyth County Schools,State Of North Carolina
2017,340488,80,J F Kennedy High,Forsyth County Schools,State Of North Carolina
2017,340495,281,Ronald W Reagan High School,Forsyth County Schools,State Of North Carolina
2017,340496,112,R J Reynolds High,Forsyth County Schools,State Of North Carolina
2017,340542,472,Walkertown High,Forsyth County Schools,State Of North Carolina
2017,340556,391,West Forsyth High,Forsyth County Schools,State Of North Carolina
2017,340568,2,Winston-Salem Preparatory Acad,Forsyth County Schools,State Of North Carolina
2017,34B000,14,Quality Education Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,350308,432,Bunn High,Franklin County Schools,State Of North Carolina
2017,350321,588,Franklinton High,Franklin County Schools,State Of North Carolina
2017,350336,408,Louisburg High,Franklin County Schools,State Of North Carolina
2017,360310,610,Ashbrook High,Gaston County Schools,State Of North Carolina
2017,360336,565,Bessemer City High,Gaston County Schools,State Of North Carolina
2017,360360,346,Cherryville High,Gaston County Schools,State Of North Carolina
2017,360372,22,Warlick Academy,Gaston County Schools,State Of North Carolina
2017,360378,456,Stuart W Cramer High,Gaston County Schools,State Of North Carolina
2017,360390,254,East Gaston High,Gaston County Schools,State Of North Carolina
2017,360396,521,Forestview High,Gaston County Schools,State Of North Carolina
2017,360418,747,Highland Sch of Technology,Gaston County Schools,State Of North Carolina
2017,360428,753,Hunter Huss High,Gaston County Schools,State Of North Carolina
2017,360470,397,North Gaston High,Gaston County Schools,State Of North Carolina
2017,360494,480,South Point High,Gaston County Schools,State Of North Carolina
2017,370312,198,Gates County Senior High,Gates County Schools,State Of North Carolina
2017,380308,218,Robbinsville High,Graham County Schools,State Of North Carolina
2017,390322,196,Granville Central High,Granville County Schools,State Of North Carolina
2017,390323,2,Granville Early College High,Granville County Schools,State Of North Carolina
