year,unit_code,category_cd,total_class_teacher_num,total_nbpts_num,prin_other_pct,prinyrs_0thru3_pct,prinyrs_4thru10_pct,prinyrs_11plus_pct,prin_advance_dgr_pct,_1yr_prin_trnovr_pct,prin_male_pct,prin_female_pct,prin_black_pct,prin_white_pct,School_Name,Lea_Name,State_Name,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_highqual_class_pct,st_highqual_class_hp_pct,st_highqual_class_lp_pct,st_highqual_class_all_pct,st_not_highqual_class_hp_pct,st_not_highqual_class_lp_pct,st_not_highqual_class_all_pct,st_prinyrs_0thru3_pct,st_prinyrs_4thru10_pct,st_prinyrs_11plus_pct,st_prin_advance_dgr_pct,st_1yr_prin_trnovr_pct,st_prin_male_pct,st_prin_female_pct,st_prin_black_pct,st_prin_white_pct,st_prin_other_pct
2017,00A000,A,101107,11728,,,,,,,,,,,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,0.943,,,,53.0,,,,,0.019,,,,,,,,,,,,,,,,,,,0.781,0.195,0.251,0.555,40.0,2.0,0.305,0.13,0.002,0.058,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,00B000,A,101107,11728,,,,,,,,,,,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,0.963,,,,54.0,,,,,0.037,,,,,,,,,,,,,,,,,,,0.781,0.195,0.251,0.555,40.0,2.0,0.305,0.13,0.002,0.058,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010303,H,101107,11728,,,,,,,,,,,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina,1.0,0.0,0.125,0.875,8.0,1.0,0.125,0.0,,,,0.922,0.211,0.232,0.556,53.0,5.0,0.227,0.141,,0.073,,,,,,,,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010304,E,101107,11728,,,,,,,,,,,Alexander Wilson Elementary,Alamance-Burlington Schools,State Of North Carolina,0.972,0.194,0.25,0.556,36.0,6.0,0.194,0.028,,0.028,,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,,0.022,,,,,,,,0.963,0.215,0.274,0.511,34.0,4.0,0.298,0.129,0.004,0.027,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010308,E,101107,11728,,,,,,,,,,,Altamahaw Ossipee Elem,Alamance-Burlington Schools,State Of North Carolina,1.0,0.171,0.143,0.686,35.0,9.0,0.457,0.03,,,,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,,0.022,,,,,,,,0.963,0.215,0.274,0.511,34.0,4.0,0.298,0.129,0.004,0.027,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010310,M,101107,11728,,,,,,,,,,,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina,0.843,0.276,0.207,0.517,58.0,1.0,0.207,0.231,,0.139,,0.91,0.198,0.281,0.522,46.0,3.0,0.222,0.185,,0.081,,,,,,,,0.915,0.227,0.26,0.513,41.0,5.0,0.281,0.147,0.004,0.076,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010311,H,101107,11728,,,,,,,,,,,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina,0.857,0.0,0.143,0.857,14.0,2.0,0.071,0.133,,0.143,,0.922,0.211,0.232,0.556,53.0,5.0,0.227,0.141,,0.073,,,,,,,,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010312,E,101107,11728,,,,,,,,,,,"Highland Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina,1.0,0.244,0.289,0.467,45.0,4.0,0.289,0.089,,,,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,,0.022,,,,,,,,0.963,0.215,0.274,0.511,34.0,4.0,0.298,0.129,0.004,0.027,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010320,E,101107,11728,,,,,,,,,,,E M Yoder Elementary,Alamance-Burlington Schools,State Of North Carolina,0.964,0.276,0.207,0.517,28.0,6.0,0.345,0.111,,0.036,,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,,0.022,,,,,,,,0.963,0.215,0.274,0.511,34.0,4.0,0.298,0.129,0.004,0.027,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010324,H,101107,11728,,,,,,,,,,,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina,0.925,0.194,0.328,0.478,67.0,13.0,0.179,0.036,,0.06,,0.922,0.211,0.232,0.556,53.0,5.0,0.227,0.141,,0.073,,,,,,,,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
2017,010326,E,101107,11728,,,,,,,,,,,Eastlawn Elementary,Alamance-Burlington Schools,State Of North Carolina,0.977,0.512,0.256,0.233,43.0,1.0,0.209,0.186,,0.023,,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,,0.022,,,,,,,,0.963,0.215,0.274,0.511,34.0,4.0,0.298,0.129,0.004,0.027,,,,,,,,0.427,0.414,0.159,0.213,0.086,0.392,0.602,0.243,0.731,0.026
