year,unit_code,Concentrator,Counts,School_Name,Lea_Name,State_Name
2017,010396,MRKT,12,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina
2017,010396,STEM,164,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina
2017,010396,TRAN,3,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,AAVC,10,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,AGNR,96,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,ARCH,25,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,BMA,6,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,HLTH,36,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,HOSP,39,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,HUMA,6,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,INFO,33,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,MANU,3,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,STEM,5,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,TRAN,13,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,020302,AAVC,28,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,AGNR,188,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,ARCH,85,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,BMA,26,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,HLTH,54,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,HOSP,68,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,HUMA,8,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,INFO,36,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,MANU,26,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,MRKT,25,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,STEM,7,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020302,TRAN,1,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,030304,AAVC,31,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,AGNR,48,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,ARCH,31,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,HLTH,14,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,HOSP,8,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,INFO,12,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,LAW,1,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,MANU,13,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,STEM,33,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030304,TRAN,23,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,040305,AGNR,1,Anson Academy,Anson County Schools,State Of North Carolina
2017,040305,LAW,528,Anson Academy,Anson County Schools,State Of North Carolina
2017,040306,AAVC,2,Anson High School,Anson County Schools,State Of North Carolina
2017,040306,AGNR,220,Anson High School,Anson County Schools,State Of North Carolina
2017,040306,ARCH,32,Anson High School,Anson County Schools,State Of North Carolina
2017,040306,HOSP,18,Anson High School,Anson County Schools,State Of North Carolina
2017,040306,LAW,3,Anson High School,Anson County Schools,State Of North Carolina
2017,040306,TRAN,12,Anson High School,Anson County Schools,State Of North Carolina
2017,040700,AGNR,3,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,ARCH,5,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,BMA,8,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,HOSP,3,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,LAW,3,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,MANU,5,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,MRKT,5,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,040700,STEM,5,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,050302,AGNR,28,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,ARCH,27,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,BMA,4,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,HLTH,22,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,HOSP,5,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,HUMA,8,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,INFO,4,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,LAW,15,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,MANU,18,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,STEM,4,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050302,TRAN,25,Ashe County High,Ashe County Schools,State Of North Carolina
2017,060302,AGNR,35,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,BMA,13,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,FINA,7,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,HLTH,9,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,HOSP,12,Avery County High,Avery County Schools,State Of North Carolina
