vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url
(919)224-4040,2017,00A000,"2700 Meridian Parkway, Suite 300",Durham,NC,27713.0,C,0.0,0.0,Nathan Currie,A,http://www.connectionsacademy.com/north-carolina-virtual-school/home.aspx,K-10,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,Y,,Y,,,Charter and Non-District Affiliated Schools,NC Connections Academy,State Of North Carolina,,1728.0,,565.0,N,,
(919)346-0121,2017,00B000,"4220 NC Highway 55, Suite 130",Durham,NC,27713.0,C,0.0,0.0,Joel Medley,A,http://ncva.k12.com/,K-11,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Charter and Non-District Affiliated Schools,NC Virtual Academy,State Of North Carolina,,1666.0,,565.0,N,,
(336)506-4001,2017,010303,1247 Jimmie Kerr Road,Graham,NC,27253.0,P,0.0,0.0,,H,http://amc.abss.k12.nc.us,9-13,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,State Of North Carolina,,152.0,996.0,853.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)578-1366,2017,010304,2518 NC 54,Graham,NC,27253.0,P,0.0,0.0,,E,http://awe.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alexander Wilson Elementary,State Of North Carolina,,575.0,528.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)538-6030,2017,010308,2832 N NC 87,Elon,NC,27244.0,P,0.0,0.0,,E,http://aoe.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Altamahaw Ossipee Elem,State Of North Carolina,,611.0,528.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6195,2017,010310,2229 Broadview Drive,Burlington,NC,27217.0,P,0.0,0.0,,M,http://brm.abss.k12.nc.us/,6-8,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,Y,Y,,,,,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,F,742.0,706.0,629.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6092,2017,010311,2550 Buckingham Road,Burlington,NC,27217.0,P,0.0,0.0,,H,,9-12,"Vocational Education, Traditional Calendar",V,https://www.abss.k12.nc.us/Page/27733,Vocational Education,Traditional Calendar,,,,,,Y,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,,,996.0,853.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)538-8700,2017,010312,3720 Bonnar Bridge Parkway,Burlington,NC,27215.0,P,0.0,0.0,,E,http://hle.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,"Highland Elementary, Burlington",State Of North Carolina,,701.0,528.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-3722,2017,010320,301 N Charles Street,Mebane,NC,27302.0,P,0.0,0.0,,E,http://eye.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,E M Yoder Elementary,State Of North Carolina,,340.0,528.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-5991,2017,010324,4040 Mebane Rogers,Mebane,NC,27302.0,P,0.0,0.0,,H,http://eah.abss.k12.nc.us,9-12,"Regular School, Traditional Calendar",R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,Y,Y,,,,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,,1210.0,996.0,853.0,N,,https://www.abss.k12.nc.us/Page/27733
