Experience,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct_tch,lea_pct_tch,lea_pct_prin,st_pct_tch,st_pct_prin
0-3 Years,2017,010LEA,Alamance-Burlington Schools,,State Of North Carolina,A,,0.4,0.333,0.195,0.427
0-3 Years,2017,010LEA,Alamance-Burlington Schools,,State Of North Carolina,E,,0.251,0.333,0.215,0.427
0-3 Years,2017,010LEA,Alamance-Burlington Schools,,State Of North Carolina,H,,0.211,0.333,0.21,0.427
0-3 Years,2017,010LEA,Alamance-Burlington Schools,,State Of North Carolina,M,,0.198,0.333,0.227,0.427
0-3 Years,2017,020LEA,Alexander County Schools,,State Of North Carolina,E,,0.147,0.455,0.215,0.427
0-3 Years,2017,020LEA,Alexander County Schools,,State Of North Carolina,H,,0.121,0.455,0.21,0.427
0-3 Years,2017,020LEA,Alexander County Schools,,State Of North Carolina,M,,0.123,0.455,0.227,0.427
0-3 Years,2017,030LEA,Alleghany County Schools,,State Of North Carolina,H,,0.135,0.25,0.21,0.427
0-3 Years,2017,030LEA,Alleghany County Schools,,State Of North Carolina,I,,0.195,0.25,0.233,0.427
0-3 Years,2017,040LEA,Anson County Schools,,State Of North Carolina,E,,0.162,0.7,0.215,0.427
0-3 Years,2017,040LEA,Anson County Schools,,State Of North Carolina,H,,0.4,0.7,0.21,0.427
0-3 Years,2017,040LEA,Anson County Schools,,State Of North Carolina,M,,0.289,0.7,0.227,0.427
0-3 Years,2017,040LEA,Anson County Schools,,State Of North Carolina,T,,0.571,0.7,0.215,0.427
0-3 Years,2017,050LEA,Ashe County Schools,,State Of North Carolina,E,,0.124,0.2,0.215,0.427
0-3 Years,2017,050LEA,Ashe County Schools,,State Of North Carolina,H,,0.227,0.2,0.21,0.427
0-3 Years,2017,050LEA,Ashe County Schools,,State Of North Carolina,M,,0.051,0.2,0.227,0.427
0-3 Years,2017,060LEA,Avery County Schools,,State Of North Carolina,E,,0.062,0.333,0.215,0.427
0-3 Years,2017,060LEA,Avery County Schools,,State Of North Carolina,H,,0.152,0.333,0.21,0.427
0-3 Years,2017,060LEA,Avery County Schools,,State Of North Carolina,M,,0.195,0.333,0.227,0.427
0-3 Years,2017,060LEA,Avery County Schools,,State Of North Carolina,T,,0.0,0.333,0.215,0.427
0-3 Years,2017,070LEA,Beaufort County Schools,,State Of North Carolina,E,,0.151,0.385,0.215,0.427
0-3 Years,2017,070LEA,Beaufort County Schools,,State Of North Carolina,H,,0.207,0.385,0.21,0.427
0-3 Years,2017,070LEA,Beaufort County Schools,,State Of North Carolina,I,,0.138,0.385,0.233,0.427
0-3 Years,2017,070LEA,Beaufort County Schools,,State Of North Carolina,M,,0.359,0.385,0.227,0.427
0-3 Years,2017,070LEA,Beaufort County Schools,,State Of North Carolina,T,,0.444,0.385,0.215,0.427
0-3 Years,2017,080LEA,Bertie County Schools,,State Of North Carolina,E,,0.116,0.75,0.215,0.427
0-3 Years,2017,080LEA,Bertie County Schools,,State Of North Carolina,H,,0.326,0.75,0.21,0.427
0-3 Years,2017,080LEA,Bertie County Schools,,State Of North Carolina,M,,0.345,0.75,0.227,0.427
0-3 Years,2017,080LEA,Bertie County Schools,,State Of North Carolina,T,,,0.75,0.215,0.427
0-3 Years,2017,090LEA,Bladen County Schools,,State Of North Carolina,E,,0.157,0.615,0.215,0.427
0-3 Years,2017,090LEA,Bladen County Schools,,State Of North Carolina,H,,0.174,0.615,0.21,0.427
0-3 Years,2017,090LEA,Bladen County Schools,,State Of North Carolina,I,,0.417,0.615,0.233,0.427
0-3 Years,2017,090LEA,Bladen County Schools,,State Of North Carolina,M,,0.192,0.615,0.227,0.427
0-3 Years,2017,090LEA,Bladen County Schools,,State Of North Carolina,T,,,0.615,0.215,0.427
0-3 Years,2017,100LEA,Brunswick County Schools,,State Of North Carolina,E,,0.199,0.368,0.215,0.427
0-3 Years,2017,100LEA,Brunswick County Schools,,State Of North Carolina,H,,0.222,0.368,0.21,0.427
0-3 Years,2017,100LEA,Brunswick County Schools,,State Of North Carolina,I,,0.029,0.368,0.233,0.427
0-3 Years,2017,100LEA,Brunswick County Schools,,State Of North Carolina,M,,0.209,0.368,0.227,0.427
