agency_code,pct_aig_wk,pct_all_wk,pct_am7_wk,pct_as7_wk,pct_bl7_wk,pct_eds_wk,pct_els_wk,pct_fem_wk,pct_hi7_wk,pct_hms_wk,pct_male_wk,pct_mig_wk,pct_mil_wk,pct_mu7_wk,pct_neds_wk,pct_nswd_wk,pct_swd_wk,pct_wh7_wk
290348,94.9,66.0,,,,52.0,,64.6,58.3,,67.3,,,,68.0,69.7,20.0,67.6
290365,,65.0,,,,50.0,,68.2,,,63.2,,,,73.7,70.4,,67.9
290388,,66.7,,,,61.1,,68.5,60.0,,65.3,,,,68.9,66.9,,65.5
290389,,94.1,,,,,,,,,90.9,,,,92.3,94.1,,93.8
291336,85.7,63.4,,,68.2,57.1,,59.5,62.5,,69.0,,,,67.4,66.2,,
292324,,56.6,,,37.5,48.3,,54.5,55.6,,58.1,,,,61.7,58.1,,76.2
300312,95.0,79.4,,,,68.3,,92.3,53.3,,68.4,,,,84.0,84.0,20.0,82.8
310344,95.0,67.6,,,66.7,59.3,35.7,64.4,59.1,,70.8,,,,78.1,69.6,40.0,71.6
310352,,57.9,,,45.2,50.0,10.0,52.1,58.0,,62.7,,,,84.0,59.0,,92.9
310364,,81.6,,,,86.7,,87.0,70.4,,76.9,,,,73.7,81.3,,94.1
310392,,67.6,,,41.4,60.8,,71.4,69.4,,65.1,,,,83.9,71.4,,82.4
320312,95.0,61.9,,,46.3,34.5,,71.4,75.0,,52.1,,,,73.5,66.7,,82.6
320317,95.0,90.5,,,89.7,84.6,,89.6,88.0,,,,,,95.0,90.4,,
320323,,91.7,,,,,,,,,,,,,,,,
320325,,37.3,,,27.9,33.3,,44.0,,,30.8,,,,44.4,42.2,,
320356,95.0,60.0,,,42.9,50.0,,64.3,60.7,,57.4,,,,69.2,64.7,,88.9
320365,95.0,87.6,,,70.4,66.7,,88.4,81.3,,87.1,,,,95.0,87.5,,95.0
320368,76.9,49.6,,,43.8,50.0,,50.9,59.6,,48.3,,,,48.9,50.9,,
330328,,27.3,,,21.1,30.8,,33.3,,,20.0,,,,,27.3,,
330350,,39.6,,,29.5,37.8,,37.3,,,42.9,,,,40.6,42.1,,48.9
330358,,37.7,,,27.5,40.7,,41.3,,,30.4,,,,35.7,38.2,,50.0
33A000,,64.7,,,,,,,,,,,,,69.2,66.7,,63.6
340311,95.0,88.6,,,80.3,84.7,,89.3,86.2,,88.1,,,,90.1,90.3,66.7,95.0
340330,,52.4,,,50.0,36.4,,47.1,,,,,,,70.0,57.9,,
340364,94.4,76.3,,,55.0,41.7,,81.1,66.7,,72.1,,,,85.6,77.6,,83.8
340382,,78.0,,,70.6,86.4,,71.8,85.7,,90.0,,,,73.0,78.9,,76.0
340454,95.0,72.6,,,59.5,80.6,,71.4,95.0,,73.5,,,,67.9,76.6,,78.3
340460,,58.5,,,35.7,50.0,,58.8,58.3,,58.3,,,,61.5,60.8,,75.0
340486,,65.2,,,,,,,72.7,,57.1,,,,64.7,65.2,,
340488,,45.7,,,33.3,33.3,,52.4,50.0,,35.7,,,,52.2,48.4,,
340495,94.1,77.1,,,,70.0,,95.0,,,63.3,,,,78.1,82.9,,73.1
340496,,59.3,,,53.6,56.5,,53.1,72.7,,66.7,,,,61.1,63.0,,72.7
340542,,78.3,,,,73.3,,84.6,,,70.0,,,,80.6,78.6,,84.8
340556,95.0,83.1,,,76.9,75.0,,82.0,76.2,,83.8,,,,84.9,88.2,27.3,84.4
350308,95.0,74.3,,,68.8,65.6,,73.3,70.0,,75.0,,,,81.6,79.0,,78.9
350321,87.5,65.6,,,51.7,77.4,,65.3,80.0,,65.9,,,,59.7,67.8,,67.3
350336,,62.5,,,61.9,66.7,,78.3,50.0,,53.7,,,,58.8,70.9,,69.0
360310,,38.6,,,21.7,35.8,,36.7,50.0,,40.3,,,,43.5,41.2,,56.7
360336,,33.3,,,21.1,26.5,,32.4,,,34.0,,,,42.9,35.4,,40.7
360360,92.9,71.0,,,,57.6,,69.2,,,72.2,,,,78.3,73.6,,69.7
360378,83.3,61.4,,,70.0,48.5,,78.4,,,49.0,,,,69.1,63.4,,59.4
360390,,37.1,,,,61.1,,36.0,,,37.8,,,,28.8,37.7,,43.1
360396,88.9,55.1,,,37.5,39.5,,60.0,41.2,,50.7,,,,61.0,56.8,,63.9
360418,95.0,95.0,,,95.0,95.0,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
360428,,40.9,,,28.6,32.9,,43.8,47.1,,38.7,,,,56.8,45.9,5.0,55.0
360470,95.0,75.3,,,75.0,61.0,,74.0,,,77.1,,,,88.6,77.5,,74.6
360494,90.9,56.0,,,,57.1,,70.4,,,47.9,,,,55.7,58.6,,56.3
370312,,73.3,,,50.0,70.6,,78.9,,,69.2,,,,75.0,76.2,,82.1
380308,,46.2,,,,50.0,,42.9,,,50.0,,,,43.8,47.8,,52.6
390322,,52.5,,,31.3,48.3,,28.6,53.8,,65.8,,,,56.7,54.5,,64.3
390324,,44.4,,,34.8,41.7,,21.4,,,54.8,,,,47.6,52.6,,60.0
390352,91.7,64.7,,,38.5,56.0,,62.2,,,67.7,,,,69.8,68.3,,74.5
390700,,66.7,,,,,,,,,73.3,,,,68.4,66.7,,70.0
400308,,62.1,,,45.0,52.8,,66.7,80.0,,57.1,,,,76.5,62.8,,73.3
410319,,46.7,,,40.0,46.7,,43.2,40.0,,50.0,,,,46.7,53.0,,
410355,78.6,43.8,,,44.2,32.7,,45.0,,,41.7,,,,58.5,47.1,,
410358,95.0,62.0,,,47.7,50.8,,63.2,57.1,,60.0,,,,77.8,66.0,,81.5
410394,90.0,71.1,,,57.1,71.0,,76.7,,,60.0,,,,71.4,80.0,,
410406,76.9,43.3,,54.5,20.8,43.9,,33.3,70.0,,55.6,,,,42.1,46.4,,60.0
410407,,85.7,,,90.0,,,,,,91.7,,,,84.6,94.4,,
410483,,61.1,,,62.5,,,,,,61.1,,,,90.0,61.1,,
410484,,46.3,,,39.2,45.6,,46.0,66.7,,46.7,,,,48.1,53.0,5.0,47.6
410489,95.0,85.0,,,,,,79.2,,,93.8,,,,86.5,85.0,,89.3
410490,95.0,87.5,,,75.0,,,89.7,,,84.8,,,,87.5,89.9,,90.0
410508,95.0,68.4,,,55.6,53.3,,56.3,,,73.2,,,,85.2,69.8,,73.9
410529,87.5,52.8,,66.7,40.8,34.5,,37.7,53.8,,63.9,,,,68.7,54.5,,62.8
410544,75.0,32.6,,,20.7,28.6,,22.2,40.0,,43.2,,,,37.5,35.0,,
410545,95.0,76.6,,92.9,57.9,76.3,,76.7,83.3,,76.5,,,,,76.6,,
410547,95.0,76.9,,,71.0,68.6,,80.4,,,74.3,,,,80.0,82.2,25.0,78.6
410556,86.1,66.4,,84.6,56.8,60.0,,68.1,67.7,,64.3,,,,77.8,69.6,38.5,75.0
410562,95.0,82.3,,95.0,71.8,72.5,,81.4,50.0,,82.7,,,,86.9,85.3,,91.5
410569,93.8,95.0,,,91.7,90.9,,95.0,,,94.1,,,,95.0,95.0,,
410579,,95.0,,,,,,92.3,,,,,,,95.0,95.0,,
410595,95.0,72.2,,,57.7,69.2,,69.7,78.6,,76.2,,,,75.0,75.0,,95.0
420346,,38.9,,,35.5,42.9,,45.5,,,28.6,,,,36.4,41.2,,
420358,,55.6,,,54.8,52.4,,39.1,,,84.6,,,,60.0,57.1,,
421316,92.3,69.7,,,50.0,55.3,,75.8,,,61.7,,,,80.6,71.8,,76.9
422315,,8.7,,,9.1,14.3,,8.3,,,9.1,,,,,9.1,,
430346,95.0,64.9,,,47.6,57.1,,63.8,64.9,,65.9,,,,69.5,67.4,,69.8
430371,,67.5,,,61.4,60.0,,67.6,37.5,,67.5,,66.7,,71.7,68.5,,81.1
430378,90.9,65.3,,,37.8,60.4,,67.1,53.3,,63.9,,,,70.9,67.7,,80.0
430384,95.0,60.7,,,37.5,50.0,,59.7,69.2,,62.0,,,,70.0,63.1,,66.7
440326,,28.6,,,,30.0,,,,,30.0,,,,,30.8,,28.6
440378,95.0,75.0,,,,64.6,,71.2,60.0,,77.2,,,,82.1,77.9,36.4,79.3
440390,78.1,59.9,,,,54.9,,77.2,41.7,,48.9,,,,62.5,65.9,16.7,62.8
450316,,67.1,,,,62.5,,67.5,65.4,,66.7,,,,71.1,73.0,27.3,67.9
450334,,68.6,,,,43.8,,75.0,,,63.0,,,,80.0,76.1,,75.7
450341,,81.4,,,,65.5,,86.1,70.4,,76.5,,,,92.7,87.7,,87.8
450343,,33.3,,,,,,,,,,,,,,36.4,,
450352,,72.9,,,,75.9,,70.0,58.3,,75.0,,,,71.9,77.7,40.0,75.8
460320,90.9,46.2,,,40.3,36.1,,57.4,,,29.0,,,,54.8,49.3,,
460322,,89.5,,,90.0,,,90.9,,,,,,,93.3,89.5,,
460340,,83.3,,,80.0,,,,,,,,,,,83.3,,
470312,94.4,63.0,60.0,,48.4,57.8,,67.8,74.2,,56.7,,58.8,,73.1,69.1,16.7,86.2
480318,,27.3,,,,,,,,,,,,,,,,
490310,,40.0,,,,,,,,,,,,,,40.0,,
490335,95.0,76.3,,,,,,76.7,,,76.0,,,,77.6,81.3,35.3,77.2
490346,,60.6,,,,55.3,,67.6,66.7,,53.1,,,,62.8,63.0,,61.3
490354,,36.1,,,22.6,30.5,,39.5,40.0,,33.3,,,,44.7,38.5,,64.7
490362,95.0,68.0,,,38.5,59.4,,66.7,54.5,,69.4,,,,71.0,73.3,,74.5
490380,,45.7,,,26.7,44.2,,35.6,45.5,,55.3,,,,46.9,50.6,,52.4
491312,95.0,76.4,,,72.7,75.0,,81.9,66.7,,70.6,,,,76.9,80.5,33.3,78.9
500340,,66.2,,,,69.6,,65.6,,,66.7,,,,64.6,71.9,,65.6
510324,95.0,74.2,,,58.3,41.7,,76.5,68.2,,71.3,,,,79.1,77.5,30.8,78.8
510327,95.0,68.1,,,46.9,40.0,,67.0,64.3,,69.1,,,,75.5,70.9,,74.6
510333,95.0,76.7,,,50.0,56.1,,72.2,66.7,,80.1,,,,80.4,79.4,28.6,81.8
510368,95.0,65.3,,,,55.3,,70.2,73.9,,60.8,,,,71.7,68.1,,68.9
510376,,61.9,,,,62.9,,60.5,58.3,,63.4,,,,61.2,68.0,,65.6
510399,,50.5,,,29.6,54.2,,44.2,53.5,,56.0,,,,44.1,52.4,36.4,71.4
510402,95.0,68.6,,,,64.4,,66.7,58.1,,70.8,,,,71.1,70.3,,73.9
510406,95.0,81.2,,,76.9,80.0,,82.8,78.0,,79.3,,,81.8,81.6,84.9,35.7,82.6
520320,95.0,90.9,,,88.9,91.7,,95.0,,,85.7,,,,89.5,95.0,,92.9
530336,90.0,55.4,,,35.5,48.6,5.0,61.4,46.3,,50.0,,,,60.4,58.3,16.7,67.5
530343,89.7,57.0,,,46.2,45.6,,57.8,53.3,,56.4,,,,72.1,58.8,,65.8
540315,,37.3,,,36.9,34.5,,45.9,,,26.7,,,,50.0,41.0,,
540324,92.9,65.7,,,46.9,57.4,,59.3,70.8,,72.2,,,,74.1,68.0,,75.5
540336,95.0,61.0,,,35.3,59.4,,55.7,65.5,,66.1,,,,63.0,67.9,7.1,64.8
550320,,59.0,,,,40.9,,68.1,,,47.2,,,,65.6,62.7,,61.1
550332,,45.3,,,,44.1,,42.1,31.3,,50.0,,,,46.7,48.3,,54.5
550344,,78.1,,,,78.6,,85.3,,,71.8,,,,78.0,81.4,,76.1
550368,,72.7,,,,72.7,,72.9,,,72.2,,,,72.7,75.8,,72.9
560320,85.7,52.0,,,,53.7,,56.6,36.4,,46.7,,,,50.9,58.0,5.0,53.6
560324,,70.0,,,,,,,,,,,,,,,,
570318,,74.1,,,,73.5,,79.5,,,68.3,,,,74.5,77.5,,73.2
580344,,62.5,,,52.4,33.3,,61.5,,,63.2,,,,80.0,69.0,,
580368,,58.1,,,31.6,25.0,,64.0,,,50.0,,,,77.8,61.0,,85.0
58B000,,52.9,,,,,,60.0,,,,,,,53.3,60.0,,52.9
590330,95.0,64.6,,,,61.1,,70.0,37.5,,60.2,,,,67.4,70.2,17.6,71.0
600302,95.0,86.6,,95.0,76.5,,,87.5,90.9,,86.1,,,,85.7,87.1,,85.6
600312,93.8,87.8,,,,,,89.6,,,86.7,,,,88.8,88.4,,88.5
600341,,72.7,,,,,,,,,,,,,,70.0,,
600361,95.0,77.4,,80.0,68.8,77.6,,76.3,74.1,,78.9,,,,77.4,79.0,,82.7
600377,87.5,66.1,,,55.4,59.7,,63.9,77.3,,68.4,,,,73.2,70.6,,80.8
600386,,84.6,,,79.2,70.0,,88.9,,,75.0,,,,89.7,84.6,,
600397,,33.3,,,22.9,30.4,,31.3,47.4,,34.0,,,,35.0,35.6,,
600405,,18.4,,,10.3,18.8,20.0,15.0,30.8,,20.7,,,,18.2,20.0,,
600415,95.0,64.3,,,47.1,48.3,,61.1,55.0,,67.1,,,,74.2,67.1,27.3,85.2
600426,95.0,75.7,,,50.0,63.2,,83.7,78.9,,70.3,,,,82.6,80.0,,89.1
600445,87.5,67.9,,90.0,62.2,59.6,,72.1,70.0,,64.9,,,,72.4,69.0,,91.3
