digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
3,430369,E,Yes,K:1:2:3:4:5,No,-,No,-,20.04,80,1.23,2007.0,0.66
1,430370,M,Yes,06:07:08,No,-,No,-,26.53,68,1.45,2001.0,0.61
1,430371,H,No,-,No,-,No,-,13.69,124,1.33,2001.0,0.62
1,430376,E,Yes,03:04:05,No,-,No,-,31.21,48,1.37,2003.0,0.52
3,430378,H,Yes,9:10:11:12,No,-,No,-,12.75,105,1.36,2003.0,0.58
1,430380,E,Yes,04:05:00,No,-,No,-,43.45,21,0.78,2002.0,0.48
1,430384,H,Yes,9:10:11:12,No,-,No,-,18.69,101,1.19,2000.0,0.59
1,430386,M,Yes,06:07:08,No,-,No,-,29.57,72,1.38,2001.0,0.56
,430LEA,,,,,,,,22.47,"1,6",1.17,2002.0,0.64
75,43C000,E,Yes,K:1:2:3:4:5,No,-,No,-,6.15,12,1.0,,40.67
3,440314,E,No,-,No,-,Yes,K:1:2:3:4:5,26.23,39,1.0,2001.0,1.36
2,440318,M,Yes,06:07:08,No,-,Yes,06:07:08,22.27,35,1.17,2008.0,0.61
1,440320,M,No,-,No,-,Yes,06:07:08,17.47,49,1.07,2002.0,0.61
-,440326,H,No,-,No,-,Yes,9:10:11:12,,16,1.07,,0.59
1,440328,E,Yes,04:05:00,No,-,Yes,PK:K:1:2:3:4:5,27.35,49,1.17,2003.0,1.54
2,440332,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,22.5,30,1.15,2005.0,0.92
-,440346,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,10,1.43,,0.56
1,440348,E,Yes,03:04:05,No,-,Yes,PK:K:1:2:3:4:5,23.12,47,1.24,2001.0,0.97
1,440349,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,25.13,41,1.17,1997.0,1.23
1,440350,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,23.66,36,1.16,1999.0,1.03
2,440364,E,Yes,03:04:05,No,-,Yes,PK:K:1:2:3:4:5,31.24,32,2.0,1997.0,0.95
1,440368,E,Yes,2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,32.88,38,1.23,2000.0,0.96
1,440378,H,No,-,No,-,Yes,9:10:11:12,9.97,88,1.07,1996.0,0.72
2,440390,H,No,-,No,-,Yes,9:10:11:12,10.09,93,1.22,1994.0,0.78
1,440396,M,No,-,No,-,Yes,06:07:08,21.96,75,1.29,2001.0,0.72
,440LEA,,,,,,,,20.27,678,1.19,2000.0,0.81
,44A000,I,,,,,,,,,,,-
1,450301,M,No,-,No,-,Yes,06:07:08,21.18,80,1.4,1996.0,0.76
0,450302,E,No,-,No,-,Yes,K:1:2:3:4:5,44.51,33,1.83,2003.0,0.94
0,450306,E,Yes,03:04:05,No,-,No,-,27.41,41,1.28,2000.0,0.72
1,450307,E,No,-,No,-,No,-,21.52,42,1.17,2008.0,1.04
0,450308,E,No,-,No,-,No,-,15.34,44,1.26,2001.0,0.74
