digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
8,540312,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,30.86,45,1.36,2000.0,0.9
10,540315,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,19.42,94,1.92,1988.0,0.68
1,540316,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,21.32,42,1.45,2005.0,0.88
100,540317,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,1.15,14,1.56,,0.87
36,540318,A,Yes,7:8:9:10:11:12,No,-,Yes,7:8:9:10:11:12,48.75,6,0.6,1995.0,0.77
2,540320,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,17.7,37,1.23,1996.0,0.92
1,540324,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,16.58,80,1.51,1990.0,0.79
1,540325,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,19.36,39,1.18,2000.0,0.94
1,540326,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,29.23,40,1.6,1999.0,0.93
2,540328,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,19.94,38,1.23,1999.0,0.85
15,540330,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,29.68,83,2.96,1995.0,0.9
1,540336,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,11.38,72,1.53,1995.0,0.76
2,540338,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,41.38,33,1.83,1996.0,0.88
2,540340,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,32.29,28,1.22,1999.0,0.84
2,540344,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,14.89,46,1.31,2000.0,0.9
,540LEA,,,,,,,,20.87,797,1.45,1997.0,0.83
0,54A000,I,Yes,06:07:08,No,-,No,-,2.84,6,0.4,,3.74
-,550308,T,No,-,No,-,No,-,,13,1.3,,0.47
0,550312,E,Yes,5,No,-,No,-,29.82,45,1.25,1999.0,0.72
1,550314,E,No,-,No,-,No,-,17.56,41,1.11,2001.0,1.65
0,550316,E,No,-,No,-,No,-,20.21,40,1.48,1999.0,0.74
1,550320,H,No,-,No,-,Yes,9:10:11:12,9.75,80,1.63,1991.0,1.97
1,550322,M,No,-,No,-,Yes,06:07:08,16.07,82,1.28,2003.0,2.02
10,550324,,No,-,No,-,No,-,18.97,45,1.61,2000.0,1.28
1,550328,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,20.12,45,1.05,2002.0,0.95
-,550330,,No,-,No,-,No,-,,25,1.92,,-
1,550332,H,No,-,No,-,Yes,9:10:11:12:13,6.86,82,1.46,1995.0,1.4
0,550334,M,No,-,No,-,Yes,06:07:08,19.42,71,1.54,2000.0,1.14
0,550336,E,No,-,No,-,No,-,34.42,42,1.35,2002.0,1
0,550340,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,17.81,40,1.0,2003.0,0.85
1,550342,E,Yes,5,No,-,Yes,PK:K:1:2:3:4:5,27.95,41,1.46,1999.0,1.9
0,550344,H,No,-,No,-,No,-,8.34,80,1.38,1998.0,1.65
0,550348,E,No,-,No,-,No,-,17.58,33,1.22,2002.0,1.44
1,550349,E,No,-,No,-,Yes,03:04:05,18.64,37,1.12,2003.0,0.96
1,550350,M,No,-,No,-,Yes,06:07:08,14.35,50,1.09,2001.0,2.52
1,550356,E,No,-,No,-,No,-,14.79,50,1.14,2003.0,1.5
0,550360,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,25.99,31,1.29,1999.0,0.91
1,550362,E,No,-,No,-,Yes,K:1:2:3:4:5,18.98,40,1.05,2000.0,0.97
0,550364,E,No,-,No,-,No,-,39.41,41,1.46,2000.0,0.83
1,550368,H,No,-,No,-,Yes,9:10:11:12,13.31,80,1.23,1997.0,1.44
1,550372,M,No,-,No,-,Yes,06:07:08,19.97,80,2.05,2006.0,1.09
,550LEA,,,,,,,,17.1,"1,2",1.33,2000.0,1.23
0,55A000,A,Yes,6:7:8:9:10:11:12,Yes,6:7:8:9:10:11:12,No,-,2.51,128,1.03,1997.0,1.84
7,560304,E,No,-,No,-,No,-,25.16,32,1.14,2000.0,2.09
2,560316,E,No,-,No,-,No,-,22.34,30,1.11,2002.0,1.86
1,560320,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,13.31,91,1.42,1992.0,0.68
0,560324,A,Yes,K:1:2:3:4:5:9:10:11:12,Yes,9:10:11:12,No,-,44.73,33,0.87,2000.0,1.01
0,560328,E,No,-,No,-,No,-,20.36,44,1.38,1998.0,2.46
-,560329,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,No,-,,8,1.6,,0.61
1,560330,M,No,-,No,-,No,-,15.09,53,1.1,2003.0,1.6
0,560331,M,No,-,No,-,No,-,14.95,45,1.05,2002.0,1.58
0,560332,A,Yes,9:10:11:12,Yes,9:10:11:12,No,-,38.71,16,0.94,2002.0,0.61
5,560338,E,No,-,No,-,No,-,21.26,46,1.0,1996.0,2.73
-,560350,T,No,-,No,-,No,-,,11,0.92,1990.0,0.78
,560LEA,,,,,,,,20.21,409,1.14,1999.0,1.21
1,570306,E,No,-,No,-,No,-,29.3,36,1.06,1997.0,1.59
0,570312,E,No,-,No,-,No,-,57.32,7,1.0,1998.0,1.52
-,570317,H,No,-,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,10,1.0,,1.63
6,570318,H,No,-,No,-,Yes,9:10:11:12,13.78,71,1.37,1998.0,0.52
5,570319,M,Yes,06:07:08,No,-,No,-,42.55,45,1.29,1991.0,0.73
10,570320,E,Yes,5,No,-,No,-,24.6,43,1.54,1997.0,3.63
,570LEA,,,,,,,,29.22,212,1.28,1996.0,1
0,580308,E,No,-,No,-,No,-,39.97,7,0.25,2003.0,1.47
0,580312,E,No,-,No,-,No,-,42.79,5,0.19,1994.0,0.98
2,580316,E,No,-,No,-,No,-,41.82,7,0.47,2003.0,2.2
2,580320,,No,-,No,-,No,-,141.97,5,0.71,2003.0,0.91
0,580324,E,No,-,No,-,No,-,53.42,7,0.37,1997.0,0.42
0,580344,T,No,-,No,-,No,-,13.42,10,0.25,1995.0,1.18
0,580350,,No,-,No,-,No,-,41.71,6,0.2,1996.0,0.88
0,580356,E,No,-,No,-,No,-,30.9,22,1.16,2002.0,0.96
5,580368,H,Yes,9:10:11:12,No,-,No,-,23.94,52,1.37,1986.0,0.61
0,580372,M,No,-,No,-,No,-,21.68,12,0.4,1995.0,2.19
,580LEA,,,,,,,,35.49,133,0.53,1997.0,0.55
5,58B000,T,Yes,6:7:8:9:10:11:12,Yes,6:7:8:9:10:11:12,No,-,2.32,17,0.61,1989.0,1.73
1,590306,E,Yes,2:3:4:5,No,-,No,-,44.28,36,0.95,1999.0,0.71
3,590310,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,13.5,54,1.26,2008.0,0.91
2,590316,E,Yes,2:3:4:5,No,-,No,-,25.14,43,1.16,2003.0,0.86
1,590320,E,Yes,03:04:05,No,-,No,-,17.69,30,1.03,2002.0,0.9
,590326,H,,,,,,,,,,,-
-,590328,H,Yes,9:10:11:12,Yes,9:10:11:12:13,No,-,,10,1.0,,0.94
5,590330,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,3.57,152,1.36,2008.0,0.61
2,590332,E,Yes,03:04:05,No,-,No,-,33.02,41,1.14,2004.0,0.76
1,590336,E,Yes,03:04:05,No,-,No,-,74.79,33,1.65,2003.0,0.82
1,590340,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,27.98,41,1.52,2003.0,0.5
1,590344,E,Yes,03:04:05,No,-,Yes,PK:K:1:2:3:4:5,33.13,63,2.03,1999.0,0.73
2,590352,E,Yes,03:04:05,No,-,No,-,32.84,42,1.02,1998.0,0.79
1,590356,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,14.72,55,1.25,2002.0,0.89
-,590393,M,Yes,06:07:08,Yes,06:07:08,No,-,,20,2.22,,0.72
,590LEA,,,,,,,,21.5,620,1.3,2003.0,0.75
2,600300,E,Yes,K:1:2:3:4:5,No,-,No,-,9.53,109,1.51,2006.0,0.45
2,600301,M,Yes,06:07:08,No,-,Yes,06:07:08,8.01,105,1.46,2005.0,1
4,600302,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,3.34,207,1.49,2005.0,0.86
26,600303,I,Yes,3:4:5:6:7:8,No,-,No,-,20.71,81,1.5,2015.0,0.46
3,600305,M,Yes,06:07:08,No,-,No,-,8.17,105,1.94,2006.0,0.68
3,600308,E,Yes,03:04:05,No,-,No,-,25.52,47,1.42,2005.0,0.42
8,600311,I,Yes,PK:K:1:2:3:4:5:6:7:8,No,-,No,-,18.2,64,1.83,2009.0,0.86
3,600312,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,3.56,197,1.7,2009.0,0.81
5,600313,M,Yes,06:07:08,No,-,No,-,6.48,123,1.43,2005.0,0.9
3,600314,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,13.73,97,1.9,2005.0,0.76
1,600316,E,Yes,03:04:05,No,-,Yes,03:04:05,15.96,68,2.19,2002.0,1.04
1,600317,M,Yes,06:07:08,Yes,06:07:08,No,-,14.32,102,1.73,2006.0,0.33
2,600318,E,Yes,K:1:2:3:4:5,No,-,No,-,14.64,84,1.75,2006.0,0.77
4,600319,I,Yes,K:1:2:3:4:5:6:7:8,No,-,No,-,26.86,73,2.35,2011.0,0.55
3,600322,E,Yes,03:04:05,No,-,Yes,2:3:4:5,10.86,70,1.75,2004.0,1.05
2,600328,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,15.13,78,1.56,2005.0,1.4
4,600329,E,Yes,K:1:2:3:4:5,No,-,No,-,8.02,72,1.5,2007.0,0.67
4,600333,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,8.15,106,1.74,2004.0,0.8
-,600334,H,Yes,11:12:13,Yes,11:12:13,Yes,11:12:13,,,,,0.74
1,600335,E,Yes,K:1:2,No,-,No,-,20.9,69,1.97,2000.0,0.55
10,600336,E,Yes,3:4:5:6,No,-,Yes,04:05:06,27.34,43,1.95,2010.0,0.97
2,600338,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,19.37,75,1.7,2002.0,0.93
3,600341,T,Yes,6:7:8:9:10:11:12,Yes,9:10:11:12,Yes,6:7:8:9:10:11:12,7.59,101,1.77,2004.0,0.66
2,600344,I,Yes,3:4:5:6:7:8,No,-,No,-,14.1,72,1.53,2001.0,0.88
3,600345,M,Yes,06:07:08,No,-,Yes,06:07:08,7.44,129,1.63,2005.0,0.83
4,600346,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,15.31,63,1.85,2004.0,0.73
3,600349,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,22.76,71,1.82,2004.0,0.81
2,600351,M,Yes,06:07:08,No,-,Yes,06:07:08,8.7,95,1.98,2003.0,0.85
3,600352,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,12.9,70,2.26,2007.0,1
4,600353,M,Yes,06:07:08,No,-,No,-,9.57,99,1.71,2003.0,0.64
2,600357,I,Yes,2:3:4:5,No,-,No,-,16.19,67,1.97,2001.0,0.88
3,600361,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,7.2,173,1.66,2001.0,0.73
1,600362,E,Yes,03:04:05,No,-,No,-,13.09,81,1.8,2002.0,1.27
2,600364,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,18.81,,,2009.0,0.58
4,600365,E,Yes,2:3:4:5,No,-,No,-,10.17,70,2.06,2003.0,0.67
2,600366,I,Yes,K:1:2:3:4:6:7:8,No,-,No,-,18.22,75,1.67,2008.0,0.62
2,600367,E,Yes,03:04:05,No,-,No,-,26.37,62,1.82,2006.0,0.54
2,600368,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,18.03,74,2.64,2002.0,1.09
4,600369,E,Yes,03:04:05,No,-,No,-,12.2,75,1.79,2004.0,1.48
2,600374,I,Yes,1:2:3:4:5:6:7:8,Yes,06:07:08,No,-,33.91,78,1.66,2011.0,0.59
5,600377,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,7.35,220,2.08,1996.0,0.73
4,600379,E,Yes,03:04:05,Yes,04:05:00,No,-,12.8,49,1.96,2010.0,0.76
3,600381,M,Yes,06:07:08,No,-,No,-,6.61,103,1.81,2006.0,0.65
3,600382,E,Yes,03:04:05,No,-,No,-,11.34,81,1.45,2010.0,1.04
6,600383,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,11.23,87,1.61,2005.0,1
1,600384,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,23.59,60,2.0,2003.0,1
4,600385,E,Yes,03:04:05,No,-,Yes,PK:K:1:2:3:4:5,12.88,72,1.64,2007.0,0.9
2,600386,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,14.28,67,2.39,2009.0,0.64
2,600392,E,Yes,03:04:05,No,-,No,-,11.7,83,1.66,2005.0,1.1
3,600394,M,Yes,06:07:08,No,-,Yes,06:07:08,7.66,103,1.78,2004.0,0.74
1,600397,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,6.22,205,1.53,2004.0,0.62
5,600398,E,Yes,2:3:4:5,No,-,No,-,10.59,69,1.6,2004.0,0.68
5,600399,M,Yes,06:07:08,No,-,Yes,06:07:08,4.92,118,1.69,2008.0,0.83
-,600404,H,Yes,11:12:13,Yes,11:12:13,Yes,11:12:13,,,,,0.83
4,600405,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,6.21,145,1.21,2001.0,0.51
1,600406,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,11.3,78,1.63,2007.0,0.94
0,600408,E,Yes,03:04:05,No,-,No,-,12.03,95,1.73,2012.0,0.77
1,600409,E,Yes,5,No,-,No,-,23.43,77,1.88,2012.0,0.48
0,600410,E,Yes,2:3:4:5,No,-,No,-,15.46,68,1.66,2002.0,0.63
2,600411,E,Yes,03:04:05,No,-,No,-,20.85,70,1.79,2004.0,0.87
4,600412,E,Yes,03:04:05,No,-,No,-,13.92,108,2.3,2003.0,0.68
2,600413,E,Yes,3:4:5:6,No,-,Yes,3:4:5:6,34.56,40,2.86,2002.0,0.81
0,600414,E,Yes,03:04:05,No,-,No,-,33.25,66,1.89,1999.0,0.81
1,600415,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,8.96,160,1.45,2001.0,0.75
2,600416,E,Yes,03:04:05,No,-,No,-,12.24,72,2.0,2005.0,0.96
0,600418,E,Yes,03:04:05,No,-,No,-,21.88,70,1.75,2009.0,1
2,600420,E,Yes,03:04:05,No,-,Yes,03:04:05,12.29,77,1.6,2002.0,0.85
1,600422,E,Yes,2:3:4:5,No,-,No,-,9.71,86,2.32,2004.0,0.94
2,600424,E,Yes,K:1:2:3:4:5,No,-,No,-,10.4,93,1.5,2007.0,0.82
3,600426,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,4.45,214,1.53,2005.0,0.64
2,600428,M,Yes,06:07:08,No,-,No,-,9.45,123,1.89,2005.0,0.63
6,600429,M,Yes,5:6:7:8,No,-,Yes,5:6:7:8,6.54,95,1.83,2011.0,0.93
2,600431,M,Yes,06:07:08,No,-,Yes,06:07:08,8.9,103,1.56,2004.0,0.76
4,600432,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,7.45,86,1.26,2005.0,1.06
2,600433,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,10.1,84,1.4,2006.0,1.21
0,600434,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,4.75,94,2.24,2005.0,0.81
1,600435,E,Yes,3:4:5:6,No,-,No,-,21.71,28,2.0,2010.0,0.5
2,600436,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,17.52,74,1.72,2005.0,0.99
2,600437,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,12.65,77,1.93,2006.0,1.09
1,600438,E,Yes,03:04:05,No,-,No,-,17.4,57,1.46,2002.0,0.79
5,600439,T,Yes,4:5:6:7:8:9:10:11:12,No,-,No,-,4.37,51,1.96,2007.0,0.46
2,600440,E,Yes,1:2:3:4:5,No,-,No,-,10.66,78,1.44,2006.0,0.66
2,600442,E,Yes,1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,11.8,109,1.43,2004.0,0.76
-,600443,H,Yes,11:12:13,Yes,11:12:13,No,-,,,,,0.92
1,600444,E,Yes,03:04:05,No,-,Yes,PK:K:1:2:3:4:5,16.76,65,1.63,2004.0,0.85
4,600445,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,3.96,196,1.75,2006.0,0.81
1,600446,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,8.94,71,1.45,2008.0,1.01
3,600447,E,Yes,03:04:05,No,-,No,-,12.34,84,1.83,2002.0,1.17
2,600448,M,Yes,06:07:08,No,-,No,-,13.2,107,1.95,2004.0,0.62
1,600449,E,Yes,03:04:05,No,-,No,-,20.55,56,1.6,2004.0,0.91
7,600450,M,Yes,06:07:08,Yes,06:07:08,No,-,8.34,111,1.88,2006.0,0.8
2,600451,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,13.88,59,1.97,2007.0,1.23
2,600453,E,Yes,K:1:2:3:4:5,No,-,No,-,16.85,78,1.7,2004.0,0.52
1,600454,A,No,-,No,-,No,-,22.34,68,1.94,2004.0,1
1,600455,M,Yes,06:07:08,No,-,No,-,7.71,106,1.58,2005.0,0.78
3,600457,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,9.66,179,1.79,2007.0,0.68
2,600459,E,Yes,1:2:3:4:5,No,-,No,-,22.5,58,1.32,2004.0,0.58
3,600461,A,Yes,1:2:3:4:5:6:7:8:9:10:11:12,No,-,No,-,56.88,69,2.88,2006.0,0.27
3,600462,I,Yes,2:3:4:5:6:7:8,No,-,Yes,PK:K:1:2:3:4:5:6:7:8,15.55,97,1.76,2003.0,0.73
2,600463,E,Yes,K:1:2:3:4:5,No,-,No,-,14.74,73,2.28,2007.0,0.57
2,600464,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,21.17,72,1.8,2002.0,1.03
3,600466,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,1.88,237,1.82,2008.0,0.81
5,600468,E,Yes,03:04:00,No,-,Yes,K:1:2:3:4,6.44,106,1.74,2009.0,0.96
3,600471,E,Yes,PK:K:1:2:3:4:5,No,-,No,-,7.66,84,1.87,2006.0,0.74
5,600474,E,Yes,K:1:2:3:4:5,No,-,Yes,K:1:2:3:4:5,11.39,84,2.0,2006.0,0.49
3,600475,E,Yes,K:1:2:3:4:5,No,-,No,-,12.62,43,1.72,2014.0,0.62
3,600478,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,8.52,82,2.28,2009.0,0.93
4,600479,M,Yes,06:07:08,No,-,No,-,11.54,103,2.19,2005.0,0.74
3,600480,H,No,-,No,-,No,-,4.63,189,2.03,2004.0,0.73
2,600481,M,Yes,06:07:08,No,-,No,-,8.57,97,2.11,2003.0,0.51
4,600482,T,Yes,6:7:8:9:10:11:12,Yes,6:7:8:9:10:11:12,No,-,8.22,128,2.1,2007.0,0.83
1,600484,E,Yes,K:1:2:3:4:5,No,-,No,-,10.55,76,1.77,2013.0,0.5
0,600485,E,Yes,K:1:2:3:4:5,No,-,No,-,11.42,79,2.32,2007.0,0.78
2,600488,I,Yes,3:4:5:6:7:8,No,-,Yes,3:4:5:6:7:8,15.47,68,2.06,2004.0,1.06
4,600489,E,Yes,2:3:4:5,No,-,No,-,38.67,89,2.87,2012.0,0.72
3,600490,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,3.88,205,0.34,2003.0,0.63
2,600491,E,Yes,03:04:05,No,-,No,-,12.12,65,1.63,2006.0,1.16
1,600492,E,Yes,3:4:5:6,No,-,No,-,19.24,61,1.91,2003.0,1.09
3,600493,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,15.25,76,1.73,2011.0,1.13
3,600494,E,Yes,K:1:2:3:4:5,No,-,No,-,11.2,76,1.58,2006.0,0.64
2,600496,H,Yes,9:10:11:12,Yes,10:11:12,No,-,4.6,169,1.92,2005.0,0.72
1,600497,M,Yes,06:07:08,No,-,Yes,06:07:08,6.01,89,1.75,2008.0,0.69
30,600498,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,11.89,11,0.46,2004.0,0.48
-,600499,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,,11,11.0,,0.54
0,600500,E,Yes,K:2:3:4:5,No,-,Yes,K:1:2:3:4:5,14.88,84,1.62,2002.0,0.71
3,600501,E,Yes,2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,15.12,66,1.5,2006.0,0.62
3,600503,E,Yes,03:04:05,No,-,No,-,10.45,82,1.3,2007.0,0.74
4,600507,E,Yes,03:04:05,No,-,Yes,03:04:05,11.53,75,1.53,2007.0,0.86
3,600508,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,5.26,162,1.74,2003.0,0.71
4,600509,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,7.68,101,1.68,2003.0,0.71
32,600512,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,29.96,75,1.56,2000.0,0.77
3,600513,M,Yes,06:07:08,No,-,No,-,8.06,104,1.6,2005.0,0.84
0,600514,M,Yes,06:07:08,No,-,No,-,10.67,118,2.11,2004.0,1.01
0,600515,I,Yes,03:04:05,No,-,No,-,12.08,119,2.09,2014.0,0.85
2,600516,E,Yes,03:04:05,No,-,No,-,11.12,86,1.69,2005.0,0.89
6,600517,E,Yes,2:3:4:5,No,-,No,-,25.2,73,2.92,2011.0,0.59
4,600518,M,Yes,06:07:08,No,-,Yes,06:07:08,9,109,1.65,2008.0,0.72
3,600519,E,Yes,2:3:4:5,No,-,No,-,30.95,67,2.03,2007.0,0.6
4,600520,M,Yes,06:07:08,Yes,06:07:08,No,-,13.92,84,1.58,2008.0,0.65
2,600521,E,Yes,03:04:05,No,-,No,-,15.07,80,1.54,2006.0,1.71
2,600522,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,13.36,80,1.51,2002.0,0.73
2,600527,E,Yes,03:04:05,No,-,No,-,27.12,52,1.44,2002.0,1.03
3,600530,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,10.44,70,1.52,2006.0,0.96
2,600532,I,Yes,3:4:5:6:7:8,No,-,No,-,9.74,128,1.6,2003.0,1.33
0,600534,E,Yes,2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,11.47,68,1.74,2003.0,0.9
3,600535,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,2.37,231,1.43,2007.0,0.81
15,600537,M,Yes,06:07:08,Yes,06:07:08,No,-,8.71,91,1.9,2008.0,0.8
2,600538,M,Yes,06:07:08,No,-,No,-,7.45,123,1.71,2003.0,0.78
1,600545,E,Yes,03:04:05,No,-,No,-,11.14,60,2.0,2012.0,0.8
1,600546,E,Yes,K:1:2:3:4:5,No,-,No,-,11.89,73,1.87,2006.0,0.67
4,600549,E,Yes,03:04:05,No,-,No,-,11.72,75,2.14,2003.0,0.94
1,600550,E,Yes,1:2:3:4:5,No,-,No,-,16.42,80,1.86,2002.0,0.58
2,600553,I,Yes,3:4:5:6:7:8,No,-,No,-,18.71,75,1.56,1990.0,0.74
2,600557,E,Yes,03:04:05,No,-,No,-,18.33,79,1.98,2005.0,1.03
8,600558,E,Yes,03:04:05,No,-,Yes,03:04:05,14.93,68,1.7,2010.0,0.66
2,600562,E,Yes,K:1:2:3:4:5,No,-,Yes,03:04:05,11.82,76,1.49,2001.0,0.78
1,600565,E,Yes,2:3:4:5,No,-,No,-,21.53,61,1.74,2002.0,0.63
3,600566,E,Yes,PK:K:4:5,No,-,Yes,PK:K:1:2:3:4:5,12.72,86,1.54,2007.0,1.29
-,600567,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,,,2017.0,0.66
-,600569,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,13,4.33,,0.46
1,600571,E,Yes,K:1:2:3:4:5,No,-,Yes,K:1:2:3:4:5,19.38,55,2.2,2006.0,0.76
0,600574,I,Yes,PK:K:1:2:3:4:5:6:7:8,No,-,No,-,3.41,69,1.77,2017.0,0.37
1,600576,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,9.84,180,1.38,2001.0,0.41
2,600577,E,Yes,K:1:2:3:4:5:6:7:8,No,-,No,-,25.61,70,2.06,2011.0,0.75
3,600579,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,6.21,190,1.74,2009.0,0.38
0,600582,T,Yes,7:8:9:10:11,Yes,09:10:11,No,-,32.73,62,1.77,2014.0,0.73
9,600583,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,17.72,69,1.68,2015.0,0.69
2,600586,E,Yes,03:04:05,No,-,No,-,12.77,87,1.67,2003.0,0.59
2,600587,E,Yes,2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,17.38,92,1.74,1999.0,0.66
2,600588,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,17.76,72,1.76,2004.0,0.88
2,600589,E,Yes,K:1:2:3:4:5,No,-,No,-,14.91,81,1.8,2006.0,0.83
1,600590,E,Yes,03:04:05,No,-,No,-,17.6,66,1.65,2007.0,0.91
2,600592,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,5.84,169,1.82,2002.0,0.69
0,600593,E,Yes,K:1:2:3:4,No,-,No,-,34.34,17,1.42,2014.0,0.44
-,600594,H,Yes,11:12:13,Yes,11:12:13,No,-,,,,,0.88
2,600693,,Yes,9:10:11:12,No,-,Yes,9:10:11:12,13.98,30,1.5,2003.0,0.86
2,600694,,Yes,9:10:11:12,No,-,Yes,9:10:11:12,14.12,30,1.0,2003.0,0.85
2,600695,,Yes,9:10:11:12,Yes,09:10:11,Yes,9:10:11:12,21.4,30,0.05,2003.0,0.56
2,600696,,Yes,9:10:11:12,No,-,Yes,9:10:11:12,23.82,30,1.67,2003.0,0.49
2,600697,,Yes,9:10:11:12,No,-,Yes,9:10:11:12,13.6,30,1.5,2003.0,0.81
,600LEA,,,,,,,,10.8,"15,",1.55,2006.0,0.75
0,60B000,A,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,Yes,9:10:11:12,No,-,7.86,72,0.85,2014.0,2.58
1,60D000,A,Yes,5:6:7:8:9:10:11:12,Yes,5:6:7:8:9:10:11:12,No,-,4.16,120,1.17,2006.0,2.18
1,60F000,I,No,-,No,-,Yes,K:1:2:3:4:5:6:7:8,15.95,29,1.45,2014.0,2.94
1,60G000,A,No,-,No,-,No,-,9.04,57,0.89,2011.0,3.22
0,60I000,A,No,-,No,-,Yes,9:10:11:12,2.15,90,0.98,1999.0,6.97
0,60J000,I,Yes,1:2:3:4:5:6:7:8,No,-,No,-,31.25,68,1.62,2010.0,2.71
-,60K000,T,No,-,No,-,No,-,,17,0.94,,5.01
,60L000,I,,,,,,,,,,,-
