agency_code,pct_ready_kea_a_cat_code,pct_ready_kea_e_cat_code,pct_ready_kea_i_cat_code,pct_ready_kea_m_cat_code
300328,,94.0,,
300336,,69.4,,
310304,,,55.2,
310308,,,58.6,
310330,,,70.5,
310336,,30.2,30.2,
310356,,82.9,82.9,
310360,,56.9,,
310384,,14.3,14.3,
310388,,23.8,23.8,
320304,,56.0,,
320308,,49.2,,
320310,,49.3,,
320313,,90.4,,
320315,,0.0,,
320316,,,,50.0
320318,,45.2,,
320319,,0.0,,
320320,,25.7,,
320324,,43.2,,
320327,,85.3,,
320328,,33.3,,
320332,,99.3,,
320339,,58.3,,
320340,,81.3,81.3,
320344,,35.7,,
320347,,71.9,,
320348,,62.3,,
320352,,15.1,,
320354,,57.9,,
320360,,29.8,,
320362,,6.7,,
320363,,59.0,,
320364,,97.1,,
320367,,18.5,,
320369,,59.8,,
320372,,54.8,,
320374,,60.0,,
320376,,37.1,,
320388,,27.6,,
320400,,43.2,,
330304,,1.8,,
330308,,44.3,,
330312,,94.6,,
330334,,66.7,,
330354,,38.6,,
330360,,,60.9,
340308,,0.0,,
340314,,29.2,,
340320,,50.0,,
340326,,8.4,,
340334,,39.8,,
340348,,7.5,,
340351,,80.4,,
340354,,97.7,97.7,
340368,,38.8,,
340376,,33.7,,
340380,,13.3,,
340384,,50.5,,
340390,,29.9,,
340400,,34.6,,
340403,,81.5,,
340416,,39.4,,
340424,,43.6,,
340426,,60.7,,
340428,,25.7,,
340430,,45.3,,
340432,,41.1,,
340440,,53.0,,
340448,,6.7,,
340453,,51.9,,
340457,,40.0,,
340462,,5.8,,
340472,,68.5,,
340476,,25.9,,
340490,,18.5,,
340494,,51.7,,
340504,,64.0,,
340508,,19.1,,
340512,,89.7,,
340514,,36.8,,
340520,,26.7,,
340528,,75.6,,
340530,,42.2,,
340532,,78.6,,
340536,,61.1,,
340540,,13.6,,
340548,,50.0,,
340560,,66.7,,
350304,,19.8,,
350316,,46.2,,
350318,,23.2,,
350330,,11.6,,
350331,,58.2,,
350332,,31.7,,
350339,,42.3,,
350340,,21.2,,
360338,,62.2,,
360340,,54.1,,
360344,,31.4,,
360348,,82.8,,
360352,,58.8,,
360364,,76.0,,
360376,,59.4,,
360392,,43.9,,
360400,,38.1,,
360420,,94.9,,
360430,,56.1,,
360438,,37.5,,
360440,,20.3,,
360448,,100.0,,
360464,,85.7,,
360468,,77.0,,
360478,,67.1,,
360480,,41.8,,
360482,,83.2,,
360488,,94.6,,
360490,,77.6,,
360492,,36.9,,
360499,,85.7,,
360504,,18.2,,
360510,,48.2,,
360520,,30.0,,
370304,,11.9,,
370316,,34.0,,
370324,,93.3,,
380306,,60.7,,
390311,,25.3,,
390312,,1.8,,
390316,,78.7,,
390333,,65.3,,
390336,,72.0,,
390360,,56.4,,
390362,,62.7,,
390364,,74.0,,
390368,,73.1,,
400321,,57.9,,
410304,,75.3,,
410307,,55.6,,
410310,,50.6,,
410322,,32.3,,
410328,,34.4,,
410331,,57.7,,
410334,,39.5,,
410337,,81.8,,
410340,,64.0,,
410343,,68.1,,
410346,,58.0,,
410349,,26.7,,
410361,,42.3,,
410364,,15.9,,
410366,,9.5,,
410370,,49.0,,
410373,,62.0,,
410376,,1.8,,
410382,,57.8,,
410385,,0.0,,
410388,,42.0,,
410400,,27.8,,
410409,,11.6,,
410412,,36.3,,
410423,,63.6,,
410424,,39.3,,
410427,,,75.6,
410430,,29.9,,
410436,,88.0,,
410451,,51.8,,
410454,,100.0,,
410461,,0.0,,
410462,,23.5,,
410469,,17.0,,
410472,,0.0,,
410478,,7.7,,
410481,,76.9,,
410486,,83.5,,
410491,,63.5,,
410496,,12.7,,
410499,,21.3,,
410502,,50.0,,
410505,,52.7,,
410511,,39.3,,
410514,,36.8,,
410522,,70.7,,
410523,,48.5,,
410530,,39.4,,
410532,,39.6,,
410535,,56.3,,
410538,,47.0,,
410541,,69.1,,
410542,,66.2,,
410559,,79.1,,
410568,,33.3,,
410571,,36.4,,
410574,,98.2,,
410577,,13.5,,
410578,,15.0,,
410580,,45.9,,
410583,,47.6,,
410586,,14.9,,
410598,,7.5,,
420304,,87.5,,
420316,,22.9,,
420328,,33.3,,
420336,,0.0,,
420340,,45.7,,
420348,,0.0,,
421304,,11.6,,
421328,,38.0,,
422314,,31.8,,
430304,,76.4,,
430312,,60.3,,
430316,,44.4,,
430320,,88.9,,
430328,,21.6,,
430340,,31.4,,
430344,,49.2,,
430348,,24.4,,
430349,,11.1,,
430352,,8.2,,
430358,,39.5,,
430368,,64.4,,
430369,,7.5,,
440314,,51.1,,
440328,,56.2,,
440332,,91.9,,
440348,,43.9,,
440349,,70.8,,
440350,,71.6,,
440364,,42.9,,
440368,,65.3,,
450302,,14.8,,
450306,,58.4,,
450307,,52.6,,
450308,,80.3,,
450322,,64.9,,
450324,,74.5,,
450332,,89.6,,
450333,,78.2,,
450336,,89.5,,
450339,,88.2,,
450340,,66.0,,
450344,,86.8,,
