agency_code,count_all_chron_absent,count_am7_chron_absent,count_as7_chron_absent,count_bl7_chron_absent,count_els_chron_absent,count_fem_chron_absent,count_hi7_chron_absent,count_male_chron_absent,count_mu7_chron_absent,count_pi7_chron_absent,count_swd_chron_absent,count_wh7_chron_absent,pct_all_chron_absent,pct_am7_chron_absent,pct_as7_chron_absent,pct_bl7_chron_absent,pct_els_chron_absent,pct_fem_chron_absent,pct_hi7_chron_absent,pct_male_chron_absent,pct_mu7_chron_absent,pct_pi7_chron_absent,pct_swd_chron_absent,pct_wh7_chron_absent
600346,56.0,,1.0,10.0,5.0,29.0,8.0,27.0,3.0,2.0,5.0,32.0,0.0857,,0.0015,0.0153,0.0076,0.0444,0.0122,0.0413,0.0045,0.003,0.0076,0.049
600349,62.0,,1.0,41.0,4.0,28.0,11.0,34.0,,,6.0,9.0,0.1252,,0.002,0.0828,0.008,0.0565,0.0222,0.0686,,,0.0121,0.0181
600351,157.0,,,115.0,10.0,75.0,24.0,82.0,6.0,,28.0,12.0,0.2205,,,0.1615,0.014,0.1053,0.0337,0.1151,0.0084,,0.0393,0.0168
600352,61.0,,1.0,19.0,20.0,25.0,28.0,36.0,4.0,,2.0,9.0,0.1057,,0.0017,0.0329,0.0346,0.0433,0.0485,0.0623,0.0069,,0.0034,0.0155
600353,80.0,,4.0,19.0,3.0,28.0,17.0,52.0,2.0,,11.0,38.0,0.0888,,0.0044,0.0211,0.0033,0.0311,0.0188,0.0577,0.0022,,0.0122,0.0422
600357,33.0,,,3.0,5.0,17.0,9.0,16.0,1.0,,5.0,20.0,0.047,,,0.0042,0.0071,0.0242,0.0128,0.0228,0.0014,,0.0071,0.0285
600361,328.0,4.0,13.0,103.0,50.0,151.0,98.0,177.0,16.0,,39.0,94.0,0.1611,0.0019,0.0063,0.0506,0.0245,0.0742,0.0481,0.0869,0.0078,,0.0191,0.0461
600362,132.0,,7.0,77.0,17.0,67.0,32.0,65.0,4.0,,14.0,12.0,0.1941,,0.0102,0.1132,0.025,0.0985,0.047,0.0955,0.0058,,0.0205,0.0176
600364,25.0,,1.0,9.0,3.0,8.0,14.0,17.0,,,6.0,1.0,0.1322,,0.0052,0.0476,0.0158,0.0423,0.07400000000000001,0.0899,,,0.0317,0.0052
600365,119.0,,2.0,48.0,43.0,56.0,60.0,63.0,3.0,,7.0,6.0,0.1894,,0.0031,0.0764,0.0684,0.0891,0.0955,0.1003,0.0047,,0.0111,0.0095
600366,113.0,,1.0,78.0,13.0,55.0,32.0,58.0,,,10.0,2.0,0.2028,,0.0017,0.14,0.0233,0.0987,0.0574,0.1041,,,0.0179,0.0035
600367,27.0,,,13.0,2.0,10.0,4.0,17.0,,,6.0,10.0,0.0739,,,0.0356,0.0054,0.0273,0.0109,0.0465,,,0.0164,0.0273
600368,144.0,,,112.0,15.0,79.0,22.0,65.0,6.0,,15.0,4.0,0.2239,,,0.1741,0.0233,0.1228,0.0342,0.101,0.0093,,0.0233,0.0062
600369,100.0,1.0,8.0,49.0,17.0,47.0,23.0,53.0,4.0,,17.0,15.0,0.1172,0.0011,0.0093,0.0574,0.0199,0.055,0.0269,0.0621,0.0046,,0.0199,0.0175
600374,138.0,,,129.0,4.0,65.0,6.0,73.0,2.0,,21.0,1.0,0.3285,,,0.3071,0.0095,0.1547,0.0142,0.1738,0.0047,,0.05,0.0023
600377,383.0,1.0,19.0,183.0,51.0,175.0,126.0,208.0,18.0,,51.0,36.0,0.1883,0.0004,0.0093,0.09,0.025,0.086,0.0619,0.1023,0.0088,,0.025,0.0177
600379,33.0,,1.0,19.0,,13.0,2.0,20.0,,,7.0,11.0,0.0746,,0.0022,0.0429,,0.0294,0.0045,0.0452,,,0.0158,0.0248
600381,199.0,1.0,11.0,81.0,71.0,88.0,97.0,111.0,2.0,,32.0,7.0,0.2251,0.0011,0.0124,0.0916,0.0803,0.0995,0.1097,0.1255,0.0022,,0.0361,0.0079
600382,69.0,,21.0,7.0,20.0,29.0,7.0,40.0,4.0,,4.0,30.0,0.064,,0.0194,0.0064,0.0185,0.0269,0.0064,0.0371,0.0037,,0.0037,0.0278
600383,41.0,,7.0,3.0,11.0,28.0,12.0,13.0,,,,19.0,0.0377,,0.0064,0.0027,0.0101,0.0257,0.011,0.0119,,,,0.0174
600384,37.0,,2.0,16.0,6.0,15.0,13.0,22.0,,,3.0,6.0,0.07400000000000001,,0.004,0.032,0.012,0.03,0.026,0.044,,,0.006,0.012
600385,50.0,,15.0,6.0,16.0,26.0,9.0,24.0,2.0,,5.0,18.0,0.0699,,0.0209,0.0083,0.0223,0.0363,0.0125,0.0335,0.0027,,0.0069,0.0251
600386,13.0,,,9.0,1.0,10.0,3.0,3.0,,,,1.0,0.0522,,,0.0361,0.004,0.0401,0.012,0.012,,,,0.004
600392,36.0,,15.0,2.0,5.0,14.0,4.0,22.0,1.0,,2.0,14.0,0.0368,,0.0153,0.002,0.0051,0.0143,0.004,0.0225,0.001,,0.002,0.0143
600394,143.0,,2.0,50.0,4.0,65.0,26.0,78.0,7.0,,31.0,58.0,0.133,,0.0018,0.0465,0.0037,0.0604,0.0241,0.0725,0.0065,,0.0288,0.0539
600397,720.0,,27.0,323.0,201.0,331.0,324.0,389.0,18.0,1.0,89.0,27.0,0.439,,0.0164,0.1969,0.1225,0.2018,0.1975,0.2371,0.0109,0.0006,0.0542,0.0164
600398,99.0,2.0,,57.0,22.0,47.0,28.0,52.0,3.0,,12.0,9.0,0.1809,0.0036,,0.1042,0.0402,0.0859,0.0511,0.095,0.0054,,0.0219,0.0164
600399,198.0,1.0,4.0,86.0,16.0,83.0,35.0,115.0,3.0,,33.0,69.0,0.1392,0.0007,0.0028,0.0604,0.0112,0.0583,0.0246,0.0808,0.0021,,0.0232,0.0485
600405,622.0,2.0,10.0,374.0,123.0,289.0,214.0,333.0,11.0,,94.0,11.0,0.406,0.0013,0.0065,0.2441,0.0802,0.1886,0.1396,0.2173,0.0071,,0.0613,0.0071
600406,45.0,,13.0,1.0,10.0,26.0,4.0,19.0,1.0,,6.0,26.0,0.0507,,0.0146,0.0011,0.0112,0.0293,0.0045,0.0214,0.0011,,0.0067,0.0293
600408,81.0,,2.0,37.0,26.0,29.0,30.0,52.0,4.0,,9.0,8.0,0.1155,,0.0028,0.0527,0.037000000000000005,0.0413,0.0427,0.0741,0.0057,,0.0128,0.0114
600409,35.0,,3.0,20.0,3.0,12.0,5.0,23.0,1.0,,3.0,6.0,0.1,,0.0085,0.0571,0.0085,0.0342,0.0142,0.0657,0.0028,,0.0085,0.0171
600410,68.0,,1.0,33.0,17.0,28.0,29.0,40.0,,,7.0,5.0,0.1209,,0.0017,0.0587,0.0302,0.0498,0.0516,0.0711,,,0.0124,0.0088
600411,47.0,,2.0,25.0,3.0,18.0,5.0,29.0,3.0,1.0,20.0,11.0,0.0776,,0.0033,0.0413,0.0049,0.0297,0.0082,0.0479,0.0049,0.0016,0.033,0.0181
600412,145.0,,,83.0,41.0,73.0,59.0,72.0,2.0,,11.0,1.0,0.1621,,,0.0928,0.0458,0.0816,0.0659,0.0805,0.0022,,0.0123,0.0011
600413,10.0,,,2.0,1.0,3.0,1.0,7.0,,,,7.0,0.0416,,,0.0083,0.0041,0.0125,0.0041,0.0291,,,,0.0291
600414,61.0,,,40.0,9.0,27.0,16.0,34.0,1.0,1.0,13.0,3.0,0.1528,,,0.1002,0.0225,0.0676,0.0401,0.0852,0.0025,0.0025,0.0325,0.0075
600415,334.0,1.0,6.0,165.0,28.0,184.0,89.0,150.0,11.0,,37.0,62.0,0.1981,0.0005,0.0035,0.0978,0.0166,0.1091,0.0527,0.0889,0.0065,,0.0219,0.0367
600416,113.0,2.0,1.0,85.0,8.0,51.0,19.0,62.0,1.0,,15.0,5.0,0.1796,0.0031,0.0015,0.1351,0.0127,0.081,0.0302,0.0985,0.0015,,0.0238,0.0079
600418,72.0,,1.0,41.0,6.0,31.0,7.0,41.0,5.0,,19.0,18.0,0.1398,,0.0019,0.0796,0.0116,0.0601,0.0135,0.0796,0.0097,,0.0368,0.0349
600420,61.0,1.0,3.0,15.0,9.0,34.0,20.0,27.0,4.0,,15.0,18.0,0.076,0.0012,0.0037,0.0187,0.0112,0.0423,0.0249,0.0336,0.0049,,0.0187,0.0224
600422,116.0,,,20.0,65.0,49.0,89.0,67.0,,,9.0,7.0,0.1466,,,0.0252,0.0821,0.0619,0.1125,0.0847,,,0.0113,0.0088
600424,89.0,,1.0,49.0,13.0,53.0,26.0,36.0,5.0,,7.0,8.0,0.0908,,0.001,0.05,0.0132,0.054000000000000006,0.0265,0.0367,0.0051,,0.0071,0.0081
600426,521.0,6.0,34.0,158.0,112.0,230.0,214.0,291.0,16.0,1.0,57.0,92.0,0.2432,0.0028,0.0158,0.0737,0.0522,0.1073,0.0999,0.1358,0.0074,0.0004,0.0266,0.0429
600428,235.0,,2.0,147.0,23.0,92.0,60.0,143.0,10.0,,38.0,16.0,0.2742,,0.0023,0.1715,0.0268,0.1073,0.07,0.1668,0.0116,,0.0443,0.0186
600429,100.0,,1.0,72.0,7.0,50.0,21.0,50.0,2.0,,20.0,4.0,0.1239,,0.0012,0.0892,0.0086,0.0619,0.026,0.0619,0.0024,,0.0247,0.0049
600431,83.0,,7.0,12.0,1.0,42.0,8.0,41.0,3.0,,15.0,53.0,0.0669,,0.0056,0.0096,0.0008,0.0338,0.0064,0.033,0.0024,,0.0121,0.0427
600432,110.0,,4.0,51.0,19.0,56.0,35.0,54.0,6.0,1.0,14.0,13.0,0.138,,0.005,0.0639,0.0238,0.0702,0.0439,0.0677,0.0075,0.0012,0.0175,0.0163
600433,87.0,,5.0,9.0,6.0,41.0,12.0,46.0,2.0,,11.0,59.0,0.0778,,0.0044,0.008,0.0053,0.0367,0.0107,0.0411,0.0017,,0.0098,0.0528
600434,168.0,,6.0,55.0,24.0,77.0,82.0,91.0,2.0,1.0,28.0,22.0,0.1595,,0.0056,0.0522,0.0227,0.0731,0.0778,0.0864,0.0018,0.0009,0.0265,0.0208
600435,3.0,,,3.0,,2.0,,1.0,,,,,0.0194,,,0.0194,,0.0129,,0.0064,,,,
600436,84.0,,3.0,46.0,12.0,39.0,26.0,45.0,5.0,,16.0,4.0,0.1327,,0.0047,0.0726,0.0189,0.0616,0.041,0.071,0.0078,,0.0252,0.0063
600437,58.0,,15.0,7.0,14.0,35.0,10.0,23.0,3.0,,3.0,23.0,0.065,,0.0168,0.0078,0.0157,0.0392,0.0112,0.0258,0.0033,,0.0033,0.0258
600438,71.0,,3.0,37.0,9.0,31.0,14.0,40.0,2.0,,24.0,15.0,0.123,,0.0051,0.0641,0.0155,0.0537,0.0242,0.0693,0.0034,,0.0415,0.0259
600439,346.0,3.0,2.0,273.0,10.0,93.0,33.0,253.0,14.0,,67.0,21.0,1.5871,0.0137,0.0091,1.2522,0.0458,0.4266,0.1513,1.1605,0.0642,,0.3073,0.0963
600440,126.0,1.0,5.0,46.0,16.0,42.0,34.0,84.0,7.0,2.0,24.0,31.0,0.1752,0.0013,0.0069,0.0639,0.0222,0.0584,0.0472,0.1168,0.0097,0.0027,0.0333,0.0431
600442,125.0,,3.0,47.0,23.0,60.0,45.0,65.0,4.0,,22.0,26.0,0.1233,,0.0029,0.0463,0.0227,0.0592,0.0444,0.0641,0.0039,,0.0217,0.0256
600444,50.0,,,35.0,5.0,32.0,8.0,18.0,2.0,1.0,8.0,4.0,0.098,,,0.0686,0.0098,0.0627,0.0156,0.0352,0.0039,0.0019,0.0156,0.0078
600445,424.0,,12.0,280.0,16.0,208.0,72.0,216.0,15.0,,50.0,45.0,0.1772,,0.005,0.117,0.0066,0.0869,0.0301,0.0903,0.0062,,0.0209,0.0188
600446,69.0,,7.0,39.0,12.0,33.0,17.0,36.0,,,7.0,6.0,0.1138,,0.0115,0.0643,0.0198,0.0544,0.028,0.0594,,,0.0115,0.0099
600447,71.0,,5.0,19.0,9.0,31.0,17.0,40.0,3.0,,4.0,27.0,0.0687,,0.0048,0.0184,0.0087,0.03,0.0164,0.0387,0.0029,,0.0038,0.0261
600448,255.0,,,118.0,60.0,113.0,122.0,142.0,6.0,,28.0,9.0,0.2736,,,0.1266,0.0643,0.1212,0.1309,0.1523,0.0064,,0.03,0.0096
600449,29.0,,1.0,8.0,5.0,11.0,7.0,18.0,,,9.0,13.0,0.0556,,0.0019,0.0153,0.0095,0.0211,0.0134,0.0345,,,0.0172,0.0249
600450,186.0,,5.0,86.0,28.0,91.0,55.0,95.0,11.0,1.0,27.0,28.0,0.1607,,0.0043,0.0743,0.0242,0.0786,0.0475,0.0821,0.0095,0.0008,0.0233,0.0242
600451,25.0,,5.0,6.0,3.0,10.0,1.0,15.0,2.0,,11.0,11.0,0.0447,,0.0089,0.0107,0.0053,0.0178,0.0017,0.0268,0.0035,,0.0196,0.0196
600453,90.0,,,23.0,49.0,44.0,63.0,46.0,1.0,,7.0,3.0,0.1707,,,0.0436,0.0929,0.0834,0.1195,0.0872,0.0018,,0.0132,0.0056
600454,94.0,,7.0,43.0,23.0,52.0,29.0,42.0,4.0,,93.0,11.0,0.414,,0.0308,0.1894,0.1013,0.229,0.1277,0.185,0.0176,,0.4096,0.0484
600455,154.0,,2.0,45.0,14.0,71.0,35.0,83.0,4.0,1.0,28.0,67.0,0.1257,,0.0016,0.0367,0.0114,0.0579,0.0285,0.0677,0.0032,0.0008,0.0228,0.0546
600457,388.0,1.0,9.0,193.0,43.0,194.0,132.0,194.0,11.0,,43.0,42.0,0.2763,0.0007,0.0064,0.1374,0.0306,0.1381,0.094,0.1381,0.0078,,0.0306,0.0299
600459,72.0,,2.0,7.0,49.0,39.0,58.0,33.0,2.0,,6.0,3.0,0.1632,,0.0045,0.0158,0.1111,0.0884,0.1315,0.0748,0.0045,,0.0136,0.0068
600461,62.0,,,50.0,,17.0,1.0,45.0,4.0,,58.0,7.0,0.8051,,,0.6493,,0.2207,0.0129,0.5844,0.0519,,0.7532,0.0909
600462,93.0,1.0,1.0,57.0,6.0,38.0,15.0,55.0,2.0,1.0,10.0,16.0,0.1181,0.0012,0.0012,0.0724,0.0076,0.0482,0.019,0.0698,0.0025,0.0012,0.0127,0.0203
600463,78.0,,2.0,58.0,3.0,37.0,7.0,41.0,3.0,,10.0,8.0,0.1431,,0.0036,0.1064,0.0055,0.0678,0.0128,0.0752,0.0055,,0.0183,0.0146
600464,34.0,1.0,6.0,17.0,6.0,15.0,4.0,19.0,1.0,,3.0,5.0,0.0522,0.0015,0.0092,0.0261,0.0092,0.023,0.0061,0.0291,0.0015,,0.0046,0.0076
600466,549.0,1.0,9.0,225.0,66.0,274.0,133.0,275.0,13.0,,63.0,168.0,0.1653,0.0003,0.0027,0.0677,0.0198,0.0825,0.04,0.0828,0.0039,,0.0189,0.0506
600468,163.0,1.0,24.0,102.0,25.0,78.0,29.0,85.0,5.0,,19.0,2.0,0.1507,0.0009,0.0222,0.0943,0.0231,0.0721,0.0268,0.0786,0.0046,,0.0175,0.0018
600471,154.0,,2.0,64.0,50.0,70.0,81.0,84.0,2.0,,15.0,5.0,0.1905,,0.0024,0.0792,0.0618,0.0866,0.1002,0.1039,0.0024,,0.0185,0.0061
600474,131.0,,1.0,74.0,26.0,53.0,47.0,78.0,5.0,,9.0,4.0,0.1641,,0.0012,0.0927,0.0325,0.0664,0.0588,0.0977,0.0062,,0.0112,0.005
600475,28.0,,1.0,15.0,3.0,13.0,4.0,15.0,6.0,,4.0,2.0,0.0671,,0.0023,0.0359,0.0071,0.0311,0.0095,0.0359,0.0143,,0.0095,0.0047
600478,130.0,,2.0,71.0,29.0,57.0,48.0,73.0,1.0,,18.0,8.0,0.1775,,0.0027,0.0969,0.0396,0.0778,0.0655,0.0997,0.0013,,0.0245,0.0109
600479,146.0,3.0,1.0,58.0,17.0,72.0,43.0,74.0,11.0,,32.0,30.0,0.2393,0.0049,0.0016,0.095,0.0278,0.118,0.0704,0.1213,0.018000000000000002,,0.0524,0.0491
600480,402.0,2.0,4.0,219.0,47.0,211.0,128.0,191.0,16.0,,35.0,33.0,0.1872,0.0009,0.0018,0.102,0.0218,0.0982,0.0596,0.0889,0.0074,,0.0163,0.0153
600481,164.0,,3.0,100.0,21.0,63.0,48.0,101.0,5.0,1.0,28.0,7.0,0.1808,,0.0033,0.1102,0.0231,0.0694,0.0529,0.1113,0.0055,0.0011,0.0308,0.0077
600482,65.0,,2.0,26.0,,46.0,6.0,19.0,5.0,1.0,8.0,25.0,0.0594,,0.0018,0.0237,,0.042,0.0054,0.0173,0.0045,0.0009,0.0073,0.0228
600484,90.0,,7.0,27.0,27.0,38.0,33.0,52.0,7.0,1.0,20.0,15.0,0.1395,,0.0108,0.0418,0.0418,0.0589,0.0511,0.0806,0.0108,0.0015,0.031,0.0232
600485,117.0,,2.0,86.0,10.0,54.0,27.0,63.0,,,23.0,2.0,0.1943,,0.0033,0.1428,0.0166,0.0897,0.0448,0.1046,,,0.0382,0.0033
600488,16.0,,,2.0,5.0,7.0,12.0,9.0,1.0,1.0,2.0,,0.0276,,,0.0034,0.0086,0.0121,0.0207,0.0155,0.0017,0.0017,0.0034,
600489,135.0,1.0,2.0,111.0,5.0,55.0,12.0,80.0,4.0,1.0,13.0,4.0,0.3609,0.0026,0.0053,0.2967,0.0133,0.147,0.032,0.2139,0.0106,0.0026,0.0347,0.0106
600490,592.0,4.0,30.0,229.0,83.0,254.0,216.0,338.0,22.0,,80.0,91.0,0.2319,0.0015,0.0117,0.0897,0.0325,0.0995,0.0846,0.1324,0.0086,,0.0313,0.0356
600491,36.0,,1.0,8.0,1.0,12.0,4.0,24.0,1.0,,5.0,22.0,0.0487,,0.0013,0.0108,0.0013,0.0162,0.0054,0.0324,0.0013,,0.0067,0.0297
600492,20.0,,3.0,2.0,2.0,5.0,7.0,15.0,1.0,,2.0,7.0,0.0453,,0.0068,0.0045,0.0045,0.0113,0.0158,0.034,0.0022,,0.0045,0.0158
600493,43.0,,2.0,20.0,3.0,27.0,10.0,16.0,1.0,,3.0,10.0,0.0559,,0.0026,0.026,0.0039,0.0351,0.013,0.0208,0.0013,,0.0039,0.013
600494,83.0,,2.0,47.0,18.0,42.0,23.0,41.0,1.0,,15.0,10.0,0.1278,,0.003,0.0724,0.0277,0.0647,0.0354,0.0631,0.0015,,0.0231,0.0154
600496,143.0,,4.0,97.0,2.0,73.0,31.0,70.0,5.0,,13.0,6.0,0.0851,,0.0023,0.0577,0.0011,0.0434,0.0184,0.0416,0.0029,,0.0077,0.0035
600497,58.0,,4.0,33.0,,34.0,10.0,24.0,,,,11.0,0.0538,,0.0037,0.0306,,0.0315,0.0092,0.0222,,,,0.0102
600498,65.0,,2.0,49.0,4.0,45.0,10.0,20.0,1.0,,13.0,3.0,0.4545,,0.0139,0.3426,0.0279,0.3146,0.0699,0.1398,0.0069,,0.0909,0.0209
600499,59.0,,2.0,16.0,4.0,29.0,14.0,30.0,3.0,,2.0,24.0,0.2041,,0.0069,0.0553,0.0138,0.1003,0.0484,0.1038,0.0103,,0.0069,0.083
600500,80.0,,3.0,33.0,11.0,32.0,24.0,48.0,3.0,,10.0,17.0,0.1041,,0.0039,0.0429,0.0143,0.0416,0.0312,0.0625,0.0039,,0.013,0.0221
600501,101.0,,1.0,38.0,34.0,43.0,50.0,58.0,,,23.0,12.0,0.2249,,0.0022,0.0846,0.0757,0.0957,0.1113,0.1291,,,0.0512,0.0267
600503,82.0,,5.0,35.0,24.0,34.0,29.0,48.0,4.0,1.0,17.0,8.0,0.1043,,0.0063,0.0445,0.0305,0.0432,0.0368,0.061,0.005,0.0012,0.0216,0.0101
600507,26.0,,6.0,,2.0,13.0,1.0,13.0,1.0,,1.0,18.0,0.0263,,0.006,,0.002,0.0131,0.001,0.0131,0.001,,0.001,0.0182
600508,75.0,,6.0,9.0,3.0,36.0,14.0,39.0,1.0,,11.0,45.0,0.0389,,0.0031,0.0046,0.0015,0.0186,0.0072,0.0202,0.0005,,0.0057,0.0233
600509,224.0,,,98.0,36.0,101.0,85.0,123.0,9.0,,29.0,32.0,0.1934,,,0.0846,0.031,0.0872,0.0734,0.1062,0.0077,,0.025,0.0276
600512,118.0,1.0,4.0,67.0,24.0,54.0,34.0,64.0,2.0,,26.0,10.0,0.2193,0.0018,0.0074,0.1245,0.0446,0.1003,0.0631,0.1189,0.0037,,0.0483,0.0185
600513,65.0,,,26.0,1.0,33.0,18.0,32.0,1.0,,3.0,20.0,0.0556,,,0.0222,0.0008,0.0282,0.0153,0.0273,0.0008,,0.0025,0.0171
600514,419.0,,5.0,309.0,25.0,177.0,83.0,242.0,6.0,,76.0,16.0,0.3744,,0.0044,0.2761,0.0223,0.1581,0.0741,0.2162,0.0053,,0.0679,0.0142
600515,148.0,,4.0,123.0,8.0,57.0,12.0,91.0,5.0,,14.0,4.0,0.2642,,0.0071,0.2196,0.0142,0.1017,0.0214,0.1625,0.0089,,0.025,0.0071
600516,85.0,1.0,3.0,34.0,18.0,40.0,36.0,45.0,2.0,,13.0,9.0,0.107,0.0012,0.0037,0.0428,0.0226,0.0503,0.0453,0.0566,0.0025,,0.0163,0.0113
