agency_code,target_list_ltg_detail,subgroup_list_ltg_detail
292316,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
292318,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
292320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
292324,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
295300,,
298202,"Math Grades 3-8,Reading Grades 3-8","ALL,SWD"
298203,,
298204,,
29A000,,
300306,,
300308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
300310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
300312,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
300314,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10",ALL
300320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
300325,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
300326,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
300328,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
300330,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
300336,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
300337,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
310304,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310330,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
310336,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310338,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS"
310344,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,ELS,HI7,WH7"
310352,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7"
310356,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310360,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310364,"4 Year Graduation Rate,EL Progress,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
310384,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310388,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
310392,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
320304,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320306,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320309,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS"
320310,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320312,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320313,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320314,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320315,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320316,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320317,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7"
320318,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320319,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320322,"4 Year Graduation Rate,Reading Grade 10","ALL,BL7,EDS"
320323,"4 Year Graduation Rate,EL Progress,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320325,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD"
320327,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320332,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320338,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320339,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
320341,"4 Year Graduation Rate,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
320342,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320343,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320346,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320347,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
320348,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
320352,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320353,"4 Year Graduation Rate,Math Grade 11","ALL,WH7"
320354,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
320355,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320356,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320360,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320362,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320363,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320364,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
320365,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320366,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
320367,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320368,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD"
320369,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320370,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320372,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
320374,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
320376,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
320388,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320400,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
320701,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS"
32A000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
32B000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7"
32C000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
32D000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
32H000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
32K000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
32L000,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
32M000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
32N000,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
32P000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7"
32Q000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
32R000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,WH7"
32S000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
330304,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
330308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
330312,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
330326,"Math Grade 11,Reading Grade 10",ALL
330328,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS"
330332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
330334,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
330340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
330344,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
330348,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
330350,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
330354,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
330358,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
330360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
33A000,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
340308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340311,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
340314,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340326,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
340330,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD"
340334,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
340336,"Math Grade 11,Reading Grade 10","ALL,SWD"
340348,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
340350,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340351,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
340354,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
340362,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
340364,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340366,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340368,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340372,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340376,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340380,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340382,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340384,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340385,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
340390,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340392,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,SWD,WH7"
340398,,
340400,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340403,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
340406,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340416,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340420,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340424,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
340426,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340427,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
340428,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340430,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340432,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
340436,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
340440,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,SWD,WH7"
340442,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340446,4 Year Graduation Rate,"ALL,BL7,WH7"
340447,,
340448,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340452,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340453,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
340454,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
340457,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340460,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,WH7"
340462,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340464,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340472,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
340476,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340480,"Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340486,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340488,"4 Year Graduation Rate,EL Progress,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,EDS,ELS,HI7"
340490,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
340492,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340494,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
340495,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
340496,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340504,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340508,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340512,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
340514,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340516,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340520,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340528,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
340530,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
340532,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340536,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
340540,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
340542,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
340544,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340548,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
340556,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
340560,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
340564,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
340568,"4 Year Graduation Rate,EL Progress,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD"
34B000,"4 Year Graduation Rate,EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD"
34D000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7"
34F000,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
34G000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
34H000,"Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,SWD,WH7"
34Z000,,
350304,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
350308,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
350310,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
350312,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
350316,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
350317,Reading Grade 10,ALL
350318,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
350321,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
350324,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
350330,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
350331,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
350332,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
350336,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
350338,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
350339,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
350340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
35A000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
35B000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
360310,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
360320,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
360324,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,MU7,SWD,WH7"
360332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360336,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
360337,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
360338,,
360339,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
360344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360348,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
360352,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360360,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
360364,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
360372,"4 Year Graduation Rate,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
360376,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360378,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
360380,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,MU7,SWD,WH7"
360390,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
360392,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360394,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD"
360396,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
360400,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360408,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
360418,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
360420,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
360426,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
360428,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
360430,,
360431,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
360432,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360436,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360438,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360440,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
360448,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
360456,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
360464,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360468,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
360470,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
360478,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
360480,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360482,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
360488,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
360490,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360492,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360494,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
360498,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
360499,,
360500,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
360504,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360510,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
360514,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360520,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360526,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
360550,,
36B000,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
