agency_code,target_list_ltg_detail,subgroup_list_ltg_detail
040316,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
040324,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
040328,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
040330,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
050302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
050303,,
050305,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
050310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
050330,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
050335,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
060302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
060304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
060310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
060316,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
060318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
060322,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
060328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
060332,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
060334,4 Year Graduation Rate,"ALL,WH7"
060700,"4 Year Graduation Rate,Math Grade 11","ALL,WH7"
060701,,
06A000,,
06B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
070302,EL Progress,ALL
070308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
070310,4 Year Graduation Rate,"ALL,BL7,EDS"
070311,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10",ALL
