agency_code,pct_met_act workkeys_part,pct_met_biology_part,pct_met_english ii_part,pct_met_high school math_part,pct_met_math grades 3-8_part,pct_met_reading grades 3-8_part,pct_met_science grades 5&8_part,pct_met_the act_part,pct_met_total targets_part,target_assign_act workkeys_part,target_assign_biology_part,target_assign_english ii_part,target_assign_high school math_part,target_assign_math grades 3-8_part,target_assign_reading grades 3-8_part,target_assign_science grades 5&8_part,target_assign_the act_part,target_assign_total targets_part,target_met_act workkeys_part,target_met_biology_part,target_met_english ii_part,target_met_high school math_part,target_met_math grades 3-8_part,target_met_reading grades 3-8_part,target_met_science grades 5&8_part,target_met_the act_part,target_met_total targets_part
020320,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,1.0,,7.0,,,,,3.0,3.0,1.0,,7.0
020324,,,,,100.0,100.0,,,100.0,,,,,3.0,3.0,,,6.0,,,,,3.0,3.0,,,6.0
020328,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,1.0,,7.0,,,,,3.0,3.0,1.0,,7.0
020330,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
020332,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
030304,100.0,100.0,100.0,100.0,,,,100.0,100.0,3.0,3.0,3.0,3.0,,,,3.0,15.0,3.0,3.0,3.0,3.0,,,,3.0,15.0
030308,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,3.0,,11.0,,,,,4.0,4.0,3.0,,11.0
030316,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
030320,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
040304,,100.0,100.0,100.0,,,,100.0,100.0,,2.0,2.0,2.0,,,,2.0,8.0,,2.0,2.0,2.0,,,,2.0,8.0
040306,100.0,100.0,100.0,100.0,,,,100.0,100.0,4.0,4.0,4.0,4.0,,,,4.0,20.0,4.0,4.0,4.0,4.0,,,,4.0,20.0
040308,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,1.0,,9.0,,,,,4.0,4.0,1.0,,9.0
040309,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
040311,,,,,100.0,100.0,,,100.0,,,,,3.0,3.0,,,6.0,,,,,3.0,3.0,,,6.0
040316,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,1.0,,9.0,,,,,4.0,4.0,1.0,,9.0
040324,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,1.0,,7.0,,,,,3.0,3.0,1.0,,7.0
040328,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,3.0,,11.0,,,,,4.0,4.0,3.0,,11.0
040330,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,3.0,,9.0,,,,,3.0,3.0,3.0,,9.0
