agency_code,stu_enroll,cte_enroll,pct
270318,609,521,85.55
280304,330,170,51.52
280306,32,9,28.13
280316,513,320,62.38
280320,455,237,52.09
280328,684,285,41.67
280330,833,404,48.5
290308,891,714,80.13
290309,780,361,46.28
290314,131,70,53.44
290315,151,19,12.58
290322,673,375,55.72
290324,842,697,82.78
290334,719,389,54.1
290336,996,804,80.72
290348,1104,935,84.69
290349,732,618,84.43
290350,711,444,62.45
290351,694,300,43.23
290365,373,322,86.33
290367,280,183,65.36
290376,628,311,49.52
290388,738,635,86.04
290389,190,159,83.68
291332,761,362,47.57
291336,804,685,85.2
292320,551,481,87.3
292324,670,535,79.85
300306,24,3,12.5
300312,1746,1217,69.7
300314,174,9,5.17
300325,482,459,95.23
300330,531,450,84.75
300337,466,431,92.49
310304,286,164,57.34
310308,306,294,96.08
310330,178,171,96.07
310336,251,246,98.01
310338,204,90,44.12
310344,904,733,81.08
310352,632,507,80.22
310356,168,138,82.14
310360,106,106,100.0
310364,500,373,74.6
310384,401,370,92.27
310388,411,347,84.43
310392,585,495,84.62
320306,523,356,68.07
320312,1846,1129,61.16
320314,594,241,40.57
320316,924,711,76.95
320317,340,304,89.41
320322,175,79,45.14
320323,1736,130,7.49
320325,1356,885,65.27
320338,449,340,75.72
320340,129,113,87.6
320341,155,125,80.65
320342,289,140,48.44
320343,508,374,73.62
320346,650,491,75.54
320353,185,70,37.84
320355,812,763,93.97
320356,1442,839,58.18
320365,1777,1055,59.37
320366,1013,633,62.49
320368,1186,777,65.51
320370,629,493,78.38
320701,333,269,80.78
32L000,720,257,35.69
330326,182,33,18.13
330328,232,189,81.47
330332,135,90,66.67
330340,366,230,62.84
330344,304,107,35.2
330348,334,299,89.52
330350,839,687,81.88
330358,565,468,82.83
330360,167,62,37.13
33A000,535,225,42.06
340311,1014,966,95.27
340330,563,335,59.5
340336,189,141,74.6
340350,1180,867,73.47
340354,134,133,99.25
340362,268,28,10.45
340364,1710,1035,60.53
340366,762,592,77.69
340372,840,508,60.48
340382,1429,778,54.44
340385,170,47,27.65
340392,777,550,70.79
340406,1247,956,76.66
340420,730,592,81.1
340427,50,16,32.0
340436,135,122,90.37
340442,1179,961,81.51
340446,83,9,10.84
340452,390,343,87.95
340454,1490,786,52.75
340460,973,639,65.67
340464,927,643,69.36
340480,819,625,76.31
340486,1402,731,52.14
340488,349,341,97.71
340492,510,361,70.78
340495,2017,1005,49.83
340496,1735,711,40.98
340516,1164,915,78.61
340542,699,516,73.82
340544,702,485,69.09
340556,2363,1218,51.54
340564,640,514,80.31
340568,370,166,44.86
34B000,246,22,8.94
34D000,181,121,66.85
34H000,419,13,3.1
350308,855,704,82.34
350310,673,535,79.49
350312,646,529,81.89
350317,186,80,43.01
350321,1085,823,75.85
350324,233,182,78.11
350336,529,418,79.02
350338,451,380,84.26
360310,1224,814,66.5
360324,710,700,98.59
360336,622,444,71.38
360337,234,16,6.84
360360,498,403,80.92
360372,220,132,60.0
360378,1058,700,66.16
360380,814,786,96.56
360390,820,489,59.63
360396,1124,760,67.62
360408,723,652,90.18
360418,536,534,99.63
360426,803,758,94.4
360428,1045,837,80.1
360431,427,378,88.52
360436,557,492,88.33
360456,651,568,87.25
360470,1013,679,67.03
360494,987,619,62.72
360498,865,774,89.48
360500,659,417,63.28
360514,671,608,90.61
360526,391,298,76.21
360550,54,5,9.26
36B000,672,41,6.1
36C000,898,90,10.02
370308,404,391,96.78
370312,454,297,65.42
380308,367,237,64.58
380310,180,172,95.56
390309,469,354,75.48
390314,62,18,29.03
390320,564,484,85.82
390321,108,35,32.41
390322,658,520,79.03
390323,207,22,10.63
390324,471,374,79.41
390331,249,227,91.16
390334,407,319,78.38
390352,743,557,74.97
390700,220,191,86.82
39A000,532,6,1.13
400308,715,552,77.2
400312,714,556,77.87
400315,164,15,9.15
410311,299,228,76.25
410313,732,580,79.23
410316,736,576,78.26
410319,693,567,81.82
410325,604,476,78.81
410326,112,85,75.89
410355,1340,918,68.51
410358,1267,951,75.06
410367,741,563,75.98
410390,120,12,10.0
410391,611,260,42.55
410394,1670,618,37.01
410395,199,66,33.17
410397,712,524,73.6
410398,263,5,1.9
410399,139,17,12.23
410401,225,72,32.0
410402,676,628,92.9
410406,1327,821,61.87
410407,125,109,87.2
410408,141,60,42.55
410415,449,349,77.73
410421,1125,724,64.36
410437,744,591,79.44
410442,1001,695,69.43
410448,594,268,45.12
410458,88,88,100.0
410460,1046,677,64.72
410463,763,488,63.96
410483,122,97,79.51
410484,910,781,85.82
410487,738,555,75.2
410488,861,484,56.21
410489,1319,609,46.17
410490,2086,831,39.84
410493,1097,758,69.1
410508,1727,571,33.06
410529,1354,997,73.63
410533,50,22,44.0
410534,38,23,60.53
410544,1254,918,73.21
410545,181,180,99.45
410547,1259,985,78.24
410550,988,808,81.78
410556,1032,823,79.75
410562,1552,1003,64.63
410565,1245,844,67.79
410569,180,121,67.22
410579,200,151,75.5
410589,331,77,23.26
410592,448,424,94.64
410595,1173,548,46.72
41F000,665,85,12.78
41G000,635,4,0.63
41K000,424,1,0.24
420324,243,142,58.44
420346,355,257,72.39
420358,248,223,89.92
420376,327,226,69.11
421306,690,610,88.41
421316,870,660,75.86
421336,70,17,24.29
422310,142,85,59.86
422315,201,143,71.14
422318,163,152,93.25
430330,647,318,49.15
430332,398,180,45.23
430341,83,31,37.35
430345,188,117,62.23
430346,1461,1081,73.99
430347,1173,474,40.41
430351,934,356,38.12
430370,790,315,39.87
430371,1695,1379,81.36
430378,1255,993,79.12
430384,1331,1011,75.96
430386,810,334,41.23
440318,272,199,73.16
440320,589,378,64.18
440326,121,70,57.85
440346,184,19,10.33
440378,974,808,82.96
440390,940,727,77.34
440396,824,422,51.21
450301,908,520,57.27
450316,876,684,78.08
450328,793,500,63.05
450334,726,457,62.95
450335,560,456,81.43
450341,973,662,68.04
450342,862,820,95.13
450343,164,92,56.1
450352,1109,825,74.39
450354,203,88,43.35
460318,663,608,91.7
460320,591,469,79.36
460322,179,136,75.98
460340,67,65,97.01
470312,1880,1257,66.86
470320,567,322,56.79
470332,741,410,55.33
470342,119,74,62.18
470442,748,452,60.43
470443,394,36,9.14
480316,96,58,60.42
480318,196,151,77.04
490307,143,37,25.87
490308,731,523,71.55
490310,174,50,28.74
490320,215,111,51.63
490327,489,288,58.9
490335,1935,1209,62.48
490338,630,421,66.83
490344,448,430,95.98
490346,863,644,74.62
490347,442,439,99.32
490349,611,473,77.41
490350,206,68,33.01
490352,353,306,86.69
490354,883,565,63.99
490355,245,79,32.24
490362,1482,863,58.23
490366,401,281,70.07
490380,780,588,75.38
490384,675,272,40.3
491308,1006,788,78.33
491312,1859,1319,70.95
49E000,1129,206,18.25
49F000,769,18,2.34
49G000,204,17,8.33
500302,161,80,49.69
500304,190,107,56.32
500314,272,184,67.65
500323,130,49,37.69
500324,108,63,58.33
500332,136,136,100.0
500337,113,106,93.81
500340,849,521,61.37
510310,398,273,68.59
510324,1954,1421,72.72
510327,1757,1197,68.13
510329,991,692,69.83
510333,1980,1497,75.61
510342,524,441,84.16
510344,667,460,68.97
510359,736,693,94.16
510360,232,183,78.88
510364,1222,936,76.6
510368,764,544,71.2
510376,1012,836,82.61
510379,1296,952,73.46
510390,411,272,66.18
510397,642,539,83.96
510399,1285,816,63.5
510402,1241,826,66.56
510406,1384,1050,75.87
510411,681,458,67.25
510412,582,511,87.8
51A000,465,10,2.15
520320,298,257,86.24
520324,148,137,92.57
530306,94,48,51.06
530314,648,414,63.89
530335,300,43,14.33
530336,1446,1148,79.39
530341,959,860,89.68
530343,1144,893,78.06
530356,674,475,70.47
53B000,161,161,100.0
540308,351,324,92.31
540312,560,276,49.29
540315,646,538,83.28
540317,177,32,18.08
540318,95,14,14.74
540324,860,714,83.02
540330,494,255,51.62
540336,704,573,81.39
540344,651,530,81.41
550308,58,43,74.14
550320,951,722,75.92
550322,695,438,63.02
550332,794,556,70.03
550334,666,277,41.59
550344,994,739,74.35
550350,714,490,68.63
550368,838,615,73.39
550372,609,360,59.11
55A000,1219,55,4.51
560320,926,747,80.67
560324,205,91,44.39
560329,148,65,43.92
560330,605,493,81.49
560332,42,35,83.33
560350,113,69,61.06
570317,251,45,17.93
570318,535,414,77.38
570319,503,331,65.81
580344,472,358,75.85
580368,556,450,80.94
580372,447,334,74.72
58B000,412,257,62.38
590310,599,355,59.27
590326,70,26,37.14
590328,273,70,25.64
590330,1378,1127,81.79
590356,654,418,63.91
590393,186,112,60.22
600301,1159,933,80.5
600302,3306,2258,68.3
600303,50,50,100.0
600305,953,736,77.23
600311,163,32,19.63
600312,2552,1508,59.09
600313,1719,1055,61.37
600317,762,749,98.29
600319,216,112,51.85
600333,1189,847,71.24
600334,217,48,22.12
600341,858,547,63.75
600344,242,139,57.44
600345,1934,1152,59.57
600351,724,708,97.79
600353,907,636,70.12
600361,2044,1332,65.17
600364,185,153,82.7
600366,150,149,99.33
600374,157,136,86.62
600377,2005,1338,66.73
600381,911,763,83.75
600386,249,244,97.99
600394,1074,751,69.93
600397,1715,1126,65.66
600399,1443,780,54.05
600404,183,74,40.44
600405,1459,857,58.74
600415,1712,1118,65.3
600426,2241,1392,62.12
600428,860,694,80.7
600429,578,574,99.31
600431,1252,862,68.85
600434,1065,817,76.71
600439,308,145,47.08
600443,229,65,28.38
600445,2408,1510,62.71
600448,947,691,72.97
600450,1176,828,70.41
600454,163,154,94.48
600455,1229,798,64.93
600457,1494,921,61.65
600461,63,20,31.75
600462,256,196,76.56
600466,3328,1729,51.95
600479,606,585,96.53
600480,2180,1368,62.75
600481,923,816,88.41
600482,1077,377,35.0
600488,154,128,83.12
600490,2616,1859,71.06
