agency_code,avg_size_00_sar,avg_size_01_sar,avg_size_02_sar,avg_size_03_sar,avg_size_04_sar,avg_size_05_sar,avg_size_06_sar,avg_size_07_sar,avg_size_08_sar,avg_size_biology_sar,avg_size_english ii_sar,avg_size_nc math 1_sar,avg_size_nc math 3_sar
080348,,,,,8.0,23.0,,,,,,,
080356,15.0,12.0,22.0,19.0,21.0,13.0,,,,,,,
080360,13.0,13.0,15.0,13.0,20.0,17.0,,,,,,,
080362,16.0,17.0,14.0,21.0,23.0,22.0,,,,,,,
090315,,,,,,22.0,24.0,23.0,25.0,,,28.0,
090317,14.0,14.0,14.0,12.0,17.0,,,,,,,,
090318,21.0,15.0,21.0,19.0,19.0,,,,,,,,
090320,,,,,,19.0,20.0,24.0,24.0,,,21.0,
090324,15.0,15.0,20.0,19.0,21.0,,,,,,,,
090328,7.0,12.0,8.0,12.0,14.0,,,,,,,,
090330,,,,,,,,,,12.0,13.0,18.0,12.0
090332,,,,,,21.0,19.0,16.0,25.0,,,,
090333,15.0,11.0,10.0,15.0,17.0,,,,,,,,
090352,17.0,13.0,15.0,12.0,19.0,,,,,,,,
090365,,,,,,23.0,24.0,18.0,27.0,,,,
090368,,,,,,,,,,18.0,18.0,17.0,27.0
090376,,,,,,,,,,,16.0,14.0,
09A000,,,,,,,,,,14.0,23.0,10.0,16.0
100302,17.0,15.0,15.0,25.0,22.0,21.0,,,,,,,
100304,10.0,13.0,7.0,8.0,12.0,22.0,,,,,,,
100307,,,,,,,,,,14.0,21.0,22.0,17.0
100308,,,,,,,,,,,5.0,,12.0
100309,,,,,,,22.0,17.0,22.0,,,29.0,
100310,11.0,9.0,8.0,10.0,19.0,22.0,,,,,,,
100316,,,,,,,24.0,23.0,18.0,,,22.0,
100320,13.0,15.0,13.0,16.0,19.0,21.0,,,,,,,
100326,,,,,,,,,,21.0,18.0,19.0,23.0
100332,,,,,,,21.0,23.0,21.0,,,33.0,
100334,,,,,,,,,,18.0,18.0,18.0,21.0
100335,,,,,,,23.0,22.0,25.0,,,23.0,
100336,16.0,14.0,15.0,16.0,21.0,19.0,,,,,,,
100338,15.0,14.0,12.0,13.0,21.0,13.0,,,,,,,
100339,13.0,14.0,11.0,13.0,19.0,22.0,,,,,,,
100340,18.0,19.0,13.0,20.0,21.0,22.0,,,,,,,
100342,13.0,11.0,9.0,11.0,20.0,23.0,,,,,,,
100344,,,,,17.0,18.0,23.0,23.0,20.0,,,20.0,
100348,,,,,,,,,,19.0,20.0,18.0,25.0
10A000,,,,,,,,,,,,23.0,
110303,,,,,,,,,,8.0,8.0,9.0,7.0
110304,,,,,,,,,,20.0,23.0,22.0,26.0
110306,,,,,,,20.0,23.0,17.0,,,25.0,
110308,14.0,17.0,17.0,15.0,13.0,,,,,,,,
110318,,,,,18.0,26.0,,,,,,,
110320,21.0,14.0,18.0,11.0,,,,,,,,,
110322,,,,,,,,,,17.0,20.0,21.0,19.0
110323,,,,,,,,,,6.0,,,11.0
110324,16.0,12.0,11.0,11.0,14.0,,,,,,,,
110326,,,,,,,19.0,20.0,24.0,,,32.0,
110332,14.0,16.0,21.0,17.0,26.0,29.0,,,,,,,
110336,,,,,,,,,,17.0,20.0,20.0,21.0
110338,,,,,,,19.0,18.0,15.0,,,22.0,
110340,,,,,,,,,,16.0,17.0,19.0,20.0
110342,,,,,,,,20.0,21.0,,,19.0,
110348,13.0,16.0,18.0,16.0,20.0,,,,,,,,
110352,,,,,,,,,,18.0,20.0,18.0,19.0
110356,18.0,17.0,20.0,18.0,26.0,30.0,,,,,,,
110366,18.0,18.0,17.0,19.0,25.0,,,,,,,,
110368,17.0,21.0,21.0,16.0,23.0,13.0,,,,,,,
110370,20.0,22.0,17.0,18.0,23.0,,,,,,,,
110372,17.0,13.0,11.0,13.0,17.0,,,,,,,,
110376,17.0,16.0,19.0,19.0,21.0,,,,,,,,
110379,17.0,17.0,18.0,18.0,19.0,,,,,,,,
110380,,,,,,,,,,23.0,21.0,19.0,20.0
110381,,,,,,,,22.0,24.0,,,29.0,
110382,,,,,,24.0,25.0,,,,,,
110384,19.0,21.0,14.0,13.0,10.0,17.0,,,,,,,
110388,18.0,21.0,11.0,20.0,14.0,,,,,,,,
110401,,,,,,,,17.0,19.0,,,27.0,
110408,19.0,16.0,17.0,18.0,17.0,,,,,,,,
110410,20.0,17.0,18.0,19.0,21.0,,,,,,,,
110412,20.0,19.0,13.0,16.0,14.0,23.0,,,,,,,
110416,,,,,,,,,,20.0,21.0,20.0,21.0
110420,,,,,,,,25.0,22.0,,,23.0,
110422,22.0,19.0,20.0,17.0,24.0,,,,,,,,
110425,,,,,,17.0,18.0,,,,,,
110428,,,19.0,14.0,23.0,,,,,,,,
110432,18.0,18.0,,,,,,,,,,,
110436,18.0,22.0,20.0,18.0,19.0,,,,,,,,
110444,14.0,14.0,18.0,9.0,11.0,,,,,,,,
110450,,,,,,24.0,26.0,,,,,,
110451,,,,,,24.0,25.0,,,,,,
110500,,,,,,,,,,15.0,19.0,9.0,20.0
111302,,,,,,,,,,16.0,16.0,19.0,15.0
111304,17.0,10.0,16.0,16.0,15.0,19.0,,,,,,,
111306,16.0,17.0,14.0,17.0,19.0,19.0,,,,,,,
111307,11.0,8.0,5.0,,,,,,,,,,
111312,16.0,18.0,18.0,14.0,20.0,20.0,,,,,,,
111332,16.0,18.0,13.0,14.0,20.0,19.0,,,,,,,
111356,,,,,,,16.0,17.0,20.0,,,20.0,
111360,16.0,17.0,17.0,17.0,18.0,18.0,,,,,,,
111369,,,,,,,18.0,17.0,,,,,
111700,,,,,,,,,,16.0,16.0,14.0,16.0
11A000,,,,,,,,,,,,25.0,
11B000,,,,,,,,,,,,16.0,
11C000,,,,,,,,,,14.0,11.0,17.0,9.0
11D000,,,,,,,,,,14.0,15.0,16.0,12.0
11K000,,,,,,,,,,,,9.0,
120308,,,,,,,,,,10.0,13.0,11.0,9.0
120310,,,,,,,,,,14.0,,,23.0
120312,13.0,14.0,15.0,18.0,25.0,28.0,,,,,,,
120314,,,,,,,,,,22.0,24.0,20.0,28.0
120315,,,,,,,27.0,27.0,30.0,,,27.0,
120316,18.0,14.0,16.0,15.0,13.0,21.0,,,,,,,
120318,,,,,,,,,,24.0,25.0,23.0,25.0
120320,16.0,15.0,15.0,16.0,29.0,27.0,,,,,,,
120324,21.0,17.0,19.0,15.0,19.0,22.0,,,,,,,
120334,,,,,,,20.0,25.0,29.0,,,31.0,
120338,18.0,20.0,17.0,19.0,18.0,27.0,,,,,,,
120340,18.0,17.0,16.0,18.0,20.0,23.0,,,,,,,
120344,14.0,16.0,18.0,23.0,23.0,26.0,,,,,,,
120346,,,,,,,,,,27.0,31.0,24.0,25.0
120350,,,,,,,28.0,19.0,31.0,,,32.0,
120354,17.0,21.0,22.0,20.0,27.0,15.0,,,,,,,
120360,21.0,21.0,16.0,11.0,13.0,23.0,,,,,,,
120364,18.0,18.0,17.0,18.0,25.0,26.0,,,,,,,
120368,14.0,16.0,15.0,15.0,22.0,28.0,,,,,,,
120370,,,,,,,,,,21.0,23.0,20.0,23.0
120374,21.0,18.0,19.0,19.0,19.0,22.0,,,,,,,
120376,,,,,,,24.0,24.0,26.0,,,26.0,
120380,22.0,18.0,17.0,21.0,22.0,19.0,,,,,,,
120386,18.0,16.0,20.0,16.0,21.0,25.0,,,,,,,
120390,,,,,,,29.0,24.0,25.0,,,27.0,
130304,21.0,18.0,20.0,25.0,20.0,25.0,,,,,,,
130307,,,,,,,,,,32.0,27.0,28.0,28.0
130308,21.0,15.0,16.0,17.0,19.0,20.0,,,,,,,
130309,16.0,15.0,19.0,17.0,22.0,22.0,,,,,,,
130310,,,,,,,,,,24.0,21.0,25.0,23.0
130311,18.0,20.0,18.0,21.0,20.0,21.0,,,,,,,
130312,19.0,18.0,21.0,21.0,26.0,24.0,,,,,,,
130313,,,,,,,21.0,19.0,23.0,,,24.0,
130314,,,,,,,,,,24.0,23.0,22.0,24.0
130315,,,,,,,31.0,29.0,24.0,,,28.0,
130316,,,,,,,,,,21.0,21.0,22.0,22.0
130317,,,,,,,,,5.0,5.0,,5.0,5.0
130318,,,,,,,25.0,27.0,31.0,,,30.0,
130319,16.0,21.0,20.0,23.0,27.0,27.0,,,,,,,
130320,,,,,,,27.0,29.0,29.0,,,33.0,
130321,19.0,19.0,17.0,16.0,20.0,16.0,,,,,,,
130322,19.0,18.0,17.0,21.0,25.0,25.0,,,,,,,
130323,,,,,,,29.0,23.0,26.0,,,29.0,
130324,,,,,,,,,,22.0,23.0,16.0,24.0
130325,21.0,15.0,19.0,20.0,26.0,25.0,,,,,,,
130326,,,,,,,,,,24.0,24.0,19.0,25.0
130327,,,,,,,27.0,27.0,27.0,,,37.0,
130328,,,,,24.0,25.0,,,,,,,
130329,,,,,20.0,24.0,,,,,,,
130330,18.0,20.0,15.0,13.0,18.0,19.0,,,,,,,
130331,21.0,20.0,18.0,18.0,26.0,26.0,,,,,,,
130332,,,,,,,,,,28.0,26.0,23.0,24.0
130333,,,,,,,,,,,,,9.0
130336,21.0,18.0,19.0,,,,,,,,,,
130337,,,,20.0,27.0,29.0,,,,,,,
130338,18.0,18.0,15.0,15.0,27.0,26.0,,,,,,,
130340,,,,,22.0,17.0,,,,,,,
130342,,,,,19.0,22.0,,,,,,,
130344,17.0,20.0,17.0,15.0,22.0,18.0,,,,,,,
130345,19.0,21.0,21.0,17.0,27.0,24.0,,,,,,,
130346,,,,,,,29.0,31.0,24.0,,,31.0,
130349,,,,,,,,,,,20.0,20.0,19.0
130350,,,,,,,,,,16.0,21.0,21.0,19.0
130355,,,,,,,26.0,27.0,26.0,,,29.0,
132304,,,,,,,,,,22.0,20.0,18.0,22.0
132308,16.0,17.0,22.0,16.0,17.0,21.0,,,,,,,
