agency_code,lp_school,rlp_school,clpc_school
160324,N,N,N
160326,N,N,N
160332,N,N,N
160343,N,N,N
160344,N,N,N
160352,N,N,N
160LEA,,,
16B000,N,N,N
170316,N,N,N
170334,N,N,N
170338,Y,Y,N
170339,N,Y,N
170342,N,N,N
170344,Y,Y,N
170LEA,,,
180302,N,N,N
180304,N,N,N
180308,N,N,N
180312,N,N,N
180316,N,N,N
180320,N,N,N
180323,N,N,N
180324,N,N,N
180325,N,N,N
180326,N,N,N
180332,N,N,N
180336,N,N,N
180340,N,N,N
180342,N,N,N
180343,N,N,N
180344,N,N,N
180346,N,N,N
180348,N,N,N
180352,N,N,N
180356,N,N,N
180360,N,N,N
180364,N,N,N
180368,N,N,N
180372,N,N,N
180376,N,N,N
180379,N,N,N
180380,N,N,N
180388,N,N,N
180LEA,,,
181312,N,N,N
181316,N,N,N
181318,N,N,N
181322,N,N,N
181326,N,N,N
181332,N,N,N
181336,N,N,N
181342,N,N,N
181344,N,N,N
181LEA,,,
182304,N,N,N
182316,N,N,N
182321,N,N,N
182322,N,N,N
182324,N,N,N
182328,Y,N,N
182700,N,N,N
182LEA,,,
190304,N,N,N
190308,N,N,N
190310,N,N,N
190312,Y,Y,N
190316,N,N,N
190328,N,N,N
190332,N,N,N
190336,N,N,N
190339,N,N,N
190340,N,N,N
190341,N,N,N
190342,N,N,N
190346,N,N,N
190348,N,N,N
190350,N,N,N
190352,N,N,N
190370,N,N,N
190501,N,N,N
190LEA,,,
19A000,N,N,N
19B000,N,N,N
19C000,N,N,N
200304,N,N,N
200308,N,N,N
200310,N,N,N
200312,N,N,N
200314,N,N,N
200320,N,N,N
200322,N,N,N
200324,N,N,N
200328,N,N,N
200330,N,N,N
200332,N,N,N
200336,N,N,N
200350,N,N,N
200LEA,,,
20A000,N,N,N
210304,N,N,N
210306,N,N,N
210312,N,N,N
210316,N,N,N
210LEA,,,
220308,N,N,N
220310,N,N,N
220312,N,N,N
220LEA,,,
230304,N,N,N
230308,N,N,N
230312,N,N,N
230316,N,N,N
230320,N,N,N
230322,N,N,N
230324,N,N,N
230328,N,N,N
230330,N,N,N
230334,N,N,N
230336,N,N,N
230340,N,N,N
230342,Y,Y,N
230344,N,N,N
230346,Y,Y,N
230348,N,N,N
230350,N,N,N
230351,N,N,N
230352,N,N,N
230355,N,N,N
230357,N,N,N
230359,N,N,N
230361,N,N,N
230362,N,N,N
230364,N,N,N
230368,N,N,N
230370,N,N,N
230376,N,N,N
230380,N,N,N
230LEA,,,
23A000,N,N,N
240304,N,Y,N
240308,Y,N,N
240328,N,N,N
240332,Y,Y,N
240334,N,N,N
240344,Y,Y,N
240352,N,N,N
240354,N,N,N
240356,N,N,N
240368,N,N,N
240370,N,N,N
240371,N,N,N
240372,Y,Y,N
240373,N,N,N
240376,Y,Y,N
240380,N,N,N
240388,N,N,N
240LEA,,,
241304,N,N,N
241308,N,N,N
241312,N,N,N
