agency_code,num_credentials,num_enrollments,cred_earned_pct
890304,58,,
900311,995,,
900316,689,,
900336,1313,,
900342,872,,
900344,561,,
900348,987,,
900360,760,,
900365,24,,
900366,334,,
900367,98,,
900377,335,,
900393,423,,
910368,5,,
910370,287,,
920316,778,,
920317,678,,
920318,606,,
920348,359,,
920368,1098,,
920411,1151,,
920412,562,,
920428,1283,,
920436,1186,,
920441,1458,,
920445,789,,
920455,1295,,
920466,688,,
920473,1311,,
920495,630,,
920500,635,,
920518,260,,
920526,1375,,
920528,18,,
920546,1315,,
920552,634,,
920556,1,,
920561,87,,
920562,156,,
920581,213,,
920583,45,,
920585,36,,
920586,54,,
920588,471,,
920595,293,,
930352,228,,
930360,4,,
930700,1,,
940316,201,,
940330,19,,
950336,206,,
950338,62,,
960324,433,,
960330,561,,
960335,196,,
960372,337,,
960380,2273,,
960386,345,,
960700,43,,
970320,239,,
970356,659,,
970388,1107,,
970390,334,,
970393,2,,
980306,1,,
980318,866,,
980336,1082,,
980342,466,,
980397,52,,
990322,1441,,
990326,590,,
990332,2,,
995330,949,,
00A000,3,,
06B000,1,,
13A000,3,,
13B000,9,,
19A000,4,,
23A000,28,,
32L000,109,,
33A000,14,,
34B000,4,,
36C000,29,,
51A000,1,,
58B000,35,,
60K000,1,,
60S000,1,,
69A000,9,,
92F000,6,,
92P000,6,,
94Z000,46,,
