agency_code,avg_sat_score,pct_sat_participation
390322,942.0,0.313
390323,1102.0,0.695
390324,930.0,0.248
390352,991.0,0.40399999999999997
390700,1049.0,0.075
390LEA,1000.0,0.402
39A000,1135.0,0.867
39B000,1044.0,0.075
400308,935.0,0.365
400315,,
400LEA,946.0,0.335
410319,900.0,0.057999999999999996
410326,1034.0,0.5329999999999999
410355,928.0,0.5529999999999999
410358,991.0,0.428
410390,1013.0,0.667
410391,1181.0,0.81
410394,1185.0,0.622
410395,1456.0,0.8540000000000001
410399,1060.0,0.025
410401,,
410406,1007.0,0.528
410407,,
410408,,
410483,994.0,0.9129999999999999
410484,967.0,0.609
410488,,
410489,1159.0,0.6890000000000001
410490,1187.0,0.07400000000000001
410508,1149.0,0.598
410529,1061.0,0.057999999999999996
410533,,
410544,895.0,0.539
410545,1007.0,0.872
410547,1074.0,0.528
410556,980.0,0.34600000000000003
410562,1068.0,0.632
410569,1213.0,0.953
410579,1047.0,0.06
410589,1163.0,0.8959999999999999
410595,1075.0,0.361
410LEA,1080.0,0.565
41F000,954.0,0.634
41G000,1115.0,0.662
41K000,1098.0,0.67
420346,938.0,0.311
420358,859.0,0.544
420LEA,900.0,0.392
421316,1053.0,0.165
421LEA,1053.0,0.165
422310,964.0,0.875
422315,794.0,0.882
422LEA,893.0,0.878
430345,,
430346,1075.0,0.196
430371,989.0,0.298
430378,1049.0,0.244
430384,1017.0,0.245
430LEA,1025.0,0.244
440346,,
440378,1088.0,0.23199999999999998
440390,1090.0,0.28800000000000003
440LEA,1090.0,0.225
450316,1094.0,0.261
450334,1105.0,0.64
450341,1118.0,0.248
450352,1123.0,0.419
450354,,
450LEA,1114.0,0.34700000000000003
460320,855.0,0.642
460322,1027.0,0.852
460340,969.0,0.1
460LEA,902.0,0.7040000000000001
470312,953.0,0.02
470443,1144.0,0.23600000000000002
470LEA,998.0,0.203
480316,1182.0,0.785
480318,,
480LEA,1121.0,0.381
490310,,
490320,1135.0,0.153
490335,1152.0,0.659
490346,1077.0,0.276
490354,927.0,0.445
490355,,
490362,1177.0,0.583
490380,1031.0,0.153
490LEA,1117.0,0.439
491312,1111.0,0.493
491LEA,1111.0,0.493
49,1176.0,0.795
49F000,,
500302,,
500323,,
500324,,
500340,1106.0,0.17300000000000001
500LEA,1095.0,0.14400000000000002
510324,1046.0,0.46399999999999997
510325,,0.111
510327,1100.0,0.384
510333,1125.0,0.04
510357,,
510367,1202.0,0.5379999999999999
510368,1048.0,0.298
510376,1044.0,0.29100000000000004
510399,1032.0,0.36200000000000004
510402,1063.0,0.159
510406,1096.0,0.32899999999999996
510LEA,1084.0,0.35700000000000004
51A000,1078.0,0.603
520320,1025.0,0.259
520LEA,1025.0,0.259
530335,,
530336,1046.0,0.397
530343,1017.0,0.402
530LEA,1038.0,0.35700000000000004
540315,889.0,0.385
540317,1100.0,0.196
540324,1003.0,0.314
540336,1023.0,0.32899999999999996
540LEA,977.0,0.322
550320,1119.0,0.449
550332,1050.0,0.217
550344,1174.0,0.045
550368,1072.0,0.311
550LEA,1118.0,0.35700000000000004
55A000,1131.0,0.7190000000000001
560320,1071.0,0.469
560324,1140.0,0.556
560329,,
560LEA,1082.0,0.392
570317,,
570318,1058.0,0.19699999999999998
570LEA,1075.0,0.14400000000000002
580344,1006.0,0.48100000000000004
580368,984.0,0.5870000000000001
580LEA,990.0,0.552
58B000,,
590328,1076.0,0.434
590330,1084.0,0.287
590LEA,1082.0,0.309
600302,1219.0,0.8140000000000001
600312,1186.0,0.6729999999999999
600334,1149.0,0.49200000000000005
600341,888.0,0.478
600361,1104.0,0.049
600364,924.0,0.552
600377,1112.0,0.46299999999999997
600386,1046.0,0.846
600397,879.0,0.375
600404,1204.0,0.331
600405,919.0,0.284
600415,1059.0,0.42100000000000004
600426,1088.0,0.423
600443,1226.0,0.40700000000000003
600445,1056.0,0.498
