agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
070339,3,17,7,0.1111111119,0.629629612,0.2592592537
070340,2,12,2,0.125,0.75,0.125
070342,10,29,18,0.1754385978,0.508771956,0.3157894611
07A000,0,3,0,0.0,1.0,0.0
080311,4,2,1,0.571428597,0.2857142985,0.1428571492
080312,21,14,0,0.6000000238000001,0.400000006,0.0
080314,4,18,0,0.1818181872,0.8181818128,0.0
080348,3,6,0,0.3333333433,0.6666666864999999,0.0
080356,2,15,0,0.1176470593,0.8823529481999999,0.0
080360,1,10,4,0.06666667009999999,0.6666666864999999,0.2666666806
080362,1,20,3,0.0416666679,0.8333333135,0.125
08A000,1,5,0,0.1666666716,0.8333333135,0.0
090304,0,0,4,0.0,0.0,1.0
090315,5,7,1,0.3846153915,0.5384615660000001,0.0769230798
090317,2,18,3,0.0869565234,0.7826086879,0.1304347813
090318,2,6,1,0.2222222239,0.6666666864999999,0.1111111119
090320,4,7,2,0.3076923192,0.5384615660000001,0.1538461596
090324,3,11,1,0.200000003,0.7333333492,0.06666667009999999
090328,1,8,0,0.1111111119,0.8888888954999999,0.0
090330,5,21,14,0.125,0.5249999761999999,0.349999994
090332,6,10,5,0.2857142985,0.4761904776,0.2380952388
090333,0,27,8,0.0,0.7714285851,0.2285714298
090352,2,11,0,0.1538461596,0.8461538553,0.0
090365,5,5,7,0.2941176593,0.2941176593,0.4117647111
090368,10,26,9,0.2222222239,0.5777778029,0.200000003
090376,1,4,0,0.200000003,0.8000000119,0.0
09A000,0,0,1,0.0,0.0,1.0
09B000,2,14,13,0.068965517,0.4827586114,0.4482758641
100302,2,43,11,0.0357142873,0.7678571343,0.1964285672
100304,0,25,6,0.0,0.8064516187,0.1935483813
100307,1,6,7,0.0714285746,0.4285714328,0.5
100308,2,16,0,0.1111111119,0.8888888954999999,0.0
100309,4,25,5,0.1176470593,0.7352941036,0.1470588297
100310,2,31,1,0.0588235296,0.9117646813,0.0294117648
100316,13,40,3,0.2321428508,0.7142857313,0.0535714291
100320,2,37,5,0.0454545468,0.8409090638,0.113636367
100326,5,44,19,0.0735294148,0.6470588446,0.27941176300000004
100332,2,34,5,0.048780486,0.8292682767,0.1219512224
100334,11,53,6,0.1571428627,0.7571428418,0.08571428810000001
100335,6,33,6,0.1333333403,0.7333333492,0.1333333403
100336,2,21,14,0.0540540554,0.5675675869,0.3783783913
100338,4,38,4,0.0869565234,0.8260869384,0.0869565234
100339,2,30,10,0.0476190485,0.7142857313,0.2380952388
100340,2,22,13,0.0540540554,0.5945945978,0.3513513505
100342,3,30,3,0.0833333358,0.8333333135,0.0833333358
100344,2,24,7,0.0606060624,0.7272727489,0.2121212184
100348,20,57,13,0.2222222239,0.6333333254,0.1444444507
10A000,2,20,15,0.0540540554,0.5405405164,0.4054054022
10B000,1,6,11,0.055555556,0.3333333433,0.6111111045000001
110303,5,11,4,0.25,0.5500000119,0.200000003
110304,4,37,30,0.0563380271,0.5211267471,0.4225352108
110306,3,20,14,0.0810810775,0.5405405164,0.3783783913
110308,2,7,3,0.1666666716,0.5833333135000001,0.25
110318,2,8,2,0.1666666716,0.6666666864999999,0.1666666716
110320,2,17,10,0.068965517,0.5862069129999999,0.3448275924
110322,1,8,6,0.06666667009999999,0.5333333611,0.400000006
110323,1,3,0,0.25,0.75,0.0
110324,4,18,4,0.1538461596,0.6923077106000001,0.1538461596
110326,5,19,12,0.1388888955,0.527777791,0.3333333433
110332,3,11,5,0.1578947306,0.5789473653,0.2631579041
110336,1,22,27,0.0199999996,0.4399999976,0.5400000215
110338,4,22,11,0.1081081107,0.5945945978,0.2972972989
110340,16,43,24,0.1927710772,0.5180723071,0.2891566157
110342,11,23,11,0.2444444448,0.5111111403,0.2444444448
110348,1,17,6,0.0416666679,0.7083333135,0.25
110352,2,27,38,0.0298507456,0.4029850662,0.5671641827
110356,1,33,11,0.0222222228,0.7333333492,0.2444444448
