agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
780417,10.0,2.0,,7.0,0.0,6.0,,4.0,1.0,,0.0,,1.0,0.2,,0.7,1.0,0.6,,0.4,0.1,,0.0,
790302,13.0,,,,0.0,7.0,1.0,6.0,,,0.0,12.0,1.0,,,,1.0,0.5379999999999999,0.077,0.462,,,0.0,0.923
790318,10.0,,,1.0,0.0,6.0,1.0,4.0,1.0,,0.0,7.0,1.0,,,0.1,1.0,0.6,0.1,0.4,0.1,,0.0,0.7
790327,9.0,,,,0.0,6.0,1.0,3.0,3.0,,0.0,5.0,1.0,,,,1.0,0.667,0.111,0.333,0.333,,0.0,0.556
790344,13.0,,,2.0,0.0,7.0,4.0,6.0,,,0.0,7.0,1.0,,,0.154,1.0,0.5379999999999999,0.308,0.462,,,0.0,0.5379999999999999
790347,7.0,,,3.0,0.0,1.0,2.0,6.0,,,0.0,2.0,1.0,,,0.429,1.0,0.14300000000000002,0.28600000000000003,0.857,,,0.0,0.28600000000000003
790350,10.0,,,3.0,0.0,3.0,1.0,7.0,,,0.0,6.0,1.0,,,0.3,1.0,0.3,0.1,0.7,,,0.0,0.6
790386,7.0,,,4.0,0.0,4.0,,3.0,,,0.0,3.0,1.0,,,0.5710000000000001,1.0,0.5710000000000001,,0.429,,,0.0,0.429
790390,12.0,,,3.0,0.0,3.0,2.0,9.0,1.0,,0.0,6.0,1.0,,,0.25,1.0,0.25,0.16699999999999998,0.75,0.083,,0.0,0.5
790398,8.0,,,,0.0,4.0,,4.0,,,0.0,8.0,1.0,,,,1.0,0.5,,0.5,,,0.0,1.0
790402,10.0,,,2.0,0.0,5.0,5.0,5.0,,,0.0,3.0,1.0,,,0.2,1.0,0.5,0.5,0.5,,,0.0,0.3
800316,14.0,,1.0,,0.0,7.0,5.0,7.0,1.0,,0.0,7.0,1.0,,0.071,,1.0,0.5,0.35700000000000004,0.5,0.071,,0.0,0.5
800347,17.0,,,1.0,0.0,8.0,,9.0,2.0,,0.0,14.0,1.0,,,0.059,1.0,0.471,,0.529,0.118,,0.0,0.8240000000000001
800356,30.0,,1.0,6.0,0.0,11.0,4.0,19.0,4.0,,0.0,15.0,1.0,,0.033,0.2,1.0,0.3670000000000001,0.133,0.633,0.133,,0.0,0.5
800358,17.0,,,9.0,0.0,6.0,3.0,11.0,1.0,,0.0,4.0,1.0,,,0.529,1.0,0.353,0.17600000000000002,0.647,0.059,,0.0,0.235
800359,18.0,,1.0,8.0,0.0,13.0,4.0,5.0,,,0.0,5.0,1.0,,0.056,0.444,1.0,0.722,0.222,0.278,,,0.0,0.278
800360,18.0,,,5.0,0.0,8.0,6.0,10.0,2.0,,0.0,5.0,1.0,,,0.278,1.0,0.444,0.333,0.556,0.111,,0.0,0.278
800362,17.0,,,2.0,11.0,10.0,14.0,7.0,,,0.0,1.0,1.0,,,0.118,1.0,0.588,0.8240000000000001,0.412,,,0.0,0.059
800364,33.0,,,2.0,0.0,18.0,9.0,15.0,,,0.0,22.0,1.0,,,0.061,1.0,0.545,0.273,0.455,,,0.0,0.667
800368,15.0,,,,0.0,7.0,1.0,8.0,,,0.0,14.0,1.0,,,,1.0,0.467,0.067,0.5329999999999999,,,0.0,0.933
800373,18.0,,,13.0,0.0,9.0,1.0,9.0,1.0,,0.0,3.0,1.0,,,0.722,1.0,0.5,0.056,0.5,0.056,,0.0,0.16699999999999998
800392,10.0,,,,0.0,3.0,,7.0,,,0.0,10.0,1.0,,,,1.0,0.3,,0.7,,,0.0,1.0
800406,15.0,,,1.0,0.0,8.0,3.0,7.0,1.0,,0.0,10.0,1.0,,,0.067,1.0,0.5329999999999999,0.2,0.467,0.067,,0.0,0.667
810336,36.0,,2.0,17.0,0.0,18.0,2.0,18.0,8.0,,0.0,7.0,1.0,,0.056,0.472,1.0,0.5,0.056,0.5,0.222,,0.0,0.194
810344,36.0,,,2.0,0.0,17.0,11.0,19.0,2.0,,0.0,21.0,1.0,,,0.056,1.0,0.472,0.306,0.528,0.056,,0.0,0.583
810350,18.0,,,3.0,0.0,8.0,5.0,10.0,3.0,,0.0,7.0,1.0,,,0.16699999999999998,1.0,0.444,0.278,0.556,0.16699999999999998,,0.0,0.389
810360,36.0,,,,0.0,16.0,5.0,20.0,3.0,,0.0,28.0,1.0,,,,1.0,0.444,0.139,0.556,0.083,,0.0,0.778
810370,18.0,,,,0.0,7.0,,11.0,,,0.0,18.0,1.0,,,,1.0,0.389,,0.611,,,0.0,1.0
810388,18.0,,,4.0,0.0,10.0,2.0,8.0,1.0,,0.0,11.0,1.0,,,0.222,1.0,0.556,0.111,0.444,0.056,,0.0,0.611
810396,36.0,,,9.0,0.0,15.0,1.0,21.0,6.0,,0.0,20.0,1.0,,,0.25,1.0,0.417,0.028,0.583,0.16699999999999998,,0.0,0.556
810400,18.0,,,,0.0,5.0,,13.0,,,0.0,18.0,1.0,,,,1.0,0.278,,0.722,,,0.0,1.0
820312,18.0,,,6.0,0.0,6.0,3.0,12.0,1.0,,0.0,8.0,1.0,,,0.333,1.0,0.333,0.16699999999999998,0.667,0.056,,0.0,0.444
820320,13.0,,,1.0,0.0,6.0,6.0,7.0,2.0,,0.0,4.0,1.0,,,0.077,1.0,0.462,0.462,0.5379999999999999,0.154,,0.0,0.308
820340,18.0,,,3.0,0.0,9.0,12.0,9.0,,,0.0,3.0,1.0,,,0.16699999999999998,1.0,0.5,0.667,0.5,,,0.0,0.16699999999999998
820350,32.0,,,4.0,0.0,14.0,15.0,18.0,1.0,,0.0,12.0,1.0,,,0.125,1.0,0.438,0.469,0.563,0.031,,0.0,0.375
820364,2.0,,,,0.0,1.0,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,0.5,0.5,0.5,,,0.0,0.5
820376,18.0,,,2.0,0.0,10.0,9.0,8.0,1.0,,0.0,6.0,1.0,,,0.111,1.0,0.556,0.5,0.444,0.056,,0.0,0.333
820384,71.0,,,9.0,0.0,32.0,45.0,39.0,,,0.0,17.0,1.0,,,0.127,1.0,0.451,0.634,0.5489999999999999,,,0.0,0.239
821316,100.0,3.0,1.0,39.0,0.0,58.0,46.0,42.0,3.0,,0.0,8.0,1.0,0.03,0.01,0.39,1.0,0.58,0.46,0.42,0.03,,0.0,0.08
830320,44.0,4.0,,31.0,0.0,20.0,1.0,24.0,3.0,,0.0,5.0,1.0,0.091,,0.705,1.0,0.455,0.023,0.545,0.068,,0.0,0.114
830328,35.0,5.0,1.0,9.0,0.0,21.0,1.0,14.0,4.0,,0.0,15.0,1.0,0.14300000000000002,0.029,0.257,1.0,0.6,0.029,0.4,0.114,,0.0,0.429
830356,35.0,13.0,3.0,4.0,0.0,21.0,,14.0,,,0.0,15.0,1.0,0.371,0.086,0.114,1.0,0.6,,0.4,,,0.0,0.429
830360,36.0,9.0,,19.0,0.0,18.0,2.0,18.0,4.0,,0.0,2.0,1.0,0.25,,0.528,1.0,0.5,0.056,0.5,0.111,,0.0,0.056
840304,14.0,,,5.0,0.0,3.0,,11.0,3.0,,0.0,6.0,1.0,,,0.35700000000000004,1.0,0.214,,0.7859999999999999,0.214,,0.0,0.429
840312,18.0,,2.0,1.0,0.0,7.0,4.0,11.0,,,0.0,11.0,1.0,,0.111,0.056,1.0,0.389,0.222,0.611,,,0.0,0.611
840324,5.0,,,,0.0,2.0,,3.0,,,0.0,5.0,1.0,,,,1.0,0.4,,0.6,,,0.0,1.0
850316,32.0,,2.0,,0.0,12.0,2.0,20.0,1.0,,0.0,27.0,1.0,,0.063,,1.0,0.375,0.063,0.625,0.031,,0.0,0.8440000000000001
850340,18.0,,,1.0,0.0,10.0,,8.0,,,0.0,17.0,1.0,,,0.056,1.0,0.556,,0.444,,,0.0,0.944
850354,17.0,,,3.0,0.0,9.0,,8.0,2.0,,0.0,12.0,1.0,,,0.17600000000000002,1.0,0.529,,0.471,0.118,,0.0,0.706
850356,36.0,,,4.0,0.0,18.0,1.0,18.0,4.0,,0.0,27.0,1.0,,,0.111,1.0,0.5,0.028,0.5,0.111,,0.0,0.75
860302,17.0,,,,5.0,7.0,6.0,10.0,,,0.0,11.0,1.0,,,,1.0,0.412,0.353,0.588,,,0.0,0.647
860308,15.0,,,,11.0,7.0,11.0,8.0,,,0.0,4.0,1.0,,,,1.0,0.467,0.733,0.5329999999999999,,,0.0,0.267
860312,16.0,,,,9.0,8.0,9.0,8.0,,,1.0,7.0,1.0,,,,1.0,0.5,0.563,0.5,,,0.063,0.438
860320,14.0,,,,4.0,6.0,5.0,8.0,,,0.0,9.0,1.0,,,,1.0,0.429,0.35700000000000004,0.5710000000000001,,,0.0,0.643
860324,23.0,,,,3.0,11.0,5.0,12.0,,,1.0,18.0,1.0,,,,1.0,0.478,0.217,0.522,,,0.043,0.7829999999999999
860332,18.0,,,,4.0,7.0,4.0,11.0,,,0.0,14.0,1.0,,,,1.0,0.389,0.222,0.611,,,0.0,0.778
860339,15.0,,,1.0,3.0,10.0,6.0,5.0,,,0.0,8.0,1.0,,,0.067,1.0,0.667,0.4,0.333,,,0.0,0.5329999999999999
860344,17.0,,,,8.0,10.0,11.0,7.0,,,1.0,6.0,1.0,,,,1.0,0.588,0.647,0.412,,,0.059,0.353
860348,15.0,,,,1.0,3.0,1.0,12.0,,,0.0,14.0,1.0,,,,1.0,0.2,0.067,0.8,,,0.0,0.933
860356,15.0,,,,2.0,10.0,4.0,5.0,1.0,,0.0,10.0,1.0,,,,1.0,0.667,0.267,0.333,0.067,,0.0,0.667
860360,11.0,,,1.0,3.0,5.0,3.0,6.0,,,0.0,7.0,1.0,,,0.091,1.0,0.455,0.273,0.545,,,0.0,0.636
861304,21.0,,2.0,,0.0,9.0,11.0,12.0,,,0.0,8.0,1.0,,0.095,,1.0,0.429,0.524,0.5710000000000001,,,0.0,0.381
862308,33.0,,1.0,5.0,0.0,14.0,11.0,19.0,1.0,,0.0,15.0,1.0,,0.03,0.152,1.0,0.424,0.333,0.5760000000000001,0.03,,0.0,0.455
870318,93.0,12.0,,1.0,0.0,47.0,11.0,46.0,6.0,,0.0,63.0,1.0,0.129,,0.011,1.0,0.505,0.118,0.495,0.065,,0.0,0.677
880304,29.0,,,,0.0,7.0,1.0,22.0,,,0.0,28.0,1.0,,,,1.0,0.241,0.034,0.759,,,0.0,0.966
880324,12.0,,1.0,,0.0,4.0,1.0,8.0,,,0.0,10.0,1.0,,0.083,,1.0,0.333,0.083,0.667,,,0.0,0.833
880336,10.0,,,,0.0,3.0,,7.0,,,0.0,10.0,1.0,,,,1.0,0.3,,0.7,,,0.0,1.0
890308,18.0,,,3.0,0.0,8.0,6.0,10.0,3.0,,0.0,6.0,1.0,,,0.16699999999999998,1.0,0.444,0.333,0.556,0.16699999999999998,,0.0,0.333
900304,18.0,,,3.0,14.0,10.0,14.0,8.0,,,0.0,1.0,1.0,,,0.16699999999999998,1.0,0.556,0.778,0.444,,,0.0,0.056
900305,14.0,,3.0,,0.0,6.0,,8.0,1.0,,0.0,10.0,1.0,,0.214,,1.0,0.429,,0.5710000000000001,0.071,,0.0,0.7140000000000001
900306,16.0,,,3.0,12.0,9.0,13.0,7.0,,,2.0,,1.0,,,0.188,1.0,0.563,0.813,0.438,,,0.125,
900307,18.0,,,,5.0,10.0,8.0,8.0,1.0,1.0,0.0,8.0,1.0,,,,1.0,0.556,0.444,0.444,0.056,0.056,0.0,0.444
900318,10.0,,,,0.0,4.0,,6.0,,,0.0,10.0,1.0,,,,1.0,0.4,,0.6,,,0.0,1.0
900320,19.0,,2.0,1.0,0.0,9.0,5.0,10.0,1.0,,0.0,10.0,1.0,,0.105,0.053,1.0,0.474,0.263,0.526,0.053,,0.0,0.526
900328,13.0,,,3.0,0.0,4.0,2.0,9.0,,,0.0,8.0,1.0,,,0.231,1.0,0.308,0.154,0.6920000000000001,,,0.0,0.615
