agency_code,pct_enrolled_am7_charter,pct_enrolled_as7_charter,pct_enrolled_bl7_charter,pct_enrolled_eds_charter,pct_enrolled_els_charter,pct_enrolled_hi7_charter,pct_enrolled_mu7_charter,pct_enrolled_pi7_charter,pct_enrolled_swd_charter,pct_enrolled_wh7_charter
430000,5.0,5.0,24.4,49.8,6.4,22.8,7.6,5.0,11.8,43.6
43C000,5.0,5.0,8.3,5.3,5.0,15.5,8.7,5.0,6.8,64.8
440000,5.0,5.0,5.0,41.9,5.0,9.0,5.0,5.0,18.0,84.7
44A000,5.0,5.0,5.0,5.8,5.0,5.0,5.0,5.0,15.0,86.3
450000,5.0,5.0,5.0,44.6,9.9,26.8,5.0,5.0,13.8,62.8
45A000,5.0,5.0,5.0,5.0,5.0,8.6,5.0,5.0,18.8,82.2
45B000,5.0,5.0,5.0,5.0,5.0,7.4,5.0,5.0,15.3,87.7
490000,5.0,5.0,13.7,34.9,5.2,14.6,6.6,5.0,10.5,61.8
49B000,5.0,5.0,11.9,5.0,5.0,8.3,8.8,5.0,12.7,70.1
49D000,5.0,5.0,89.2,55.9,5.0,5.0,5.0,5.0,21.6,5.0
49E000,5.0,5.2,5.0,5.0,5.0,5.0,5.0,5.0,9.2,83.4
49F000,5.0,5.0,6.3,9.5,5.0,9.5,8.5,5.0,11.7,71.1
49G000,5.0,5.0,9.7,34.7,5.0,14.0,8.0,5.0,13.3,67.6
500000,7.3,5.0,5.0,44.3,5.0,16.1,5.6,5.0,16.1,68.3
50A000,5.0,5.0,5.0,5.0,8.9,19.1,5.1,5.0,13.2,74.9
50Z000,5.0,5.0,5.0,29.3,5.0,6.9,13.8,5.0,17.2,74.1
510000,5.0,5.0,15.7,38.7,8.4,25.8,5.2,5.0,15.7,52.1
51A000,5.0,5.0,12.9,5.0,5.0,12.0,6.5,5.0,10.7,67.1
51B000,5.0,5.0,19.1,21.2,5.0,14.2,5.0,5.0,11.7,60.9
530000,5.0,5.0,19.7,60.2,12.3,37.8,5.6,5.0,12.2,35.7
53B000,5.0,5.0,14.1,11.9,5.0,13.2,6.6,5.0,5.0,64.6
540000,5.0,5.0,46.0,62.1,5.0,16.2,5.0,5.0,15.7,33.2
54A000,5.0,5.0,95.0,71.8,5.0,5.0,5.0,5.0,22.3,5.0
550000,5.0,5.0,5.8,38.2,5.0,11.7,9.7,5.0,13.6,72.0
55A000,5.0,5.0,5.0,5.0,5.0,10.1,9.0,5.0,7.4,76.5
55B000,5.0,5.0,5.0,12.2,5.0,10.4,7.0,5.0,7.8,78.3
580000,5.0,5.0,50.0,48.5,5.0,9.5,5.0,5.0,20.3,35.1
58B000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.3,93.5
600000,5.0,7.1,36.1,33.8,12.0,27.0,5.0,5.0,9.4,26.3
60B000,5.0,5.0,83.8,69.6,7.0,12.9,5.0,5.0,6.0,5.0
60D000,5.0,8.6,13.6,5.0,5.0,5.9,6.3,5.0,6.9,65.4
60F000,5.0,61.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,28.2
60G000,5.0,5.0,24.1,18.5,5.0,13.0,5.0,5.0,10.7,56.1
60I000,5.0,5.0,5.0,5.0,5.0,5.0,5.3,5.0,12.9,83.6
60J000,5.0,12.0,9.6,5.0,5.2,10.2,5.0,5.0,8.7,62.9
60K000,5.0,5.0,44.0,8.7,9.7,27.1,11.9,5.0,19.5,17.0
60L000,5.0,5.0,80.2,50.4,5.0,8.0,5.0,5.0,8.0,10.0
60M000,5.0,5.0,15.5,5.0,5.0,7.9,5.0,5.0,13.6,67.2
60N000,5.0,5.0,77.8,59.0,5.0,5.0,9.0,5.0,17.4,6.9
60P000,5.0,5.0,85.3,53.4,5.0,11.2,5.0,5.0,7.8,5.0
60Q000,5.0,5.0,84.3,14.1,5.0,6.8,5.1,5.0,7.8,5.0
60S000,5.0,5.0,27.0,5.0,5.0,8.9,8.8,5.0,10.3,51.9
60U000,5.0,5.0,45.9,24.9,11.4,29.3,13.1,5.0,7.0,9.6
60Y000,5.0,5.0,5.0,5.0,5.0,10.1,9.5,5.0,18.8,74.4
61J000,5.0,5.0,18.2,9.1,7.8,24.0,6.5,5.0,14.9,47.4
61K000,5.0,5.0,43.2,6.6,5.3,15.6,10.3,5.0,16.5,28.4
61L000,5.0,5.0,63.0,24.8,9.2,26.7,5.0,5.0,9.2,5.0
