agency_code,count_2018_enroll_am7_college,count_2018_enroll_as7_college,count_2018_enroll_all_college,count_2018_enroll_bl7_college,count_2018_enroll_eds_college,count_2018_enroll_els_college,count_2018_enroll_fem_college,count_2018_enroll_hi7_college,count_2018_enroll_male_college,count_2018_enroll_mu7_college,count_2018_enroll_pi7_college,count_2018_enroll_swd_college,count_2018_enroll_wh7_college,count_2018_noenro_am7_college,count_2018_noenro_as7_college,count_2018_noenro_all_college,count_2018_noenro_bl7_college,count_2018_noenro_eds_college,count_2018_noenro_els_college,count_2018_noenro_fem_college,count_2018_noenro_hi7_college,count_2018_noenro_male_college,count_2018_noenro_mu7_college,count_2018_noenro_pi7_college,count_2018_noenro_swd_college,count_2018_noenro_wh7_college,pct_enrolled_2018_enroll_am7_college,pct_enrolled_2018_enroll_as7_college,pct_enrolled_2018_enroll_all_college,pct_enrolled_2018_enroll_bl7_college,pct_enrolled_2018_enroll_eds_college,pct_enrolled_2018_enroll_els_college,pct_enrolled_2018_enroll_fem_college,pct_enrolled_2018_enroll_hi7_college,pct_enrolled_2018_enroll_male_college,pct_enrolled_2018_enroll_mu7_college,pct_enrolled_2018_enroll_swd_college,pct_enrolled_2018_enroll_wh7_college,pct_enrolled_2018_noenro_am7_college,pct_enrolled_2018_noenro_as7_college,pct_enrolled_2018_noenro_all_college,pct_enrolled_2018_noenro_bl7_college,pct_enrolled_2018_noenro_eds_college,pct_enrolled_2018_noenro_els_college,pct_enrolled_2018_noenro_fem_college,pct_enrolled_2018_noenro_hi7_college,pct_enrolled_2018_noenro_male_college,pct_enrolled_2018_noenro_mu7_college,pct_enrolled_2018_noenro_swd_college,pct_enrolled_2018_noenro_wh7_college
120308,,0.0,4.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,,0.0,3.0,,1.0,58.0,10.0,43.0,2.0,20.0,4.0,38.0,3.0,,12.0,40.0,,,,,,,,,,,,,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
120310,,8.0,53.0,1.0,18.0,,39.0,2.0,14.0,1.0,,,41.0,,0.0,8.0,0.0,2.0,,5.0,1.0,3.0,0.0,,,7.0,,,0.8688524590000001,,0.9,,0.8863636364,,0.8235294118,,,0.8541666667,,,,,,,,,,,,
120314,,5.0,124.0,0.0,35.0,0.0,63.0,5.0,61.0,4.0,1.0,3.0,109.0,,6.0,105.0,1.0,58.0,3.0,44.0,8.0,61.0,2.0,0.0,30.0,88.0,,,0.5414847161999999,,0.376344086,,0.5887850467,,0.5,,,0.5532994924,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
120318,0.0,8.0,144.0,17.0,50.0,1.0,79.0,11.0,65.0,9.0,1.0,10.0,98.0,1.0,4.0,130.0,16.0,71.0,9.0,55.0,22.0,75.0,3.0,0.0,37.0,84.0,,,0.5255474453,0.5151515152,0.4132231405,,0.5895522388000001,0.3333333333,0.4642857143,,0.2127659574,0.5384615385,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
120346,,6.0,88.0,1.0,26.0,1.0,38.0,5.0,50.0,1.0,,8.0,75.0,,4.0,67.0,2.0,44.0,1.0,21.0,8.0,46.0,0.0,,14.0,53.0,,,0.5677419355,,0.3714285714,,0.6440677965999999,,0.5208333333,,,0.5859375,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
120352,,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,2.0,,1.0,,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
120370,2.0,2.0,130.0,2.0,31.0,0.0,65.0,22.0,65.0,4.0,,6.0,98.0,1.0,2.0,84.0,3.0,39.0,10.0,27.0,17.0,57.0,2.0,,17.0,59.0,,,0.6074766355,,0.4428571429,,0.7065217390999999,0.5641025640999999,0.5327868852000001,,,0.6242038217,,,0.05,,0.05,0.05,0.05,0.05,0.05,,0.05,0.05
130307,6.0,20.0,308.0,72.0,39.0,1.0,165.0,16.0,143.0,13.0,2.0,14.0,179.0,1.0,3.0,79.0,24.0,25.0,0.0,31.0,5.0,48.0,2.0,0.0,12.0,44.0,,0.8695652173999999,0.7958656331,0.75,0.609375,,0.8418367347,0.7619047619,0.7486910995,0.8666666667,0.5384615385,0.802690583,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
130310,2.0,5.0,235.0,58.0,65.0,1.0,130.0,25.0,105.0,8.0,,6.0,137.0,1.0,2.0,138.0,32.0,61.0,6.0,64.0,31.0,74.0,5.0,,24.0,67.0,,,0.6300268097,0.6444444443999999,0.5158730159,,0.6701030928,0.4464285714,0.5865921788,,,0.6715686275,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
130314,1.0,5.0,180.0,37.0,61.0,1.0,107.0,24.0,73.0,2.0,1.0,8.0,110.0,0.0,0.0,118.0,39.0,71.0,6.0,55.0,37.0,63.0,5.0,0.0,24.0,37.0,,,0.6040268456,0.4868421053,0.4621212121,,0.6604938271999999,0.393442623,0.5367647059,,,0.7482993197,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
130316,,2.0,174.0,37.0,52.0,3.0,99.0,27.0,75.0,1.0,1.0,5.0,106.0,,0.0,145.0,50.0,80.0,11.0,71.0,43.0,74.0,7.0,0.0,27.0,45.0,,,0.5454545454999999,0.4252873563,0.3939393939,,0.5823529411999999,0.3857142857,0.5033557047,,,0.701986755,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05
130324,2.0,1.0,140.0,3.0,23.0,0.0,80.0,5.0,60.0,3.0,,4.0,126.0,4.0,0.0,82.0,2.0,32.0,1.0,33.0,3.0,49.0,2.0,,14.0,71.0,,,0.6306306306,,0.4181818182,,0.7079646018000001,,0.5504587156,,,0.6395939086,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
130326,,6.0,182.0,36.0,51.0,2.0,102.0,20.0,80.0,3.0,,5.0,117.0,,2.0,104.0,21.0,50.0,6.0,46.0,32.0,58.0,6.0,,17.0,43.0,,,0.6363636364,0.6315789474,0.504950495,,0.6891891892,0.3846153846,0.5797101449000001,,,0.73125,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
130332,3.0,24.0,337.0,64.0,43.0,2.0,161.0,13.0,176.0,12.0,,11.0,221.0,0.0,3.0,95.0,25.0,28.0,2.0,38.0,12.0,57.0,3.0,,8.0,52.0,,0.8888888889,0.7800925926000001,0.7191011236,0.6056338028,,0.8090452261,0.52,0.7553648069,0.8,0.5789473684,0.8095238095,,,0.05,0.05,0.05,,0.05,0.05,0.05,,,0.05
130333,,,14.0,2.0,2.0,,9.0,1.0,5.0,0.0,,0.0,11.0,,,36.0,4.0,15.0,,22.0,8.0,14.0,2.0,,5.0,22.0,,,0.28,,,,,,,,,0.3333333333,,,0.05,,0.05,,0.05,,0.05,,,0.05
130350,,1.0,22.0,8.0,5.0,,17.0,3.0,5.0,,,,10.0,,1.0,27.0,6.0,9.0,,22.0,3.0,5.0,,,,17.0,,,0.4489795918,,,,0.4358974359,,,,,0.3703703704,,,0.05,,,,0.05,,,,,0.05
132304,,4.0,170.0,71.0,,2.0,93.0,20.0,77.0,10.0,,6.0,65.0,,2.0,193.0,61.0,,16.0,78.0,61.0,115.0,6.0,,32.0,63.0,,,0.4683195592,0.5378787879,,,0.5438596491,0.2469135802,0.4010416667,0.625,,0.5078125,,,0.05,0.05,,0.05,0.05,0.05,0.05,,0.05,0.05
13A000,,2.0,27.0,8.0,,1.0,16.0,3.0,11.0,2.0,,4.0,12.0,,0.0,21.0,5.0,,1.0,12.0,3.0,9.0,1.0,,1.0,12.0,,,0.5625,,,,0.5714285714,,0.55,,,0.5,,,0.05,,,,0.05,,,,,0.05
140305,,,44.0,0.0,13.0,,19.0,3.0,25.0,1.0,,2.0,40.0,,,11.0,1.0,5.0,,4.0,1.0,7.0,0.0,,1.0,9.0,,,0.8,,0.7222222222,,0.8260869565000001,,0.78125,,,0.8163265306,,,0.05,,,,,,,,,
140309,1.0,1.0,53.0,1.0,10.0,,31.0,5.0,22.0,1.0,,,44.0,0.0,1.0,26.0,2.0,7.0,,14.0,3.0,12.0,0.0,,,20.0,,,0.6708860759,,0.5882352941,,0.6888888889,,0.6470588235,,,0.6875,,,0.05,,,,0.05,,0.05,,,0.05
140348,,2.0,114.0,13.0,43.0,1.0,66.0,7.0,48.0,5.0,,7.0,87.0,,1.0,88.0,11.0,52.0,7.0,35.0,15.0,53.0,6.0,,13.0,55.0,,,0.5643564356,0.5416666667,0.4526315789,,0.6534653465,,0.4752475248,,,0.6126760563,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
140386,0.0,1.0,195.0,3.0,43.0,1.0,120.0,10.0,75.0,3.0,,6.0,178.0,1.0,2.0,202.0,2.0,102.0,6.0,76.0,16.0,126.0,7.0,,33.0,174.0,,,0.4911838791,,0.2965517241,,0.6122448979999999,0.3846153846,0.3731343284000001,,,0.5056818182,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
140390,,2.0,97.0,14.0,50.0,0.0,57.0,10.0,40.0,7.0,,4.0,64.0,,0.0,107.0,12.0,75.0,2.0,38.0,12.0,69.0,4.0,,17.0,79.0,,,0.4754901961,0.5384615385,0.4,,0.6,0.4545454545000001,0.3669724771,,,0.4475524476,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
150304,,3.0,73.0,8.0,14.0,,46.0,0.0,27.0,3.0,,1.0,59.0,,1.0,39.0,4.0,7.0,,11.0,2.0,28.0,4.0,,3.0,28.0,,,0.6517857143,,0.6666666667,,0.8070175439,,0.4909090909,,,0.6781609195,,,0.05,,,,0.05,,0.05,,,0.05
150350,,1.0,12.0,2.0,3.0,,10.0,,2.0,,,0.0,9.0,,0.0,7.0,1.0,2.0,,4.0,,3.0,,,1.0,6.0,,,0.6315789474,,,,0.7142857143000001,,,,,,,,,,,,,,,,,
160309,,,1.0,,,,,,1.0,,,,1.0,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
160313,,,80.0,7.0,17.0,,53.0,0.0,27.0,1.0,,3.0,72.0,,,52.0,6.0,21.0,,16.0,2.0,36.0,2.0,,12.0,42.0,,,0.6060606061,,0.4473684211,,0.768115942,,0.4285714286,,,0.6315789474,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
160314,0.0,3.0,145.0,4.0,21.0,,72.0,6.0,73.0,8.0,1.0,10.0,123.0,1.0,0.0,61.0,0.0,21.0,,25.0,2.0,36.0,2.0,0.0,13.0,56.0,,,0.7038834951,,0.5,,0.7422680412,,0.6697247706,,0.4347826087,0.687150838,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
160344,0.0,5.0,191.0,8.0,33.0,1.0,105.0,14.0,86.0,9.0,,5.0,155.0,1.0,0.0,93.0,6.0,35.0,1.0,32.0,11.0,61.0,8.0,,18.0,67.0,,,0.6725352112999999,,0.4852941176,,0.7664233576999999,0.56,0.5850340136,,,0.6981981982,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
170316,0.0,1.0,110.0,42.0,50.0,0.0,58.0,8.0,52.0,2.0,,2.0,57.0,1.0,0.0,79.0,33.0,47.0,1.0,27.0,5.0,52.0,5.0,,20.0,35.0,,,0.582010582,0.56,0.5154639175,,0.6823529412,,0.5,,,0.6195652174,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
180308,,4.0,141.0,4.0,17.0,1.0,76.0,4.0,65.0,4.0,,0.0,125.0,,0.0,63.0,0.0,26.0,2.0,29.0,6.0,34.0,0.0,,9.0,57.0,,,0.6911764706,,0.3953488372,,0.7238095238,,0.6565656566,,,0.6868131868,,,0.05,,0.05,,0.05,,0.05,,,0.05
180320,1.0,9.0,103.0,6.0,33.0,1.0,52.0,12.0,51.0,6.0,,0.0,69.0,0.0,9.0,99.0,7.0,57.0,3.0,44.0,19.0,55.0,10.0,,8.0,54.0,,,0.5099009901,,0.3666666667,,0.5416666667,0.3870967742,0.4811320755,,,0.5609756097999999,,,0.05,,0.05,,0.05,0.05,0.05,0.05,,0.05
180323,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,8.0,1.0,7.0,,4.0,1.0,4.0,,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
180325,,9.0,62.0,2.0,21.0,,45.0,11.0,17.0,2.0,,,38.0,,3.0,22.0,1.0,15.0,,11.0,4.0,11.0,1.0,,,13.0,,,0.7380952381,,0.5833333333,,0.8035714286,0.7333333333,0.6071428571,,,0.7450980392000001,,,0.05,,0.05,,0.05,,0.05,,,0.05
180340,,13.0,139.0,2.0,28.0,2.0,85.0,8.0,54.0,6.0,,7.0,110.0,,8.0,101.0,3.0,44.0,4.0,42.0,9.0,59.0,3.0,,19.0,78.0,,0.6190476189999999,0.5791666667,,0.3888888889,,0.6692913386,,0.4778761062,,,0.585106383,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
180348,,9.0,134.0,8.0,37.0,1.0,67.0,9.0,67.0,9.0,,6.0,99.0,,7.0,93.0,8.0,45.0,2.0,33.0,12.0,60.0,8.0,,18.0,58.0,,,0.59030837,,0.4512195122,,0.67,,0.5275590551,,,0.6305732484000001,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
180376,1.0,11.0,196.0,7.0,57.0,0.0,109.0,34.0,87.0,4.0,,3.0,139.0,0.0,2.0,125.0,14.0,68.0,17.0,47.0,49.0,78.0,6.0,,13.0,54.0,,0.8461538462,0.6105919003,,0.456,,0.6987179487,0.4096385542,0.5272727273,,,0.7202072539,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05
181318,,2.0,16.0,5.0,,0.0,13.0,3.0,3.0,1.0,,2.0,5.0,,0.0,16.0,3.0,,1.0,11.0,1.0,5.0,3.0,,1.0,9.0,,,0.5,,,,0.5416666667,,,,,,,,0.05,,,,0.05,,,,,
181322,1.0,12.0,166.0,32.0,51.0,5.0,75.0,26.0,91.0,9.0,,6.0,86.0,1.0,4.0,93.0,25.0,61.0,8.0,36.0,37.0,57.0,5.0,,12.0,21.0,,0.75,0.6409266409000001,0.5614035088,0.4553571429,,0.6756756757,0.4126984127,0.6148648649,,,0.8037383178,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
182304,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,1.0,7.0,,4.0,,4.0,1.0,3.0,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
182316,,4.0,90.0,12.0,29.0,0.0,50.0,18.0,40.0,2.0,,2.0,54.0,,2.0,92.0,10.0,57.0,5.0,39.0,33.0,53.0,7.0,,21.0,40.0,,,0.4945054945,0.5454545454999999,0.3372093023,,0.5617977528,0.3529411765,0.4301075269,,,0.5744680851,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
182700,,2.0,50.0,5.0,11.0,,32.0,4.0,18.0,4.0,,,35.0,,0.0,5.0,0.0,1.0,,3.0,1.0,2.0,1.0,,,3.0,,,0.9090909091,,0.9166666667,,0.9142857143,,0.9,,,0.9210526316,,,,,,,,,,,,
190310,,,2.0,0.0,1.0,,0.0,1.0,2.0,0.0,,0.0,1.0,,,19.0,8.0,15.0,,9.0,4.0,10.0,1.0,,3.0,6.0,,,,,,,,,,,,,,,0.05,,0.05,,,,0.05,,,
190316,,0.0,67.0,10.0,16.0,1.0,35.0,7.0,32.0,1.0,,2.0,49.0,,1.0,33.0,3.0,20.0,0.0,11.0,3.0,22.0,2.0,,5.0,24.0,,,0.67,0.7692307692,0.4444444444,,0.7608695651999999,,0.5925925926,,,0.6712328767,,,0.05,,0.05,,0.05,,0.05,,,0.05
190336,,1.0,101.0,16.0,70.0,7.0,61.0,55.0,40.0,4.0,,10.0,25.0,,0.0,81.0,13.0,58.0,11.0,32.0,42.0,49.0,4.0,,19.0,22.0,,,0.5549450549,0.5517241379,0.546875,,0.6559139785,0.5670103093,0.4494382022,,0.3448275862,0.5319148936,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05
190342,,2.0,244.0,31.0,39.0,1.0,146.0,32.0,98.0,3.0,,9.0,176.0,,0.0,74.0,7.0,28.0,3.0,27.0,18.0,47.0,3.0,,17.0,46.0,,,0.7672955975,0.8157894737000001,0.5820895522,,0.8439306357999999,0.64,0.675862069,,,0.7927927928,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
19A000,,,37.0,6.0,,,18.0,1.0,19.0,1.0,,,29.0,,,9.0,2.0,,,4.0,0.0,5.0,0.0,,,7.0,,,0.8043478261,,,,0.8181818181999999,,0.7916666667,,,0.8055555556,,,,,,,,,,,,
19B000,,2.0,42.0,,,,29.0,4.0,13.0,,1.0,2.0,35.0,,0.0,4.0,,,,1.0,0.0,3.0,,0.0,0.0,4.0,,,0.9130434783,,,,0.95,,0.8125,,,0.8974358974,,,,,,,,,,,,
200308,0.0,1.0,33.0,0.0,16.0,,16.0,0.0,17.0,0.0,,1.0,32.0,1.0,1.0,30.0,1.0,19.0,,13.0,1.0,17.0,3.0,,9.0,23.0,,,0.5238095238,,0.4571428571,,0.5517241379,,0.5,,,0.5818181818,,,0.05,,0.05,,0.05,,0.05,,,0.05
200314,1.0,,22.0,,13.0,,12.0,1.0,10.0,1.0,,0.0,19.0,0.0,,20.0,,10.0,,10.0,0.0,10.0,1.0,,2.0,19.0,,,0.5238095238,,0.5652173913,,0.5454545454999999,,0.5,,,0.5,,,0.05,,0.05,,0.05,,0.05,,,0.05
200322,0.0,,6.0,,0.0,1.0,3.0,,3.0,0.0,,0.0,6.0,2.0,,27.0,,2.0,0.0,11.0,,16.0,1.0,,6.0,24.0,,,,,,,,,,,,,,,0.05,,,,0.05,,0.05,,,0.05
200328,1.0,,71.0,4.0,23.0,,40.0,1.0,31.0,2.0,,2.0,63.0,3.0,,38.0,2.0,19.0,,13.0,3.0,25.0,0.0,,5.0,30.0,,,0.6513761468,,0.5476190476,,0.7547169811,,0.5535714286,,,0.6774193548,,,0.05,,0.05,,0.05,,0.05,,,0.05
200350,0.0,,25.0,,6.0,,17.0,1.0,8.0,1.0,,1.0,23.0,1.0,,5.0,,4.0,,4.0,0.0,1.0,0.0,,0.0,4.0,,,0.8333333333,,,,0.8095238095,,,,,0.8518518519,,,,,,,,,,,,
210312,,0.0,89.0,38.0,41.0,,52.0,4.0,37.0,4.0,,2.0,43.0,,2.0,54.0,35.0,37.0,,22.0,3.0,32.0,0.0,,12.0,14.0,,,0.6223776224,0.5205479452,0.5256410256,,0.7027027026999999,,0.5362318841,,,0.7543859649,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
220310,,,52.0,1.0,13.0,1.0,30.0,3.0,22.0,1.0,,5.0,47.0,,,42.0,0.0,20.0,0.0,14.0,2.0,28.0,0.0,,16.0,40.0,,,0.5531914894,,0.3939393939,,0.6818181818000001,,0.44,,,0.5402298851,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
230312,,0.0,133.0,21.0,50.0,0.0,79.0,3.0,54.0,4.0,,4.0,105.0,,1.0,104.0,15.0,52.0,2.0,45.0,8.0,59.0,2.0,,25.0,78.0,,,0.5611814346,0.5833333333,0.4901960784,,0.6370967742,,0.4778761062,,,0.5737704918,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
230322,,3.0,30.0,8.0,16.0,,20.0,5.0,10.0,,,1.0,14.0,,0.0,21.0,2.0,13.0,,8.0,1.0,13.0,,,1.0,18.0,,,0.5882352941,,0.5517241379,,0.7142857143000001,,0.4347826087,,,0.4375,,,0.05,,0.05,,,,0.05,,,0.05
230324,,,136.0,18.0,26.0,0.0,77.0,4.0,59.0,9.0,,7.0,105.0,,,127.0,30.0,63.0,2.0,49.0,4.0,78.0,4.0,,28.0,89.0,,,0.5171102662,0.375,0.2921348315,,0.6111111111,,0.4306569343,,,0.5412371134,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
230330,,,3.0,0.0,0.0,,2.0,0.0,1.0,0.0,,1.0,3.0,,,43.0,21.0,7.0,,16.0,1.0,27.0,6.0,,13.0,15.0,,,,,,,,,,,,,,,0.05,0.05,,,0.05,,0.05,,0.05,0.05
230350,1.0,11.0,163.0,27.0,49.0,2.0,82.0,1.0,81.0,8.0,,7.0,115.0,0.0,0.0,106.0,23.0,59.0,1.0,39.0,6.0,67.0,8.0,,16.0,69.0,,0.95,0.6059479554,0.54,0.4537037037,,0.6776859504,,0.5472972973,,,0.625,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
230359,,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,13.0,3.0,,,2.0,,11.0,,,8.0,10.0,,,,,,,,,,,,,,,0.05,,,,,,0.05,,,0.05
230361,,2.0,139.0,62.0,63.0,,69.0,4.0,70.0,5.0,,8.0,66.0,,0.0,85.0,48.0,63.0,,44.0,7.0,41.0,3.0,,20.0,27.0,,,0.6205357143,0.5636363636,0.5,,0.610619469,,0.6306306306,,,0.7096774194,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
240334,17.0,,56.0,19.0,,0.0,34.0,2.0,22.0,2.0,,2.0,16.0,10.0,,42.0,15.0,,1.0,12.0,6.0,30.0,2.0,,6.0,9.0,0.6296296296,,0.5714285714,0.5588235294,,,0.7391304348000001,,0.4230769231,,,0.64,0.05,,0.05,0.05,,,0.05,,0.05,,,
240371,,,85.0,12.0,,1.0,57.0,2.0,28.0,1.0,,0.0,70.0,,,72.0,19.0,,2.0,27.0,8.0,45.0,1.0,,13.0,44.0,,,0.5414012739,0.3870967742,,,0.6785714286,,0.3835616438,,,0.6140350877,,,0.05,0.05,,,0.05,,0.05,,0.05,0.05
240373,1.0,,29.0,9.0,,,18.0,1.0,11.0,,,0.0,18.0,0.0,,27.0,8.0,,,16.0,3.0,11.0,,,1.0,16.0,,,0.5178571429,,,,0.5294117647,,0.5,,,0.5294117647,,,0.05,,,,0.05,,0.05,,,0.05
240380,0.0,,38.0,12.0,0.0,0.0,21.0,1.0,17.0,1.0,,1.0,24.0,1.0,,58.0,27.0,1.0,1.0,27.0,5.0,31.0,3.0,,9.0,22.0,,,0.3958333333,0.3076923077,,,0.4375,,0.3541666667,,,0.5217391304,,,0.05,0.05,,,0.05,,0.05,,,0.05
241312,0.0,,2.0,2.0,,,1.0,,1.0,0.0,,0.0,0.0,1.0,,12.0,6.0,,,4.0,,8.0,1.0,,1.0,4.0,,,,,,,,,,,,,,,0.05,,,,,,,,,
241316,1.0,,102.0,34.0,0.0,0.0,56.0,4.0,46.0,1.0,,4.0,62.0,1.0,,51.0,27.0,1.0,2.0,22.0,6.0,29.0,2.0,,9.0,15.0,,,0.6666666667,0.5573770492,,,0.7179487179,,0.6133333333,,,0.8051948052,,,0.05,0.05,,,0.05,,0.05,,,0.05
24B000,,,6.0,0.0,,0.0,4.0,1.0,2.0,2.0,,0.0,3.0,,,15.0,1.0,,1.0,6.0,3.0,9.0,4.0,,2.0,7.0,,,,,,,,,,,,,,,0.05,,,,,,,,,
250314,,3.0,28.0,5.0,7.0,,14.0,1.0,14.0,1.0,,0.0,18.0,,0.0,14.0,5.0,3.0,,7.0,2.0,7.0,0.0,,1.0,7.0,,,0.6666666667,,,,0.6666666667,,0.6666666667,,,0.72,,,0.05,,,,,,,,,
250321,1.0,,24.0,5.0,3.0,,11.0,1.0,13.0,1.0,,1.0,16.0,0.0,,12.0,0.0,5.0,,5.0,2.0,7.0,0.0,,0.0,10.0,,,0.6666666667,,,,0.6875,,0.65,,,0.6153846154,,,0.05,,,,,,,,,0.05
250340,1.0,5.0,132.0,39.0,32.0,0.0,69.0,14.0,63.0,8.0,2.0,7.0,63.0,1.0,2.0,122.0,42.0,55.0,3.0,54.0,11.0,68.0,7.0,1.0,14.0,58.0,,,0.5196850394,0.4814814815,0.367816092,,0.5609756097999999,0.56,0.4809160305,,,0.520661157,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
250356,,14.0,219.0,65.0,70.0,3.0,142.0,9.0,77.0,9.0,1.0,8.0,121.0,,13.0,175.0,68.0,92.0,4.0,79.0,16.0,96.0,5.0,0.0,30.0,73.0,,0.5185185185,0.5558375635,0.4887218045,0.4320987654,,0.6425339367,,0.4450867052,,,0.6237113402000001,,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
250372,1.0,1.0,107.0,28.0,34.0,0.0,56.0,4.0,51.0,2.0,,5.0,71.0,1.0,1.0,110.0,37.0,71.0,1.0,47.0,8.0,63.0,4.0,,20.0,59.0,,,0.4930875576,0.4307692308,0.3238095238,,0.5436893204,,0.4473684211,,,0.5461538462,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
260318,5.0,22.0,309.0,93.0,67.0,2.0,160.0,32.0,149.0,30.0,2.0,17.0,125.0,3.0,2.0,149.0,50.0,56.0,2.0,62.0,18.0,87.0,18.0,1.0,23.0,57.0,,0.9166666667,0.6746724891,0.6503496503,0.5447154472,,0.7207207206999999,0.64,0.6313559322,0.625,0.425,0.6868131868,,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,0.05,0.05
260322,2.0,1.0,74.0,42.0,,1.0,43.0,4.0,31.0,8.0,,5.0,17.0,3.0,1.0,128.0,62.0,,4.0,52.0,18.0,76.0,10.0,,34.0,34.0,,,0.3663366337,0.4038461538000001,,,0.4526315789,,0.2897196262,,,0.3333333333,,,0.05,0.05,,,0.05,0.05,0.05,0.05,0.05,0.05
260325,7.0,3.0,218.0,50.0,72.0,1.0,135.0,18.0,83.0,10.0,1.0,12.0,129.0,3.0,0.0,139.0,41.0,79.0,5.0,52.0,13.0,87.0,12.0,0.0,32.0,70.0,,,0.6106442577000001,0.5494505495,0.4768211921,,0.7219251337,0.5806451613,0.4882352941,0.4545454545000001,0.2727272727,0.648241206,,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,0.05,0.05
260347,,2.0,54.0,33.0,25.0,,36.0,10.0,18.0,4.0,,,5.0,,0.0,4.0,3.0,3.0,,4.0,0.0,0.0,0.0,,,1.0,,,0.9310344828,0.9166666667,0.8928571429000001,,0.9,0.95,0.95,,,,,,,,,,,,,,,
260354,1.0,3.0,49.0,27.0,24.0,,39.0,5.0,10.0,6.0,,,7.0,0.0,1.0,6.0,4.0,5.0,,5.0,0.0,1.0,0.0,,,1.0,,,0.8909090909,0.8709677418999999,0.8275862069,,0.8863636364,,0.9090909091,,,,,,,,,,,,,,,
260357,4.0,3.0,139.0,36.0,37.0,0.0,88.0,16.0,51.0,9.0,,7.0,71.0,11.0,1.0,180.0,45.0,76.0,4.0,73.0,25.0,107.0,10.0,,28.0,88.0,,,0.4357366771,0.4444444444,0.3274336283,,0.5465838509000001,0.3902439024,0.32278481010000004,,,0.4465408805,0.05,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,0.05,0.05
260359,2.0,0.0,110.0,85.0,0.0,0.0,63.0,9.0,47.0,10.0,0.0,13.0,4.0,1.0,1.0,119.0,86.0,1.0,2.0,55.0,16.0,64.0,4.0,1.0,18.0,10.0,,,0.480349345,0.4970760234,,,0.5338983051,,0.4234234234000001,0.7142857143000001,0.4193548387,,,,0.05,0.05,,,0.05,0.05,0.05,,0.05,0.05
260374,0.0,,16.0,14.0,,1.0,10.0,0.0,6.0,0.0,,2.0,2.0,4.0,,80.0,59.0,,2.0,41.0,7.0,39.0,7.0,,20.0,3.0,,,0.1666666667,0.1917808219,,,0.1960784314,,,,,,,,0.05,0.05,,,0.05,,0.05,,0.05,
