agency_code,count_2018_enroll_am7_college,count_2018_enroll_as7_college,count_2018_enroll_all_college,count_2018_enroll_bl7_college,count_2018_enroll_eds_college,count_2018_enroll_els_college,count_2018_enroll_fem_college,count_2018_enroll_hi7_college,count_2018_enroll_male_college,count_2018_enroll_mu7_college,count_2018_enroll_pi7_college,count_2018_enroll_swd_college,count_2018_enroll_wh7_college,count_2018_noenro_am7_college,count_2018_noenro_as7_college,count_2018_noenro_all_college,count_2018_noenro_bl7_college,count_2018_noenro_eds_college,count_2018_noenro_els_college,count_2018_noenro_fem_college,count_2018_noenro_hi7_college,count_2018_noenro_male_college,count_2018_noenro_mu7_college,count_2018_noenro_pi7_college,count_2018_noenro_swd_college,count_2018_noenro_wh7_college,pct_enrolled_2018_enroll_am7_college,pct_enrolled_2018_enroll_as7_college,pct_enrolled_2018_enroll_all_college,pct_enrolled_2018_enroll_bl7_college,pct_enrolled_2018_enroll_eds_college,pct_enrolled_2018_enroll_els_college,pct_enrolled_2018_enroll_fem_college,pct_enrolled_2018_enroll_hi7_college,pct_enrolled_2018_enroll_male_college,pct_enrolled_2018_enroll_mu7_college,pct_enrolled_2018_enroll_swd_college,pct_enrolled_2018_enroll_wh7_college,pct_enrolled_2018_noenro_am7_college,pct_enrolled_2018_noenro_as7_college,pct_enrolled_2018_noenro_all_college,pct_enrolled_2018_noenro_bl7_college,pct_enrolled_2018_noenro_eds_college,pct_enrolled_2018_noenro_els_college,pct_enrolled_2018_noenro_fem_college,pct_enrolled_2018_noenro_hi7_college,pct_enrolled_2018_noenro_male_college,pct_enrolled_2018_noenro_mu7_college,pct_enrolled_2018_noenro_swd_college,pct_enrolled_2018_noenro_wh7_college
020302,,4.0,210.0,10.0,42.0,,114.0,12.0,96.0,6.0,,7.0,178.0,,1.0,140.0,3.0,59.0,,51.0,16.0,89.0,7.0,,24.0,113.0,,,0.6,0.7692307692,0.4158415842,,0.6909090909000001,0.4285714286,0.5189189189,,,0.6116838488,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
030304,0.0,,47.0,1.0,18.0,0.0,24.0,7.0,23.0,0.0,,2.0,39.0,1.0,,45.0,0.0,31.0,1.0,21.0,8.0,24.0,1.0,,7.0,35.0,,,0.5108695652,,0.3673469388,,0.5333333333,,0.4893617021,,,0.527027027,,,0.05,,0.05,,0.05,,0.05,,,0.05
040304,,1.0,38.0,14.0,,,33.0,,5.0,1.0,,1.0,22.0,,1.0,23.0,9.0,,,13.0,,10.0,1.0,,1.0,12.0,,,0.6229508197,0.6086956522,,,0.7173913043000001,,,,,0.6470588235,,,0.05,,,,0.05,,0.05,,,0.05
040305,,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,27.0,22.0,,,9.0,,18.0,,,6.0,5.0,,,,,,,,,,,,,,,0.05,0.05,,,,,0.05,,,
040306,0.0,4.0,77.0,42.0,,1.0,49.0,0.0,28.0,2.0,1.0,3.0,28.0,1.0,1.0,89.0,57.0,,0.0,35.0,3.0,54.0,0.0,0.0,15.0,27.0,,,0.4638554217,0.4242424242,,,0.5833333333,,0.3414634146,,,0.5090909091,,,0.05,0.05,,,0.05,,0.05,,0.05,0.05
050302,,1.0,128.0,1.0,48.0,0.0,71.0,10.0,57.0,2.0,,4.0,114.0,,0.0,75.0,1.0,49.0,1.0,27.0,7.0,48.0,0.0,,18.0,67.0,,,0.6305418719,,0.4948453608,,0.7244897959000001,0.5882352941,0.5428571429,,,0.6298342540999999,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
060302,,,32.0,1.0,18.0,0.0,18.0,3.0,14.0,,,2.0,28.0,,,40.0,0.0,30.0,5.0,18.0,10.0,22.0,,,8.0,30.0,,,0.4444444444,,0.375,,0.5,,0.3888888889,,,0.4827586207,,,0.05,,0.05,,0.05,0.05,0.05,,,0.05
060334,,,1.0,,1.0,,0.0,,1.0,,,1.0,1.0,,,13.0,,7.0,,3.0,,10.0,,,4.0,13.0,,,,,,,,,,,,,,,0.05,,,,,,0.05,,,0.05
060700,,,53.0,0.0,18.0,,35.0,2.0,18.0,,,,51.0,,,16.0,1.0,13.0,,8.0,2.0,8.0,,,,13.0,,,0.768115942,,0.5806451613,,0.8139534884,,0.6923076923,,,0.796875,,,0.05,,0.05,,,,,,,0.05
06B000,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
