agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
150350,,,,1.0,1.0,,1.0,,2.0,,,1.0,,,
160313,,46.0,4.0,4.0,,,8.0,33.0,4.0,,,1.0,,11.0,1.0
160314,2.0,36.0,9.0,9.0,,,11.0,44.0,,3.0,1.0,,,12.0,
160344,3.0,40.0,7.0,15.0,,,13.0,25.0,2.0,7.0,,,,14.0,
170316,,39.0,2.0,17.0,,,21.0,12.0,5.0,,12.0,30.0,2.0,,23.0
180308,1.0,62.0,2.0,7.0,,,15.0,32.0,3.0,5.0,,7.0,3.0,4.0,
180320,11.0,22.0,1.0,15.0,,,18.0,5.0,,12.0,,22.0,5.0,,
180325,,,,1.0,,,,,,,,,,,
180340,,35.0,10.0,,,,27.0,15.0,,10.0,,1.0,,,
180348,2.0,4.0,9.0,4.0,,,36.0,10.0,,15.0,,,1.0,,8.0
180376,5.0,4.0,30.0,13.0,,,33.0,3.0,,6.0,,8.0,3.0,7.0,
181318,10.0,,,,,,,7.0,1.0,12.0,9.0,,,,
181322,1.0,16.0,7.0,4.0,,,12.0,25.0,,9.0,3.0,,3.0,,13.0
182316,9.0,13.0,31.0,3.0,,,33.0,16.0,,5.0,,,,2.0,
182700,,,,,,,,,,4.0,,,,,
190310,,7.0,,1.0,,,,9.0,,,,,1.0,,
190316,,11.0,6.0,1.0,,,20.0,4.0,,4.0,1.0,,,,1.0
190336,1.0,25.0,21.0,1.0,,,37.0,13.0,,2.0,,3.0,18.0,13.0,15.0
190342,1.0,28.0,12.0,12.0,,,31.0,7.0,,14.0,2.0,,14.0,,10.0
19A000,,,,,,,1.0,,,,,1.0,,1.0,1.0
200308,,1.0,,,,,11.0,10.0,1.0,1.0,7.0,,,1.0,
200314,,2.0,7.0,,,,12.0,5.0,,,1.0,,,,
200322,1.0,3.0,1.0,,,,,2.0,,,,1.0,,,1.0
200328,27.0,28.0,1.0,,,,13.0,13.0,,7.0,,4.0,,,2.0
200350,1.0,,,,,,,,,,,1.0,,9.0,
210312,17.0,51.0,,6.0,,,17.0,15.0,,10.0,,14.0,4.0,,
220310,,18.0,7.0,6.0,,,18.0,23.0,,10.0,,,,,8.0
230312,8.0,66.0,33.0,10.0,3.0,,33.0,43.0,,13.0,6.0,17.0,,,
230322,,,1.0,,,,,,,,,7.0,,1.0,
230324,,43.0,12.0,3.0,5.0,,39.0,13.0,1.0,5.0,17.0,23.0,1.0,,9.0
230330,,1.0,3.0,6.0,,,,,,8.0,,1.0,1.0,,
230350,21.0,45.0,28.0,15.0,13.0,,29.0,29.0,2.0,7.0,34.0,42.0,1.0,14.0,2.0
230361,,1.0,26.0,1.0,,,43.0,16.0,1.0,9.0,6.0,28.0,1.0,1.0,1.0
240334,,19.0,,,,,10.0,,,,1.0,,,,3.0
240371,,21.0,1.0,,,,16.0,,,6.0,5.0,,,,5.0
240373,,,9.0,,,,,11.0,,,,6.0,,1.0,
240380,,20.0,,,,,15.0,,,2.0,,,,,6.0
241316,,5.0,7.0,,,,31.0,10.0,1.0,2.0,,4.0,,,2.0
24B000,,,,,,,,,,,,,1.0,,
250314,,,,,,,,,,1.0,,,,1.0,2.0
250321,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,
250340,16.0,17.0,1.0,1.0,,,16.0,19.0,,4.0,5.0,2.0,,23.0,4.0
250356,8.0,27.0,7.0,3.0,,3.0,34.0,29.0,,2.0,3.0,1.0,,3.0,
