agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
550320,14.0,20.0,7.0,7.0,,,24.0,17.0,2.0,9.0,7.0,4.0,2.0,2.0,
550332,8.0,7.0,9.0,2.0,,1.0,31.0,13.0,1.0,4.0,4.0,6.0,1.0,2.0,2.0
550344,5.0,3.0,7.0,11.0,,,26.0,11.0,2.0,10.0,9.0,1.0,1.0,1.0,3.0
550368,6.0,20.0,13.0,2.0,,,27.0,16.0,1.0,5.0,,6.0,,1.0,2.0
55A000,,1.0,,,,,,1.0,,,,,1.0,,
560320,,46.0,22.0,,,,15.0,36.0,,5.0,,17.0,,1.0,
560324,,2.0,3.0,,,,2.0,5.0,,2.0,,1.0,,,
560329,,,,2.0,,,,,,,,,,1.0,1.0
560332,,,6.0,1.0,,,,,,3.0,,4.0,1.0,,
560350,,2.0,2.0,,,,,4.0,,,,,,,
570317,,,,1.0,,,,,2.0,,6.0,1.0,,2.0,
570318,,33.0,22.0,,,,22.0,12.0,4.0,,3.0,19.0,,3.0,
580344,,32.0,1.0,,,,8.0,13.0,,2.0,,,,,
580368,,46.0,,,,,16.0,21.0,,,,1.0,,,
58B000,,2.0,,7.0,,,6.0,1.0,1.0,,,,8.0,,
590326,,,,,,,1.0,2.0,,,,,,,
590328,4.0,,,1.0,,,,,,4.0,,2.0,,,
590330,35.0,12.0,35.0,,5.0,,24.0,14.0,18.0,17.0,22.0,43.0,1.0,,10.0
590393,,,,,,,,,1.0,,,2.0,,,
600302,6.0,,23.0,3.0,,,7.0,111.0,,4.0,,,3.0,13.0,
600312,8.0,,11.0,9.0,,3.0,1.0,55.0,,17.0,,5.0,11.0,34.0,1.0
600334,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,3.0,
600341,,,,11.0,,1.0,,,,,,,,,
600361,42.0,,17.0,42.0,,12.0,52.0,25.0,,12.0,1.0,24.0,35.0,10.0,2.0
600364,,,,,,,,,,,3.0,,,,
600377,3.0,,2.0,12.0,,,29.0,37.0,,15.0,,,15.0,27.0,5.0
600386,,,,,,,39.0,,,,,,,,
600397,27.0,1.0,,22.0,,2.0,10.0,21.0,,18.0,,1.0,8.0,3.0,
600404,,,1.0,1.0,,,,1.0,,2.0,1.0,,,5.0,
600405,13.0,3.0,1.0,17.0,,,,17.0,,17.0,,3.0,26.0,7.0,7.0
600415,24.0,,,2.0,,,22.0,74.0,,12.0,,,30.0,55.0,10.0
600426,3.0,2.0,10.0,5.0,,,6.0,28.0,,18.0,,2.0,5.0,54.0,1.0
600439,,,1.0,1.0,,,,1.0,,,,,,,
600443,1.0,,1.0,,,,,,,1.0,,1.0,,2.0,
600445,20.0,,1.0,8.0,,,45.0,55.0,,2.0,,11.0,22.0,40.0,
600457,14.0,,18.0,11.0,,3.0,,45.0,,23.0,,13.0,51.0,1.0,3.0
600461,,5.0,,,,,,,,,,,,,
600466,,6.0,7.0,5.0,,,2.0,23.0,,11.0,,,6.0,7.0,10.0
600480,13.0,2.0,,68.0,,3.0,,47.0,11.0,24.0,,12.0,69.0,,13.0
600482,11.0,,,,,,,,,,,9.0,1.0,1.0,
600490,21.0,1.0,11.0,54.0,,17.0,64.0,18.0,,48.0,,9.0,17.0,119.0,
600496,19.0,,,1.0,,,128.0,,,87.0,,,,88.0,
600498,,,,8.0,,,1.0,13.0,,,,,8.0,,
600499,1.0,,1.0,3.0,,,,,,1.0,,,1.0,,
600508,,4.0,5.0,5.0,,,3.0,12.0,,37.0,,,3.0,16.0,7.0
600535,15.0,,9.0,22.0,,11.0,11.0,31.0,,11.0,,8.0,10.0,13.0,11.0
600567,,,,,,,,,,,,,,74.0,
600576,10.0,,2.0,4.0,,,26.0,20.0,7.0,3.0,,9.0,5.0,3.0,1.0
600579,35.0,3.0,3.0,12.0,,,,45.0,13.0,4.0,,,12.0,6.0,1.0
600592,4.0,1.0,,12.0,,,2.0,5.0,,18.0,,,19.0,31.0,4.0
600594,,,,1.0,,,2.0,,,1.0,,,1.0,1.0,
60I000,,,,,,,,,,,,,,,1.0
60K000,,,,,,,,1.0,,,,,,,
60S000,,1.0,,,,,,,,,,,,,
60U000,1.0,,1.0,3.0,,,1.0,,,,,1.0,2.0,,
610332,,,,,,,1.0,,,,,,,,
610334,,23.0,9.0,18.0,,6.0,30.0,12.0,1.0,10.0,1.0,28.0,3.0,11.0,10.0
61L000,,,,1.0,,,,2.0,,,,,1.0,,1.0
620310,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0
620316,,17.0,15.0,,,,18.0,4.0,,6.0,9.0,8.0,,1.0,15.0
620340,,18.0,2.0,,,1.0,22.0,4.0,1.0,2.0,9.0,4.0,,7.0,5.0
630330,2.0,1.0,,,,,1.0,2.0,,,,1.0,,,1.0
630332,,37.0,,3.0,,,32.0,8.0,,,,,,,18.0
630336,7.0,43.0,26.0,8.0,1.0,,35.0,26.0,,11.0,,7.0,5.0,3.0,14.0
630360,14.0,41.0,6.0,12.0,,,30.0,32.0,,11.0,,,7.0,16.0,12.0
640340,1.0,,1.0,,,,,,1.0,1.0,,,,,
640346,5.0,16.0,22.0,2.0,,,26.0,28.0,15.0,6.0,4.0,4.0,1.0,,10.0
640347,,,,2.0,,,,,,,2.0,,,,
640350,,29.0,32.0,2.0,,,19.0,54.0,8.0,11.0,1.0,6.0,,3.0,1.0
640361,16.0,9.0,10.0,20.0,4.0,,4.0,22.0,24.0,16.0,16.0,3.0,7.0,21.0,5.0
640364,,42.0,,7.0,,,27.0,1.0,,,,,,,15.0
650326,13.0,4.0,20.0,,,,29.0,31.0,7.0,27.0,,,,16.0,
650327,42.0,1.0,6.0,10.0,,,26.0,25.0,6.0,33.0,,,5.0,34.0,
650342,11.0,12.0,17.0,11.0,,,10.0,34.0,1.0,26.0,,1.0,5.0,13.0,
650352,13.0,18.0,9.0,7.0,,,2.0,16.0,9.0,5.0,,,1.0,11.0,3.0
650354,,,,,,,,1.0,,,,,,,
650355,,,1.0,,,1.0,,,,,,,,2.0,
650394,10.0,,3.0,10.0,1.0,1.0,,,5.0,2.0,,,,1.0,
660336,1.0,11.0,,2.0,,,,15.0,3.0,5.0,,7.0,,2.0,
660400,,,8.0,,,,1.0,,,,,1.0,,,1.0
66A000,,1.0,,,,,,,,,,,,,
670320,4.0,36.0,35.0,4.0,,,20.0,13.0,,18.0,,,,,
670324,2.0,107.0,51.0,18.0,,,58.0,64.0,1.0,14.0,,1.0,2.0,13.0,
670333,30.0,25.0,,7.0,,,46.0,27.0,,27.0,,,,39.0,
670340,11.0,90.0,29.0,13.0,,,42.0,36.0,,23.0,,,,16.0,
670344,,46.0,24.0,4.0,,,2.0,32.0,,12.0,18.0,,,,21.0
670352,44.0,43.0,36.0,14.0,,,61.0,53.0,1.0,9.0,,12.0,4.0,23.0,
670364,9.0,65.0,29.0,,,,,43.0,,15.0,,,,20.0,
680310,15.0,29.0,23.0,1.0,,4.0,16.0,10.0,1.0,5.0,,11.0,1.0,,
680332,9.0,89.0,13.0,2.0,,,,14.0,3.0,15.0,4.0,1.0,1.0,4.0,
680335,,1.0,,,,,,,,,,,,,
681305,10.0,,2.0,,,,,,,8.0,,1.0,2.0,17.0,
681308,7.0,5.0,4.0,,,,24.0,6.0,,16.0,4.0,,1.0,4.0,3.0
681314,1.0,1.0,1.0,1.0,,,30.0,2.0,,,1.0,,2.0,31.0,
681338,,,,1.0,,,,,,,,,,,
690320,,19.0,16.0,,,,14.0,6.0,4.0,5.0,1.0,,,8.0,
69A000,,,,2.0,,,,,,,,,1.0,,
700317,,48.0,,16.0,,,20.0,1.0,,,,2.0,2.0,8.0,4.0
700319,,58.0,18.0,18.0,,4.0,2.0,13.0,,1.0,19.0,1.0,12.0,1.0,
710321,,79.0,49.0,,,,9.0,13.0,1.0,,,,,3.0,
710326,,13.0,45.0,9.0,,,52.0,1.0,,,,,1.0,,
710327,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,
710342,9.0,19.0,21.0,10.0,,,41.0,63.0,3.0,1.0,,5.0,11.0,21.0,1.0
720316,9.0,10.0,1.0,9.0,,,14.0,1.0,,15.0,7.0,2.0,,,4.0
730352,12.0,68.0,62.0,11.0,2.0,,35.0,52.0,7.0,6.0,7.0,9.0,14.0,7.0,6.0
740309,,52.0,9.0,7.0,,,32.0,25.0,,8.0,,,1.0,,13.0
740333,1.0,21.0,55.0,21.0,,,77.0,30.0,3.0,51.0,8.0,,2.0,,18.0
740344,3.0,19.0,13.0,4.0,,,31.0,15.0,4.0,7.0,,11.0,1.0,,8.0
740366,11.0,16.0,30.0,6.0,,,23.0,52.0,10.0,10.0,,8.0,5.0,6.0,6.0
740374,,48.0,30.0,6.0,,,34.0,33.0,3.0,8.0,1.0,2.0,,,
740388,27.0,21.0,39.0,6.0,,,86.0,95.0,4.0,23.0,,5.0,2.0,,11.0
740500,,,,,,,,,,,2.0,,,,
750317,,,1.0,,,,,,,,,,,,
750318,,46.0,28.0,,,,28.0,16.0,,3.0,8.0,2.0,,3.0,
760318,3.0,36.0,18.0,6.0,,,13.0,2.0,5.0,9.0,,3.0,,1.0,
760339,,39.0,44.0,30.0,,,34.0,9.0,1.0,18.0,1.0,2.0,1.0,,
760348,,28.0,,,,,29.0,10.0,25.0,8.0,1.0,29.0,4.0,3.0,27.0
760354,2.0,,,4.0,,,,,,,,1.0,,,
760358,,38.0,41.0,7.0,,,35.0,22.0,10.0,9.0,4.0,2.0,,,2.0
760380,1.0,52.0,7.0,10.0,7.0,,22.0,31.0,,4.0,,,3.0,,
760388,,21.0,12.0,8.0,,,44.0,18.0,17.0,9.0,,2.0,4.0,,26.0
761304,21.0,18.0,2.0,6.0,,2.0,50.0,23.0,6.0,11.0,6.0,8.0,7.0,21.0,9.0
76A000,,,2.0,,,,3.0,,,,,1.0,,,1.0
770342,,,,2.0,,,,1.0,,,,,,,2.0
770348,10.0,16.0,33.0,32.0,,13.0,86.0,76.0,,38.0,19.0,15.0,14.0,20.0,20.0
770349,,,,5.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,2.0,
780325,1.0,21.0,5.0,52.0,,14.0,36.0,,,3.0,4.0,2.0,5.0,,
780342,18.0,109.0,3.0,37.0,,,88.0,64.0,1.0,43.0,9.0,14.0,,2.0,3.0
780385,1.0,,1.0,8.0,,1.0,,,,,,,,,
780391,1.0,17.0,4.0,20.0,,,19.0,6.0,1.0,1.0,1.0,,10.0,,6.0
780401,5.0,124.0,6.0,,,,9.0,30.0,,4.0,,4.0,,1.0,2.0
780402,,23.0,,14.0,,,20.0,14.0,,,1.0,2.0,2.0,,
780420,2.0,72.0,19.0,3.0,,10.0,86.0,10.0,,10.0,3.0,9.0,,2.0,4.0
790314,5.0,21.0,10.0,,,,21.0,20.0,,6.0,,2.0,2.0,13.0,
790354,6.0,23.0,1.0,2.0,,,26.0,25.0,1.0,14.0,,2.0,1.0,7.0,16.0
790366,10.0,11.0,,,,1.0,7.0,26.0,,9.0,,,,,
790378,10.0,20.0,2.0,2.0,,1.0,38.0,9.0,,10.0,31.0,7.0,,2.0,11.0
800308,,3.0,1.0,,,,,2.0,,,,,,,
800340,2.0,58.0,30.0,5.0,,1.0,14.0,39.0,2.0,8.0,2.0,1.0,,1.0,
800361,,24.0,22.0,,,,45.0,13.0,4.0,,,6.0,,,
800376,1.0,5.0,,3.0,4.0,,16.0,18.0,,3.0,,1.0,3.0,,
800396,1.0,5.0,3.0,1.0,,,31.0,12.0,,3.0,,6.0,,13.0,
800400,11.0,41.0,32.0,,,,30.0,20.0,5.0,4.0,1.0,2.0,,,
800408,5.0,63.0,12.0,1.0,,,7.0,12.0,1.0,3.0,,12.0,,,2.0
810324,3.0,56.0,20.0,7.0,,,22.0,21.0,1.0,6.0,18.0,5.0,,3.0,
810340,,46.0,14.0,16.0,,,20.0,26.0,8.0,17.0,4.0,1.0,,2.0,6.0
810384,1.0,35.0,14.0,10.0,,,12.0,15.0,1.0,5.0,3.0,1.0,,1.0,8.0
810386,2.0,11.0,4.0,1.0,,,,8.0,,,1.0,1.0,,1.0,4.0
820324,,,3.0,,,,,,,1.0,2.0,2.0,,,
820348,,61.0,1.0,12.0,,,38.0,17.0,7.0,10.0,,,1.0,2.0,
820349,,70.0,17.0,23.0,,,1.0,21.0,1.0,13.0,,,2.0,,
820352,,76.0,,46.0,,,,47.0,1.0,18.0,,1.0,25.0,26.0,20.0
820388,9.0,71.0,,5.0,,,,20.0,9.0,,,,4.0,5.0,
821308,9.0,64.0,2.0,15.0,,,27.0,49.0,3.0,4.0,1.0,1.0,2.0,9.0,
830316,,1.0,1.0,,,,,1.0,,,,2.0,,1.0,
830343,11.0,3.0,28.0,11.0,,2.0,46.0,28.0,,2.0,4.0,15.0,4.0,19.0,
840302,3.0,24.0,1.0,6.0,,,18.0,24.0,3.0,3.0,1.0,20.0,,,
840332,3.0,49.0,34.0,4.0,,1.0,22.0,19.0,2.0,1.0,,14.0,,2.0,
840356,1.0,21.0,32.0,1.0,,1.0,11.0,9.0,3.0,,,9.0,,,
840361,1.0,,,2.0,,1.0,,,,,1.0,4.0,,,1.0
840368,2.0,34.0,48.0,3.0,,2.0,14.0,8.0,7.0,7.0,,28.0,,3.0,11.0
840370,,1.0,1.0,,,,,,,,,,,,
850324,1.0,3.0,1.0,1.0,,,2.0,1.0,,,,,5.0,,
850332,7.0,15.0,1.0,4.0,,1.0,22.0,,,4.0,,2.0,,8.0,13.0
850352,,33.0,5.0,,,,8.0,10.0,,,,,,,8.0
850358,8.0,32.0,18.0,1.0,,,25.0,21.0,,2.0,,1.0,5.0,8.0,5.0
860316,5.0,16.0,11.0,9.0,,,18.0,11.0,1.0,7.0,,1.0,4.0,8.0,3.0
860336,6.0,49.0,29.0,14.0,,,25.0,43.0,,6.0,,8.0,14.0,25.0,4.0
860352,6.0,39.0,7.0,5.0,,,27.0,27.0,4.0,6.0,2.0,3.0,2.0,4.0,2.0
860354,,,1.0,5.0,,,1.0,,,2.0,,3.0,5.0,,
861308,7.0,41.0,11.0,12.0,,,6.0,16.0,,7.0,,,7.0,8.0,1.0
862312,,1.0,6.0,5.0,1.0,,27.0,2.0,,,,13.0,1.0,6.0,
870314,1.0,22.0,26.0,1.0,,,22.0,13.0,,,,9.0,1.0,15.0,2.0
880308,32.0,38.0,19.0,18.0,,,13.0,18.0,,3.0,3.0,5.0,8.0,11.0,3.0
880320,2.0,3.0,4.0,6.0,,,4.0,10.0,,,,3.0,2.0,2.0,5.0
880328,,21.0,7.0,5.0,,,13.0,11.0,,8.0,,10.0,3.0,5.0,2.0
890304,3.0,9.0,,1.0,,,3.0,2.0,,7.0,,,,,
900311,24.0,25.0,15.0,6.0,,,14.0,20.0,,37.0,1.0,3.0,,2.0,
900316,4.0,20.0,22.0,,,,12.0,7.0,6.0,4.0,1.0,5.0,,9.0,3.0
900336,,18.0,24.0,1.0,,,12.0,2.0,1.0,3.0,,2.0,2.0,,2.0
900342,12.0,38.0,17.0,34.0,,1.0,16.0,48.0,3.0,56.0,2.0,,17.0,6.0,3.0
900344,,29.0,9.0,2.0,,,15.0,22.0,1.0,12.0,,,,14.0,
900348,9.0,46.0,13.0,1.0,,,22.0,16.0,2.0,29.0,18.0,,,1.0,3.0
900360,,26.0,16.0,6.0,,,23.0,24.0,2.0,18.0,1.0,,3.0,7.0,16.0
900365,1.0,11.0,4.0,1.0,,,2.0,2.0,,3.0,,1.0,2.0,,1.0
900366,16.0,,1.0,,,,52.0,,,65.0,,2.0,,35.0,15.0
900377,,16.0,,1.0,,5.0,10.0,19.0,,16.0,,,1.0,,
900393,3.0,2.0,,14.0,,13.0,12.0,19.0,,45.0,,2.0,14.0,,2.0
90A000,,,,,,,,,,,,3.0,,,
910368,,1.0,5.0,,,,3.0,,,1.0,,,,,1.0
910370,6.0,33.0,16.0,,,,21.0,20.0,6.0,9.0,3.0,,1.0,,8.0
920316,2.0,22.0,35.0,24.0,,1.0,13.0,19.0,,98.0,,,15.0,1.0,5.0
920317,10.0,12.0,3.0,44.0,,,41.0,20.0,1.0,36.0,,6.0,52.0,46.0,
920318,17.0,15.0,19.0,16.0,,1.0,60.0,22.0,4.0,15.0,2.0,4.0,5.0,26.0,
920324,2.0,3.0,,,,,1.0,2.0,,1.0,,,,,1.0
920348,30.0,8.0,16.0,5.0,,,1.0,53.0,8.0,17.0,,23.0,6.0,,6.0
920368,27.0,35.0,52.0,24.0,,5.0,24.0,49.0,3.0,34.0,,3.0,13.0,9.0,
920386,,,,1.0,,,,,,,,,,,
920411,12.0,33.0,7.0,4.0,,,41.0,11.0,1.0,,,,4.0,3.0,9.0
920412,30.0,13.0,7.0,12.0,,,65.0,23.0,7.0,1.0,,1.0,10.0,19.0,9.0
920428,35.0,42.0,8.0,9.0,,,13.0,31.0,4.0,17.0,5.0,10.0,5.0,30.0,
920436,30.0,15.0,15.0,1.0,,,28.0,14.0,9.0,11.0,23.0,,,44.0,18.0
920441,68.0,10.0,5.0,74.0,,9.0,19.0,73.0,,127.0,,13.0,17.0,,
920445,28.0,45.0,22.0,24.0,,5.0,25.0,19.0,,17.0,,3.0,12.0,26.0,
920455,27.0,21.0,36.0,21.0,,,8.0,51.0,2.0,1.0,,,24.0,33.0,
920466,29.0,23.0,11.0,14.0,,5.0,2.0,11.0,5.0,16.0,,3.0,3.0,6.0,
920473,36.0,8.0,26.0,17.0,,1.0,3.0,38.0,8.0,11.0,,8.0,9.0,17.0,
920495,60.0,12.0,11.0,17.0,,,,12.0,,1.0,,,4.0,50.0,
920500,59.0,59.0,13.0,36.0,,,3.0,64.0,15.0,23.0,,4.0,15.0,1.0,6.0
920518,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,,
920526,64.0,16.0,9.0,98.0,9.0,13.0,,52.0,,106.0,,8.0,29.0,16.0,
920528,,2.0,,,,,,1.0,,1.0,,,,,
920546,52.0,38.0,42.0,18.0,,4.0,33.0,24.0,,7.0,,7.0,9.0,16.0,
920552,15.0,10.0,9.0,54.0,,50.0,,41.0,12.0,6.0,,6.0,4.0,7.0,
920556,4.0,1.0,,,,,,2.0,,,,,,2.0,1.0
920562,13.0,2.0,3.0,12.0,,2.0,17.0,12.0,2.0,23.0,,5.0,6.0,26.0,
920581,1.0,,13.0,14.0,,,16.0,,11.0,,,9.0,4.0,1.0,
920583,,,,,,,3.0,,,,,,,,
920586,,,,17.0,,,,,,,,,13.0,,
920588,7.0,33.0,17.0,6.0,,1.0,30.0,19.0,5.0,2.0,,,2.0,21.0,3.0
920595,28.0,34.0,26.0,27.0,,,,35.0,5.0,8.0,,4.0,12.0,7.0,
92F000,,,,,,,,,,1.0,,,5.0,,
92G000,,1.0,,1.0,,,,,,,,,,,
92P000,,1.0,,4.0,,,,1.0,,,,,2.0,,
92T000,,,,1.0,,,3.0,,,,,,,,
930352,,4.0,26.0,12.0,,,24.0,2.0,5.0,8.0,3.0,,13.0,,11.0
930360,,,,1.0,,,,,,,,,,,
93L000,,,1.0,,,,2.0,1.0,,,,,,,
940316,9.0,20.0,,3.0,,,3.0,,,11.0,,,,4.0,
94Z000,,45.0,,,,,,,,,,2.0,,,
950336,9.0,12.0,9.0,1.0,,,14.0,23.0,6.0,1.0,,8.0,4.0,8.0,3.0
950338,,6.0,1.0,2.0,,,5.0,2.0,20.0,1.0,,11.0,2.0,4.0,6.0
960324,3.0,46.0,8.0,14.0,,,15.0,36.0,,1.0,,2.0,9.0,8.0,25.0
960330,7.0,30.0,13.0,8.0,,3.0,22.0,41.0,,1.0,,4.0,3.0,,17.0
960335,4.0,14.0,2.0,5.0,,,11.0,19.0,,5.0,,,,,
960372,,34.0,10.0,1.0,,,15.0,10.0,,7.0,,,2.0,1.0,1.0
960380,1.0,51.0,60.0,1.0,,,13.0,23.0,,3.0,5.0,1.0,,,19.0
960386,3.0,56.0,,3.0,,,21.0,5.0,,8.0,,3.0,,,1.0
960488,,,1.0,,,,,,,,,,,,
960490,1.0,,,,,,,,,1.0,,,,1.0,
960700,,,2.0,1.0,,,,,,,,1.0,,8.0,1.0
970320,2.0,26.0,2.0,1.0,,1.0,28.0,3.0,,2.0,2.0,10.0,1.0,5.0,6.0
970356,,30.0,14.0,,,,21.0,2.0,1.0,7.0,,15.0,,6.0,7.0
970388,8.0,29.0,9.0,6.0,,,46.0,8.0,3.0,14.0,1.0,17.0,2.0,8.0,10.0
970390,9.0,17.0,13.0,16.0,,,39.0,8.0,4.0,12.0,3.0,23.0,,11.0,7.0
970393,1.0,1.0,1.0,,,,,,,5.0,,1.0,,1.0,
980318,,17.0,8.0,2.0,,,21.0,12.0,6.0,4.0,7.0,,,,6.0
980336,,49.0,8.0,5.0,,3.0,44.0,66.0,,17.0,2.0,,,,
980342,24.0,40.0,10.0,29.0,,1.0,2.0,27.0,8.0,14.0,3.0,1.0,,3.0,
98B000,,2.0,1.0,,,,,2.0,,7.0,,,,,
990322,2.0,33.0,36.0,4.0,,,34.0,20.0,,26.0,,14.0,2.0,7.0,7.0
990326,11.0,22.0,21.0,,,,17.0,17.0,,12.0,,1.0,,,11.0
990332,,,2.0,,,,,,1.0,,,2.0,,,3.0
995330,1.0,28.0,40.0,8.0,,,22.0,4.0,12.0,20.0,8.0,23.0,1.0,7.0,8.0
